,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2018-01-28,5.7,3.7,7.3,0.0,0.0,220.8,19.8,45.0,1032.4,
1,2018-01-29,8.1,7.0,8.9,0.0,0.0,233.3,23.1,57.0,1027.9,
2,2018-01-30,4.6,-0.2,8.0,0.3,0.0,242.5,10.0,51.0,1028.7,
3,2018-02-01,3.0,0.9,5.2,2.0,0.0,218.8,14.4,39.0,1003.1,
4,2018-02-02,1.4,0.5,2.5,0.2,0.0,208.8,17.9,37.0,1006.0,
5,2018-02-03,1.4,-1.5,3.0,0.4,0.0,207.1,7.9,40.0,1007.2,
6,2018-02-04,-1.3,-2.5,-0.1,2.6,40.0,93.8,9.4,27.0,1016.4,
7,2018-02-05,-2.4,-4.6,0.1,0.0,40.0,73.3,12.6,32.0,1025.9,
8,2018-02-08,-2.8,-6.3,1.3,0.0,0.0,150.0,4.5,13.0,1020.4,
9,2018-02-09,-3.8,-7.0,-0.2,0.0,0.0,115.0,4.1,15.0,1018.6,
10,2018-02-10,0.2,-1.2,1.5,0.0,0.0,191.3,7.2,24.0,1017.3,
11,2018-02-11,0.8,-0.2,1.9,0.8,10.0,200.8,16.2,35.0,1008.4,
12,2018-02-12,0.6,-1.9,2.7,0.5,10.0,227.5,11.2,41.0,1013.4,
13,2018-02-13,,,,0.0,10.0,135.4,6.3,21.0,,
14,2018-02-14,-3.2,-7.8,2.6,0.0,20.0,145.8,7.8,24.0,1019.8,
15,2018-02-15,-2.6,-6.3,0.0,1.5,20.0,159.6,6.8,24.0,1019.8,
16,2018-02-16,1.0,-1.1,4.5,0.8,20.0,165.8,4.8,19.0,1025.9,
17,2018-02-17,0.6,-0.8,2.9,0.0,20.0,45.0,10.5,24.0,1024.6,
18,2018-02-18,-0.2,-3.9,3.8,0.0,20.0,137.9,6.3,19.0,1028.2,
19,2018-02-21,-0.8,-3.0,3.0,0.0,0.0,80.8,14.5,43.0,1022.7,
20,2018-02-22,-1.1,-2.7,1.3,0.0,0.0,56.7,22.7,51.0,1022.2,
21,2018-02-23,-2.8,-5.2,1.1,0.0,0.0,60.4,20.6,46.0,1021.8,
22,2018-02-24,-3.6,-7.0,-0.4,0.0,0.0,68.8,19.5,53.0,1025.5,
23,2018-02-25,-5.9,-9.3,-2.6,0.0,0.0,72.9,19.0,44.0,1028.8,
24,2018-02-26,-7.2,-9.2,-5.0,0.1,10.0,60.8,17.6,59.0,1026.7,
25,2018-02-27,-8.2,-12.3,-4.8,0.0,10.0,62.1,16.1,39.0,1021.3,
26,2018-02-28,-8.9,-12.1,-5.9,0.0,10.0,79.2,14.7,38.0,1022.0,
27,2018-03-01,-5.9,-9.6,-0.7,0.0,10.0,72.5,19.8,48.0,1011.9,
28,2018-03-02,-4.6,-8.1,-1.1,0.0,10.0,60.0,15.7,41.0,1001.6,
29,2018-03-03,-2.9,-5.5,-0.1,3.1,50.0,55.8,9.0,24.0,1001.1,
30,2018-03-04,0.1,-2.6,4.6,0.4,30.0,82.9,8.8,20.0,1001.8,
31,2018-03-05,3.1,0.4,8.1,0.4,10.0,135.8,7.0,19.0,998.4,
32,2018-03-06,1.0,-2.8,4.9,0.0,0.0,163.8,6.5,15.0,993.5,
33,2018-03-07,4.9,1.3,7.7,1.3,,212.9,14.3,44.0,996.1,
34,2018-03-08,5.4,2.6,8.8,3.3,,213.8,18.6,63.0,1004.4,
35,2018-03-09,3.4,1.2,5.4,3.2,,203.8,8.3,38.0,1009.5,
36,2018-03-10,7.2,3.4,12.3,4.4,,132.1,8.0,30.0,1006.0,
37,2018-03-11,10.9,6.9,16.3,0.0,,147.9,8.0,24.0,999.2,
38,2018-03-12,9.3,7.5,11.6,3.2,,164.2,11.8,44.0,995.2,
39,2018-03-13,7.1,4.0,9.0,2.9,0.0,225.8,20.2,48.0,1003.1,
40,2018-03-14,4.7,3.3,7.1,0.0,0.0,211.7,9.1,27.0,1012.2,
41,2018-03-15,4.5,-1.5,10.0,0.2,0.0,90.4,12.5,37.0,1003.2,
42,2018-03-16,4.3,-0.3,8.0,9.7,0.0,166.7,9.0,35.0,1002.3,
43,2018-03-17,-2.9,-4.4,-0.5,0.4,10.0,72.1,24.8,57.0,1005.9,
44,2018-03-18,-4.1,-6.1,-2.2,1.3,30.0,80.0,25.6,50.0,1008.9,
45,2018-03-19,-3.2,-6.5,0.6,0.0,30.0,64.6,16.1,38.0,1012.7,
46,2018-03-20,-3.1,-8.5,1.0,0.8,30.0,131.7,8.0,47.0,1018.0,
47,2018-03-21,-0.6,-7.2,5.3,0.0,30.0,197.9,5.5,18.0,1028.0,
48,2018-03-22,0.1,-2.8,2.0,0.5,10.0,202.5,12.2,37.0,1018.9,
49,2018-03-23,3.5,1.5,6.3,0.2,0.0,197.1,7.4,17.0,1009.0,
50,2018-03-24,5.2,1.2,9.8,0.0,0.0,109.2,8.0,28.0,1004.1,
51,2018-03-26,6.9,5.3,8.2,0.0,0.0,160.0,6.3,22.0,1013.4,
52,2018-03-27,5.4,0.1,9.5,0.6,0.0,187.1,9.8,32.0,1014.4,
53,2018-03-28,6.6,4.5,9.0,7.5,0.0,211.3,12.4,38.0,1004.5,
54,2018-03-29,5.6,1.9,8.7,0.0,0.0,237.5,16.4,55.0,1006.4,
55,2018-03-30,5.4,-1.8,12.8,0.0,0.0,107.5,8.5,30.0,1005.2,
56,2018-03-31,7.1,3.9,9.8,12.9,0.0,182.9,7.3,20.0,999.2,
57,2018-04-01,4.7,1.8,8.0,0.8,0.0,241.7,13.9,53.0,1006.7,
58,2018-04-02,7.2,2.3,11.8,0.0,0.0,205.8,11.6,36.0,1011.1,
59,2018-04-03,12.8,6.6,18.8,0.1,0.0,182.5,11.6,54.0,1004.8,
60,2018-04-04,12.8,9.0,20.3,3.8,0.0,208.3,13.6,80.0,1004.2,
61,2018-04-05,9.0,4.9,11.8,0.9,0.0,242.9,20.5,60.0,1011.2,
62,2018-04-06,5.9,-1.9,13.4,0.0,0.0,150.4,10.6,35.0,1023.2,
63,2018-04-07,10.4,0.2,21.1,0.0,0.0,152.1,8.8,21.0,1015.9,
64,2018-04-08,12.5,4.3,21.0,0.0,0.0,131.3,7.8,19.0,1010.3,
65,2018-04-09,13.0,4.9,21.3,0.0,0.0,133.3,7.3,20.0,1005.7,
66,2018-04-10,14.6,7.4,22.7,0.0,0.0,152.1,8.0,47.0,1002.5,
67,2018-04-11,11.9,8.9,16.2,3.1,0.0,158.8,8.4,41.0,1006.6,
68,2018-04-12,14.9,10.5,20.9,2.1,0.0,137.9,11.4,59.0,1001.0,
69,2018-04-13,10.1,8.8,12.2,10.9,0.0,205.4,14.5,58.0,1006.1,
70,2018-04-14,11.9,5.1,18.3,0.9,0.0,185.8,10.0,28.0,1018.5,
71,2018-04-15,13.9,6.6,19.7,0.0,0.0,167.5,6.3,23.0,1013.5,
72,2018-04-16,14.7,11.1,18.9,2.3,0.0,91.7,4.8,33.0,1013.5,
73,2018-04-17,14.6,7.9,20.8,0.0,0.0,175.0,6.5,28.0,1024.5,
74,2018-04-18,15.9,6.7,24.1,0.0,0.0,136.3,7.0,20.0,1031.0,
75,2018-04-19,17.5,9.1,26.1,0.0,0.0,73.3,8.9,28.0,1029.2,
76,2018-04-20,17.8,9.1,26.3,0.0,0.0,174.6,8.1,26.0,1024.1,
77,2018-04-21,18.0,9.9,25.3,0.0,0.0,159.6,6.7,28.0,1019.1,
78,2018-04-22,18.3,10.5,25.7,0.0,0.0,156.7,7.3,32.0,1015.0,
79,2018-04-23,15.9,13.0,20.4,1.9,0.0,197.9,9.8,42.0,1014.3,
80,2018-04-24,13.8,8.9,18.5,0.1,0.0,216.3,12.7,44.0,1016.9,
81,2018-04-25,,,,2.6,,230.4,15.3,,,
82,2018-04-26,10.3,6.5,13.1,0.1,0.0,233.3,18.1,50.0,1016.6,
83,2018-04-27,10.1,1.8,17.6,0.0,0.0,125.0,8.3,34.0,1014.3,
84,2018-04-28,12.2,5.1,17.9,0.0,0.0,164.6,10.5,46.0,1012.2,
85,2018-04-29,16.3,10.0,24.5,12.5,0.0,119.6,7.9,27.0,1007.5,
86,2018-04-30,14.7,11.4,17.7,0.1,0.0,218.8,21.2,62.0,1002.5,
87,2018-05-01,9.6,6.1,12.8,0.0,,240.8,18.3,50.0,1012.3,
88,2018-05-02,9.1,1.4,16.4,0.0,,126.7,6.5,20.0,1013.7,
89,2018-05-03,12.8,7.7,17.8,0.0,,130.0,9.3,30.0,1014.3,
