,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-03-26,,,,0.4,,,,,,
1,2015-03-27,,,,2.5,,,,,,
2,2015-03-28,,,,0.6,,,,,,
3,2015-03-30,,,,4.6,,,,,,
4,2015-03-31,,,,25.5,,,,,,
5,2015-04-01,,,,16.1,,,,,,
6,2015-04-02,,,,16.1,,,,,,
7,2015-04-03,,,,0.6,,,,,,
8,2015-04-04,,,,0.0,,,,,,
9,2015-04-05,,,,0.0,,,,,,
10,2015-04-06,,,,0.0,,,,,,
11,2015-04-07,,,,0.0,,,,,,
12,2015-04-08,,,,0.0,,,,,,
13,2015-04-09,,,,0.0,,,,,,
14,2015-04-10,,,,0.0,,,,,,
15,2015-04-11,,,,0.1,,,,,,
16,2015-04-12,,,,0.0,,,,,,
17,2015-04-13,,,,0.7,,,,,,
18,2015-04-14,,,,0.0,,,,,,
19,2015-04-15,,,,0.0,,,,,,
20,2015-04-16,,,,0.0,,,,,,
21,2015-04-17,,,,0.0,,,,,,
22,2015-04-18,,,,0.0,,,,,,
23,2015-04-19,,,,0.0,,,,,,
24,2015-04-20,,,,0.0,,,,,,
25,2015-04-21,,,,0.0,,,,,,
26,2015-04-22,,,,0.0,,,,,,
27,2015-04-23,,,,0.0,,,,,,
28,2015-04-24,,,,0.0,,,,,,
29,2015-04-25,,,,2.8,,,,,,
30,2015-04-26,,,,2.3,,,,,,
31,2015-04-27,,,,15.7,,,,,,
32,2015-04-28,,,,0.2,,,,,,
33,2015-04-29,,,,0.0,,,,,,
34,2015-04-30,,,,6.0,,,,,,
35,2015-05-01,,,,0.0,,,,,,
36,2015-05-02,,,,0.0,,,,,,
37,2015-05-03,,,,7.0,,,,,,
38,2015-05-04,,,,0.9,,,,,,
39,2015-05-05,,,,2.4,,,,,,
40,2015-05-06,,,,0.8,,,,,,
41,2015-05-07,,,,0.0,,,,,,
42,2015-05-08,,,,0.0,,,,,,
43,2015-05-09,,,,0.0,,,,,,
44,2015-05-10,,,,0.1,,,,,,
45,2015-05-11,,,,0.0,,,,,,
46,2015-05-12,,,,1.0,,,,,,
47,2015-05-13,,,,0.0,,,,,,
48,2015-05-14,,,,0.0,,,,,,
49,2015-05-15,,,,0.0,,,,,,
50,2015-05-16,,,,0.1,,,,,,
51,2015-05-17,,,,0.0,,,,,,
52,2015-05-18,,,,0.0,,,,,,
53,2015-05-19,,,,0.0,,,,,,
54,2015-05-20,,,,0.7,,,,,,
55,2015-05-21,,,,0.2,,,,,,
56,2015-05-22,,,,0.0,,,,,,
57,2015-05-23,,,,0.0,,,,,,
58,2015-05-24,,,,0.0,,,,,,
59,2015-05-25,,,,1.2,,,,,,
60,2015-05-26,,,,0.2,,,,,,
61,2015-05-27,,,,0.0,,,,,,
62,2015-05-28,,,,0.6,,,,,,
63,2015-05-29,,,,0.4,,,,,,
64,2015-05-30,,,,3.8,,,,,,
65,2015-05-31,,,,0.0,,,,,,
66,2015-06-01,,,,2.8,,,,,,
67,2015-06-02,,,,0.0,,,,,,
