,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-04,2.4,-1.0,8.0,,,,4.4,,,
1,2015-01-09,7.7,6.0,11.0,,,236.7,29.0,,,
2,2015-01-10,13.0,11.0,15.0,,,251.7,30.6,,,
3,2015-01-12,3.4,-1.0,6.0,,,,15.4,,,
4,2015-01-13,1.6,-5.0,9.0,,,,5.3,,,
5,2015-01-16,1.8,-2.0,7.0,,,,3.6,,,
6,2015-01-17,1.0,0.0,5.0,,,,5.1,,,
7,2015-01-18,0.9,0.0,3.0,,,,5.7,,,
8,2015-01-19,-0.3,-2.0,3.0,,,,5.3,,,
9,2015-01-20,0.5,-1.0,2.0,,,,2.5,,,
10,2015-01-21,-0.1,-1.0,1.0,,,,7.9,,,
11,2015-01-22,0.0,-1.0,1.0,,,,4.0,,,
12,2015-01-23,0.5,0.0,1.0,,,,5.1,,,
13,2015-01-24,0.9,0.0,2.0,,,,6.1,,,
14,2015-01-25,-0.1,-2.0,3.0,,,,3.8,,,
15,2015-01-26,-0.7,-2.0,1.0,,,,7.4,,,
16,2015-01-28,1.5,0.0,3.0,,,,14.0,,,
17,2015-01-29,1.5,0.0,3.0,,,,9.0,,,
18,2015-01-30,1.2,0.0,2.0,,,,24.8,,,
19,2015-01-31,1.7,1.0,3.0,,,238.8,16.4,,,
20,2015-02-01,0.7,-1.0,2.0,,,,17.5,,,
21,2015-02-02,0.6,-1.0,2.0,,,,19.5,,,
22,2015-02-03,-2.3,-5.0,0.0,,,,9.2,,,
23,2015-02-04,-3.5,-7.0,0.0,,,35.4,17.2,,,
24,2015-02-06,-2.0,-3.0,-1.0,,,37.1,32.1,,,
25,2015-02-09,-3.8,-10.0,0.0,,,,5.5,,,
26,2015-02-10,0.0,-6.0,5.0,,,,7.7,,,
27,2015-02-14,-2.2,-6.0,2.0,,,,3.5,,,
28,2015-02-15,-1.8,-3.0,-1.0,,,,8.4,,,
29,2015-02-16,-1.4,-3.0,1.0,,,,4.4,,,
30,2015-02-17,-0.4,-1.0,0.0,,,,3.9,,,
31,2015-02-18,-0.3,-1.0,1.0,,,,9.0,,,
32,2015-02-19,0.2,-3.0,4.0,,,,4.5,,,
33,2015-02-20,0.7,-6.0,11.0,,,,3.3,,,
34,2015-02-21,0.5,-5.0,6.0,,,,8.2,,,
35,2015-02-22,0.7,-1.0,3.0,,,,2.8,,,
36,2015-02-25,1.5,-2.0,6.0,,,,3.3,,,
37,2015-03-02,6.5,1.0,9.0,,,,19.1,,,
38,2015-03-03,4.3,-2.0,10.0,,,,7.0,,,
39,2015-03-04,2.8,-1.0,5.0,,,,6.7,,,
40,2015-03-06,1.1,-4.0,8.0,,,,5.4,,,
41,2015-03-07,2.3,-3.0,9.0,,,,6.2,,,
42,2015-03-08,4.4,-1.0,12.0,,,,7.5,,,
43,2015-03-09,5.2,-1.0,14.0,,,,5.3,,,
44,2015-03-10,5.6,-3.0,14.0,,,,5.1,,,
45,2015-03-11,7.0,3.0,10.0,,,,8.7,,,
46,2015-03-12,3.7,-2.0,9.0,,,44.6,14.6,,,
47,2015-03-13,3.5,-2.0,9.0,,,,10.0,,,
