,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,2.3,1.3,3.1,1.8,0.0,232.5,29.9,68.0,,
1,2015-01-03,1.6,0.6,2.9,0.4,0.0,239.6,22.0,49.7,,
2,2015-01-04,1.3,0.5,2.3,3.2,0.0,280.4,19.1,41.8,,
3,2015-01-05,1.3,0.5,3.4,0.0,0.0,270.4,15.5,37.4,,
4,2015-01-06,1.3,-1.2,4.9,0.1,0.0,200.0,5.0,36.7,,
5,2015-01-07,1.1,-0.1,2.7,0.4,0.0,230.4,16.2,40.3,,
6,2015-01-08,3.6,1.0,6.3,5.2,0.0,230.4,26.6,76.3,,
7,2015-01-09,6.2,3.2,9.3,3.7,0.0,251.7,33.1,90.7,,
8,2015-01-10,9.9,2.7,13.9,1.8,0.0,248.3,32.4,95.4,,
9,2015-01-11,2.5,0.8,3.9,0.1,0.0,259.6,27.4,68.4,,
10,2015-01-12,4.4,2.6,6.3,0.0,0.0,241.3,30.2,58.3,,
11,2015-01-13,8.8,5.4,11.9,1.4,0.0,227.5,27.0,77.4,,
12,2015-01-14,5.2,0.4,9.5,4.7,0.0,237.1,23.0,59.0,,
13,2015-01-15,5.0,0.4,8.9,0.0,0.0,205.0,18.7,63.0,,
14,2015-01-16,6.6,3.4,8.9,3.9,0.0,185.8,9.4,47.2,,
15,2015-01-17,2.4,0.1,4.1,0.6,0.0,222.5,7.9,28.8,,
16,2015-01-18,0.3,-2.8,2.8,0.0,0.0,204.2,8.6,38.2,,
17,2015-01-19,-0.1,-4.7,2.6,0.0,0.0,149.6,4.3,14.8,,
18,2015-01-20,0.4,-1.3,1.5,2.5,0.0,202.5,4.3,13.3,,
19,2015-01-21,-1.4,-4.7,1.0,0.0,10.0,117.1,7.2,20.9,,
20,2015-01-22,-1.2,-5.1,-0.1,1.9,10.0,175.0,6.1,17.6,,
21,2015-01-23,-1.5,-2.0,-1.0,0.5,10.0,253.8,8.3,19.4,,
22,2015-01-24,-1.2,-2.4,0.3,1.5,20.0,224.2,10.8,31.3,,
23,2015-01-25,0.3,-1.2,1.4,0.6,40.0,274.6,10.8,29.9,,
24,2015-01-26,0.9,0.3,2.2,1.3,10.0,232.5,15.5,49.7,,
25,2015-01-27,1.2,0.5,2.2,0.5,0.0,264.6,17.3,36.0,,
26,2015-01-28,1.7,0.5,3.1,0.3,0.0,235.0,20.9,70.6,,
27,2015-01-29,1.1,-0.4,2.2,0.4,0.0,219.6,18.7,51.8,,
28,2015-01-30,0.5,-2.3,2.3,0.7,0.0,219.6,17.6,56.9,,
29,2015-01-31,-0.6,-2.8,2.0,0.2,0.0,235.0,19.4,40.7,,
30,2015-02-01,0.0,-1.7,1.7,0.1,0.0,230.4,12.2,29.2,,
31,2015-02-02,0.1,-1.4,2.7,0.1,0.0,244.2,14.8,32.0,,
32,2015-02-03,-0.7,-2.6,1.3,0.9,0.0,236.3,16.6,35.3,,
33,2015-02-04,-3.0,-7.2,-1.7,0.2,20.0,290.4,5.4,18.4,,
34,2015-02-05,-3.9,-6.3,-1.5,0.1,30.0,86.3,12.6,38.9,,
35,2015-02-06,-3.3,-4.9,-1.3,0.0,20.0,62.5,18.7,40.3,,
36,2015-02-07,-2.5,-5.7,1.3,0.3,0.0,184.2,11.2,36.7,,
37,2015-02-08,-0.5,-3.4,1.3,0.0,0.0,310.4,16.9,54.0,,
38,2015-02-09,1.3,-2.4,3.3,0.4,0.0,262.1,17.3,41.4,,
39,2015-02-10,2.7,1.5,3.7,0.0,0.0,261.7,9.4,21.2,,
40,2015-02-11,1.7,-1.6,3.7,0.0,0.0,150.0,4.7,15.8,,
41,2015-02-12,-0.3,-4.6,5.1,0.0,0.0,222.9,8.6,25.9,,
42,2015-02-13,-0.1,-3.5,6.1,0.0,0.0,233.3,7.6,26.3,,
43,2015-02-14,-0.2,-4.6,6.3,0.0,0.0,229.2,5.4,19.4,,
44,2015-02-15,-0.5,-6.7,4.2,0.0,0.0,174.6,5.4,32.0,,
45,2015-02-16,1.3,-3.8,8.7,0.0,0.0,148.8,4.7,18.0,,
46,2015-02-17,0.3,-3.7,7.1,0.0,0.0,227.9,6.5,24.5,,
47,2015-02-18,1.2,-1.3,3.2,0.0,0.0,220.8,5.4,27.0,,
