,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,1.9,-1.9,5.2,2.8,30.0,207.1,11.2,34.2,1033.2,0.0
1,2015-01-03,3.0,0.3,10.9,13.0,0.0,208.8,11.5,72.7,1026.4,0.0
2,2015-01-04,2.6,1.0,4.1,0.0,0.0,291.3,15.8,40.3,1033.0,162.0
3,2015-01-05,1.9,-1.0,6.2,0.0,0.0,185.0,7.9,24.8,1034.1,468.0
4,2015-01-06,0.1,-2.9,5.1,0.3,0.0,169.2,9.4,21.2,1026.5,396.0
5,2015-01-07,1.4,-0.8,4.1,0.1,0.0,196.7,6.8,25.2,1030.8,84.0
6,2015-01-08,6.0,0.1,9.7,0.8,0.0,194.6,18.7,67.7,1028.5,0.0
7,2015-01-09,8.7,5.1,13.6,1.9,0.0,232.5,18.7,60.1,1026.3,0.0
8,2015-01-10,13.4,8.1,15.6,10.2,0.0,253.8,25.9,72.7,1017.5,162.0
9,2015-01-11,4.4,1.8,8.1,1.3,0.0,277.1,25.6,63.0,1022.3,168.0
10,2015-01-12,5.6,4.2,7.5,0.0,0.0,222.1,15.5,55.4,1025.0,126.0
11,2015-01-13,9.9,3.6,15.2,0.5,0.0,191.3,13.7,42.8,1015.3,480.0
12,2015-01-14,6.3,2.7,11.3,4.9,0.0,241.7,16.2,61.6,1015.9,42.0
13,2015-01-15,6.9,2.2,10.0,0.3,0.0,165.0,15.1,42.1,1010.8,0.0
14,2015-01-16,6.5,4.3,10.5,10.6,0.0,216.7,8.3,35.6,1007.7,0.0
15,2015-01-17,3.2,1.6,4.9,1.5,0.0,290.0,9.4,33.8,1015.5,0.0
16,2015-01-18,1.1,-1.1,4.2,0.0,0.0,161.3,8.6,23.0,1017.7,192.0
17,2015-01-19,0.7,-1.7,3.5,4.6,0.0,131.3,5.0,13.7,1012.5,96.0
18,2015-01-20,0.0,-1.0,1.0,1.8,0.0,271.7,5.0,19.8,1012.4,0.0
19,2015-01-21,0.7,-1.0,2.1,0.0,0.0,86.3,9.4,31.0,1011.4,0.0
20,2015-01-22,0.5,-0.1,1.0,0.5,0.0,165.0,7.9,22.3,1014.0,0.0
21,2015-01-23,0.5,-0.1,1.0,0.0,0.0,329.6,9.0,18.7,1022.8,0.0
22,2015-01-24,0.7,-0.2,2.0,1.3,0.0,283.8,9.0,31.0,1023.1,6.0
23,2015-01-25,1.1,0.1,3.0,0.3,0.0,297.1,12.6,33.5,1029.6,18.0
24,2015-01-26,1.0,0.3,2.5,5.7,0.0,204.6,8.6,29.9,1024.9,0.0
25,2015-01-27,2.4,1.5,3.7,0.3,0.0,287.9,19.1,43.6,1022.6,18.0
26,2015-01-28,3.1,1.6,4.8,1.6,0.0,217.1,14.4,57.2,1014.3,0.0
27,2015-01-29,2.8,0.8,4.7,1.6,0.0,218.8,16.2,46.1,992.6,120.0
28,2015-01-30,1.3,-0.6,4.0,5.5,0.0,247.9,14.8,57.2,979.1,288.0
29,2015-01-31,1.1,-0.6,3.3,0.7,30.0,226.7,7.9,29.2,985.4,132.0
30,2015-02-01,0.9,-0.4,2.5,1.4,0.0,233.8,11.5,37.4,992.5,42.0
31,2015-02-02,0.3,-2.3,2.3,0.1,0.0,267.5,15.5,43.6,1001.8,72.0
32,2015-02-03,-2.0,-5.1,1.1,0.0,0.0,158.3,6.8,18.4,1005.3,468.0
33,2015-02-04,-3.2,-6.6,-1.2,0.0,0.0,171.7,4.7,20.2,1012.6,0.0
34,2015-02-05,-1.6,-2.9,-0.6,0.0,0.0,52.9,14.8,40.0,1017.0,6.0
35,2015-02-06,-2.1,-4.4,0.8,0.0,0.0,57.1,16.2,46.1,1021.3,240.0
36,2015-02-07,-3.4,-6.8,0.0,0.0,0.0,152.5,10.1,23.4,1028.6,492.0
37,2015-02-08,0.3,-2.9,3.2,0.1,0.0,295.8,15.1,43.9,1027.6,156.0
38,2015-02-09,1.2,-1.1,3.4,0.2,0.0,268.8,12.6,42.5,1030.7,0.0
39,2015-02-10,2.5,1.1,4.6,0.0,0.0,130.8,5.8,17.6,1030.9,0.0
40,2015-02-11,2.1,-2.1,6.4,0.0,0.0,107.1,10.4,26.3,1026.8,366.0
41,2015-02-12,0.5,-3.6,6.5,0.0,0.0,128.3,6.8,18.7,1024.0,534.0
42,2015-02-13,1.3,-4.1,8.3,0.0,0.0,135.8,7.6,20.5,1019.3,528.0
43,2015-02-14,2.6,-1.6,9.2,0.0,,103.8,9.4,21.6,1011.8,336.0
44,2015-02-15,-0.6,-3.1,2.6,0.0,,90.0,10.1,29.9,1013.7,228.0
45,2015-02-16,0.1,-1.5,3.4,0.0,,180.8,8.3,19.4,1020.4,252.0
46,2015-02-17,-0.6,-1.5,0.8,0.0,0.0,303.8,8.3,22.0,1032.8,0.0
47,2015-02-18,0.4,-0.8,1.5,0.0,0.0,126.3,9.7,27.7,1040.2,0.0
48,2015-02-19,0.0,-2.3,3.3,0.0,0.0,204.2,8.3,24.8,1032.3,258.0
49,2015-02-20,4.6,-2.9,13.3,0.0,0.0,163.8,13.3,39.2,1016.6,570.0
50,2015-02-21,5.1,2.6,7.5,0.1,0.0,228.3,15.5,46.4,1002.3,42.0
51,2015-02-22,3.1,0.6,6.1,1.0,0.0,231.7,6.1,22.0,1009.9,216.0
52,2015-02-23,3.0,-1.2,6.8,3.4,0.0,184.6,12.2,29.5,1003.0,12.0
53,2015-02-24,4.2,1.7,6.5,0.0,0.0,232.9,10.1,27.7,1010.2,12.0
54,2015-02-25,4.2,0.6,8.0,0.1,0.0,223.3,7.2,23.0,1019.7,348.0
55,2015-02-26,4.0,-1.0,10.1,0.0,0.0,149.2,13.0,30.2,1019.5,582.0
56,2015-02-27,3.0,2.3,4.2,6.8,0.0,218.8,13.0,38.5,1014.0,0.0
57,2015-02-28,3.7,0.9,7.8,0.9,0.0,214.2,9.7,28.8,1020.5,288.0
58,2015-03-01,6.6,0.8,10.6,1.9,0.0,194.2,13.3,35.6,1009.6,30.0
59,2015-03-02,6.1,2.6,10.1,2.2,0.0,261.7,23.4,66.2,1009.8,66.0
60,2015-03-03,6.4,2.3,11.3,0.2,0.0,237.5,14.0,55.4,1021.6,414.0
61,2015-03-04,4.1,1.9,7.5,0.0,0.0,283.8,16.6,40.7,1027.0,366.0
62,2015-03-05,3.8,1.9,7.0,0.0,0.0,309.6,15.5,37.1,1035.8,168.0
63,2015-03-06,4.0,-0.5,9.5,0.0,0.0,142.5,6.8,17.6,1037.4,426.0
64,2015-03-07,5.2,-0.7,11.4,0.0,0.0,135.4,9.7,25.9,1033.2,438.0
65,2015-03-08,7.6,0.4,15.9,0.0,0.0,180.4,8.3,19.4,1026.3,570.0
66,2015-03-09,8.7,2.3,16.1,0.0,0.0,176.7,6.5,19.4,1025.2,606.0
67,2015-03-10,7.5,2.0,13.2,0.9,0.0,225.0,11.9,29.2,1026.7,234.0
68,2015-03-11,6.3,1.0,9.2,0.0,0.0,300.4,9.7,25.6,1028.9,582.0
69,2015-03-12,3.8,-2.3,10.1,0.0,0.0,114.6,7.9,35.6,1029.3,390.0
70,2015-03-13,3.2,-1.3,7.1,0.0,0.0,132.1,10.8,33.5,1023.3,216.0
71,2015-03-14,3.1,-0.4,5.8,0.0,0.0,120.8,6.8,23.0,1023.9,0.0
