,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,2.4,1.2,3.5,2.2,0.0,245.4,25.9,65.5,1026.5,0.0
1,2015-01-03,1.5,0.2,3.2,1.8,0.0,247.5,18.7,55.1,1023.6,0.0
2,2015-01-04,2.5,1.2,3.4,0.1,0.0,277.9,15.8,36.7,1028.8,6.0
3,2015-01-05,1.1,-0.3,2.9,0.0,0.0,264.2,14.0,35.3,1031.9,348.0
4,2015-01-06,-0.3,-2.0,2.1,0.1,0.0,215.4,7.6,33.5,1026.0,252.0
5,2015-01-07,1.1,0.0,2.8,2.0,0.0,248.8,16.6,45.0,1028.0,186.0
6,2015-01-08,4.0,1.0,7.4,11.5,0.0,245.0,24.8,65.9,1023.2,0.0
7,2015-01-09,6.3,3.7,9.7,2.3,0.0,252.1,30.6,73.8,1018.2,0.0
8,2015-01-10,9.8,3.0,13.9,4.8,0.0,257.9,31.3,84.2,1009.1,54.0
9,2015-01-11,2.6,1.7,3.8,0.1,0.0,262.1,28.1,66.2,1015.4,18.0
10,2015-01-12,4.5,3.1,6.2,0.6,0.0,244.2,29.2,59.8,1017.5,0.0
11,2015-01-13,8.6,6.1,11.9,1.2,0.0,237.9,31.7,70.9,1009.7,354.0
12,2015-01-14,4.2,0.9,7.5,1.6,0.0,240.8,22.0,82.4,1011.1,36.0
13,2015-01-15,5.5,1.4,8.6,0.6,0.0,205.8,24.1,55.4,1007.1,54.0
14,2015-01-16,5.8,3.6,8.3,6.0,0.0,212.5,12.2,55.8,1006.9,0.0
15,2015-01-17,2.4,-1.0,3.9,0.0,0.0,269.6,9.0,21.6,1014.2,66.0
16,2015-01-18,0.3,-1.2,2.0,0.0,0.0,229.6,13.0,33.1,1017.0,336.0
17,2015-01-19,-1.2,-3.8,0.4,1.5,0.0,157.1,4.7,12.6,1013.3,0.0
18,2015-01-20,-0.6,-4.4,0.2,1.4,10.0,259.2,5.0,18.7,1012.2,0.0
19,2015-01-21,-2.6,-4.8,-1.1,0.0,20.0,116.7,12.2,36.4,1015.1,0.0
20,2015-01-22,-1.6,-3.1,-0.8,0.4,10.0,70.0,16.2,39.2,1017.2,0.0
21,2015-01-23,-1.3,-2.2,-0.7,0.0,10.0,106.3,5.8,18.4,1024.7,0.0
22,2015-01-24,-1.7,-5.2,1.0,0.9,10.0,238.3,13.0,41.4,1021.9,90.0
23,2015-01-25,0.9,0.0,1.7,1.3,10.0,272.5,11.5,24.8,1027.5,0.0
24,2015-01-26,1.0,0.5,2.0,2.4,0.0,244.2,16.9,40.3,1021.4,0.0
25,2015-01-27,1.8,0.9,3.1,0.0,0.0,275.8,16.2,42.1,1019.0,96.0
26,2015-01-28,2.3,0.9,3.7,1.4,0.0,239.6,23.4,73.8,1009.3,0.0
27,2015-01-29,1.0,-0.6,2.0,1.3,0.0,223.8,20.5,49.3,988.8,54.0
28,2015-01-30,-0.1,-2.4,1.6,1.8,0.0,243.3,15.1,43.2,975.8,24.0
29,2015-01-31,-0.3,-2.2,1.3,0.4,30.0,244.2,14.4,38.2,982.5,6.0
30,2015-02-01,-0.5,-2.3,1.7,0.0,20.0,266.3,9.4,28.1,991.1,126.0
31,2015-02-02,0.2,-1.1,1.7,0.5,20.0,257.1,14.8,44.3,998.5,90.0
32,2015-02-03,-0.6,-2.5,1.4,0.0,20.0,255.8,13.7,32.4,1003.5,90.0
33,2015-02-04,-2.6,-5.5,-0.9,0.0,10.0,282.1,6.8,20.5,1013.6,0.0
34,2015-02-05,-3.5,-5.0,-2.2,0.3,10.0,126.7,16.6,50.0,1022.4,30.0
35,2015-02-06,-3.9,-4.8,-3.2,0.0,20.0,69.2,25.6,53.3,1028.9,0.0
36,2015-02-07,-2.3,-8.1,1.7,1.0,20.0,188.8,11.5,32.0,1029.3,450.0
37,2015-02-08,0.3,-2.1,2.1,0.3,10.0,316.3,15.5,52.2,1025.8,270.0
38,2015-02-09,1.9,-1.3,4.3,0.3,10.0,267.9,16.9,36.0,1026.0,0.0
39,2015-02-10,3.3,2.5,4.0,0.1,0.0,286.3,9.7,23.8,1029.6,0.0
40,2015-02-11,1.7,-0.8,3.5,0.0,0.0,154.6,6.5,19.1,1028.1,0.0
41,2015-02-12,-0.9,-2.0,1.3,0.0,0.0,259.6,15.5,41.8,1024.2,396.0
42,2015-02-13,-0.4,-3.6,3.5,0.0,0.0,277.5,10.8,24.8,1019.6,534.0
43,2015-02-14,-0.4,-2.9,5.5,0.0,0.0,295.4,7.6,20.2,1013.8,354.0
44,2015-02-15,-2.1,-4.6,0.0,0.0,0.0,130.4,11.9,32.0,1016.6,0.0
45,2015-02-16,-0.9,-5.4,3.8,0.0,0.0,120.4,5.0,17.3,1021.4,216.0
46,2015-02-17,-0.3,-3.6,1.1,0.0,0.0,269.2,8.6,24.5,1032.2,0.0
47,2015-02-18,1.4,-0.3,3.1,0.0,0.0,257.9,8.3,33.8,1040.1,0.0
48,2015-02-19,-1.0,-2.0,0.3,0.0,0.0,238.3,22.0,48.6,1030.9,84.0
49,2015-02-20,4.1,-2.0,8.3,0.0,0.0,215.0,18.7,48.6,1014.1,354.0
50,2015-02-21,3.7,0.3,6.3,0.5,0.0,217.9,15.1,50.0,1000.0,66.0
51,2015-02-22,1.5,-1.3,5.7,0.0,0.0,249.6,8.3,20.5,1009.3,144.0
52,2015-02-23,1.3,0.0,2.8,2.1,0.0,220.8,17.3,46.8,1000.6,0.0
53,2015-02-24,3.2,1.6,4.8,0.0,0.0,240.8,17.6,38.9,1007.3,84.0
54,2015-02-25,3.0,-1.0,7.1,0.0,0.0,237.9,10.4,33.5,1018.7,324.0
55,2015-02-26,2.6,-2.8,8.2,0.0,0.0,157.9,9.0,39.6,1019.6,396.0
56,2015-02-27,3.2,1.4,5.8,2.7,0.0,254.6,9.7,28.1,1013.9,78.0
57,2015-02-28,2.2,-1.1,5.9,0.5,0.0,237.9,11.5,35.3,1019.5,348.0
58,2015-03-01,4.3,1.0,7.3,5.9,0.0,228.3,19.1,45.7,1006.0,12.0
59,2015-03-02,4.7,0.0,7.7,0.3,0.0,252.9,22.0,74.2,1004.5,216.0
60,2015-03-03,3.4,0.4,7.7,3.5,0.0,243.3,22.0,68.4,1017.6,210.0
61,2015-03-04,2.5,0.1,5.1,1.9,0.0,255.8,18.7,45.7,1023.6,228.0
62,2015-03-05,2.9,0.8,5.0,0.0,0.0,294.2,12.6,34.2,1034.8,18.0
63,2015-03-06,3.2,0.7,5.1,0.0,0.0,254.6,9.7,27.0,1036.7,54.0
64,2015-03-07,4.8,-1.8,10.1,0.0,0.0,251.3,11.5,33.8,1032.9,504.0
65,2015-03-08,9.0,2.6,14.3,0.0,0.0,259.2,11.2,28.4,1026.2,438.0
66,2015-03-09,6.6,1.1,11.5,0.0,0.0,185.4,10.4,27.4,1026.8,372.0
67,2015-03-10,3.9,-2.1,7.6,1.4,0.0,277.5,6.5,16.6,1027.2,66.0
68,2015-03-11,3.7,-0.5,7.8,0.0,0.0,321.7,8.6,23.8,1030.0,552.0
69,2015-03-12,2.6,-0.8,6.1,0.0,0.0,165.0,12.2,38.5,1031.7,330.0
70,2015-03-13,1.2,0.2,2.7,0.0,0.0,87.1,14.0,37.1,1027.4,24.0
71,2015-03-14,1.6,0.2,2.9,2.2,0.0,75.4,11.2,31.7,1027.3,0.0
72,2015-03-15,3.2,1.4,4.7,0.0,0.0,82.1,20.2,40.7,1027.2,0.0
73,2015-03-16,4.6,-1.8,10.8,0.0,0.0,105.0,15.8,44.3,1026.2,324.0
74,2015-03-17,6.6,-0.9,13.7,0.0,0.0,116.7,10.8,30.6,1026.4,528.0
75,2015-03-18,7.6,1.4,13.9,0.0,0.0,105.8,7.9,27.4,1025.6,648.0
76,2015-03-19,6.6,0.2,13.1,0.0,0.0,116.7,8.3,25.2,1026.4,660.0
77,2015-03-20,5.4,-1.8,12.8,0.0,0.0,196.7,4.0,14.8,1023.7,666.0
78,2015-03-21,1.7,-1.6,4.2,0.7,0.0,278.8,7.9,23.4,1017.5,0.0
79,2015-03-22,-0.1,-2.4,2.7,0.0,0.0,83.3,20.2,43.9,1025.4,0.0
80,2015-03-23,3.9,-2.7,11.5,0.0,0.0,218.8,7.6,24.1,1017.5,402.0
81,2015-03-24,5.6,2.0,10.5,0.0,0.0,222.1,6.8,21.6,1009.5,42.0
82,2015-03-25,8.0,0.1,16.0,0.0,0.0,115.0,15.5,38.2,1005.7,492.0
83,2015-03-26,5.7,3.4,7.3,1.0,0.0,270.4,13.3,41.8,1007.9,0.0
84,2015-03-27,5.2,3.7,7.1,1.0,0.0,253.3,17.6,45.4,1015.7,66.0
85,2015-03-28,6.6,1.7,11.6,0.3,0.0,239.2,14.8,42.1,1018.9,438.0
86,2015-03-29,9.1,5.7,11.1,8.8,0.0,,27.0,75.2,1000.6,6.0
87,2015-03-30,4.8,2.0,8.5,10.9,0.0,268.8,25.9,77.8,1002.1,264.0
88,2015-03-31,6.3,1.5,10.7,4.0,0.0,256.7,31.3,92.9,998.1,276.0
89,2015-04-01,2.1,0.1,7.1,7.8,0.0,273.3,22.7,56.5,1013.4,126.0
90,2015-04-02,2.1,0.3,4.4,4.8,0.0,275.8,20.2,63.4,1013.0,144.0
91,2015-04-03,3.4,-0.1,7.6,0.0,0.0,257.9,11.9,32.8,1019.8,216.0
