,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,1.5,-0.9,4.6,6.6,0.0,171.3,16.9,39.2,1032.3,0.0
1,2015-01-03,1.1,-1.0,2.8,22.1,0.0,167.5,10.8,27.7,1026.2,0.0
2,2015-01-04,3.0,-1.1,5.2,0.0,0.0,206.7,7.6,31.0,1032.8,24.0
3,2015-01-05,1.3,-3.5,4.4,0.0,0.0,138.8,6.8,14.0,1033.9,426.0
4,2015-01-06,-2.7,-5.4,-0.5,0.2,0.0,187.5,4.0,15.1,1026.6,0.0
5,2015-01-07,1.5,-0.5,4.0,0.1,0.0,162.9,10.1,19.4,1030.3,6.0
6,2015-01-08,6.9,1.3,10.4,5.8,0.0,174.6,19.1,48.6,1027.2,0.0
7,2015-01-09,9.3,5.1,13.7,5.3,0.0,198.8,20.9,55.4,1024.7,0.0
8,2015-01-10,13.6,5.5,15.3,2.2,0.0,232.1,23.0,76.0,1016.5,6.0
9,2015-01-11,5.8,4.4,7.4,0.0,0.0,272.5,17.3,55.4,1021.4,126.0
10,2015-01-12,7.1,4.2,8.8,0.0,0.0,205.8,19.4,46.4,1023.1,0.0
11,2015-01-13,11.4,2.9,14.5,1.8,0.0,177.1,20.9,52.2,1013.9,408.0
12,2015-01-14,6.3,1.5,9.7,3.0,0.0,205.8,18.4,73.8,1014.5,54.0
13,2015-01-15,8.6,2.7,10.6,1.5,0.0,163.8,17.3,36.4,1008.7,0.0
14,2015-01-16,6.1,4.8,10.6,12.9,0.0,221.7,7.6,42.5,1007.8,0.0
15,2015-01-17,4.8,-0.3,5.9,1.3,0.0,240.0,5.0,14.4,1015.2,0.0
16,2015-01-18,1.4,-2.9,4.9,0.0,0.0,204.2,9.0,20.5,1017.2,408.0
17,2015-01-19,-0.9,-3.6,0.5,0.7,0.0,180.4,5.0,12.6,1012.6,0.0
18,2015-01-20,0.4,-1.9,2.2,0.1,0.0,245.4,4.7,11.2,1012.5,36.0
19,2015-01-21,1.0,-2.6,3.3,0.0,0.0,102.5,7.6,25.2,1011.8,6.0
20,2015-01-22,1.7,1.3,2.7,0.0,0.0,230.8,10.4,25.6,1014.6,0.0
21,2015-01-23,2.3,-2.3,3.5,0.0,0.0,335.0,8.3,20.5,1023.1,0.0
22,2015-01-24,0.7,-4.9,2.2,3.1,0.0,204.6,6.8,27.7,1023.1,0.0
23,2015-01-25,-0.2,-6.0,2.6,1.9,20.0,165.0,5.8,15.1,1029.6,0.0
24,2015-01-26,1.2,0.3,2.4,7.3,0.0,165.4,13.7,38.2,1024.2,0.0
