,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,-0.7,-2.6,0.8,6.9,240.0,257.1,39.2,73.8,1024.5,0.0
1,2015-01-03,-2.1,-2.3,-1.3,4.0,210.0,262.5,27.0,61.6,1021.8,0.0
2,2015-01-04,-1.6,-2.2,-1.3,0.0,250.0,314.2,39.6,78.1,1028.0,0.0
3,2015-01-05,-2.9,-3.9,-1.7,0.0,250.0,274.6,28.4,54.4,1030.1,252.0
4,2015-01-06,-1.8,-2.8,-0.5,1.4,250.0,239.2,20.9,47.5,1022.5,48.0
5,2015-01-07,-1.6,-3.4,-0.7,1.8,260.0,256.7,25.6,48.6,1025.4,0.0
6,2015-01-08,0.3,-3.4,3.4,17.9,250.0,241.3,38.2,74.9,1020.4,0.0
7,2015-01-09,2.2,0.4,7.5,26.1,180.0,253.3,47.9,96.1,1016.0,0.0
8,2015-01-10,4.9,-1.8,8.0,10.6,60.0,267.5,52.9,104.4,1007.8,0.0
9,2015-01-11,-2.1,-2.7,-0.8,12.4,0.0,267.5,41.4,83.5,1014.2,0.0
10,2015-01-12,0.8,-0.8,2.3,3.3,80.0,247.9,44.6,88.2,1014.2,0.0
11,2015-01-13,3.3,1.7,6.8,8.7,30.0,234.2,45.4,96.5,1006.1,192.0
12,2015-01-14,-1.0,-2.6,1.7,7.6,0.0,241.3,36.0,91.1,1008.3,0.0
13,2015-01-15,1.4,-2.5,3.6,9.8,70.0,205.4,42.5,87.8,1001.9,0.0
14,2015-01-16,0.5,-0.4,1.8,0.3,0.0,232.1,20.2,56.2,1004.6,0.0
15,2015-01-17,-2.2,-4.4,-0.3,0.4,0.0,266.7,19.8,40.0,1012.3,132.0
16,2015-01-18,-4.4,-5.4,-2.9,0.0,0.0,205.4,23.4,41.4,1013.8,18.0
17,2015-01-19,-4.0,-5.0,-3.4,0.2,0.0,177.5,15.5,38.5,1010.3,0.0
18,2015-01-20,-5.2,-7.4,-4.5,0.3,10.0,324.6,7.6,20.2,1010.6,0.0
19,2015-01-21,-5.9,-7.7,-4.3,0.0,10.0,128.8,20.2,43.2,1011.8,60.0
20,2015-01-22,-4.6,-6.5,-2.8,0.0,10.0,67.9,22.0,44.6,1014.9,0.0
21,2015-01-23,-4.8,-5.9,-2.7,0.0,10.0,152.9,12.6,30.6,1022.6,402.0
22,2015-01-24,-4.3,-6.3,-1.7,6.2,10.0,261.3,23.4,54.4,1019.4,0.0
23,2015-01-25,-1.9,-2.6,-1.5,4.5,70.0,300.8,22.0,47.9,1025.7,0.0
24,2015-01-26,-1.5,-2.2,-0.3,10.9,120.0,246.7,26.3,66.6,1018.8,0.0
25,2015-01-27,-1.5,-2.2,-0.9,3.4,190.0,317.5,30.2,70.6,1018.1,0.0
26,2015-01-28,-1.6,-3.2,-0.6,6.9,210.0,242.1,38.9,90.0,1005.8,0.0
27,2015-01-29,-3.1,-4.3,-2.2,11.7,250.0,232.9,35.6,76.0,984.7,0.0
28,2015-01-30,-4.1,-5.1,-2.4,14.3,350.0,260.0,26.6,70.6,973.7,0.0
29,2015-01-31,-3.5,-4.4,-2.7,1.0,480.0,253.8,25.9,56.2,979.9,0.0
30,2015-02-01,-3.8,-5.1,-2.7,2.5,480.0,252.5,19.1,43.9,988.6,12.0
31,2015-02-02,-3.6,-4.1,-3.1,4.3,490.0,285.8,27.4,60.1,996.7,0.0
32,2015-02-03,-4.4,-5.9,-3.2,0.7,520.0,287.9,20.9,48.6,1001.8,12.0
33,2015-02-04,-6.7,-8.1,-4.7,0.0,520.0,122.5,19.8,46.1,1011.9,252.0
34,2015-02-05,-7.7,-8.6,-6.3,0.0,520.0,42.1,24.1,80.3,1020.2,72.0
35,2015-02-06,-7.4,-8.3,-6.2,0.0,520.0,63.3,35.6,81.0,1025.9,336.0
36,2015-02-07,-4.2,-7.9,-1.2,0.5,510.0,192.1,28.4,74.5,1027.5,408.0
37,2015-02-08,-3.9,-5.3,-1.3,1.3,510.0,312.5,36.7,93.2,1025.1,330.0
38,2015-02-09,-0.6,-2.5,0.0,2.2,500.0,310.8,37.4,77.4,1024.8,0.0
39,2015-02-10,-0.4,-1.1,0.0,0.0,450.0,282.1,23.8,60.1,1027.9,0.0
40,2015-02-11,1.2,-2.4,6.0,0.0,420.0,142.9,22.3,36.7,1024.0,390.0
41,2015-02-12,1.1,-2.0,4.6,0.0,330.0,222.9,22.0,36.7,1019.8,540.0
42,2015-02-13,0.3,-2.2,3.4,0.0,320.0,207.1,25.2,48.2,1015.3,504.0
43,2015-02-14,1.3,-1.7,4.3,0.0,310.0,157.5,24.8,50.8,1009.4,450.0
44,2015-02-15,0.2,-3.9,3.9,0.0,300.0,101.3,22.7,41.0,1012.1,552.0
45,2015-02-16,-1.6,-3.6,3.3,0.0,300.0,154.6,18.7,32.8,1017.9,516.0
46,2015-02-17,-2.2,-4.9,-0.7,0.4,300.0,293.8,14.8,30.2,1029.8,0.0
47,2015-02-18,-1.7,-3.3,-0.7,0.0,300.0,237.1,13.3,32.0,1037.5,114.0
48,2015-02-19,-4.1,-5.3,-1.9,0.1,300.0,210.4,23.4,57.6,1027.8,414.0
49,2015-02-20,-0.8,-5.3,1.6,8.2,300.0,212.1,38.5,64.4,1010.1,0.0
50,2015-02-21,-0.9,-2.7,1.1,2.2,280.0,239.2,28.1,67.7,997.0,72.0
51,2015-02-22,-2.1,-3.2,0.2,1.4,290.0,249.6,18.0,63.0,1006.5,234.0
52,2015-02-23,-2.2,-3.6,-0.7,8.3,310.0,213.8,32.0,72.4,996.5,0.0
53,2015-02-24,-1.5,-2.7,-0.5,3.1,390.0,236.3,28.8,58.7,1004.2,0.0
54,2015-02-25,-0.7,-2.0,1.8,0.4,410.0,232.1,20.9,38.5,1015.8,264.0
55,2015-02-26,-0.1,-1.4,1.2,6.3,400.0,197.5,24.1,52.2,1015.6,24.0
56,2015-02-27,-1.0,-2.8,0.6,4.0,440.0,273.8,27.0,58.0,1011.8,0.0
57,2015-02-28,-2.4,-4.7,-0.1,1.0,470.0,236.3,24.8,64.4,1016.6,330.0
58,2015-03-01,0.5,-2.1,3.4,3.4,460.0,227.5,35.6,77.8,1002.1,54.0
59,2015-03-02,-0.7,-3.2,1.8,3.1,430.0,256.3,35.3,78.5,1002.8,168.0
60,2015-03-03,-1.3,-2.9,1.8,6.3,450.0,250.4,32.0,61.6,1015.2,102.0
61,2015-03-04,-2.0,-3.0,-1.2,4.3,480.0,267.9,32.8,65.9,1021.8,0.0
62,2015-03-05,-1.5,-2.9,-0.1,0.0,520.0,315.8,23.8,58.3,1033.9,36.0
63,2015-03-06,-0.6,-2.0,0.5,0.0,520.0,256.3,18.7,43.6,1034.4,0.0
64,2015-03-07,2.0,-0.9,5.6,0.0,500.0,216.3,25.6,40.3,1029.9,102.0
65,2015-03-08,6.6,2.9,11.3,0.0,470.0,216.3,22.7,37.8,1023.3,504.0
66,2015-03-09,4.5,2.8,6.5,0.0,440.0,202.1,16.6,42.8,1024.3,168.0
67,2015-03-10,3.1,-0.3,4.5,0.6,380.0,299.2,22.0,42.8,1025.1,6.0
68,2015-03-11,-0.3,-3.3,3.6,0.0,330.0,308.3,19.4,41.0,1028.7,612.0
69,2015-03-12,1.2,-2.4,4.9,0.0,300.0,62.1,17.6,33.8,1028.6,606.0
