,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,-1.4,-7.4,3.9,3.0,300.0,197.9,4.7,13.7,1035.6,156.0
1,2015-01-03,2.5,0.6,7.9,28.3,190.0,212.1,4.0,36.0,1027.5,72.0
2,2015-01-04,0.5,-1.1,6.8,0.2,70.0,185.4,6.5,49.3,1032.2,0.0
3,2015-01-05,-1.4,-5.1,4.2,0.0,80.0,213.8,4.0,16.2,1035.9,120.0
4,2015-01-06,-2.6,-5.4,4.6,0.0,80.0,232.9,4.7,13.7,1029.2,264.0
5,2015-01-07,-2.0,-6.1,6.0,0.0,80.0,214.2,5.0,23.0,1032.6,216.0
6,2015-01-08,-1.2,-6.2,7.7,0.2,70.0,230.8,4.3,28.1,1033.3,24.0
7,2015-01-09,6.1,0.1,12.8,12.8,70.0,205.8,10.4,70.2,1028.1,0.0
8,2015-01-10,15.6,10.9,19.0,2.6,0.0,256.3,18.0,59.4,1017.1,258.0
9,2015-01-11,4.2,0.5,14.8,7.3,0.0,223.8,13.0,56.9,1021.8,6.0
10,2015-01-12,1.7,-1.9,6.4,0.0,0.0,204.2,5.4,35.3,1028.0,60.0
11,2015-01-13,-0.4,-4.1,9.0,0.0,0.0,244.2,5.0,16.9,1022.2,282.0
12,2015-01-14,1.7,-2.0,7.0,4.3,0.0,190.4,5.8,31.0,1019.6,24.0
13,2015-01-15,0.7,-2.9,7.6,0.0,0.0,237.9,5.0,23.4,1016.2,138.0
14,2015-01-16,3.5,-0.6,10.2,3.8,0.0,239.2,5.4,14.8,1009.2,84.0
15,2015-01-17,0.6,-0.2,2.0,15.8,0.0,151.3,5.0,18.4,1015.8,0.0
16,2015-01-18,0.0,-5.3,3.8,0.0,100.0,137.9,4.0,13.7,1018.1,204.0
17,2015-01-19,-4.2,-7.0,3.7,0.0,80.0,233.3,4.0,12.2,1015.1,306.0
18,2015-01-20,-2.8,-7.2,3.2,0.0,70.0,211.3,4.0,16.6,1013.0,132.0
19,2015-01-21,-4.6,-8.5,1.5,0.0,70.0,197.9,4.7,17.6,1012.9,162.0
20,2015-01-22,-2.3,-5.0,0.8,0.0,70.0,129.2,5.4,22.3,1013.9,96.0
21,2015-01-23,-0.9,-1.6,0.2,0.1,60.0,110.4,6.1,18.0,1022.0,0.0
22,2015-01-24,-0.7,-2.3,0.5,2.0,70.0,111.3,4.7,14.4,1022.8,0.0
23,2015-01-25,-2.4,-4.1,-1.0,4.9,130.0,176.3,5.0,25.2,1029.6,0.0
24,2015-01-26,-2.8,-4.8,2.4,4.8,190.0,202.5,4.0,9.7,1027.5,300.0
25,2015-01-27,-0.8,-1.7,0.7,12.3,250.0,150.0,5.4,21.6,1022.8,0.0
26,2015-01-28,-1.5,-5.0,3.1,7.2,400.0,220.0,3.6,11.9,1017.9,390.0
