,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2020-05-08,10.4,6.0,14.0,,,,,,1017.7,
1,2020-05-09,11.1,8.0,14.0,,,,,,1014.9,
2,2020-05-12,7.2,5.0,9.0,,,,,,1013.2,
3,2020-05-13,7.3,4.0,11.0,,,,,,1012.6,
4,2020-05-14,7.8,6.0,11.0,,,,,,1019.1,
5,2020-05-15,9.5,7.0,12.0,,,,,,1017.9,
6,2020-05-16,10.5,9.0,13.0,,,,,,1017.8,
7,2020-05-17,10.8,9.0,14.0,,,,,,1018.5,
8,2020-05-18,11.0,10.0,12.0,,,,,,1017.8,
9,2020-05-19,11.4,8.0,13.0,,,,,,1019.4,
10,2020-05-20,10.1,4.0,14.0,,,,,,1023.2,
11,2020-05-21,13.8,8.0,19.0,,,,,,1022.8,
12,2020-05-22,15.0,12.0,19.0,,,,,,1016.2,
13,2020-05-23,13.0,12.0,15.0,,,,,,1016.2,
14,2020-05-24,12.6,11.0,15.0,,,,,,1019.7,
15,2020-05-25,10.9,9.0,12.0,,,,,,1031.9,
16,2020-05-26,11.0,8.0,14.0,,,,,,1035.0,
17,2020-05-27,12.0,9.0,15.0,,,,,,1033.9,
18,2020-05-28,11.7,9.0,14.0,,,,,,1033.8,
19,2020-05-30,16.5,13.0,19.0,,,,,,1026.6,
20,2020-05-31,16.4,10.0,21.0,,,,,,1026.7,
21,2020-06-01,17.3,11.0,23.0,,,84.6,20.2,,1026.5,
22,2020-06-02,16.6,13.0,22.0,,,,,,1019.0,
23,2020-06-03,17.6,13.0,23.0,,,,,,1006.0,
24,2020-06-04,13.3,10.0,16.0,,,,,,994.6,
25,2020-06-05,11.2,9.0,14.0,,,,,,989.6,
26,2020-06-06,11.8,9.0,15.0,,,,,,994.3,
27,2020-06-07,12.9,11.0,15.0,,,,,,1002.7,
28,2020-06-08,12.3,10.0,15.0,,,,,,1013.0,
29,2020-06-09,11.7,9.0,14.0,,,,,,1018.7,
30,2020-06-10,14.0,10.0,18.0,,,,,,1018.1,
31,2020-06-11,16.3,13.0,20.0,,,,,,1014.9,
32,2020-06-12,16.6,14.0,18.0,,,,,,1012.5,
33,2020-06-13,17.6,16.0,21.0,,,,,,1013.4,
34,2020-06-14,18.5,15.0,23.0,,,,,,1015.0,
35,2020-06-15,18.3,13.0,23.0,,,,,,1016.3,
36,2020-06-16,17.8,11.0,22.0,,,,,,1014.6,
37,2020-06-17,19.9,15.0,23.0,,,,,,1012.8,
38,2020-06-18,20.4,17.0,24.0,,,,,,1011.5,
39,2020-06-19,16.6,15.0,19.0,,,,,,1013.3,
40,2020-06-20,16.6,15.0,19.0,,,,,,1018.3,
41,2020-06-21,17.6,12.0,22.0,,,,,,1018.6,
42,2020-06-22,17.0,15.0,20.0,,,,,,1021.8,
43,2020-06-23,16.9,13.0,20.0,,,,,,1025.5,
44,2020-06-24,19.9,13.0,24.0,,,,,,1025.7,
45,2020-06-25,22.4,17.0,27.0,,,,,,1022.9,
46,2020-06-26,23.8,18.0,29.0,,,,,,1015.0,
47,2020-06-27,21.7,19.0,27.0,,,,,,1008.3,
48,2020-06-28,18.1,16.0,20.0,,,238.8,28.8,,1008.6,
49,2020-06-29,16.3,14.0,19.0,,,,,,1007.1,
50,2020-06-30,15.3,13.0,17.0,,,,,,1001.8,
51,2020-07-01,16.4,15.0,19.0,,,,,,1002.4,
52,2020-07-02,15.7,14.0,18.0,,,,,,1007.5,
53,2020-07-03,14.8,13.0,17.0,,,,,,1011.9,
54,2020-07-04,15.9,15.0,16.0,,,,,,1006.8,
55,2020-07-05,16.8,15.0,19.0,,,252.6,42.7,,1002.5,
56,2020-07-06,14.5,12.0,17.0,,,,,,1006.4,
57,2020-07-07,13.5,12.0,16.0,,,,,,1014.6,
58,2020-07-08,13.9,12.0,16.0,,,,,,1013.7,
59,2020-07-09,13.6,10.0,16.0,,,,,,1012.8,
60,2020-07-10,13.6,11.0,17.0,,,,,,1011.1,
61,2020-07-11,14.6,13.0,17.0,,,,,,1020.4,
62,2020-07-12,15.3,13.0,18.0,,,,,,1025.7,
63,2020-07-13,15.9,13.0,19.0,,,,,,1022.2,
64,2020-07-14,15.9,14.0,18.0,,,,,,1013.6,
