,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,2.7,0.4,6.2,5.2,0.0,,,,,
1,2015-01-03,0.7,-0.6,1.9,3.8,0.0,,,,,
2,2015-01-04,2.3,1.4,3.5,0.0,0.0,,,,,
3,2015-01-05,0.6,-1.9,2.6,0.0,0.0,,,,,
4,2015-01-06,0.8,-1.7,3.9,1.5,0.0,,,,,
5,2015-01-07,1.8,-0.3,3.7,1.5,0.0,,,,,
6,2015-01-08,3.8,0.6,6.8,23.0,0.0,,,,,
7,2015-01-09,6.2,4.2,11.6,15.0,0.0,,,,,
8,2015-01-10,8.7,2.1,12.0,10.5,0.0,,,,,
9,2015-01-11,2.1,0.6,3.5,4.8,0.0,,,,,
10,2015-01-12,4.5,3.2,5.8,3.4,0.0,,,,,
11,2015-01-13,6.8,4.0,9.4,7.7,0.0,,,,,
12,2015-01-14,2.3,0.7,5.8,7.3,0.0,,,,,
13,2015-01-15,5.7,0.9,8.3,11.5,0.0,,,,,
14,2015-01-16,3.9,1.3,5.9,1.2,0.0,,,,,
15,2015-01-17,0.6,-3.7,3.5,0.0,0.0,,,,,
16,2015-01-18,-0.6,-4.7,3.5,0.0,0.0,,,,,
17,2015-01-19,-0.8,-3.5,1.7,0.0,0.0,,,,,
18,2015-01-20,-0.9,-1.7,0.1,0.0,0.0,,,,,
19,2015-01-21,-2.0,-7.0,0.7,0.0,0.0,,,,,
20,2015-01-22,-2.2,-6.6,0.2,0.0,0.0,,,,,
21,2015-01-23,-2.1,-3.2,-1.3,0.0,0.0,,,,,
22,2015-01-24,-0.7,-2.2,1.5,5.1,0.0,,,,,
23,2015-01-25,1.2,0.4,2.2,3.0,50.0,,,,,
24,2015-01-26,1.4,0.4,3.6,12.4,20.0,,,,,
25,2015-01-27,2.0,0.9,2.7,4.7,0.0,,,,,
26,2015-01-28,1.8,0.3,3.0,8.9,0.0,,,,,
27,2015-01-29,0.3,-0.8,1.2,7.9,10.0,,,,,
28,2015-01-30,-0.8,-2.5,0.5,8.2,100.0,,,,,
29,2015-01-31,-0.7,-5.5,1.2,0.8,200.0,,,,,
30,2015-02-01,-1.0,-4.8,0.8,1.7,190.0,,,,,
31,2015-02-02,0.1,-0.7,0.7,2.9,150.0,,,,,
32,2015-02-03,-1.2,-6.5,1.0,1.5,150.0,,,,,
33,2015-02-04,-3.8,-10.1,1.5,0.0,150.0,,,,,
34,2015-02-05,-3.9,-8.5,-2.2,0.0,150.0,,,,,
35,2015-02-06,-3.2,-8.2,-0.6,0.0,140.0,,,,,
36,2015-02-07,-3.5,-12.3,2.6,2.5,130.0,,,,,
37,2015-02-08,0.8,-2.0,2.6,2.2,120.0,,,,,
38,2015-02-09,2.6,1.2,3.5,5.5,100.0,,,,,
39,2015-02-10,2.9,2.0,3.5,0.3,60.0,,,,,
40,2015-02-11,1.2,-3.4,5.6,0.0,0.0,,,,,
41,2015-02-12,-0.6,-3.9,3.3,0.0,0.0,,,,,
42,2015-02-13,-0.3,-5.1,6.9,0.0,0.0,,,,,
43,2015-02-14,1.4,-4.0,7.4,0.0,0.0,,,,,
44,2015-02-15,1.7,-4.5,10.9,0.0,0.0,,,,,
45,2015-02-16,0.2,-5.2,6.9,0.0,0.0,,,,,
46,2015-02-17,0.9,-0.7,2.5,0.7,0.0,,,,,
47,2015-02-18,1.3,-0.1,2.8,0.0,0.0,,,,,
48,2015-02-19,0.4,-1.9,4.6,0.0,0.0,,,,,
49,2015-02-20,3.4,-1.2,6.8,10.7,0.0,,,,,
50,2015-02-21,2.5,-2.1,4.9,1.3,0.0,,,,,
51,2015-02-22,1.6,-0.5,5.4,1.7,0.0,,,,,
52,2015-02-23,1.2,-0.1,2.2,8.2,40.0,,,,,
53,2015-02-24,1.7,-0.1,3.8,1.5,20.0,,,,,
54,2015-02-25,2.8,0.6,6.8,0.3,10.0,,,,,
55,2015-02-26,4.2,1.4,6.9,6.4,0.0,,,,,
56,2015-02-27,2.5,-1.5,4.2,7.3,0.0,,,,,
57,2015-02-28,1.4,-2.7,5.9,1.1,0.0,,,,,
58,2015-03-01,4.6,2.0,9.2,6.4,0.0,,,,,
59,2015-03-02,3.3,0.1,6.9,4.1,0.0,,,,,
60,2015-03-03,2.3,0.1,6.3,7.4,10.0,,,,,
61,2015-03-04,2.0,0.6,4.3,5.7,0.0,,,,,
62,2015-03-05,2.5,-0.3,5.4,0.0,0.0,,,,,
63,2015-03-06,1.5,-2.7,5.9,0.0,0.0,,,,,
64,2015-03-07,3.3,-2.7,10.9,0.0,0.0,,,,,
65,2015-03-08,6.4,-2.1,16.8,0.0,0.0,,,,,
66,2015-03-09,5.5,-0.6,12.6,0.0,0.0,,,,,
67,2015-03-10,3.6,-1.2,9.3,1.0,0.0,,,,,
68,2015-03-11,2.9,-3.5,8.2,0.0,0.0,,,,,
69,2015-03-12,2.0,-5.1,10.3,0.0,0.0,,,,,
70,2015-03-13,1.7,-3.3,5.3,0.0,0.0,,,,,
71,2015-03-14,0.7,-3.6,3.8,0.7,0.0,,,,,
72,2015-03-15,3.4,1.9,4.8,0.0,0.0,,,,,
73,2015-03-16,4.6,-2.5,11.3,0.0,0.0,,,,,
74,2015-03-17,6.2,-2.0,16.5,0.0,0.0,,,,,
75,2015-03-18,7.7,-1.7,15.9,0.0,0.0,,,,,
76,2015-03-19,5.1,0.6,8.4,0.0,0.0,,,,,
77,2015-03-20,3.1,-0.5,11.6,0.0,0.0,,,,,
78,2015-03-21,2.6,0.3,4.2,3.0,0.0,,,,,
