,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,,,3.3,,,,,,
1,2015-01-03,,,,0.0,,,,,,
2,2015-01-04,,,,0.2,,,,,,
3,2015-01-05,,,,0.0,,,,,,
4,2015-01-06,,,,0.0,,,,,,
5,2015-01-07,,,,0.7,,,,,,
6,2015-01-08,,,,14.0,,,,,,
7,2015-01-09,,,,2.3,,,,,,
8,2015-01-12,,,,1.7,,,,,,
9,2015-01-13,,,,6.0,,,,,,
10,2015-01-14,,,,7.8,,,,,,
11,2015-01-17,,,,0.0,,,,,,
12,2015-01-18,,,,1.6,,,,,,
13,2015-01-19,,,,0.0,,,,,,
14,2015-01-23,,,,0.0,,,,,,
15,2015-01-24,,,,3.9,,,,,,
16,2015-01-25,,,,0.5,,,,,,
17,2015-01-26,,,,4.5,,,,,,
18,2015-01-27,,,,2.0,,,,,,
19,2015-01-28,,,,6.8,,,,,,
20,2015-01-29,,,,7.2,,,,,,
21,2015-01-30,,,,4.2,,,,,,
22,2015-01-31,,,,1.3,,,,,,
23,2015-02-01,,,,0.0,,,,,,
24,2015-02-02,,,,0.8,,,,,,
25,2015-02-03,,,,1.0,,,,,,
26,2015-02-05,,,,0.0,,,,,,
27,2015-02-06,,,,0.0,,,,,,
28,2015-02-07,,,,0.1,,,,,,
29,2015-02-08,,,,0.5,,,,,,
30,2015-02-09,,,,0.9,,,,,,
31,2015-02-10,,,,0.1,,,,,,
32,2015-02-11,,,,0.0,,,,,,
33,2015-02-12,,,,0.0,,,,,,
34,2015-02-13,,,,0.0,,,,,,
35,2015-02-14,,,,0.0,,,,,,
36,2015-02-15,,,,0.0,,,,,,
37,2015-02-16,,,,0.0,,,,,,
38,2015-02-17,,,,0.0,,,,,,
39,2015-02-18,,,,0.0,,,,,,
40,2015-02-19,,,,0.0,,,,,,
41,2015-02-20,,,,3.6,,,,,,
42,2015-02-21,,,,5.0,,,,,,
43,2015-02-22,,,,0.0,,,,,,
44,2015-02-23,,,,4.0,,,,,,
45,2015-02-24,,,,1.8,,,,,,
46,2015-02-25,,,,0.1,,,,,,
47,2015-02-26,,,,0.0,,,,,,
48,2015-02-27,,,,6.9,,,,,,
49,2015-02-28,,,,0.0,,,,,,
50,2015-03-01,,,,2.4,,,,,,
51,2015-03-02,,,,6.5,,,,,,
52,2015-03-03,,,,7.3,,,,,,
53,2015-03-04,,,,1.7,,,,,,
54,2015-03-05,,,,0.0,,,,,,
55,2015-03-06,,,,0.0,,,,,,
56,2015-03-07,,,,0.0,,,,,,
57,2015-03-08,,,,0.0,,,,,,
58,2015-03-09,,,,0.0,,,,,,
59,2015-03-10,,,,1.1,,,,,,
60,2015-03-11,,,,0.0,,,,,,
