,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,-0.5,-2.2,0.8,4.4,90.0,253.3,17.3,49.7,,
1,2015-01-03,-0.6,-1.2,0.3,7.4,80.0,252.9,13.7,51.1,,
2,2015-01-04,-0.9,-1.4,-0.5,2.7,160.0,273.3,15.5,40.7,,
3,2015-01-05,-1.3,-2.5,-0.6,0.0,170.0,270.4,13.7,47.5,,
4,2015-01-06,-2.6,-4.7,2.1,0.0,170.0,140.4,3.6,20.9,,
5,2015-01-07,-1.5,-3.2,-0.8,0.4,160.0,257.1,9.7,33.5,,
6,2015-01-08,1.4,-1.5,5.0,16.4,170.0,247.1,18.4,71.3,,
7,2015-01-09,3.8,1.8,6.5,25.6,80.0,255.8,25.2,70.2,,
8,2015-01-10,8.2,2.0,10.6,9.0,0.0,255.8,27.4,73.1,,
9,2015-01-11,0.2,-0.9,2.1,0.6,0.0,260.8,22.0,55.8,,
10,2015-01-12,1.8,0.2,4.8,0.5,0.0,252.5,23.4,60.8,,
11,2015-01-13,5.7,2.0,9.5,9.6,0.0,228.3,16.2,47.2,,
12,2015-01-14,2.8,-0.8,7.3,4.0,0.0,246.3,16.9,51.1,,
13,2015-01-15,0.9,-1.3,3.1,0.6,10.0,205.8,12.6,44.6,,
14,2015-01-16,2.1,-0.3,4.6,2.7,0.0,186.3,5.8,29.5,,
15,2015-01-17,0.7,-0.1,1.9,3.5,0.0,208.3,4.7,25.6,,
16,2015-01-18,-1.4,-3.8,0.2,0.0,10.0,245.0,4.0,21.6,,
17,2015-01-19,-0.7,-1.3,0.4,0.1,0.0,132.1,5.8,23.4,,
18,2015-01-20,-1.4,-2.5,-0.4,2.1,0.0,172.9,6.1,19.4,,
19,2015-01-21,-2.4,-5.1,-0.9,0.0,10.0,107.9,9.7,34.6,,
20,2015-01-22,-0.6,-1.6,0.7,0.1,10.0,64.2,13.3,31.0,,
21,2015-01-23,-2.5,-3.2,-1.3,0.2,10.0,56.7,7.2,24.5,,
22,2015-01-24,-3.2,-4.3,-2.4,1.0,10.0,234.2,8.3,38.9,,
23,2015-01-25,-1.5,-2.8,-0.7,2.6,20.0,275.0,9.7,30.2,,
24,2015-01-26,-1.3,-1.7,-0.7,4.6,60.0,248.3,11.9,35.6,,
25,2015-01-27,-1.0,-1.4,-0.4,2.0,150.0,270.0,13.3,41.0,,
26,2015-01-28,-0.8,-1.2,0.1,1.8,170.0,235.4,15.5,50.4,,
27,2015-01-29,-1.2,-2.4,0.2,15.1,200.0,226.7,15.8,48.2,,
28,2015-01-30,-2.0,-3.4,-0.4,2.1,350.0,230.0,15.1,52.2,,
29,2015-01-31,-2.7,-3.7,-1.9,4.2,370.0,245.8,11.9,36.7,,
30,2015-02-01,-2.5,-4.2,-1.7,0.6,380.0,227.9,9.0,30.6,,
31,2015-02-02,-2.2,-3.0,-1.4,3.1,380.0,260.0,11.5,33.8,,
32,2015-02-03,-4.0,-8.5,-2.0,0.0,380.0,257.9,9.7,32.8,,
