,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,4.6,2.5,6.7,1.7,0.0,232.9,24.5,55.8,1021.9,0.0
1,2015-01-03,3.6,2.1,5.0,0.5,0.0,245.8,25.2,59.8,1019.7,0.0
2,2015-01-04,3.2,1.0,5.2,1.0,0.0,290.8,28.1,63.0,1022.8,162.0
3,2015-01-05,2.4,1.2,3.4,2.4,0.0,286.7,22.0,52.2,1028.0,0.0
4,2015-01-06,1.5,0.1,2.5,0.0,0.0,179.2,9.4,27.4,1026.9,12.0
5,2015-01-07,2.0,-0.4,4.1,1.0,0.0,210.8,11.5,26.3,1026.0,0.0
6,2015-01-08,4.0,0.4,7.3,11.1,0.0,208.8,15.8,66.6,1021.7,0.0
7,2015-01-09,6.9,4.2,9.7,10.7,0.0,255.4,30.6,84.6,1013.9,0.0
8,2015-01-10,10.0,4.9,14.6,2.5,0.0,257.5,31.3,83.2,1004.2,6.0
9,2015-01-11,3.3,0.4,5.1,11.5,0.0,259.2,28.4,68.8,1010.2,18.0
10,2015-01-12,5.7,2.0,7.3,0.8,0.0,235.8,23.8,52.9,1014.9,0.0
11,2015-01-13,10.1,6.8,12.6,0.2,0.0,216.7,22.0,62.3,1009.3,366.0
12,2015-01-14,6.6,1.8,9.6,1.0,0.0,228.8,18.7,58.0,1009.7,174.0
13,2015-01-15,4.7,-0.6,10.6,1.0,0.0,185.8,17.3,42.8,1009.6,0.0
14,2015-01-16,7.9,4.5,10.8,3.9,0.0,186.7,11.5,41.4,1007.3,0.0
15,2015-01-17,2.9,-2.3,5.1,0.0,0.0,250.8,8.6,31.3,1012.9,0.0
16,2015-01-18,-0.5,-3.0,4.4,0.0,0.0,180.0,7.9,30.6,1017.8,426.0
17,2015-01-19,-0.7,-5.0,1.9,0.4,0.0,141.7,5.0,18.4,1014.7,0.0
18,2015-01-20,1.0,0.2,3.0,1.5,0.0,144.2,5.0,18.0,1012.0,0.0
19,2015-01-21,0.0,-1.3,2.0,0.0,0.0,193.8,7.9,26.3,1016.2,216.0
20,2015-01-22,-0.1,-1.1,0.5,3.2,0.0,50.0,11.9,28.8,1017.5,0.0
21,2015-01-23,-0.5,-1.0,0.0,1.2,10.0,117.1,11.2,22.3,1023.7,0.0
22,2015-01-24,-0.4,-1.1,0.7,0.3,20.0,171.3,7.6,21.2,1021.2,0.0
23,2015-01-25,1.0,-0.2,1.6,0.0,0.0,279.6,11.5,28.1,1024.9,0.0
24,2015-01-26,2.1,0.5,4.9,6.2,0.0,201.7,11.9,36.0,1020.6,78.0
25,2015-01-27,2.9,1.5,3.5,1.7,0.0,275.0,19.1,42.8,1014.3,0.0
26,2015-01-28,3.3,1.2,5.3,1.7,0.0,227.5,18.4,58.0,1008.7,30.0
27,2015-01-29,2.4,0.4,4.8,1.0,0.0,206.3,19.1,53.3,989.6,240.0
