,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,,,8.1,,,,,,
1,2015-01-03,,,,4.4,,,,,,
2,2015-01-04,,,,1.7,,,,,,
3,2015-01-05,,,,0.2,,,,,,
4,2015-01-06,,,,0.0,,,,,,
5,2015-01-07,,,,0.4,,,,,,
6,2015-01-08,,,,21.8,,,,,,
7,2015-01-09,,,,7.9,,,,,,
8,2015-01-10,,,,21.8,,,,,,
9,2015-01-11,,,,1.9,,,,,,
10,2015-01-12,,,,3.5,,,,,,
11,2015-01-13,,,,0.1,,,,,,
12,2015-01-14,,,,17.3,,,,,,
13,2015-01-15,,,,0.1,,,,,,
14,2015-01-16,,,,10.2,,,,,,
15,2015-01-17,,,,2.9,,,,,,
16,2015-01-18,,,,0.0,,,,,,
17,2015-01-19,,,,0.1,,,,,,
18,2015-01-20,,,,3.4,,,,,,
19,2015-01-21,,,,0.0,,,,,,
20,2015-01-22,,,,0.1,,,,,,
21,2015-01-23,,,,0.1,,,,,,
22,2015-01-24,,,,1.0,,,,,,
23,2015-01-25,,,,2.7,,,,,,
24,2015-01-26,,,,5.9,,,,,,
25,2015-01-27,,,,2.2,,,,,,
26,2015-01-28,,,,5.5,,,,,,
27,2015-01-29,,,,10.5,,,,,,
28,2015-01-30,,,,11.4,,,,,,
29,2015-01-31,,,,6.1,,,,,,
30,2015-02-01,,,,2.2,,,,,,
31,2015-02-02,,,,3.7,,,,,,
32,2015-02-03,,,,0.8,,,,,,
33,2015-02-04,,,,0.0,,,,,,
34,2015-02-05,,,,1.4,,,,,,
35,2015-02-06,,,,0.0,,,,,,
36,2015-02-07,,,,0.0,,,,,,
37,2015-02-08,,,,1.1,,,,,,
38,2015-02-09,,,,1.0,,,,,,
39,2015-02-10,,,,0.1,,,,,,
40,2015-02-11,,,,0.0,,,,,,
41,2015-02-12,,,,0.0,,,,,,
42,2015-02-13,,,,0.0,,,,,,
43,2015-02-14,,,,0.0,,,,,,
44,2015-02-15,,,,0.0,,,,,,
45,2015-02-16,,,,0.0,,,,,,
46,2015-02-17,,,,0.0,,,,,,
47,2015-02-18,,,,0.0,,,,,,
48,2015-02-19,,,,0.0,,,,,,
49,2015-02-20,,,,0.0,,,,,,
50,2015-02-21,,,,0.3,,,,,,
51,2015-02-22,,,,0.0,,,,,,
