,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-03,1.0,0.0,2.0,,,,6.7,,,
1,2015-01-04,0.7,0.0,1.4,,,,15.1,,,
2,2015-01-05,0.1,-3.0,2.1,,,,10.5,,,
3,2015-01-06,-1.8,-4.0,2.0,,,,2.4,,1028.1,
4,2015-01-07,-1.0,-5.7,1.6,,,,3.7,,1030.0,
5,2015-01-08,2.0,-1.1,7.0,,,,5.9,,,
6,2015-01-09,5.6,3.7,7.9,,,,17.6,,,
7,2015-01-10,10.3,5.0,12.4,,,257.1,23.5,,,
8,2015-01-11,2.4,1.1,4.7,,,261.3,16.8,,,
9,2015-01-12,3.9,2.0,6.1,,,,15.6,,,
10,2015-01-13,5.1,-2.1,10.1,,,,8.6,,1016.4,
11,2015-01-14,4.7,1.5,7.1,,,,10.2,,1014.1,
12,2015-01-15,1.6,-2.4,4.6,,,,5.8,,,
13,2015-01-16,2.0,-1.0,5.8,,,,2.1,,1009.3,
14,2015-01-17,1.9,0.0,4.0,,,,2.5,,,
15,2015-01-18,1.4,0.0,3.0,,,,2.3,,,
16,2015-01-19,0.7,-1.3,2.4,,,,3.5,,,
17,2015-01-20,-0.1,-0.6,0.4,,,,3.2,,,
18,2015-01-21,-0.4,-1.5,1.3,,,,5.5,,1013.8,
19,2015-01-22,2.0,0.0,4.0,,,,6.8,,,
20,2015-01-24,-0.8,-1.5,0.0,,,,7.4,,,
21,2015-01-25,0.1,-1.0,2.1,,,,9.8,,,
22,2015-01-26,0.2,-0.4,1.1,,,,4.1,,,
23,2015-01-27,0.3,-0.3,1.0,,,,10.5,,,
24,2015-01-28,0.6,0.0,2.0,,,,8.9,,,
25,2015-01-31,-1.8,-5.0,0.0,,,,6.2,,,
26,2015-02-01,-1.6,-5.3,0.0,,,,4.5,,,
27,2015-02-02,-0.6,-2.0,0.3,,,,5.6,,,
28,2015-02-03,-2.2,-8.0,0.0,,,,4.3,,1004.6,
29,2015-02-04,-5.2,-10.0,-1.0,,,,1.4,,,
30,2015-02-05,-3.2,-6.0,-2.0,,,,8.0,,1019.2,
31,2015-02-06,-2.9,-6.0,0.0,,,,11.3,,1024.2,
32,2015-02-07,-5.6,-12.0,0.0,,,,4.4,,1028.8,
33,2015-02-08,-1.1,-4.0,0.0,,,,14.8,,,
34,2015-02-10,1.5,0.0,3.0,,,,6.7,,1029.7,
35,2015-02-11,0.1,0.0,1.0,,,,4.7,,,
36,2015-02-12,-1.6,-3.0,0.0,,,,7.6,,,
37,2015-02-13,-2.0,-3.0,0.0,,,,7.1,,,
38,2015-02-14,-2.0,-4.0,1.0,,,,7.3,,1015.9,
39,2015-02-15,-1.0,-5.0,2.0,,,,7.8,,1015.7,
40,2015-02-17,-1.0,-7.1,7.3,,,,4.2,,1031.3,
41,2015-02-18,-0.1,-1.3,0.6,,,,3.1,,1040.7,
42,2015-02-19,-2.4,-3.3,-1.6,,,,6.8,,,
43,2015-02-20,0.3,-3.8,7.3,,,,6.2,,1020.1,
44,2015-02-21,0.6,-6.2,8.8,,,,4.9,,1003.5,
45,2015-02-22,1.1,-3.6,6.4,,,,4.3,,1009.1,
46,2015-02-23,-1.3,-6.9,3.0,,,,6.1,,1004.8,
47,2015-02-24,2.5,-1.0,5.0,,,,5.8,,,
48,2015-02-25,-0.1,-4.0,4.0,,,,2.0,,1020.1,
49,2015-02-26,-1.1,-7.0,7.0,,,,1.7,,,
50,2015-02-27,-0.6,-8.0,8.0,,,,2.8,,1014.5,
51,2015-02-28,0.7,-4.0,5.0,,,,2.4,,1020.5,
52,2015-03-01,1.1,-4.0,6.0,,,,6.5,,,
53,2015-03-02,4.2,2.0,6.0,,,,12.0,,,
54,2015-03-03,3.2,0.0,8.0,,,,11.9,,1020.5,
55,2015-03-04,3.3,1.0,5.0,,,,12.8,,,
56,2015-03-05,2.0,0.0,6.0,,,,10.4,,,
57,2015-03-06,1.3,-4.0,5.0,,,,2.6,,,
58,2015-03-07,2.2,-4.5,10.0,,,,3.5,,1035.2,
59,2015-03-09,4.8,-2.8,15.7,,,,2.6,,1026.6,
60,2015-03-11,4.5,2.0,7.0,,,,6.7,,,
61,2015-03-12,3.0,-3.0,7.3,,,,,,1029.8,
62,2015-03-13,0.8,-4.1,4.0,,,,2.3,,1025.6,
63,2015-03-15,2.9,0.9,5.4,,,,7.4,,,
64,2015-03-16,6.6,0.8,13.1,,,,9.3,,1025.5,
65,2015-03-18,6.7,-1.9,15.6,,,,5.0,,1024.9,
66,2015-03-19,4.6,-3.6,14.0,,,,1.4,,1025.6,
67,2015-03-20,3.5,-4.3,13.3,,,,0.8,,,
68,2015-03-21,3.3,-5.4,12.5,,,,7.7,,1016.2,
69,2015-03-22,4.5,-1.1,9.0,,,,6.5,,,
70,2015-03-23,3.8,-2.5,10.7,,,,3.3,,1018.1,
71,2015-03-24,5.0,-1.2,12.8,,,,3.6,,1010.2,
72,2015-03-25,8.2,-2.0,17.4,,,,6.3,,1005.2,
73,2015-03-26,6.6,4.5,8.5,,,,6.3,,,
74,2015-03-27,5.1,3.5,7.7,,,,10.6,,,
75,2015-03-28,6.4,1.6,10.8,,,,6.8,,1020.3,
76,2015-03-30,5.9,2.3,9.7,,,267.1,20.9,,,
77,2015-03-31,6.0,1.0,11.0,,,231.7,20.2,,,
78,2015-04-01,2.6,0.0,5.5,,,270.8,21.2,,,
79,2015-04-02,2.0,0.5,5.4,,,,16.8,,1013.4,
80,2015-04-03,2.5,-1.3,8.1,,,,8.4,,1020.6,
81,2015-04-04,1.6,-3.8,7.5,,,,,,1015.8,
82,2015-04-05,1.8,-5.3,7.5,,,,3.8,,1021.8,
83,2015-04-06,1.4,-2.8,6.9,,,,5.4,,1027.0,
84,2015-04-07,3.6,-4.3,11.0,,,,5.5,,1035.0,
85,2015-04-30,8.0,1.1,14.6,,,,6.0,,,
86,2015-05-01,8.2,6.9,9.6,,,,3.7,,1008.6,
87,2015-05-02,9.5,6.0,13.9,,,,2.8,,1010.9,
88,2015-05-04,16.8,13.1,22.0,,,,6.7,,,
89,2015-05-05,18.3,14.0,24.0,,,,7.0,,1006.8,
90,2015-05-06,14.4,10.0,18.0,,,,7.5,,1013.8,
91,2015-05-07,10.6,3.0,16.0,,,,7.6,,1019.2,
92,2015-05-08,12.0,3.0,20.0,,,,2.6,,1016.7,
93,2015-05-09,13.6,9.0,18.0,,,,6.0,,1018.0,
94,2015-05-12,17.3,6.0,26.0,,,,6.2,,,
95,2015-05-13,14.5,9.0,20.0,,,,4.9,,1017.2,
96,2015-05-14,13.7,9.0,18.0,,,,6.6,,1010.5,
97,2015-05-15,14.1,9.0,20.0,,,,3.7,,1012.6,
98,2015-05-16,12.4,2.0,20.0,,,,8.0,,1020.9,
99,2015-05-17,12.8,9.0,17.0,,,,10.4,,1023.1,
100,2015-05-18,12.8,2.0,22.0,,,,5.7,,,
101,2015-05-19,12.5,5.0,17.0,,,,6.8,,1008.1,
102,2015-05-20,9.9,8.0,12.0,,,,4.0,,1013.8,
103,2015-05-21,10.2,5.0,15.0,,,,3.4,,1022.1,
104,2015-05-22,11.7,1.0,19.0,,,,3.6,,1024.6,
105,2015-05-23,12.3,2.0,19.0,,,,3.5,,1018.8,
106,2015-05-24,14.3,11.0,16.0,,,,3.3,,1017.8,
107,2015-05-25,13.0,10.0,20.0,,,,4.3,,,
108,2015-05-26,11.2,8.0,14.0,,,,8.9,,,
109,2015-05-27,9.3,7.4,11.6,,,,8.7,,1022.0,
110,2015-05-29,13.6,7.0,18.0,,,,4.4,,,
111,2015-05-31,12.4,3.0,20.0,,,,5.1,,1017.0,
112,2015-06-01,14.9,10.0,23.0,,,,5.0,,1015.7,
113,2015-06-02,16.8,9.0,24.0,,,,7.8,,,
114,2015-06-03,18.9,9.0,25.8,,,,9.5,,1019.9,
115,2015-06-04,18.8,9.5,26.5,,,,2.4,,1024.8,
116,2015-06-05,20.5,8.8,30.0,,,,3.8,,1021.7,
117,2015-06-06,22.7,11.2,31.9,,,,4.0,,1019.8,
118,2015-06-07,20.6,17.0,25.0,,,,6.5,,,
119,2015-06-08,14.6,11.6,16.2,,,,3.6,,1022.4,
120,2015-06-09,12.0,10.8,13.8,,,,4.6,,,
