,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.4,5.0,8.8,1.1,0.0,249.2,31.0,67.3,1020.9,60.0
1,2015-01-03,4.1,3.0,5.3,0.3,0.0,255.4,25.2,52.9,1020.1,0.0
2,2015-01-04,3.4,2.4,5.6,0.8,0.0,277.1,23.0,48.2,1027.3,138.0
3,2015-01-05,2.5,1.2,3.6,0.0,0.0,248.3,14.8,42.1,1030.4,0.0
4,2015-01-06,2.5,0.9,3.9,0.3,0.0,152.9,11.2,27.0,1023.7,0.0
5,2015-01-07,4.1,2.9,6.1,0.4,0.0,240.0,15.5,37.1,1024.7,66.0
6,2015-01-08,5.3,2.8,7.4,10.9,0.0,222.5,20.5,55.4,1019.3,0.0
7,2015-01-09,7.5,5.6,9.9,7.8,0.0,252.5,31.7,80.3,1013.0,0.0
8,2015-01-10,9.7,4.1,12.3,2.4,0.0,258.3,34.6,88.9,1004.6,0.0
9,2015-01-11,4.2,2.6,6.0,1.8,0.0,258.3,31.0,85.3,1010.6,66.0
10,2015-01-12,7.3,5.7,9.4,1.8,0.0,240.4,30.6,66.6,1011.7,0.0
11,2015-01-13,9.3,7.0,12.1,5.6,0.0,225.0,25.6,63.7,1004.8,0.0
12,2015-01-14,4.7,2.4,7.6,0.3,0.0,235.8,22.0,58.7,1007.2,108.0
13,2015-01-15,7.1,2.6,10.5,0.7,0.0,190.0,31.0,70.9,1001.5,0.0
14,2015-01-16,6.6,4.3,8.3,0.0,0.0,206.7,16.6,47.5,1004.8,108.0
15,2015-01-17,2.8,-1.2,5.4,0.0,0.0,237.5,11.9,31.0,1012.9,324.0
16,2015-01-18,1.4,-0.5,3.6,0.0,0.0,174.2,13.0,29.5,1014.4,0.0
17,2015-01-19,0.5,-1.1,3.1,0.0,0.0,122.5,7.9,20.5,1012.7,42.0
18,2015-01-20,-1.1,-3.5,1.1,0.0,0.0,273.8,5.4,16.6,1012.2,0.0
19,2015-01-21,-2.3,-5.1,2.1,0.0,0.0,96.7,10.1,35.3,1015.5,186.0
20,2015-01-22,-0.6,-1.9,0.9,0.0,0.0,45.4,14.0,27.7,1019.2,0.0
21,2015-01-23,-0.6,-1.4,-0.2,0.0,0.0,172.9,8.6,27.0,1025.4,12.0
22,2015-01-24,-0.9,-3.3,1.0,2.0,0.0,210.4,13.3,27.7,1019.5,6.0
