,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,8.5,6.0,10.5,,,,66.6,100.8,1016.3,114.0
1,2015-01-03,7.3,5.2,8.0,,,,54.0,79.6,1017.2,0.0
2,2015-01-04,7.1,4.5,7.6,,,,42.8,77.4,1028.1,270.0
3,2015-01-05,6.7,5.6,7.7,,,,36.0,60.5,1027.5,0.0
4,2015-01-06,6.2,4.5,7.9,,,,34.6,58.0,1020.0,0.0
5,2015-01-07,7.4,5.9,8.1,,,,42.8,84.6,1020.4,216.0
6,2015-01-08,7.8,5.8,8.9,,,,45.7,84.6,1014.4,0.0
7,2015-01-09,8.2,6.6,9.9,,,,58.3,108.7,1007.2,0.0
8,2015-01-10,8.8,5.2,10.9,,,,67.7,107.6,1000.2,78.0
9,2015-01-11,6.8,3.5,8.0,,,,65.2,97.9,1007.2,54.0
10,2015-01-12,8.3,7.2,9.4,,,,56.5,89.6,1004.6,0.0
11,2015-01-13,7.5,,,,,,37.8,,998.7,
12,2015-03-20,4.8,4.1,6.2,,,,,50.8,,6.0
13,2015-03-21,5.4,3.6,6.3,,,,36.7,64.8,1019.0,108.0
14,2015-03-22,3.3,1.9,5.4,,,,22.0,42.1,1027.4,480.0
15,2015-03-23,5.3,4.3,5.9,,,,31.7,48.2,1014.2,138.0
16,2015-03-24,5.9,5.3,6.4,,,,15.8,30.2,1007.9,0.0
17,2015-03-25,5.2,4.1,6.0,,,,25.2,56.5,1007.1,0.0
18,2015-03-26,5.2,3.9,6.2,,,,32.0,60.5,1004.3,108.0
19,2015-03-27,6.0,5.1,6.4,,,,25.6,54.4,1012.1,222.0
20,2015-03-28,6.2,3.5,8.1,,,,35.3,66.2,1011.0,180.0
21,2015-03-29,6.7,5.3,7.7,,,,36.4,69.1,991.4,48.0
22,2015-03-30,5.9,2.6,6.8,,,,51.8,102.2,995.9,486.0
23,2015-03-31,6.2,3.2,8.1,,,,65.2,115.2,988.6,204.0
24,2015-04-01,5.1,2.7,6.4,,,,48.2,95.0,1007.9,360.0
25,2015-04-02,5.0,2.0,6.5,,,,38.2,74.2,1012.3,528.0
26,2015-04-03,5.7,5.1,7.6,,,,16.6,40.3,1019.6,570.0
27,2015-04-04,5.4,4.4,5.8,,,,24.8,45.7,1020.9,564.0
28,2015-04-05,5.8,5.2,6.4,,,,18.0,30.2,1026.0,570.0
29,2015-04-06,6.3,5.7,7.0,,,,12.6,32.0,1030.8,462.0
30,2015-04-07,5.6,4.1,6.9,,,,22.3,43.6,1033.9,6.0
31,2015-04-08,6.2,4.6,6.9,,,,14.8,28.4,1033.6,6.0
32,2015-04-09,5.9,3.6,8.3,,,,6.8,17.6,1028.5,576.0
33,2015-04-10,6.5,3.5,9.2,,,,13.3,22.0,1020.5,606.0
34,2015-04-11,8.1,6.4,9.9,,,,31.7,67.0,1014.5,360.0
35,2015-04-12,7.8,5.9,10.0,,,,41.0,83.2,1021.4,360.0
36,2015-04-13,6.8,6.5,7.1,,,,27.4,53.3,1027.9,732.0
37,2015-04-14,7.8,6.9,8.7,,,,29.5,44.6,1021.9,114.0
38,2015-04-15,8.1,6.6,9.0,,,,28.1,41.0,1014.3,636.0
39,2015-04-16,7.0,5.6,8.1,,,,19.4,33.5,1017.2,804.0
40,2015-04-17,7.0,5.7,7.9,,,,25.9,44.3,1020.9,750.0
41,2015-04-18,6.7,5.8,7.4,,,,23.0,38.2,1028.0,480.0
42,2015-04-19,7.4,6.8,8.0,,,,16.2,42.1,1023.9,390.0
43,2015-04-20,7.6,6.8,8.5,,,,17.6,27.4,1029.9,810.0
44,2015-04-21,7.2,6.1,8.0,,,,28.1,50.8,1031.9,480.0
45,2015-04-22,7.4,6.5,7.9,,,,31.0,59.8,1027.7,252.0
46,2015-04-23,6.7,6.1,7.2,,,,13.7,26.3,1020.0,144.0
47,2015-04-24,7.7,6.2,9.5,,,,14.8,32.0,1010.9,420.0
48,2015-04-25,8.8,7.3,9.5,,,,28.1,44.3,1004.4,12.0
49,2015-04-26,7.1,6.1,7.7,,,,15.1,33.8,1007.4,366.0
50,2015-04-27,6.6,5.9,7.7,,,,19.8,37.4,1009.6,840.0
51,2015-04-28,6.5,3.5,8.3,,,,27.0,67.0,1013.5,510.0
52,2015-04-29,8.1,6.2,10.1,,,,31.3,56.2,1013.9,468.0
53,2015-04-30,7.9,5.7,8.9,,,,29.5,49.3,1008.7,618.0
54,2015-05-01,7.4,6.5,8.5,,,,23.0,44.6,1008.6,483.0
55,2015-05-02,7.1,6.6,7.8,,,,15.5,31.0,1013.0,659.0
56,2015-05-03,9.1,7.1,11.9,,,,36.0,55.8,1003.5,365.0
57,2015-05-04,10.1,9.1,11.6,,,,27.4,49.0,1004.1,429.0
58,2015-05-05,15.5,10.4,14.2,,,,41.0,72.7,997.0,389.0
59,2015-05-06,10.4,9.1,11.6,,,,41.8,78.1,1004.7,567.0
60,2015-05-07,9.1,8.3,10.5,,,,31.3,65.9,1013.1,597.0
61,2015-05-08,9.4,8.0,10.7,,,,20.9,43.6,1016.9,531.0
62,2015-05-09,10.3,7.9,11.6,,,,42.1,81.0,1011.1,101.0
63,2015-05-10,9.3,8.0,11.7,,,,29.2,75.6,1023.8,640.0
64,2015-05-11,11.7,10.6,13.8,,,,27.7,43.2,1018.7,618.0
65,2015-05-12,10.6,9.1,11.6,,,,,55.8,1014.3,382.0
66,2015-05-13,9.4,8.5,10.8,,,,33.8,54.4,1016.4,628.0
67,2015-05-14,8.1,6.9,9.0,,,,20.9,39.2,1014.9,70.0
68,2015-05-15,7.6,7.0,8.6,,,,19.8,41.8,1018.7,37.0
69,2015-05-16,9.6,7.8,10.6,,,,34.2,51.1,1018.7,275.0
70,2015-05-17,10.0,9.4,10.6,,,,34.9,60.5,1020.5,816.0
71,2015-05-18,10.2,9.0,11.4,,,,35.3,70.6,1006.1,0.0
72,2015-05-19,9.9,7.8,10.6,,,,35.3,64.8,1001.7,666.0
73,2015-05-20,9.6,7.8,10.3,,,,29.2,51.1,1011.1,645.0
74,2015-05-21,9.9,8.6,11.0,,,,25.9,48.6,1022.4,577.0
75,2015-05-22,11.2,9.4,11.9,,,,21.2,40.0,1023.1,758.0
76,2015-05-23,9.4,8.8,9.9,,,,22.7,41.8,1023.4,300.0
77,2015-05-24,9.8,8.5,11.3,,,,20.2,40.7,1019.0,490.0
78,2015-05-25,10.1,9.1,11.2,,,,20.5,42.8,1015.4,493.0
79,2015-05-26,9.7,8.4,10.4,,,,31.0,44.6,1019.3,378.0
80,2015-05-27,10.7,9.8,12.2,,,,22.0,42.5,1020.1,214.0
81,2015-05-28,11.1,10.3,12.2,,,,36.0,53.6,1009.8,623.0
82,2015-05-29,10.9,8.3,11.7,,,,33.5,73.1,1005.3,129.0
83,2015-05-30,9.8,8.1,11.6,,,,35.3,59.0,1009.1,671.0
84,2015-05-31,11.5,10.4,12.7,,,,36.0,58.0,1006.8,8.0
85,2015-06-01,11.2,10.2,12.5,,,,33.5,55.4,1012.1,776.0
86,2015-06-02,12.7,10.8,14.0,,,,57.2,100.1,1002.5,9.0
87,2015-06-03,11.8,11.0,13.3,,,,33.8,58.0,1017.7,795.0
88,2015-06-04,12.3,11.1,13.2,,,,15.1,37.1,1028.4,961.0
89,2015-06-05,14.6,12.8,19.6,,,,23.0,50.8,1018.5,566.0
90,2015-06-06,12.8,11.8,15.7,,,,30.6,52.9,1020.5,853.0
91,2015-06-07,11.8,10.5,13.2,,,,27.0,44.3,1028.8,855.0
92,2015-06-08,10.6,10.0,11.1,,,,27.4,48.2,1032.1,517.0
93,2015-06-09,10.6,9.5,11.7,,,,28.4,45.7,1031.9,116.0
94,2015-06-10,11.3,10.7,11.7,,,,27.4,37.1,1030.2,927.0
95,2015-06-11,11.8,11.2,12.4,,,,20.5,33.8,1023.8,819.0
96,2015-06-12,14.2,12.3,15.3,,,,20.9,35.3,1013.8,936.0
97,2015-06-13,14.3,12.1,16.2,,,,29.9,58.7,1006.6,115.0
98,2015-06-14,11.5,9.9,12.8,,,,20.9,39.6,1013.0,0.0
99,2015-06-15,11.0,10.1,11.9,,,,25.6,39.6,1021.4,483.0
100,2015-06-16,11.9,11.1,12.7,,,,23.0,43.6,1025.0,561.0
101,2015-06-17,13.1,12.2,14.4,,,,32.0,64.4,1018.8,0.0
102,2015-06-18,12.2,9.5,13.3,,,,33.1,62.6,1014.3,279.0
103,2015-06-19,11.5,9.8,12.2,,,,34.6,53.3,1015.5,119.0
104,2015-06-21,12.7,11.5,13.7,,,,,43.9,,13.0
105,2015-06-22,12.4,11.6,13.1,,,,21.2,39.2,1006.2,556.0
106,2015-06-23,12.0,11.5,12.5,,,,33.8,60.8,1010.3,30.0
107,2015-06-24,12.5,11.2,14.0,,,,29.2,48.2,1018.4,110.0
108,2015-06-25,14.1,12.8,16.5,,,,8.3,22.0,1020.8,521.0
