,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.8,,,1.4,0.0,,,,1008.8,90.0
1,2015-01-03,5.2,,,9.2,0.0,,,,1010.3,0.0
2,2015-01-04,4.6,,,0.0,0.0,,,,1021.0,318.0
3,2015-01-05,5.9,,,0.1,0.0,,,,1023.8,0.0
4,2015-01-06,3.6,,,0.6,0.0,,,,1019.5,0.0
5,2015-01-07,5.2,,,2.7,0.0,,,,1017.2,156.0
6,2015-01-08,5.8,,,3.0,0.0,,,,1010.5,0.0
7,2015-01-09,6.7,,,7.5,0.0,,,,1001.2,0.0
8,2015-01-10,7.5,,,3.8,0.0,,,,992.7,12.0
9,2015-01-11,4.7,,,5.1,0.0,,,,999.4,24.0
10,2015-01-12,7.1,,,7.0,0.0,,,,1000.4,0.0
11,2015-01-13,6.2,,,10.8,0.0,,,,996.5,0.0
12,2015-01-14,3.3,,,2.6,0.0,,,,999.3,84.0
13,2015-01-15,5.3,,,12.8,0.0,,,,992.6,0.0
14,2015-01-16,5.8,,,4.8,0.0,,,,996.8,36.0
15,2015-01-17,3.6,,,0.0,0.0,,,,1005.9,216.0
16,2015-01-18,1.9,,,0.5,0.0,,,,1009.0,0.0
17,2015-01-19,0.8,,,1.4,0.0,,,,1009.7,0.0
18,2015-01-20,0.3,,,0.1,0.0,,,,1009.3,0.0
19,2015-01-21,-1.1,,,0.0,0.0,,,,1013.5,0.0
20,2015-01-22,-1.5,,,0.0,0.0,,,,1019.4,336.0
21,2015-01-23,-3.3,,,0.0,0.0,,,,1022.3,0.0
22,2015-01-24,0.0,,,2.0,0.0,,,,1013.6,66.0
23,2015-01-25,2.8,,,0.5,30.0,,,,1020.3,78.0
24,2015-01-26,3.2,,,6.6,0.0,,,,1011.3,0.0
25,2015-01-27,3.9,,,0.0,0.0,,,,1011.9,222.0
26,2015-01-28,4.2,,,13.6,0.0,,,,994.5,0.0
27,2015-01-29,4.2,,,,0.0,,,,975.3,
28,2015-01-30,-0.3,,,0.0,110.0,,,,972.0,120.0
29,2015-01-31,-3.4,,,0.0,90.0,,,,977.1,78.0
30,2015-02-01,-1.6,,,0.5,90.0,,,,983.6,24.0
31,2015-02-02,0.8,,,0.1,80.0,,,,990.2,126.0
32,2015-02-03,-1.1,,,0.1,70.0,,,,999.4,66.0
33,2015-02-04,-2.6,,,0.2,70.0,,,,1011.1,246.0
34,2015-02-05,-0.5,,,0.0,80.0,,,,1023.8,198.0
35,2015-02-06,-1.8,,,0.1,60.0,,,,1029.6,270.0
36,2015-02-07,4.0,,,0.6,40.0,,,,1021.5,12.0
37,2015-02-08,3.1,,,0.4,0.0,,,,1021.7,330.0
38,2015-02-09,5.8,,,0.0,0.0,,,,1017.5,0.0
39,2015-02-10,5.9,,,0.0,0.0,,,,1023.9,150.0
40,2015-02-11,3.8,,,0.0,0.0,,,,1024.5,0.0
41,2015-02-12,1.9,,,0.0,0.0,,,,1019.8,0.0
42,2015-02-13,1.0,,,0.0,0.0,,,,1014.1,0.0
43,2015-02-14,1.2,,,0.0,0.0,,,,1012.2,0.0
44,2015-02-15,3.0,,,0.0,0.0,,,,1018.9,0.0
45,2015-02-16,1.6,,,0.0,0.0,,,,1019.9,0.0
46,2015-02-17,0.5,,,0.0,0.0,,,,1027.1,0.0
47,2015-02-18,4.9,,,0.0,0.0,,,,1031.0,336.0
48,2015-02-19,3.4,,,1.1,0.0,,,,1019.3,6.0
49,2015-02-20,2.8,,,6.7,0.0,,,,1003.7,0.0
50,2015-02-21,2.2,,,10.7,0.0,,,,991.6,0.0
51,2015-02-22,2.8,,,1.7,0.0,,,,1000.5,174.0
52,2015-02-23,3.5,,,1.7,0.0,,,,988.9,66.0
53,2015-02-24,4.4,,,0.2,0.0,,,,995.7,6.0
54,2015-02-25,3.6,,,1.1,0.0,,,,1011.1,84.0
55,2015-02-26,4.9,,,4.9,0.0,,,,1012.8,78.0
56,2015-02-27,4.9,,,1.3,0.0,,,,1009.3,24.0
57,2015-02-28,3.8,,,3.0,0.0,,,,1011.1,318.0
58,2015-03-01,5.1,,,3.9,0.0,,,,993.5,6.0
59,2015-03-02,4.1,,,2.5,0.0,,,,992.1,30.0
60,2015-03-03,3.2,,,7.6,0.0,,,,1006.1,168.0
