,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-09-02,,,,0.0,,,,,,
1,2015-09-03,,,,0.9,,,,,,
2,2015-09-04,,,,0.0,,,,,,
3,2015-09-05,,,,6.1,,,,,,
4,2015-09-06,,,,1.2,,,,,,
5,2015-09-07,,,,0.0,,,,,,
6,2015-09-08,,,,0.0,,,,,,
7,2015-09-09,,,,0.0,,,,,,
8,2015-09-10,,,,2.1,,,,,,
9,2015-09-11,,,,0.0,,,,,,
10,2015-09-12,,,,0.0,,,,,,
11,2015-09-13,,,,5.2,,,,,,
12,2015-09-14,,,,11.7,,,,,,
13,2015-09-15,,,,0.1,,,,,,
14,2015-09-16,,,,3.1,,,,,,
15,2015-09-17,,,,2.0,,,,,,
16,2015-09-18,,,,0.0,,,,,,
17,2015-09-19,,,,3.0,,,,,,
18,2015-09-20,,,,2.0,,,,,,
19,2015-09-21,,,,0.4,,,,,,
20,2015-09-22,,,,1.0,,,,,,
21,2015-09-23,,,,0.1,,,,,,
22,2015-09-24,,,,0.0,,,,,,
23,2015-09-25,,,,0.0,,,,,,
24,2015-09-26,,,,0.0,,,,,,
25,2015-09-27,,,,0.0,,,,,,
26,2015-09-28,,,,0.0,,,,,,
27,2015-09-29,,,,0.0,,,,,,
28,2015-09-30,,,,0.0,,,,,,
29,2015-10-01,,,,0.0,,,,,,
30,2015-10-02,,,,0.0,,,,,,
31,2015-10-03,,,,0.0,,,,,,
32,2015-10-04,,,,0.0,,,,,,
33,2015-10-05,,,,0.0,,,,,,
34,2015-10-06,,,,0.0,,,,,,
35,2015-10-07,,,,4.7,,,,,,
36,2015-10-08,,,,0.2,,,,,,
37,2015-10-09,,,,0.0,,,,,,
38,2015-10-10,,,,0.0,,,,,,
39,2015-10-11,,,,0.0,,,,,,
40,2015-10-12,,,,0.0,,,,,,
41,2015-10-13,,,,0.0,,,,,,
42,2015-10-14,,,,3.0,,,,,,
43,2015-10-15,,,,3.0,,,,,,
44,2015-10-16,,,,23.9,,,,,,
45,2015-10-17,,,,3.9,,,,,,
46,2015-10-18,,,,1.8,,,,,,
47,2015-10-19,,,,3.4,,,,,,
