,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.2,4.1,8.8,0.1,0.0,250.4,33.8,72.4,1021.4,96.0
1,2015-01-03,3.9,2.8,5.2,0.6,0.0,250.8,24.8,52.2,1020.7,0.0
2,2015-01-04,3.5,-0.5,6.3,0.0,0.0,277.5,18.4,44.6,1028.5,276.0
3,2015-01-05,2.2,-0.7,3.8,0.0,0.0,238.3,14.4,37.8,1030.4,6.0
4,2015-01-06,3.4,-0.5,4.4,1.1,0.0,166.7,9.4,27.0,1022.7,0.0
5,2015-01-07,4.1,2.3,5.8,0.4,0.0,235.0,17.3,42.1,1024.4,276.0
6,2015-01-08,5.4,2.8,7.3,11.9,0.0,232.9,24.5,51.5,1018.8,0.0
7,2015-01-09,7.7,5.5,10.7,7.0,0.0,248.3,35.3,88.9,1013.1,0.0
8,2015-01-10,9.7,4.5,12.7,3.2,0.0,260.0,40.7,85.3,1005.5,0.0
9,2015-01-11,4.4,1.5,6.2,3.3,0.0,262.1,34.2,65.9,1011.5,144.0
10,2015-01-12,7.0,5.5,9.1,2.9,0.0,236.7,34.9,65.5,1011.0,0.0
11,2015-01-13,8.4,5.6,10.5,7.8,0.0,225.8,31.0,60.8,1003.5,0.0
12,2015-01-14,3.9,1.7,6.7,1.9,0.0,230.8,23.0,53.3,1006.5,0.0
13,2015-01-15,8.0,2.5,10.1,1.2,0.0,197.5,31.3,65.5,999.0,0.0
14,2015-01-16,5.1,1.1,7.5,0.0,0.0,212.5,20.5,49.3,1004.0,108.0
15,2015-01-17,1.8,-1.2,4.9,0.0,0.0,228.8,12.6,36.7,1012.5,378.0
16,2015-01-18,1.1,0.3,2.3,1.1,0.0,184.6,12.6,26.6,1013.3,0.0
17,2015-01-19,0.1,-3.0,2.4,0.0,0.0,159.2,5.8,18.4,1012.1,30.0
18,2015-01-20,0.2,-3.9,1.6,0.0,0.0,253.8,4.3,15.1,1012.2,42.0
19,2015-01-21,-2.1,-5.7,1.2,0.0,0.0,107.9,9.7,31.7,1014.9,150.0
20,2015-01-22,-0.9,-2.4,0.6,0.0,0.0,52.5,9.0,26.6,1019.6,0.0
21,2015-01-23,-1.6,-2.6,-0.6,0.0,0.0,141.7,8.3,31.0,1025.5,0.0
22,2015-01-24,0.0,-1.6,1.9,3.4,0.0,235.8,14.8,31.3,1019.5,12.0
23,2015-01-25,2.0,-3.3,4.4,1.9,10.0,254.2,12.2,27.7,1026.3,36.0
24,2015-01-26,3.3,1.9,5.9,5.3,0.0,224.6,16.9,39.2,1018.2,0.0
25,2015-01-27,3.2,1.8,5.1,1.8,0.0,282.5,14.0,36.0,1018.8,114.0
26,2015-01-28,3.9,1.8,6.1,6.3,0.0,221.3,26.3,61.6,1003.5,0.0
27,2015-01-29,1.4,0.0,3.2,5.6,0.0,219.2,24.8,59.8,983.3,18.0
28,2015-01-30,-0.3,-4.6,0.9,9.0,20.0,202.1,8.3,23.8,974.1,12.0
29,2015-01-31,0.2,-3.6,2.1,0.0,70.0,212.9,12.6,32.4,980.1,288.0
30,2015-02-01,0.4,-4.0,1.9,0.2,50.0,243.8,12.2,25.6,989.2,0.0
31,2015-02-02,0.9,-0.5,2.3,3.0,20.0,263.3,15.8,38.2,996.7,18.0
32,2015-02-03,0.5,-3.1,2.8,1.3,10.0,292.5,14.0,32.8,1002.9,114.0
33,2015-02-04,-1.4,-5.0,1.3,0.0,0.0,312.1,6.5,21.6,1014.1,396.0
34,2015-02-05,-1.3,-2.8,0.5,0.0,0.0,135.4,7.2,24.5,1024.3,84.0
35,2015-02-06,-1.3,-4.9,1.8,0.0,0.0,43.8,9.0,27.0,1031.0,474.0
36,2015-02-07,-0.1,-6.2,4.3,1.3,0.0,278.8,11.5,45.7,1029.4,0.0
37,2015-02-08,3.2,1.3,4.8,0.4,0.0,323.3,16.6,51.8,1027.4,348.0
38,2015-02-09,5.4,3.7,6.7,1.0,0.0,295.8,18.4,42.1,1025.7,6.0
39,2015-02-10,5.5,4.6,6.9,0.2,0.0,310.8,11.5,34.9,1029.7,6.0
40,2015-02-11,4.1,1.8,5.2,0.0,0.0,116.3,9.4,23.4,1026.8,0.0
41,2015-02-12,1.1,0.2,2.3,0.0,0.0,187.1,7.2,16.2,1022.4,0.0
42,2015-02-13,1.9,-2.1,7.0,0.0,0.0,128.3,11.9,23.4,1015.9,486.0
43,2015-02-14,3.8,-1.8,9.8,0.0,0.0,109.2,12.6,23.0,1011.2,342.0
44,2015-02-15,1.3,-1.5,4.4,0.0,0.0,84.2,16.2,38.5,1016.5,222.0
45,2015-02-16,2.0,-1.8,5.9,0.0,0.0,102.5,11.9,25.9,1019.6,474.0
46,2015-02-17,0.8,-4.6,3.8,0.0,0.0,228.3,7.9,23.8,1031.2,0.0
47,2015-02-18,1.1,-3.3,6.5,0.0,0.0,214.2,11.2,25.6,1038.2,354.0
48,2015-02-19,1.7,-0.6,5.0,0.0,0.0,210.4,18.0,42.1,1026.6,222.0
49,2015-02-20,4.1,0.5,6.6,9.2,0.0,197.1,18.0,41.0,1009.0,0.0
50,2015-02-21,3.8,-0.7,5.9,1.1,0.0,227.9,18.0,52.9,996.8,84.0
51,2015-02-22,2.3,-0.9,6.6,1.4,0.0,220.8,15.8,46.4,1006.6,360.0
52,2015-02-23,3.5,0.9,6.0,0.8,0.0,197.5,24.1,60.8,994.6,60.0
53,2015-02-24,4.0,1.8,7.1,1.8,0.0,215.8,21.6,45.7,1002.7,66.0
54,2015-02-25,4.4,0.8,8.3,0.3,0.0,214.6,15.1,34.6,1015.8,342.0
55,2015-02-26,6.7,3.3,10.3,5.2,0.0,177.9,15.8,37.4,1015.7,462.0
56,2015-02-27,4.8,-1.4,7.6,1.4,0.0,270.4,13.0,38.5,1013.3,72.0
57,2015-02-28,2.7,-2.5,7.9,1.3,0.0,198.3,16.6,39.6,1016.2,546.0
58,2015-03-01,6.0,2.7,10.5,4.9,0.0,217.1,23.4,65.2,1000.1,120.0
59,2015-03-02,4.7,1.9,8.8,2.2,0.0,247.9,28.8,64.8,1001.2,180.0
60,2015-03-03,3.2,1.3,6.8,3.4,0.0,242.1,23.8,49.3,1013.8,186.0
61,2015-03-04,3.4,0.9,6.4,7.2,0.0,257.1,23.8,59.0,1020.7,36.0
62,2015-03-05,4.4,0.5,8.6,0.0,0.0,281.3,12.6,28.4,1034.6,6.0
63,2015-03-06,5.9,1.8,8.9,0.0,0.0,230.4,14.0,33.1,1034.0,0.0
64,2015-03-07,7.1,1.1,13.0,0.0,0.0,201.7,16.2,42.5,1028.2,168.0
65,2015-03-08,10.2,2.4,17.7,0.0,0.0,217.9,14.4,36.4,1022.7,576.0
66,2015-03-09,8.1,3.7,12.7,0.8,0.0,210.0,6.5,15.8,1025.9,306.0
67,2015-03-10,7.7,2.2,11.9,0.0,0.0,275.4,11.9,34.9,1026.6,312.0
68,2015-03-11,5.0,-0.8,10.1,0.0,0.0,295.0,8.3,29.9,1030.7,372.0
69,2015-03-12,2.7,-1.9,9.0,0.0,0.0,131.7,8.6,30.2,1032.0,342.0
70,2015-03-13,3.5,0.4,6.9,0.0,0.0,83.8,15.1,34.9,1028.1,564.0
71,2015-03-14,3.9,1.1,6.0,0.0,0.0,47.5,10.1,29.9,1029.0,0.0
72,2015-03-15,5.1,3.7,6.9,0.0,0.0,67.5,15.8,40.3,1029.1,0.0
73,2015-03-16,7.2,3.1,11.3,0.0,0.0,92.9,19.1,44.3,1026.0,372.0
74,2015-03-17,9.0,0.1,15.4,0.0,0.0,85.4,9.4,32.0,1025.8,456.0
75,2015-03-18,8.4,0.5,16.2,0.0,0.0,182.1,5.0,17.3,1025.5,552.0
76,2015-03-19,7.2,1.5,12.8,0.0,0.0,261.3,6.5,24.1,1027.4,390.0
77,2015-03-20,0.3,-1.5,6.0,2.8,0.0,270.4,7.6,19.1,1024.2,138.0
78,2015-03-21,4.8,2.0,9.3,1.0,0.0,248.8,14.0,39.6,1016.9,96.0
79,2015-03-22,2.6,-0.6,6.3,0.0,0.0,92.5,16.6,46.4,1026.2,660.0
80,2015-03-23,4.3,-3.0,10.4,0.0,0.0,200.8,9.0,27.7,1015.9,540.0
81,2015-03-24,6.0,1.0,10.5,0.0,0.0,207.1,6.1,21.2,1008.7,204.0
82,2015-03-25,9.1,3.5,14.2,0.9,0.0,162.1,13.7,33.5,1005.8,54.0
83,2015-03-26,5.9,4.1,8.7,0.5,0.0,236.3,14.4,37.1,1006.9,66.0
84,2015-03-27,6.1,4.8,7.4,0.8,0.0,256.7,20.5,54.0,1013.1,6.0
85,2015-03-28,6.6,-0.8,11.3,8.1,0.0,206.3,16.9,41.0,1015.3,342.0
86,2015-03-29,9.1,5.7,11.1,20.6,0.0,,29.2,101.2,995.2,0.0
87,2015-03-30,6.3,3.0,8.3,10.9,0.0,276.7,29.2,82.8,999.3,306.0
88,2015-03-31,6.6,2.6,9.8,3.7,0.0,249.2,39.2,95.0,994.1,102.0
89,2015-04-01,4.0,1.9,6.9,10.0,0.0,274.2,26.6,65.9,1010.5,150.0
90,2015-04-02,3.9,0.9,6.8,3.6,0.0,288.3,20.9,64.1,1012.4,324.0
91,2015-04-03,5.7,1.3,10.5,0.0,0.0,240.4,11.5,29.5,1019.2,420.0
92,2015-04-04,4.6,0.6,9.4,0.0,0.0,220.8,8.3,35.6,1018.9,402.0
93,2015-04-05,5.2,-1.2,11.0,0.0,0.0,266.7,7.9,28.8,1024.8,606.0
94,2015-04-06,6.8,1.4,11.5,0.2,0.0,211.7,6.5,24.1,1029.7,336.0
95,2015-04-07,6.6,-1.1,11.9,0.0,0.0,245.4,13.3,40.0,1034.3,96.0
96,2015-04-08,8.0,4.6,10.8,0.0,0.0,294.6,8.6,23.0,1033.1,12.0
97,2015-04-09,9.5,1.0,17.5,0.0,0.0,118.3,4.0,15.1,1027.6,552.0
98,2015-04-10,12.4,3.9,19.9,0.0,0.0,132.1,4.0,18.7,1020.0,618.0
99,2015-04-11,10.6,3.4,18.1,1.6,0.0,214.2,20.9,63.4,1017.3,294.0
100,2015-04-12,9.7,2.8,14.5,0.4,0.0,227.1,22.0,70.9,1025.4,630.0
101,2015-04-13,8.0,2.4,12.4,0.0,0.0,288.8,17.6,52.9,1028.6,456.0
102,2015-04-14,11.1,1.8,20.0,0.0,0.0,232.1,16.6,48.2,1024.0,534.0
103,2015-04-15,14.2,3.8,22.5,0.1,0.0,252.1,19.1,58.3,1015.6,726.0
104,2015-04-16,9.1,5.1,12.8,0.0,0.0,302.5,10.4,27.7,1016.2,546.0
105,2015-04-17,7.4,3.0,11.6,0.0,0.0,338.3,11.2,37.4,1018.7,450.0
106,2015-04-18,8.0,1.9,13.8,0.0,0.0,252.1,8.6,32.4,1026.0,756.0
107,2015-04-19,8.3,1.3,15.0,0.0,0.0,187.1,6.8,21.2,1023.5,636.0
108,2015-04-20,11.2,3.3,18.7,0.0,0.0,286.3,9.4,34.9,1027.6,768.0
109,2015-04-21,10.6,3.2,18.9,0.0,0.0,314.2,12.6,36.7,1029.9,768.0
110,2015-04-22,9.5,4.2,15.3,0.0,0.0,299.6,13.3,38.5,1026.2,354.0
111,2015-04-23,9.2,4.7,16.1,0.0,0.0,285.8,7.2,22.3,1019.4,450.0
112,2015-04-24,11.8,1.1,19.7,1.1,0.0,191.3,10.4,32.8,1011.7,708.0
113,2015-04-25,11.7,6.4,15.4,4.9,0.0,214.2,11.9,36.0,1007.0,18.0
114,2015-04-26,10.7,6.5,17.3,14.2,0.0,206.3,11.5,37.8,1005.9,126.0
115,2015-04-27,7.6,2.1,11.8,0.0,0.0,115.0,12.2,31.7,1007.6,72.0
116,2015-04-28,5.1,-0.8,12.7,2.2,0.0,265.8,10.1,64.8,1015.1,516.0
117,2015-04-29,8.0,-0.6,14.1,0.9,0.0,,13.3,,1017.0,540.0
118,2015-04-30,10.0,3.8,14.4,0.0,0.0,227.5,13.7,43.6,1011.0,366.0
119,2015-05-01,7.7,1.8,12.7,0.0,,275.0,10.8,31.7,1008.6,294.0
120,2015-05-02,8.3,-0.6,14.5,0.0,,228.3,6.1,22.3,1012.0,636.0
121,2015-05-03,12.3,5.1,18.5,3.4,,112.9,16.9,43.9,1004.8,354.0
122,2015-05-04,15.3,10.9,19.1,4.1,,206.7,16.2,40.0,1006.3,300.0
123,2015-05-05,19.8,6.7,24.1,10.7,,175.0,23.0,87.1,1000.9,420.0
124,2015-05-06,14.2,6.1,17.3,0.5,,198.3,20.5,69.1,1009.8,510.0
125,2015-05-07,11.4,8.8,16.4,0.8,,227.1,19.8,45.4,1015.5,192.0
126,2015-05-08,13.3,7.2,18.9,0.3,,113.8,6.1,28.4,1016.2,234.0
127,2015-05-09,13.6,9.5,17.6,0.2,,198.3,20.2,59.0,1014.8,108.0
128,2015-05-10,12.1,8.7,17.0,0.0,,242.9,15.1,47.2,1025.1,504.0
129,2015-05-11,16.1,7.4,24.5,0.0,,155.8,13.0,32.8,1021.1,540.0
130,2015-05-12,15.4,6.6,21.9,0.0,,237.1,14.8,57.6,1015.6,246.0
131,2015-05-13,12.1,6.2,17.8,0.0,,264.6,16.2,44.6,1017.1,402.0
132,2015-05-14,10.1,6.5,14.5,0.0,,241.3,8.6,24.5,1014.0,120.0
133,2015-05-15,9.3,2.9,15.5,0.0,,247.9,8.6,27.7,1017.6,588.0
134,2015-05-16,8.5,2.3,14.2,0.2,,250.8,13.7,42.1,1021.0,12.0
135,2015-05-17,10.4,3.2,15.8,0.0,,265.8,16.6,47.9,1022.5,300.0
136,2015-05-18,12.1,5.3,17.9,1.8,,192.5,13.7,45.0,1009.1,36.0
137,2015-05-19,11.6,5.9,15.9,0.4,,223.3,21.6,55.8,1005.3,408.0
138,2015-05-20,10.6,4.4,14.6,2.7,,215.8,11.5,46.8,1013.3,378.0
139,2015-05-21,11.1,3.5,16.6,0.0,,266.3,11.2,39.2,1023.3,318.0
140,2015-05-22,13.5,4.5,19.7,0.0,,235.4,9.4,32.4,1024.3,198.0
141,2015-05-23,12.4,5.5,15.5,0.0,,281.7,9.4,29.9,1021.5,222.0
142,2015-05-24,11.9,2.0,19.3,0.4,,222.5,6.5,25.2,1019.1,834.0
143,2015-05-25,12.3,8.5,15.9,0.0,,280.0,10.4,36.7,1014.6,162.0
144,2015-05-26,10.6,8.1,14.6,0.8,,300.0,13.3,38.9,1019.0,162.0
145,2015-05-27,11.7,7.7,15.4,0.0,,253.3,11.5,26.6,1021.3,6.0
146,2015-05-28,14.2,4.2,17.2,1.6,,232.9,17.6,46.4,1012.5,222.0
147,2015-05-29,10.5,3.2,17.3,0.7,,200.4,16.9,67.0,1008.8,240.0
148,2015-05-30,9.5,3.1,14.0,2.8,,251.7,16.9,64.4,1011.7,426.0
149,2015-05-31,12.8,3.1,19.0,4.4,,195.4,18.7,51.8,1010.6,108.0
150,2015-06-01,12.5,7.7,16.2,0.0,,222.5,12.6,41.8,1014.5,351.0
151,2015-06-02,14.7,10.3,19.4,0.0,,201.7,26.6,61.9,1009.7,47.0
152,2015-06-03,15.5,7.4,18.7,0.0,,263.3,20.2,58.3,1019.6,240.0
153,2015-06-04,14.7,4.1,21.1,0.0,,96.3,6.5,30.2,1027.5,853.0
154,2015-06-05,21.9,10.4,30.5,0.5,,117.1,12.6,46.4,1018.8,821.0
155,2015-06-06,18.5,9.3,21.6,0.0,,265.8,15.1,43.2,1021.6,521.0
156,2015-06-07,14.3,4.9,20.9,0.0,,257.1,10.4,31.3,1028.8,792.0
157,2015-06-08,11.7,4.2,17.5,0.0,,288.3,10.4,35.6,1030.0,440.0
158,2015-06-09,11.6,4.4,17.4,0.0,,235.8,8.6,30.2,1029.4,213.0
159,2015-06-10,15.8,9.0,21.6,0.0,,143.3,8.6,26.6,1027.1,699.0
160,2015-06-11,17.4,8.7,23.6,0.0,,85.8,9.4,35.3,1021.2,727.0
