,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2018-01-28,8.4,5.4,10.2,4.2,0.0,,28.8,62.0,1023.7,
1,2018-01-29,8.8,5.6,10.4,9.9,0.0,,33.4,71.0,1020.6,
2,2018-01-30,4.4,2.9,6.0,0.0,0.0,,17.5,42.0,1025.3,
3,2018-02-01,2.3,1.2,3.8,0.9,0.0,,21.3,46.0,996.8,
4,2018-02-02,3.3,1.2,5.8,2.6,0.0,,14.8,39.0,1000.4,
5,2018-02-03,0.8,-0.4,1.9,0.4,0.0,,9.5,28.0,1006.9,
6,2018-02-04,0.4,-0.8,1.3,1.5,10.0,,15.2,38.0,1020.0,
7,2018-02-05,0.6,-1.4,1.9,0.0,0.0,,12.8,30.0,1028.8,
8,2018-02-08,-3.0,-6.6,0.8,0.0,0.0,175.4,7.0,20.0,1020.4,
9,2018-02-09,-0.6,-3.0,3.1,0.0,0.0,166.3,13.3,36.0,1014.6,
10,2018-02-10,-0.3,-3.2,2.0,0.0,0.0,169.2,8.8,27.0,1013.6,
11,2018-02-11,2.9,1.3,6.0,1.5,0.0,215.4,26.4,54.0,999.1,
12,2018-02-12,1.5,0.4,4.0,1.3,0.0,242.5,17.9,43.0,1008.6,
13,2018-02-13,,,,0.0,0.0,178.3,14.8,30.0,,
14,2018-02-14,0.8,-2.0,4.0,0.0,0.0,141.7,18.3,47.0,1016.5,
15,2018-02-15,2.0,0.3,4.1,0.3,0.0,181.7,21.8,51.0,1012.1,
16,2018-02-16,2.6,-0.2,6.3,0.0,0.0,241.7,13.2,39.0,1022.1,
17,2018-02-17,0.4,-2.9,4.4,0.0,0.0,100.4,5.4,17.0,1025.5,
18,2018-02-18,0.6,-3.8,5.2,0.0,0.0,154.2,8.0,22.0,1026.3,
19,2018-02-21,-0.3,-3.4,3.2,0.0,0.0,62.1,7.9,23.0,1026.9,
20,2018-02-22,-1.0,-3.3,1.2,0.2,0.0,50.4,7.8,18.0,1027.1,
21,2018-02-23,-0.5,-2.6,1.8,0.0,0.0,71.3,14.0,35.0,1026.2,
