,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2018-06-09,22.2,17.0,30.0,,,,8.4,,,
1,2018-06-11,18.7,16.0,22.0,,,,6.9,,,
2,2018-06-12,16.8,14.0,21.0,,,,9.4,,,
3,2018-06-13,14.5,14.0,16.0,,,322.9,13.8,,,
4,2018-06-14,16.0,12.0,21.0,,,,7.8,,,
5,2018-06-16,19.0,13.0,25.0,,,,4.5,,,
6,2018-06-18,18.0,13.0,23.0,,,,6.7,,,
7,2018-06-19,20.0,15.0,25.0,,,242.5,11.7,,,
8,2018-06-20,21.8,14.0,29.0,,,,5.7,,,
9,2018-06-21,20.1,13.0,29.0,,,,18.5,,,
10,2018-06-23,11.8,10.0,14.0,,,262.9,16.9,,,
11,2018-06-24,12.9,11.0,16.0,,,,11.5,,,
12,2018-06-25,15.4,12.0,21.0,,,291.3,9.6,,,
13,2018-06-27,17.2,10.0,23.0,,,,8.2,,,
14,2018-06-28,18.1,10.0,25.0,,,,9.1,,,
15,2018-06-29,22.6,18.0,29.0,,,,11.5,,,
16,2018-06-30,17.8,13.0,22.0,,,,13.4,,,
17,2018-07-02,15.3,6.0,23.0,,,,7.5,,,
18,2018-07-07,17.6,9.0,25.0,,,,11.0,,,
19,2018-07-09,19.6,15.0,25.0,,,,10.5,,,
20,2018-07-12,15.9,10.0,23.0,,,,10.3,,,
21,2018-07-14,19.4,12.0,25.0,,,,7.7,,,
22,2018-07-15,19.6,12.0,26.0,,,,,,,
23,2018-07-17,22.1,13.0,30.0,,,,11.2,,,
24,2018-07-18,21.3,15.0,27.0,,,,13.7,,,
25,2018-07-19,19.8,12.0,26.0,,,,8.0,,,
26,2018-07-21,20.5,14.0,26.0,,,,7.9,,,
27,2018-07-22,20.8,18.0,24.0,,,,8.8,,,
28,2018-07-23,21.9,15.0,28.0,,,,6.5,,,
29,2018-07-26,24.1,14.0,31.0,,,,7.0,,,
30,2018-07-27,22.8,16.0,30.0,,,,7.5,,,
31,2018-07-28,22.7,16.0,32.0,,,,7.6,,,
32,2018-07-29,22.9,15.0,30.0,,,,6.4,,,
33,2018-07-30,26.5,18.0,34.0,,,,4.9,,,
34,2018-07-31,28.0,19.0,35.0,,,,5.1,,,
35,2018-08-02,25.0,19.0,31.0,,,,10.5,,,
36,2018-08-04,26.1,18.0,33.0,,,,6.3,,,
37,2018-08-06,21.2,11.0,30.0,,,,5.9,,,
38,2018-08-10,21.5,16.0,25.0,,,,13.2,,,
39,2018-08-11,19.1,14.0,24.0,,,,14.4,,,
40,2018-08-15,19.4,13.0,25.0,,,,8.1,,,
