,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-09-05,12.9,10.0,17.0,,,,,,1017.0,
1,2015-09-21,13.8,8.0,18.0,,,,,,1013.8,
2,2015-11-09,15.4,14.0,18.0,,,222.5,19.9,,1022.6,
3,2016-02-01,11.6,11.0,12.0,,,227.1,27.4,,1017.0,
4,2016-02-02,8.9,6.0,12.0,,,235.4,19.8,,1015.2,
5,2016-02-03,4.6,2.0,6.0,,,242.1,18.1,,1018.7,
6,2016-02-05,7.9,4.0,11.0,,,,6.2,,1022.9,
7,2016-02-06,9.5,7.0,11.0,,,,9.5,,1009.9,
8,2016-02-07,9.2,7.0,11.0,,,,13.3,,1001.1,
9,2016-02-08,8.8,8.0,10.0,,,202.9,27.3,,994.5,
10,2016-02-09,6.3,3.0,9.0,,,195.4,19.3,,989.5,
11,2016-02-10,4.2,4.0,5.0,,,222.1,17.2,,994.7,
12,2016-02-11,4.5,3.0,7.0,,,,8.8,,1004.4,
13,2016-02-12,2.5,-2.0,5.0,,,,,,999.0,
14,2016-02-20,7.9,4.0,11.0,,,,,,1011.5,
15,2016-02-21,11.8,11.0,13.0,,,,,,1011.4,
16,2016-02-23,3.3,1.0,6.0,,,,10.7,,1013.5,
17,2016-03-03,3.0,1.0,6.0,,,,9.2,,1001.4,
18,2016-03-05,2.8,1.0,4.0,,,,,,995.6,
19,2016-04-05,10.5,8.0,12.0,,,,,,1007.3,
20,2016-04-06,10.3,5.0,16.0,,,,14.8,,1009.5,
21,2016-04-07,7.5,5.0,11.0,,,,,,1009.9,
22,2016-04-09,9.0,1.0,15.0,,,,,,1008.0,
23,2016-04-10,11.3,6.0,17.0,,,,,,1010.4,
24,2016-04-11,13.5,7.0,20.0,,,,,,1010.2,
25,2016-04-12,12.1,7.0,19.0,,,,,,1009.1,
26,2016-04-13,8.5,4.0,12.0,,,,,,1008.6,
27,2016-04-15,12.5,9.0,17.0,,,,,,1003.5,
28,2016-04-17,6.7,4.0,11.0,,,,,,1012.5,
29,2016-04-20,8.4,2.0,15.0,,,,,,1029.2,
30,2016-04-22,11.1,7.0,15.0,,,,7.7,,1017.9,
31,2016-04-24,3.9,2.0,7.0,,,,,,1014.2,
32,2016-04-25,4.4,2.0,7.0,,,,14.8,,1007.8,
33,2016-04-26,3.8,1.0,7.0,,,228.8,22.0,,1001.5,
34,2016-04-27,4.7,3.0,8.0,,,231.7,24.4,,1006.6,
35,2016-04-28,5.4,2.0,10.0,,,,8.5,,1014.5,
36,2016-04-30,7.2,6.0,9.0,,,,,,1018.7,
37,2016-05-01,9.1,5.0,15.0,,,,,,1025.2,
38,2016-05-02,12.5,3.0,19.0,,,,,,1022.8,
39,2016-05-03,11.3,5.0,14.0,,,,,,1022.8,
40,2016-05-04,9.5,3.0,15.0,,,,,,1028.2,
41,2016-05-06,17.1,8.0,25.0,,,,,,1013.7,
42,2016-05-07,18.5,9.0,26.0,,,,,,1010.6,
43,2016-05-10,17.8,15.0,20.0,,,,,,1009.3,
44,2016-05-11,19.1,12.0,24.0,,,,,,1003.8,
45,2016-05-12,18.4,14.0,24.0,,,,,,999.3,
46,2016-05-13,17.6,12.0,23.0,,,,,,1002.7,
47,2016-05-15,9.0,5.0,13.0,,,,,,1019.6,
48,2016-05-19,13.9,10.0,18.0,,,,,,1011.5,
49,2016-05-20,14.5,9.0,19.0,,,,8.7,,1017.8,
50,2016-05-21,18.9,13.0,24.0,,,,,,1014.8,
51,2016-05-22,17.2,14.0,21.0,,,,,,1007.9,
52,2016-05-23,11.6,10.0,14.0,,,,,,1011.6,
53,2016-05-24,11.0,10.0,13.0,,,,,,1016.4,
54,2016-05-25,12.4,9.0,16.0,,,,,,1015.4,
55,2016-05-28,17.3,13.0,23.0,,,,,,1012.1,
56,2016-05-29,17.2,13.0,21.0,,,,,,1006.7,
57,2016-05-31,16.8,15.0,19.0,,,,,,1009.2,
58,2016-06-02,18.5,16.0,24.0,,,,,,1010.0,
59,2016-06-03,17.3,14.0,20.0,,,,,,1011.8,
60,2016-06-04,17.0,14.0,20.0,,,,,,1013.3,
61,2016-06-05,18.6,14.0,25.0,,,,,,1017.2,
62,2016-06-06,20.3,14.0,27.0,,,,,,1019.8,
63,2016-06-07,19.8,15.0,26.0,,,,,,1020.8,
64,2016-06-08,18.5,14.0,23.0,,,,,,1020.3,
65,2016-06-09,15.7,12.0,20.0,,,,,,1018.9,
66,2016-06-10,16.1,10.0,21.0,,,,,,1013.5,
67,2016-06-11,17.7,13.0,23.0,,,,,,1010.2,
68,2016-06-12,16.5,15.0,20.0,,,,7.2,,1008.5,
69,2016-06-13,16.1,14.0,21.0,,,,9.8,,1002.1,
70,2016-06-14,15.6,13.0,20.0,,,,7.7,,999.8,
