,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,0.5,-1.3,2.2,5.0,80.0,,,,,0
1,2015-01-03,0.8,0.0,1.9,7.0,40.0,,,,,0
2,2015-01-04,0.7,0.3,1.2,0.3,80.0,,,,,0
3,2015-01-05,-0.3,-4.2,1.6,0.0,60.0,,,,,114
4,2015-01-06,-2.0,-4.6,3.1,0.1,50.0,,,,,258
5,2015-01-07,-0.6,-5.0,0.9,1.1,50.0,,,,,0
6,2015-01-08,2.0,-1.9,6.5,6.9,50.0,,,,,0
7,2015-01-09,5.5,3.1,8.4,9.7,0.0,,,,,0
8,2015-01-10,10.1,4.1,12.0,7.1,0.0,,,,,0
9,2015-01-11,2.3,0.6,4.2,0.5,0.0,,,,,30
10,2015-01-12,3.8,1.7,6.4,0.0,0.0,,,,,0
11,2015-01-13,4.7,-1.5,9.7,2.3,0.0,,,,,462
12,2015-01-14,4.2,-0.4,6.8,1.9,0.0,,,,,6
13,2015-01-15,1.8,-2.4,4.3,0.1,0.0,,,,,6
14,2015-01-16,2.9,-0.5,5.8,1.6,0.0,,,,,6
15,2015-01-17,2.1,0.9,3.2,3.8,0.0,,,,,0
16,2015-01-18,1.1,0.2,2.6,0.0,0.0,,,,,0
17,2015-01-19,0.8,-0.5,2.6,0.1,0.0,,,,,6
18,2015-01-20,-0.1,-1.4,0.5,2.5,0.0,,,,,0
19,2015-01-21,-0.6,-1.9,0.6,0.0,0.0,,,,,0
20,2015-01-22,1.6,0.1,3.3,0.0,0.0,,,,,0
21,2015-01-23,-0.8,-1.2,0.1,0.0,0.0,,,,,0
22,2015-01-24,-1.1,-1.9,-0.3,0.2,0.0,,,,,0
23,2015-01-25,-0.1,-1.2,1.7,1.3,10.0,,,,,12
24,2015-01-26,0.1,-0.5,0.7,3.6,30.0,,,,,0
25,2015-01-27,0.6,-0.2,1.4,1.0,90.0,,,,,36
26,2015-01-28,0.7,0.0,1.4,1.3,110.0,,,,,0
27,2015-01-29,0.4,-1.1,1.9,7.5,70.0,,,,,72
28,2015-01-30,-1.3,-8.9,0.7,3.2,170.0,,,,,48
29,2015-01-31,-2.8,-10.0,0.1,1.1,210.0,,,,,6
30,2015-02-01,-1.9,-7.6,0.3,2.1,220.0,,,,,36
31,2015-02-02,-0.9,-3.0,0.5,1.3,220.0,,,,,96
32,2015-02-03,-3.7,-12.9,0.9,0.0,220.0,,,,,6
33,2015-02-04,-6.7,-14.5,-1.4,0.0,200.0,,,,,24
34,2015-02-05,-3.8,-7.1,-1.9,0.0,200.0,,,,,252
35,2015-02-06,-3.5,-7.2,0.5,0.0,200.0,,,,,444
36,2015-02-07,-5.6,-13.4,-0.1,0.5,180.0,,,,,504
37,2015-02-08,-2.0,-9.5,0.5,1.6,180.0,,,,,180
38,2015-02-09,-0.8,-8.6,1.7,3.5,180.0,,,,,0
39,2015-02-10,1.4,0.5,2.5,0.1,170.0,,,,,0
40,2015-02-11,0.1,-1.8,1.1,0.0,110.0,,,,,0
41,2015-02-12,-2.1,-3.1,-1.6,0.0,100.0,,,,,0
