,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,4.1,1.6,7.6,1.4,0.0,235.8,23.8,61.2,1023.8,36.0
1,2015-01-03,2.6,1.6,4.4,0.6,0.0,237.9,14.8,42.8,1022.0,0.0
2,2015-01-04,2.7,1.2,4.3,0.7,0.0,292.5,22.3,52.2,1028.4,66.0
3,2015-01-05,1.4,-1.2,3.3,0.0,0.0,197.9,7.9,39.6,1030.9,174.0
4,2015-01-06,0.6,-0.9,2.4,1.2,0.0,146.7,5.0,25.2,1023.6,102.0
5,2015-01-07,2.6,-0.3,5.9,0.4,0.0,229.6,9.7,40.3,1025.7,114.0
6,2015-01-08,3.7,1.3,6.7,9.8,0.0,216.3,15.5,64.4,1020.8,0.0
7,2015-01-09,7.1,4.9,11.4,8.3,0.0,241.3,28.4,97.6,1015.8,0.0
8,2015-01-10,9.7,3.2,12.8,4.1,0.0,257.5,38.9,85.7,1007.3,12.0
9,2015-01-11,3.2,1.0,5.0,6.1,0.0,260.8,31.0,73.1,1013.7,18.0
10,2015-01-12,6.1,4.7,7.3,0.2,0.0,229.2,23.4,58.7,1014.4,0.0
11,2015-01-13,8.3,5.6,10.9,3.1,0.0,215.8,20.5,52.2,1006.5,246.0
12,2015-01-14,3.7,0.8,6.5,2.4,0.0,227.9,16.6,77.0,1008.4,174.0
13,2015-01-15,6.1,1.3,9.7,1.0,0.0,201.3,16.6,61.9,1002.7,18.0
14,2015-01-16,5.4,3.6,7.2,0.0,0.0,,,,1005.2,0.0
15,2015-01-17,2.1,-3.2,4.7,0.0,0.0,,,,1012.9,198.0
16,2015-01-18,-0.3,-2.8,1.6,0.0,0.0,,,,1014.5,72.0
17,2015-01-19,-1.2,-3.6,0.3,0.0,0.0,,,,1011.6,0.0
18,2015-01-20,-0.9,-3.4,0.3,0.0,0.0,,,,1011.3,0.0
19,2015-01-21,-3.0,-6.4,0.0,0.0,0.0,120.4,7.6,23.8,1013.7,180.0
20,2015-01-22,-0.8,-1.8,0.0,0.0,0.0,98.3,13.3,27.7,1016.6,0.0
21,2015-01-23,-1.5,-2.4,-0.7,0.0,0.0,243.3,10.1,25.9,1024.2,0.0
22,2015-01-24,-1.1,-2.9,0.8,2.0,0.0,213.3,13.0,36.7,1020.0,0.0
23,2015-01-25,1.4,0.1,2.6,1.3,10.0,274.6,11.2,34.2,1026.5,0.0
24,2015-01-26,1.6,0.6,4.3,5.6,0.0,210.0,12.6,50.4,1019.4,0.0
25,2015-01-27,2.3,1.3,3.6,2.1,0.0,291.7,17.3,45.4,1018.6,54.0
26,2015-01-28,2.4,0.9,3.7,2.2,0.0,220.0,18.4,61.2,1006.3,0.0
27,2015-01-29,0.8,-0.5,2.1,3.3,0.0,211.3,16.2,55.8,985.7,96.0
28,2015-01-30,-0.8,-5.4,0.8,7.7,10.0,224.6,11.5,47.2,974.3,0.0
29,2015-01-31,-0.2,-4.4,3.2,0.2,110.0,217.9,10.8,34.6,980.6,66.0
30,2015-02-01,-1.8,-6.4,2.5,1.1,40.0,202.5,6.1,27.4,989.6,240.0
31,2015-02-02,0.6,-0.9,2.1,1.1,50.0,268.3,14.4,37.8,997.1,54.0
32,2015-02-03,0.0,-1.8,1.4,0.1,40.0,272.5,13.3,36.0,1002.3,150.0
33,2015-02-04,-2.6,-4.9,0.5,0.0,30.0,262.5,9.4,28.1,1012.9,210.0
34,2015-02-05,-3.0,-5.0,-0.9,0.0,30.0,133.3,13.0,33.5,1022.0,186.0
35,2015-02-06,-3.7,-6.9,-0.6,0.0,30.0,64.2,13.3,28.8,1028.4,348.0
36,2015-02-07,-3.5,-10.7,2.5,3.8,40.0,246.3,10.8,44.6,1028.9,324.0
37,2015-02-08,0.9,-2.1,2.3,1.1,20.0,325.4,22.7,69.1,1025.9,432.0
38,2015-02-09,3.0,1.4,4.1,1.5,10.0,293.3,18.7,41.4,1025.5,0.0
39,2015-02-10,3.9,3.3,4.8,0.0,0.0,311.7,11.9,29.9,1028.9,6.0
40,2015-02-11,1.9,-1.2,3.7,0.0,0.0,136.3,9.0,24.8,1026.3,0.0
41,2015-02-12,-0.2,-1.0,1.2,0.0,0.0,183.3,10.4,30.2,1022.2,0.0
42,2015-02-13,0.2,-1.1,3.4,0.0,0.0,172.1,10.4,28.1,1017.2,162.0
43,2015-02-14,1.7,-2.4,7.8,0.0,0.0,149.6,7.6,21.2,1011.5,396.0
44,2015-02-15,-0.2,-5.1,5.0,0.0,0.0,144.2,7.6,25.6,1014.7,492.0
45,2015-02-16,0.2,-5.5,6.8,0.0,0.0,188.3,6.1,20.5,1019.4,516.0
46,2015-02-17,1.5,-0.3,3.5,0.0,0.0,252.9,7.2,27.4,1030.8,0.0
47,2015-02-18,2.2,-1.4,6.2,0.0,0.0,247.9,7.9,24.1,1038.4,372.0
48,2015-02-19,0.3,-1.0,3.2,0.0,0.0,200.4,14.0,43.9,1028.2,330.0
49,2015-02-20,4.0,-0.8,7.6,0.1,0.0,202.9,17.3,52.9,1010.9,144.0
50,2015-02-21,3.8,-0.2,6.6,1.2,0.0,232.1,14.0,48.2,997.6,120.0
51,2015-02-22,2.3,0.2,6.6,0.1,0.0,219.2,6.8,29.5,1007.3,162.0
52,2015-02-23,1.4,0.1,2.6,4.8,0.0,198.8,16.6,57.2,997.2,60.0
53,2015-02-24,2.9,0.2,7.0,0.1,0.0,204.6,13.0,42.1,1004.7,330.0
54,2015-02-25,3.2,-1.3,8.5,0.0,0.0,187.5,9.0,29.9,1016.5,516.0
55,2015-02-26,4.6,2.1,7.7,1.2,0.0,176.3,9.4,34.6,1016.7,48.0
56,2015-02-27,3.0,-0.2,5.1,4.6,0.0,242.9,11.2,37.1,1012.7,0.0
57,2015-02-28,2.0,-2.3,6.8,1.1,0.0,203.8,9.0,41.0,1017.4,606.0
58,2015-03-01,5.4,2.0,10.0,2.3,0.0,215.4,20.2,69.8,1002.4,174.0
59,2015-03-02,4.3,0.0,8.1,3.8,0.0,247.9,26.3,72.4,1002.7,420.0
60,2015-03-03,3.9,1.2,8.4,3.1,0.0,240.4,24.8,59.4,1015.1,264.0
61,2015-03-04,2.5,0.3,6.1,1.9,0.0,249.6,18.4,49.3,1021.9,138.0
62,2015-03-05,3.4,1.0,5.8,0.0,0.0,291.3,15.8,42.8,1034.2,54.0
63,2015-03-06,3.1,-0.3,6.6,0.0,0.0,193.8,6.8,23.0,1034.9,0.0
64,2015-03-07,5.2,0.1,11.0,0.0,0.0,197.5,12.2,41.8,1030.3,102.0
65,2015-03-08,9.0,3.2,15.9,0.0,0.0,197.5,12.6,34.6,1024.1,558.0
66,2015-03-09,7.2,2.1,11.7,0.0,0.0,211.7,7.6,20.2,1025.4,102.0
67,2015-03-10,4.6,-0.2,9.8,1.9,0.0,270.4,7.6,24.5,1026.0,42.0
68,2015-03-11,3.4,-0.8,8.4,0.0,0.0,304.2,11.9,30.6,1029.7,504.0
69,2015-03-12,2.8,-3.1,9.2,0.0,0.0,150.0,9.7,25.9,1030.4,660.0
70,2015-03-13,3.0,-0.2,5.4,0.0,0.0,92.5,12.2,27.4,1026.0,108.0
71,2015-03-14,2.3,0.8,3.2,1.1,0.0,46.7,12.6,24.5,1026.6,0.0
72,2015-03-15,3.9,2.7,5.3,0.0,0.0,58.8,15.1,33.1,1026.3,12.0
73,2015-03-16,5.5,0.0,11.1,0.0,0.0,95.0,11.5,40.3,1024.4,414.0
74,2015-03-17,6.4,-1.8,15.1,0.0,0.0,168.8,7.9,27.0,1024.8,444.0
75,2015-03-18,6.8,-0.3,15.0,0.0,0.0,194.6,6.5,17.3,1024.5,468.0
76,2015-03-19,6.5,1.6,11.9,0.0,,287.9,11.5,20.9,1026.0,366.0
77,2015-03-20,3.8,0.0,11.1,0.0,,222.1,9.0,27.7,1023.2,348.0
78,2015-03-21,3.0,0.1,6.3,1.8,0.0,275.8,10.4,44.3,1016.3,12.0
79,2015-03-22,1.3,-2.6,4.7,0.0,0.0,75.0,16.9,38.5,1024.3,60.0
80,2015-03-23,4.6,-3.0,12.5,0.0,0.0,185.4,8.6,28.8,1015.6,582.0
81,2015-03-24,5.8,2.3,10.3,0.0,0.0,181.7,5.4,15.8,1007.8,0.0
82,2015-03-25,7.3,0.0,18.2,0.0,0.0,199.6,11.9,50.8,1004.7,480.0
83,2015-03-26,5.2,3.8,8.2,0.6,0.0,251.7,13.0,44.6,1006.8,0.0
84,2015-03-27,5.3,3.6,7.1,1.0,0.0,249.6,18.7,56.5,1014.1,0.0
85,2015-03-28,6.5,-0.1,12.5,1.5,0.0,212.1,12.6,51.5,1016.4,408.0
86,2015-03-29,8.8,5.5,10.7,12.4,0.0,,24.5,83.9,997.9,0.0
87,2015-03-30,5.2,2.0,8.0,15.6,0.0,267.5,30.6,85.0,1000.6,366.0
88,2015-03-31,5.9,1.1,10.8,16.7,0.0,248.3,34.9,96.8,996.6,186.0
89,2015-04-01,2.2,0.2,5.9,16.4,0.0,270.4,27.0,80.3,1012.1,90.0
90,2015-04-02,2.3,0.1,5.6,8.9,0.0,275.4,20.5,66.2,1012.3,252.0
91,2015-04-03,4.0,-1.2,8.5,0.0,0.0,268.8,9.7,34.6,1018.7,282.0
92,2015-04-04,2.4,-2.0,7.4,0.0,0.0,130.0,11.9,33.5,1017.1,300.0
93,2015-04-05,3.0,-3.3,9.5,0.0,0.0,229.2,9.7,29.2,1023.4,570.0
94,2015-04-06,4.1,-1.6,9.7,0.0,0.0,232.1,9.7,30.2,1028.6,318.0
95,2015-04-07,4.7,-3.6,11.1,0.0,0.0,262.5,9.4,34.6,1034.3,336.0
96,2015-04-08,8.3,4.5,12.9,0.0,0.0,284.6,11.5,29.2,1031.8,126.0
97,2015-04-09,10.5,1.7,17.6,0.0,0.0,117.9,6.5,21.2,1026.6,624.0
98,2015-04-10,13.0,3.7,21.3,0.0,0.0,182.9,8.3,27.7,1019.6,720.0
99,2015-04-11,11.5,4.1,18.3,0.1,0.0,224.6,17.3,59.4,1018.3,270.0
100,2015-04-12,9.2,1.3,16.7,0.2,0.0,219.2,10.8,48.6,1026.4,726.0
101,2015-04-13,8.1,1.9,12.8,0.0,0.0,284.6,18.0,57.6,1028.1,546.0
102,2015-04-14,11.2,0.0,20.5,0.0,0.0,235.8,11.2,42.1,1024.4,588.0
103,2015-04-15,15.9,7.7,24.0,0.0,0.0,247.5,13.7,46.1,1015.5,768.0
104,2015-04-16,9.2,4.6,14.5,0.0,0.0,197.9,10.8,28.8,1014.3,228.0
105,2015-04-17,6.7,3.6,10.8,0.0,0.0,251.7,14.4,37.8,1016.9,126.0
106,2015-04-18,6.5,0.1,12.0,0.0,0.0,177.1,10.4,27.7,1024.5,726.0
107,2015-04-19,7.2,-2.5,14.9,0.0,0.0,152.9,7.6,24.1,1022.1,696.0
108,2015-04-20,9.5,0.4,17.0,0.0,0.0,245.0,11.2,31.3,1026.0,792.0
109,2015-04-21,11.4,0.9,19.8,0.0,0.0,301.3,14.0,41.0,1028.0,822.0
110,2015-04-22,7.2,3.8,12.5,0.0,0.0,300.8,13.7,34.9,1025.5,162.0
111,2015-04-23,8.8,-0.1,16.3,0.0,0.0,198.8,6.1,22.0,1018.1,780.0
112,2015-04-24,12.2,1.3,21.9,0.0,0.0,232.9,9.0,35.6,1011.6,732.0
113,2015-04-25,11.6,7.3,15.7,2.6,0.0,215.0,7.9,32.4,1007.5,6.0
114,2015-04-26,12.4,7.9,17.9,14.3,0.0,184.6,9.0,34.6,1005.4,192.0
115,2015-04-27,8.1,4.5,10.6,3.6,0.0,290.8,13.7,32.4,1004.8,0.0
116,2015-04-28,5.3,-0.3,12.7,0.0,0.0,293.8,13.0,55.4,1014.6,636.0
117,2015-04-29,7.3,-2.2,13.8,0.0,0.0,218.3,8.3,34.2,1017.5,660.0
118,2015-04-30,7.4,2.6,12.9,5.8,0.0,218.8,9.0,38.5,1011.8,120.0
119,2015-05-01,6.2,-1.0,12.8,0.0,,223.3,7.2,25.2,1008.1,504.0
120,2015-05-02,8.6,-0.3,15.0,0.0,,168.8,6.5,18.7,1010.5,702.0
121,2015-05-03,10.8,3.6,14.1,7.0,,141.7,9.0,32.0,1005.1,36.0
122,2015-05-04,15.9,11.0,21.1,0.4,,195.4,9.4,34.6,1006.3,420.0
123,2015-05-05,16.2,9.1,24.2,2.3,,195.4,15.8,70.6,1002.4,450.0
124,2015-05-06,11.6,5.5,18.0,0.9,,208.3,14.0,61.2,1011.3,570.0
125,2015-05-07,10.7,4.7,15.6,0.0,,230.4,14.0,51.8,1016.5,378.0
126,2015-05-08,12.0,5.1,18.8,0.0,,171.7,5.8,20.9,1015.2,306.0
127,2015-05-09,14.4,9.8,20.5,0.2,,234.2,15.5,52.6,1015.4,276.0
128,2015-05-10,12.3,6.0,17.6,0.0,,234.6,14.0,41.8,1024.6,642.0
129,2015-05-11,14.9,3.7,23.5,0.0,,200.0,8.3,30.6,1021.9,570.0
130,2015-05-12,16.4,7.9,25.4,0.6,,232.1,16.9,65.9,1015.4,438.0
131,2015-05-13,12.4,4.4,18.9,0.0,,271.3,10.1,29.9,1016.6,762.0
132,2015-05-14,9.7,4.9,14.8,0.0,,227.5,9.0,23.8,1012.5,480.0
133,2015-05-15,10.8,3.8,17.7,0.0,,90.8,11.2,32.0,1015.1,852.0
134,2015-05-16,9.1,2.3,13.0,0.1,,251.7,11.2,39.2,1021.2,126.0
135,2015-05-17,10.2,2.3,16.6,0.0,,262.9,11.9,43.2,1022.5,342.0
136,2015-05-18,13.5,3.7,21.4,0.0,,224.6,11.5,47.2,1009.0,372.0
137,2015-05-19,11.8,7.2,17.1,0.0,,250.8,17.3,52.9,1006.1,582.0
138,2015-05-20,9.3,4.1,14.9,0.3,,238.3,10.4,37.8,1013.2,396.0
139,2015-05-21,9.7,2.5,15.5,0.0,,255.8,8.6,29.9,1023.2,282.0
140,2015-05-22,12.8,3.6,19.1,0.0,,181.7,5.8,18.7,1023.9,600.0
141,2015-05-23,12.9,8.8,19.5,1.9,,295.0,9.4,33.8,1019.7,48.0
142,2015-05-24,12.8,7.2,19.6,0.0,,203.8,6.5,18.7,1017.9,264.0
143,2015-05-25,10.6,4.9,14.4,1.1,,285.0,8.3,27.7,1013.9,120.0
144,2015-05-26,9.5,6.4,14.1,0.4,,297.1,11.5,38.5,1018.2,48.0
145,2015-05-27,10.4,6.5,15.4,0.0,,277.1,10.8,31.3,1021.6,72.0
146,2015-05-28,12.5,8.6,18.5,0.3,,227.5,16.9,47.5,1013.3,192.0
147,2015-05-29,11.8,6.5,16.7,3.6,,209.2,10.4,50.8,1009.3,366.0
148,2015-05-30,9.4,4.3,15.0,0.4,,245.0,15.8,64.4,1012.4,330.0
149,2015-05-31,13.5,4.5,19.7,1.8,,202.5,14.8,52.2,1011.9,330.0
150,2015-06-01,12.5,8.0,15.7,0.0,,235.4,10.8,45.7,1014.2,314.0
151,2015-06-02,16.1,8.9,22.1,0.0,,202.9,18.0,54.7,1011.7,183.0
152,2015-06-03,15.4,7.4,19.0,0.0,,258.3,15.5,46.8,1019.6,160.0
153,2015-06-04,14.4,4.6,21.6,0.0,,150.4,7.6,23.4,1026.1,889.0
154,2015-06-05,20.9,7.1,31.1,1.2,,167.9,7.2,42.5,1018.5,903.0
155,2015-06-06,19.4,12.0,23.3,0.0,,270.8,14.8,42.5,1020.8,473.0
156,2015-06-07,15.2,8.4,21.4,0.0,,206.7,10.4,26.6,1027.0,798.0
157,2015-06-08,12.3,7.1,18.4,0.0,,211.3,16.6,45.0,1027.2,594.0
158,2015-06-09,12.1,7.2,16.4,0.0,,106.3,14.0,33.5,1026.9,284.0
159,2015-06-10,15.2,10.9,20.1,0.0,,53.8,12.6,33.1,1024.8,338.0
160,2015-06-11,16.4,9.5,22.1,0.0,,65.8,11.9,33.1,1019.5,458.0
161,2015-06-12,18.3,6.5,27.1,0.4,,168.3,6.5,22.0,1011.1,793.0
162,2015-06-13,18.9,12.0,25.0,5.7,,237.5,10.4,41.8,1008.0,358.0
163,2015-06-14,16.0,9.2,22.7,0.0,,208.8,10.8,28.4,1009.9,562.0
164,2015-06-15,13.4,7.3,18.6,0.0,,115.4,12.6,29.2,1017.2,240.0
165,2015-06-16,10.3,4.2,16.0,0.0,,203.8,11.5,31.7,1022.9,388.0
166,2015-06-17,13.8,2.9,21.9,1.9,,233.8,7.6,27.0,1021.3,703.0
167,2015-06-18,15.2,10.9,19.7,0.1,,259.6,15.5,48.2,1013.5,165.0
168,2015-06-19,11.2,8.9,17.0,1.8,,285.4,13.7,40.7,1015.7,107.0
169,2015-06-20,11.3,8.5,14.0,0.3,,283.8,13.3,33.8,1018.0,33.0
170,2015-06-21,12.7,9.7,17.5,3.5,,186.3,7.6,29.2,1014.6,68.0
171,2015-06-22,11.8,9.4,14.2,6.2,,230.0,10.1,38.2,1007.5,0.0
172,2015-06-23,11.2,8.2,15.6,2.0,,276.7,16.9,47.9,1009.9,174.0
173,2015-06-24,12.3,9.4,16.7,0.0,,273.3,12.2,28.4,1020.2,162.0
174,2015-06-25,16.1,8.0,23.0,0.0,,203.8,5.4,19.4,1021.1,395.0
175,2015-06-26,18.8,12.1,25.2,2.0,,200.8,6.8,31.0,1017.8,151.0
176,2015-06-27,18.0,12.8,22.8,0.0,,241.7,14.0,47.5,1015.1,281.0
177,2015-06-28,16.3,9.3,22.7,0.2,,236.3,6.5,20.2,1020.4,492.0
178,2015-06-29,19.7,13.9,26.2,0.0,,246.3,11.2,37.1,1019.2,728.0
179,2015-06-30,19.6,11.7,26.2,0.0,,139.6,7.9,20.5,1020.6,935.0
180,2015-07-01,22.1,11.0,30.4,0.0,,140.4,10.8,34.9,1019.2,953.0
181,2015-07-02,26.0,14.5,34.2,0.0,,155.0,9.0,30.6,1018.8,928.0
182,2015-07-03,24.9,19.1,33.6,0.6,,143.8,9.0,31.7,1021.3,615.0
183,2015-07-04,25.8,17.8,37.5,7.7,,237.5,9.0,77.0,1017.7,783.0
184,2015-07-05,22.6,16.6,29.6,6.7,,214.6,10.8,87.8,1015.0,375.0
185,2015-07-06,19.0,12.5,24.5,0.0,,258.8,9.7,31.3,1018.7,833.0
186,2015-07-07,20.2,10.9,30.6,9.9,,206.7,8.6,90.0,1009.8,573.0
187,2015-07-08,15.8,12.7,19.2,5.6,,243.3,19.8,55.4,1008.5,144.0
188,2015-07-09,12.7,7.9,17.0,3.1,,268.3,17.3,48.2,1017.2,369.0
189,2015-07-10,13.7,6.4,19.4,0.0,,242.1,9.0,37.8,1021.8,892.0
190,2015-07-11,18.0,7.8,27.5,0.0,,208.3,6.8,30.2,1015.5,718.0
191,2015-07-12,16.5,13.9,22.1,1.9,,249.2,9.7,34.9,1016.3,103.0
192,2015-07-13,15.8,13.9,17.5,9.9,,220.0,9.4,31.3,1014.9,0.0
193,2015-07-14,18.0,15.4,22.9,0.5,,252.9,15.5,40.7,1014.1,88.0
194,2015-07-15,19.1,15.2,24.2,0.0,,258.8,7.6,29.2,1017.6,253.0
195,2015-07-16,20.7,16.1,25.6,0.1,,235.8,9.0,25.2,1016.6,743.0
196,2015-07-17,23.5,15.9,32.5,0.0,,185.4,10.4,42.5,1012.1,617.0
197,2015-07-18,20.3,14.1,25.5,14.1,,305.8,13.7,35.3,1014.4,611.0
198,2015-07-19,16.6,13.0,22.1,7.4,,220.8,11.2,47.2,1009.8,66.0
199,2015-07-20,18.5,11.7,24.0,0.3,,217.5,7.6,25.2,1012.2,383.0
200,2015-07-21,21.7,16.7,27.6,0.3,,231.7,11.9,40.3,1012.3,379.0
201,2015-07-22,20.4,14.7,26.3,0.0,,267.1,9.4,30.2,1012.8,371.0
202,2015-07-23,17.4,11.5,22.7,0.0,,284.6,11.5,34.2,1015.0,459.0
203,2015-07-24,19.3,11.7,26.2,4.2,,149.2,8.3,57.2,1009.8,433.0
204,2015-07-25,16.5,11.0,22.5,2.7,,208.8,27.0,81.0,1003.5,427.0
205,2015-07-26,14.8,10.8,20.6,1.5,,225.0,12.2,46.1,1010.9,471.0
206,2015-07-27,15.7,11.9,20.1,0.8,,207.5,16.9,56.2,1001.2,152.0
207,2015-07-28,14.6,12.0,19.3,0.0,,237.1,19.8,52.6,1004.7,74.0
208,2015-07-29,13.6,10.1,17.5,0.4,,237.9,21.2,64.8,1007.3,441.0
209,2015-07-30,13.6,9.4,19.3,0.0,,267.1,18.0,48.6,1013.3,492.0
210,2015-07-31,12.9,6.9,19.2,0.0,,236.7,8.6,25.6,1018.1,736.0
211,2015-08-01,16.4,6.3,26.1,0.0,,224.2,7.9,21.6,1014.8,567.0
212,2015-08-02,18.9,10.6,26.4,0.0,,187.5,8.6,22.7,1018.2,804.0
213,2015-08-03,21.6,9.8,31.5,0.0,,200.0,7.6,32.8,1015.1,789.0
214,2015-08-04,19.1,12.4,30.5,4.7,,250.0,10.1,50.8,1012.8,388.0
215,2015-08-05,17.6,8.8,25.1,0.0,,172.1,7.2,25.6,1017.2,761.0
216,2015-08-06,22.9,10.2,33.7,0.0,,228.3,8.6,34.2,1013.8,818.0
