,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,2.6,0.4,5.7,1.5,380.0,248.8,39.2,88.9,1031.9,156.0
1,2015-01-03,1.8,-0.6,5.6,15.7,240.0,255.8,32.4,118.1,1025.4,48.0
2,2015-01-04,-2.3,-3.7,0.0,0.5,120.0,290.8,18.4,63.7,1031.9,60.0
3,2015-01-05,-1.2,-4.4,2.3,0.0,130.0,256.7,16.9,39.6,1033.7,210.0
4,2015-01-06,4.1,-0.1,8.0,0.0,120.0,196.7,8.6,40.7,1024.5,420.0
5,2015-01-07,0.5,-0.9,2.3,0.0,100.0,234.6,18.7,53.3,1029.8,18.0
6,2015-01-08,3.5,-0.4,5.5,0.0,90.0,245.4,38.2,102.6,1028.9,12.0
7,2015-01-09,4.6,2.5,7.5,5.4,40.0,245.8,52.6,125.6,1026.1,0.0
8,2015-01-10,10.2,7.0,14.0,6.9,0.0,241.7,57.2,123.5,1016.5,348.0
9,2015-01-11,0.2,-2.4,8.3,7.2,10.0,260.0,37.8,97.2,1021.5,66.0
10,2015-01-12,2.2,-2.2,8.6,0.0,60.0,245.4,42.8,85.3,1025.3,36.0
11,2015-01-13,7.4,4.1,10.7,0.0,30.0,235.8,27.0,62.3,1017.0,504.0
12,2015-01-14,2.6,-0.5,8.4,1.9,0.0,247.9,31.7,82.8,1017.1,30.0
13,2015-01-15,4.9,0.6,9.4,0.0,10.0,144.2,12.2,31.3,1012.4,150.0
14,2015-01-16,7.1,1.2,9.9,2.8,0.0,147.5,18.7,46.1,1005.9,138.0
15,2015-01-17,-0.7,-2.2,2.4,14.2,30.0,216.3,10.8,37.1,1014.8,0.0
16,2015-01-18,-2.3,-3.5,-1.6,0.0,230.0,160.0,5.8,14.0,1017.3,6.0
17,2015-01-19,-2.2,-4.8,0.9,0.0,200.0,203.8,7.2,22.7,1012.4,462.0
18,2015-01-20,-2.0,-3.5,-0.3,0.0,160.0,223.3,6.8,16.9,1010.9,24.0
19,2015-01-21,-4.1,-5.2,-2.9,0.0,110.0,78.3,10.8,27.7,1011.0,0.0
20,2015-01-22,-3.7,-4.6,-2.7,0.1,110.0,201.3,6.5,22.0,1012.7,6.0
21,2015-01-23,-3.4,-4.0,-2.6,0.2,110.0,315.4,7.9,19.8,1021.3,0.0
22,2015-01-24,-3.1,-3.8,-1.5,2.8,110.0,275.4,11.2,32.4,1022.1,0.0
23,2015-01-25,-4.2,-5.5,-3.1,1.8,150.0,295.0,12.6,30.6,1028.6,0.0
24,2015-01-26,-3.9,-5.7,-1.6,8.1,180.0,233.3,18.7,73.1,1025.7,288.0
25,2015-01-27,-2.6,-3.2,-1.5,3.5,300.0,272.1,22.0,70.2,1021.6,24.0
26,2015-01-28,-2.7,-4.1,0.7,5.9,360.0,244.6,19.4,70.9,1016.1,372.0
27,2015-01-29,-1.4,-3.9,0.9,2.4,420.0,232.1,26.3,70.9,994.4,42.0
28,2015-01-30,-3.0,-4.6,2.5,0.9,340.0,218.8,32.4,96.1,979.8,12.0
