,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-03,1.1,0.0,3.1,,,,6.7,,,
1,2015-01-04,3.0,2.0,4.3,,,266.7,10.9,,,
2,2015-01-05,0.9,-2.0,4.4,,,,4.8,,1034.3,
3,2015-01-07,1.4,-1.1,4.9,,,,,,,
4,2015-01-08,4.9,1.0,9.0,,,,12.4,,,
5,2015-01-09,8.4,4.1,11.6,,,233.8,24.5,,,
6,2015-01-10,12.7,6.8,15.0,,,252.5,32.5,,,
7,2015-01-11,4.9,2.9,6.3,,,263.8,23.4,,1020.0,
8,2015-01-12,5.9,5.0,7.6,,,221.7,21.9,,1022.1,
9,2015-01-13,8.0,2.7,12.9,,,227.9,18.5,,1013.3,
10,2015-01-14,5.3,1.4,8.0,,,225.0,19.3,,1013.1,
11,2015-01-15,6.3,0.4,10.4,,,162.1,12.6,,1008.6,
12,2015-01-16,5.8,4.4,9.4,,,209.2,8.1,,,
13,2015-01-17,3.5,-0.5,5.8,,,,4.8,,1015.0,
14,2015-01-18,0.3,-1.6,3.5,,,,6.0,,,
15,2015-01-19,-0.5,-1.7,0.0,,,,3.2,,,
16,2015-01-20,0.4,-0.7,2.4,,,237.5,5.8,,1012.8,
17,2015-01-21,0.2,-2.3,1.9,,,71.7,11.5,,1013.1,
18,2015-01-22,1.4,0.7,2.0,,,,11.3,,1015.6,
19,2015-01-23,1.7,-2.0,3.7,,,,6.3,,1023.9,
20,2015-01-24,-0.4,-2.9,2.4,,,,8.2,,1023.2,
21,2015-01-25,2.1,-0.5,3.7,,,,6.9,,,
22,2015-01-26,1.7,1.0,3.8,,,,9.6,,,
23,2015-01-27,3.3,2.0,4.0,,,272.1,15.3,,,
24,2015-01-28,3.3,1.4,5.1,,,221.7,16.8,,,
25,2015-02-04,-0.5,-2.5,1.6,,,,8.1,,,
26,2015-02-05,-1.3,-3.5,2.0,,,101.3,17.0,,,
27,2015-02-06,-0.5,-2.9,2.4,,,,18.0,,1024.7,
28,2015-02-07,-0.8,-5.8,4.2,,,,7.0,,1029.8,
29,2015-02-08,2.8,-0.2,4.7,,,297.9,12.6,,1028.1,
30,2015-02-11,3.0,1.7,4.4,,,92.9,11.4,,,
31,2015-02-12,1.2,0.0,1.8,,,,7.2,,1024.7,
32,2015-02-13,0.2,-0.6,1.2,,,,8.6,,1020.2,
33,2015-02-14,1.9,-0.1,5.7,,,71.3,12.9,,1012.7,
34,2015-02-15,1.3,-2.6,6.3,,,,8.6,,1014.2,
35,2015-02-16,2.1,0.9,3.1,,,,4.6,,1020.7,
36,2015-02-17,2.7,0.8,5.0,,,,5.3,,1032.1,
37,2015-02-18,3.4,1.2,5.3,,,,5.8,,1040.4,
38,2015-02-19,0.9,0.0,1.8,,,192.9,9.7,,1032.5,
39,2015-02-20,5.0,0.0,11.3,,,,11.8,,1015.8,
40,2015-02-21,5.7,2.2,8.6,,,,12.7,,1000.9,
41,2015-02-22,2.8,-0.1,6.9,,,,6.0,,1009.7,
42,2015-02-23,0.9,-0.6,2.3,,,,6.4,,,
43,2015-02-24,3.4,0.9,6.8,,,,11.6,,1008.4,
44,2015-02-25,3.3,-1.0,7.8,,,,6.6,,,
45,2015-02-26,5.3,3.4,8.4,,,,6.0,,1019.2,
46,2015-02-27,4.7,3.8,6.0,,,,9.4,,1014.0,
47,2015-02-28,3.3,-1.4,7.6,,,,7.6,,,
48,2015-03-01,5.5,1.3,10.8,,,180.4,12.1,,,
49,2015-03-02,7.0,2.0,10.0,,,,19.3,,,
50,2015-03-03,5.1,0.0,10.5,,,,17.0,,1019.6,
51,2015-03-04,3.9,0.3,7.8,,,251.3,15.6,,1025.9,
52,2015-03-05,4.7,1.5,7.8,,,,9.4,,,
53,2015-03-06,4.2,0.1,8.7,,,,5.1,,1037.5,
54,2015-03-07,3.5,-1.4,9.9,,,,2.0,,1033.8,
55,2015-03-08,6.0,-0.7,12.9,,,,2.3,,1027.3,
56,2015-03-09,9.1,2.7,15.3,,,,6.6,,,
57,2015-03-10,6.7,0.8,10.6,,,,6.3,,1027.3,
58,2015-03-11,5.7,1.6,10.0,,,,9.1,,,
59,2015-03-12,5.8,-0.9,11.4,,,,8.9,,1030.3,
60,2015-03-13,4.8,2.2,7.0,,,67.9,15.4,,1025.1,
61,2015-03-14,4.8,3.0,7.0,,,,12.8,,,
62,2015-03-15,4.6,2.8,6.3,,,60.0,14.1,,,
63,2015-03-16,8.0,4.3,13.5,,,,12.3,,1023.4,
64,2015-03-17,11.6,7.5,16.7,,,,11.2,,,
65,2015-03-18,11.7,3.4,19.1,,,,7.1,,1024.3,
66,2015-03-19,10.7,7.4,15.4,,,,13.5,,1025.2,
67,2015-03-20,8.6,4.1,14.3,,,,10.7,,,
68,2015-03-21,5.6,2.3,8.7,,,287.9,11.0,,,
69,2015-03-22,5.5,2.6,8.0,,,42.1,14.4,,1022.6,
70,2015-03-23,4.4,-0.7,9.0,,,,3.9,,1018.0,
71,2015-03-24,6.3,-0.4,12.7,,,,3.4,,1009.4,
72,2015-03-25,10.7,6.7,18.0,,,,14.7,,1004.5,
73,2015-03-26,7.2,4.9,11.0,,,264.2,14.3,,,
74,2015-03-27,7.1,3.1,10.2,,,,14.1,,1017.6,
75,2015-03-28,8.1,3.1,12.7,,,,11.5,,1020.3,
76,2015-03-30,7.9,4.1,11.0,,,265.8,22.3,,1004.8,
77,2015-03-31,9.8,4.3,13.9,,,257.9,31.8,,,
78,2015-04-01,5.3,3.6,8.0,,,262.9,23.2,,,
79,2015-04-02,6.0,4.0,9.3,,,274.6,25.2,,,
80,2015-04-03,5.9,-0.2,11.0,,,,6.7,,1021.1,
81,2015-04-04,5.8,4.0,7.4,,,,7.7,,,
82,2015-04-05,6.2,1.7,11.2,,,,12.6,,1023.3,
83,2015-04-06,6.6,3.2,10.8,,,191.7,11.8,,1028.6,
84,2015-04-07,7.1,-0.8,13.2,,,,5.8,,1035.9,
85,2015-04-30,10.3,6.4,15.3,,,,12.2,,,
86,2015-05-01,9.2,5.6,12.0,,,,7.2,,,
87,2015-05-02,10.9,3.8,15.9,,,,7.1,,1011.3,
88,2015-05-04,17.2,11.4,22.2,,,,9.5,,,
89,2015-05-05,18.8,14.2,23.7,,,,16.8,,,
90,2015-05-06,13.6,7.9,18.2,,,,18.5,,1014.1,
91,2015-05-07,12.4,6.5,17.9,,,,11.5,,1018.9,
92,2015-05-08,15.1,8.8,21.4,,,,5.0,,1015.9,
93,2015-05-09,16.0,11.3,21.1,,,,14.7,,1018.5,
94,2015-05-13,14.4,6.6,20.5,,,,5.1,,1018.6,
