,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,-0.3,-2.1,1.3,1.5,30.0,230.0,23.4,66.2,1029.8,0.0
1,2015-01-03,-0.3,-0.9,0.9,3.6,20.0,242.9,16.6,47.2,1025.0,0.0
2,2015-01-04,-0.4,-0.8,0.1,0.1,40.0,290.8,28.1,56.9,1027.8,0.0
3,2015-01-05,-1.1,-3.3,-0.1,0.0,50.0,267.1,17.6,53.3,1032.0,186.0
4,2015-01-06,-2.6,-4.7,-0.3,0.0,50.0,145.0,6.5,38.2,1028.0,180.0
5,2015-01-07,-1.3,-3.0,-0.2,0.0,50.0,230.4,15.5,36.4,1029.5,0.0
6,2015-01-08,1.5,-1.2,5.1,15.7,50.0,225.0,25.2,87.1,1026.2,0.0
7,2015-01-09,4.0,1.8,6.7,21.2,0.0,254.2,37.1,96.5,1020.8,6.0
8,2015-01-10,8.6,2.5,11.3,5.5,0.0,260.4,42.1,95.4,1010.4,6.0
9,2015-01-11,0.5,-0.8,2.6,0.6,0.0,267.9,32.4,77.4,1016.7,0.0
10,2015-01-12,2.0,0.3,5.0,0.2,0.0,235.8,24.1,59.4,1021.2,0.0
11,2015-01-13,4.7,1.2,9.3,7.0,0.0,214.6,22.0,56.9,1014.8,450.0
12,2015-01-14,3.0,-0.8,7.4,3.3,0.0,238.3,26.6,68.0,1013.8,24.0
13,2015-01-15,0.6,-1.9,2.6,0.8,0.0,216.7,16.6,47.5,1013.4,0.0
14,2015-01-16,1.9,-0.2,4.8,0.7,0.0,164.2,10.1,31.7,1009.3,36.0
15,2015-01-17,0.7,-0.1,2.1,2.0,0.0,235.0,6.5,31.0,1014.3,0.0
16,2015-01-18,-0.8,-2.5,0.6,0.0,0.0,215.4,6.8,24.1,1018.5,30.0
17,2015-01-19,-0.4,-1.3,0.5,0.0,0.0,148.3,10.1,31.7,1013.7,6.0
18,2015-01-20,-1.1,-2.2,-0.1,1.7,0.0,195.8,8.6,29.9,1012.0,0.0
19,2015-01-21,-2.3,-4.0,-1.3,0.0,10.0,135.8,11.2,38.5,1014.5,180.0
20,2015-01-22,-0.8,-2.3,1.0,0.4,0.0,85.0,14.4,32.8,1014.7,0.0
21,2015-01-23,-2.9,-3.5,-2.2,0.0,0.0,244.2,14.4,40.0,1022.9,0.0
22,2015-01-24,-3.1,-4.5,-2.2,0.3,10.0,247.1,10.8,33.8,1022.3,6.0
23,2015-01-25,-1.1,-2.4,-0.2,1.1,20.0,292.9,15.1,38.5,1026.7,48.0
24,2015-01-26,-1.1,-1.6,-0.6,0.8,40.0,232.1,16.2,42.8,1023.1,0.0
25,2015-01-27,-0.7,-1.1,-0.1,0.3,40.0,278.8,21.6,45.4,1018.7,54.0
26,2015-01-28,-0.7,-1.3,0.3,1.6,70.0,229.2,21.6,67.3,1012.7,0.0
27,2015-01-29,-1.0,-2.3,0.5,4.3,50.0,223.3,26.3,53.6,992.2,18.0
28,2015-01-30,-1.8,-3.7,-0.3,1.5,60.0,228.8,20.9,68.8,977.3,12.0
29,2015-01-31,-2.8,-4.3,-1.5,2.4,70.0,238.8,14.4,34.6,984.4,0.0
30,2015-02-01,-2.4,-4.0,-1.5,0.5,110.0,220.4,12.2,27.7,992.1,126.0
31,2015-02-02,-2.1,-3.0,-1.4,0.7,100.0,259.6,14.8,37.4,999.3,60.0
32,2015-02-03,-3.4,-7.9,-1.9,0.0,110.0,237.1,11.9,29.5,1004.7,84.0
33,2015-02-04,-5.3,-8.6,-3.8,0.0,100.0,253.3,9.0,26.6,1013.1,6.0
34,2015-02-05,-6.4,-10.1,-4.1,0.0,100.0,54.6,18.7,51.8,1021.0,348.0
35,2015-02-06,-5.5,-9.7,-1.9,0.0,130.0,42.9,26.3,56.9,1025.8,360.0
36,2015-02-07,-5.0,-9.7,1.5,0.5,190.0,181.7,10.4,43.9,1028.4,546.0
37,2015-02-08,-2.9,-6.4,-0.3,0.0,190.0,321.7,23.0,78.5,1023.6,174.0
38,2015-02-09,-1.3,-5.9,1.4,0.9,190.0,255.4,17.3,43.6,1025.7,0.0
39,2015-02-10,0.5,-0.6,1.1,0.0,200.0,290.0,11.2,28.1,1029.6,18.0
40,2015-02-11,-1.4,-3.4,0.2,0.0,190.0,115.4,7.2,21.2,1029.0,0.0
41,2015-02-12,-3.6,-5.2,-1.9,0.0,180.0,154.2,7.9,23.0,1026.6,0.0
42,2015-02-13,-3.8,-5.3,-1.2,0.0,180.0,160.0,7.6,24.1,1022.7,0.0
43,2015-02-14,-3.6,-4.9,-1.2,0.0,180.0,92.1,9.7,18.7,1016.3,144.0
44,2015-02-15,-1.4,-4.4,0.5,0.0,180.0,74.6,14.4,33.8,1016.4,0.0
45,2015-02-16,0.5,-2.8,3.0,0.0,170.0,102.1,10.8,28.8,1021.7,348.0
