,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,5.7,2.6,8.7,5.2,0.0,245.8,26.3,67.7,1015.2,42.0
1,2015-01-03,3.5,2.1,5.0,3.4,0.0,253.8,23.0,52.2,1014.6,36.0
2,2015-01-04,2.9,1.7,5.0,0.7,0.0,287.5,22.0,48.6,1021.6,216.0
3,2015-01-05,3.5,2.6,4.0,0.1,0.0,269.2,16.9,40.0,1026.1,0.0
4,2015-01-06,2.3,0.7,3.2,0.7,0.0,176.7,11.9,37.8,1023.9,0.0
5,2015-01-07,3.0,-0.2,5.9,0.5,0.0,227.5,13.0,36.7,1022.1,24.0
6,2015-01-08,4.1,2.1,5.8,13.0,0.0,225.8,17.6,43.9,1016.5,0.0
7,2015-01-09,6.2,5.0,7.7,8.9,0.0,252.1,27.0,82.8,1007.4,0.0
8,2015-01-10,7.7,2.9,12.1,5.5,0.0,254.6,27.4,86.0,998.7,0.0
9,2015-01-11,2.8,1.1,4.2,10.0,0.0,260.0,24.1,62.6,1004.4,0.0
10,2015-01-12,6.0,4.1,7.9,4.2,0.0,236.3,21.2,58.7,1007.7,0.0
11,2015-01-13,8.0,6.3,10.0,6.6,0.0,223.8,17.6,47.9,1002.6,0.0
12,2015-01-14,4.0,0.8,7.0,6.9,0.0,232.9,15.5,59.8,1004.9,54.0
13,2015-01-15,4.6,0.8,9.3,3.4,0.0,183.8,19.8,51.8,1002.0,0.0
14,2015-01-16,6.5,4.3,8.3,0.0,0.0,210.0,13.7,39.2,1003.5,216.0
15,2015-01-17,2.8,-0.2,5.4,0.0,0.0,232.9,11.2,31.0,1010.7,336.0
16,2015-01-18,0.5,-1.2,2.5,0.0,0.0,192.1,11.2,24.8,1014.1,90.0
17,2015-01-19,-0.3,-2.7,1.5,0.0,0.0,155.4,9.0,22.3,1012.8,168.0
18,2015-01-20,0.5,-0.5,1.1,1.0,0.0,191.7,5.4,16.6,1010.9,0.0
19,2015-01-21,-2.2,-3.9,-0.1,0.0,0.0,210.4,5.4,16.2,1015.6,0.0
20,2015-01-22,-1.9,-4.0,-0.4,0.0,0.0,36.7,7.6,20.9,1019.6,0.0
21,2015-01-23,-0.9,-2.2,0.2,0.0,0.0,242.9,7.9,30.6,1024.4,6.0
22,2015-01-24,-0.5,-2.3,0.9,0.4,0.0,204.6,13.0,34.9,1018.3,174.0
23,2015-01-25,0.8,-1.3,2.1,0.2,0.0,263.3,11.2,30.6,1023.0,12.0
24,2015-01-26,2.5,0.8,4.4,8.7,0.0,208.8,13.3,38.9,1016.1,0.0
25,2015-01-27,3.0,0.4,5.7,0.0,0.0,292.1,19.1,48.2,1012.6,126.0
26,2015-01-28,3.1,1.0,5.2,6.3,0.0,216.7,18.4,58.3,1002.3,0.0
27,2015-01-29,1.6,0.4,2.7,0.6,0.0,209.6,17.3,44.6,983.1,6.0
28,2015-01-30,0.6,0.3,1.1,5.1,0.0,223.8,8.3,27.7,972.8,0.0
29,2015-01-31,-0.3,-2.1,2.1,0.1,0.0,265.0,11.9,32.4,978.2,180.0
30,2015-02-01,0.1,-2.8,1.2,0.4,0.0,245.0,11.5,37.1,986.6,0.0
31,2015-02-02,0.1,-1.6,2.2,2.1,0.0,250.4,14.8,41.8,992.5,48.0
32,2015-02-03,-0.9,-1.9,0.5,1.2,0.0,281.7,10.4,26.3,999.4,60.0
33,2015-02-04,-1.4,-2.2,-1.1,0.3,10.0,286.7,10.1,22.7,1010.9,0.0
34,2015-02-05,-0.9,-5.3,1.9,0.0,10.0,100.8,6.1,24.8,1023.6,354.0
35,2015-02-06,-3.8,-7.4,1.9,0.0,0.0,259.2,4.0,12.2,1030.7,492.0
36,2015-02-07,0.3,-6.5,4.2,0.1,0.0,266.3,18.4,59.4,1023.1,0.0
37,2015-02-08,1.7,0.3,3.1,1.2,0.0,317.5,17.3,53.3,1020.6,420.0
38,2015-02-09,4.9,2.0,6.1,0.1,0.0,290.4,17.6,41.0,1018.6,0.0
39,2015-02-10,5.6,4.3,7.0,0.0,0.0,292.5,12.2,29.5,1025.1,0.0
40,2015-02-11,3.0,0.8,5.9,0.0,0.0,244.2,6.1,20.2,1026.6,0.0
41,2015-02-12,0.6,-1.6,2.5,0.0,0.0,176.3,7.2,19.4,1022.5,0.0
42,2015-02-13,-1.5,-3.5,0.0,0.0,0.0,162.1,7.9,23.0,1017.9,0.0
43,2015-02-14,0.4,-3.2,6.6,0.0,0.0,104.2,7.2,18.7,1013.5,528.0
44,2015-02-15,1.2,-1.4,5.3,0.0,0.0,66.7,13.0,31.3,1018.9,234.0
45,2015-02-16,0.3,-1.8,2.6,0.0,0.0,113.8,19.8,43.9,1023.0,66.0
46,2015-02-17,0.0,-2.9,3.4,0.0,0.0,193.3,10.8,30.6,1030.0,378.0
47,2015-02-18,3.1,0.4,7.3,0.0,0.0,236.3,11.9,33.1,1036.1,282.0
48,2015-02-19,2.8,0.0,6.7,0.0,0.0,224.2,14.8,40.7,1025.1,522.0
49,2015-02-20,3.1,-1.8,7.1,3.3,0.0,200.0,14.4,39.2,1010.1,54.0
50,2015-02-21,4.9,1.8,7.8,0.0,0.0,203.3,17.3,61.6,995.5,18.0
51,2015-02-22,2.6,-0.4,6.8,0.0,0.0,225.0,10.4,29.9,1005.9,168.0
52,2015-02-23,1.7,0.4,2.9,4.6,0.0,181.3,15.8,49.3,996.5,0.0
53,2015-02-24,3.7,0.5,6.7,0.0,0.0,203.8,15.5,38.5,1002.6,282.0
54,2015-02-25,3.1,-0.2,7.6,0.0,0.0,215.4,10.8,31.0,1015.7,312.0
55,2015-02-26,4.3,-0.1,9.4,0.0,0.0,167.5,12.6,42.1,1018.0,582.0
56,2015-02-27,3.4,0.3,7.1,1.5,0.0,196.7,10.8,27.7,1011.8,180.0
57,2015-02-28,2.6,-0.9,6.3,0.0,0.0,233.3,12.6,32.8,1016.0,258.0
58,2015-03-01,3.3,1.1,7.7,9.8,0.0,196.3,16.2,48.2,1001.1,24.0
59,2015-03-02,3.5,1.1,6.1,6.1,0.0,231.3,18.7,63.7,997.6,60.0
60,2015-03-03,3.1,0.6,7.2,5.2,0.0,241.7,18.7,51.1,1010.6,240.0
61,2015-03-04,2.6,0.5,5.6,2.4,0.0,243.8,15.8,42.8,1016.8,138.0
62,2015-03-05,3.8,0.9,7.0,0.0,0.0,292.9,12.6,40.0,1030.4,42.0
63,2015-03-06,6.2,4.0,9.7,0.0,0.0,244.6,13.0,32.4,1031.7,66.0
64,2015-03-07,8.0,4.2,11.6,0.0,0.0,210.8,14.8,40.3,1027.7,198.0
65,2015-03-08,11.1,6.6,17.2,0.0,0.0,205.4,14.0,37.1,1021.9,546.0
66,2015-03-09,6.6,1.7,11.0,0.0,0.0,223.3,7.6,28.8,1025.0,258.0
67,2015-03-10,6.7,2.6,11.8,0.2,0.0,243.3,14.0,31.7,1023.9,216.0
68,2015-03-11,4.8,1.8,10.5,0.0,0.0,290.8,14.4,38.9,1026.7,300.0
69,2015-03-12,3.4,-1.3,6.8,0.0,0.0,75.8,11.2,28.1,1032.1,126.0
70,2015-03-13,2.3,-2.8,7.4,0.0,0.0,41.3,11.9,33.1,1028.8,96.0
71,2015-03-14,4.2,2.2,6.4,0.2,0.0,46.7,13.3,31.7,1028.7,0.0
72,2015-03-15,5.1,3.3,6.8,0.0,0.0,75.4,13.3,35.6,1031.1,0.0
73,2015-03-16,7.8,3.6,11.2,0.0,0.0,95.8,17.6,50.8,1030.0,462.0
74,2015-03-17,10.1,4.8,15.4,0.0,0.0,115.4,15.1,37.4,1028.2,552.0
75,2015-03-18,7.7,-0.3,14.3,0.0,0.0,115.4,13.0,34.9,1027.2,654.0
76,2015-03-19,4.8,-3.0,13.0,0.0,0.0,135.0,5.0,18.7,1027.3,666.0
77,2015-03-20,4.9,-1.6,12.4,0.2,0.0,245.4,7.2,22.3,1021.7,594.0
78,2015-03-21,2.9,0.0,4.7,4.8,0.0,176.3,12.2,47.5,1015.6,0.0
79,2015-03-22,1.2,-3.4,5.3,0.0,0.0,92.9,9.4,41.0,1026.6,552.0
80,2015-03-23,3.9,-1.4,9.4,0.0,0.0,195.8,9.4,31.7,1015.4,582.0
81,2015-03-24,5.4,0.5,10.7,0.0,0.0,220.4,4.0,19.4,1008.3,30.0
82,2015-03-25,6.5,-2.4,14.2,0.0,0.0,135.0,7.6,32.4,1007.1,492.0
83,2015-03-26,6.1,3.4,9.8,0.0,0.0,239.6,9.4,28.4,1005.2,0.0
84,2015-03-27,6.1,4.1,9.5,2.9,0.0,222.9,10.8,40.7,1010.6,72.0
85,2015-03-28,6.8,4.1,9.9,0.9,0.0,229.6,12.2,36.7,1015.4,126.0
86,2015-03-29,8.7,5.3,11.1,18.8,0.0,,16.9,84.6,993.5,6.0
87,2015-03-30,5.0,3.0,7.3,11.3,0.0,267.1,27.7,77.0,991.9,84.0
88,2015-03-31,4.3,0.3,8.0,,0.0,,27.0,102.6,988.0,12.0
89,2015-04-01,3.7,0.8,8.6,2.9,0.0,277.9,25.2,68.4,1003.7,240.0
90,2015-04-02,3.3,0.6,8.8,0.3,0.0,277.9,18.0,48.6,1006.6,360.0
