,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-03,2.0,1.0,3.0,,,242.1,18.6,,,
1,2015-01-06,2.8,1.0,5.0,,,,9.7,,,
2,2015-01-07,2.9,1.0,5.0,,,231.3,16.5,,,
3,2015-01-08,4.3,1.0,7.0,,,220.4,24.1,,,
4,2015-01-09,6.4,4.0,9.0,,,244.6,30.5,,,
5,2015-01-10,9.3,3.0,12.0,,,255.4,33.5,,,
6,2015-01-15,6.6,2.0,9.0,,,193.3,31.4,,,
7,2015-01-16,5.0,3.0,6.0,,,,15.3,,,
8,2015-01-17,2.0,-1.0,4.0,,,239.2,10.7,,,
9,2015-01-18,0.6,-2.0,3.0,,,165.0,16.3,,,
10,2015-01-19,-1.2,-4.0,1.0,,,,7.0,,,
11,2015-01-20,-1.4,-2.0,0.0,,,,5.6,,,
12,2015-01-22,-1.3,-2.0,0.0,,,,10.5,,,
13,2015-01-23,-2.0,-3.0,-1.0,,,,5.4,,,
14,2015-01-24,-1.8,-6.0,0.0,,,,11.9,,,
15,2015-01-25,0.9,0.0,2.0,,,257.9,11.2,,,
16,2015-01-26,2.3,1.0,4.0,,,216.3,17.0,,,
17,2015-01-27,1.8,0.0,3.0,,,275.0,13.2,,,
18,2015-01-28,2.6,1.0,4.0,,,217.1,27.2,,,
19,2015-01-30,-0.8,-3.0,1.0,,,230.4,16.5,,,
20,2015-01-31,0.0,-1.0,2.0,,,225.8,14.9,,,
21,2015-02-01,-0.3,-1.0,1.0,,,223.3,13.4,,,
22,2015-02-02,-0.2,-1.0,0.0,,,260.4,15.2,,,
23,2015-02-03,-0.8,-3.0,1.0,,,255.4,12.4,,,
24,2015-02-04,-2.8,-5.0,-1.0,,,,6.0,,,
25,2015-02-07,-3.4,-9.0,1.0,,,,10.8,,,
26,2015-02-08,1.1,-1.0,2.0,,,306.3,15.6,,,
27,2015-02-09,2.7,1.0,4.0,,,275.0,16.9,,,
28,2015-02-10,3.3,3.0,4.0,,,,8.9,,,
29,2015-02-11,1.8,-2.0,4.0,,,132.1,11.7,,,
30,2015-02-12,-1.0,-5.0,3.0,,,,7.0,,,
31,2015-02-13,1.8,-3.0,6.0,,,130.0,15.3,,,
32,2015-02-16,2.1,-3.0,8.0,,,,10.2,,,
33,2015-02-17,0.0,-3.0,2.0,,,,7.0,,,
34,2015-02-18,2.4,-1.0,6.0,,,,5.6,,,
35,2015-02-19,1.1,-2.0,5.0,,,,10.5,,,
36,2015-02-20,3.8,-3.0,7.0,,,,21.9,,,
37,2015-02-21,3.5,0.0,6.0,,,222.1,17.9,,,
38,2015-02-24,3.2,2.0,5.0,,,209.6,23.1,,,
39,2015-02-25,3.8,1.0,7.0,,,212.1,15.8,,,
40,2015-02-26,5.1,3.0,8.0,,,174.2,14.9,,,
41,2015-02-27,3.5,2.0,7.0,,,,11.3,,,
42,2015-02-28,2.0,-1.0,6.0,,,198.3,15.0,,,
43,2015-03-01,5.8,4.0,9.0,,,211.7,27.5,,,
44,2015-03-02,3.6,-1.0,6.0,,,245.0,22.3,,,
45,2015-03-03,2.9,0.0,6.0,,,234.6,25.2,,,
46,2015-03-04,2.3,0.0,4.0,,,252.9,18.9,,,
47,2015-03-05,2.9,1.0,5.0,,,268.3,12.5,,,
48,2015-03-06,3.8,0.0,6.0,,,226.7,13.5,,,
49,2015-03-07,7.5,2.0,14.0,,,172.1,17.6,,,
50,2015-03-08,11.6,7.0,18.0,,,,15.3,,,
51,2015-03-10,6.4,3.0,9.0,,,,10.2,,,
52,2015-03-11,2.8,1.0,6.0,,,,6.7,,,
53,2015-03-12,3.3,-2.0,9.0,,,,10.8,,,
54,2015-03-13,3.0,1.0,5.0,,,108.8,16.5,,,
55,2015-03-14,1.8,0.0,3.0,,,,8.4,,,
56,2015-03-15,3.5,2.0,5.0,,,72.9,14.0,,,
57,2015-03-17,8.9,4.0,15.0,,,122.1,14.0,,,
58,2015-03-18,8.9,3.0,15.0,,,,7.6,,,
59,2015-03-20,2.3,0.0,4.0,,,,6.0,,,
60,2015-03-22,1.5,0.0,3.0,,,97.1,17.6,,,
61,2015-03-23,4.7,-2.0,11.0,,,,7.9,,,
62,2015-03-24,5.7,2.0,9.0,,,,6.3,,,
63,2015-03-25,7.9,5.0,14.0,,,190.8,15.9,,,
64,2015-03-28,6.0,0.0,11.0,,,,17.0,,,
65,2015-03-30,4.5,2.0,6.0,,,264.2,25.6,,,
66,2015-03-31,5.8,2.0,10.0,,,246.7,31.4,,,
67,2015-04-01,1.6,-1.0,4.0,,,269.6,22.1,,,
68,2015-04-02,2.3,-1.0,5.0,,,,19.5,,,
69,2015-04-03,3.7,0.0,7.0,,,,10.9,,,
70,2015-04-04,2.3,-1.0,6.0,,,,9.5,,,
71,2015-04-05,2.8,-3.0,8.0,,,,6.5,,,
72,2015-04-06,4.1,1.0,9.0,,,,6.3,,,
73,2015-04-07,4.7,-2.0,9.0,,,,10.6,,,
74,2015-04-30,7.7,4.0,11.0,,,,14.4,,,
75,2015-05-01,6.2,2.0,11.0,,,,9.8,,,
76,2015-05-05,16.6,8.0,23.0,,,,,,,
77,2015-05-06,12.0,9.0,16.0,,,199.6,22.3,,,
78,2015-05-07,10.1,7.0,14.0,,,,18.6,,,
79,2015-05-08,12.1,6.0,17.0,,,,7.0,,,
80,2015-05-09,14.2,12.0,18.0,,,,17.1,,,
81,2015-05-10,11.3,7.0,16.0,,,,12.0,,,
82,2015-05-13,11.8,5.0,18.0,,,,12.5,,,
83,2015-05-14,9.5,6.0,14.0,,,,6.8,,,
84,2015-05-15,10.3,3.0,16.0,,,,8.0,,,
85,2015-05-16,8.2,3.0,11.0,,,,11.4,,,
