,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,3.1,0.7,6.2,0.5,0.0,212.9,11.9,39.6,1032.2,6.0
1,2015-01-03,1.7,0.2,3.8,18.1,0.0,211.7,6.8,54.0,1027.0,0.0
2,2015-01-04,2.9,0.2,5.0,0.0,0.0,290.8,7.9,28.4,1033.9,18.0
3,2015-01-05,0.8,-2.7,5.1,0.0,0.0,265.4,4.7,12.6,1035.0,354.0
4,2015-01-06,-2.2,-3.5,-1.2,0.2,0.0,211.3,3.6,8.6,1027.9,0.0
5,2015-01-07,2.2,-1.2,5.8,1.6,0.0,216.3,7.6,23.0,1031.0,312.0
6,2015-01-08,5.7,1.9,10.3,5.7,0.0,174.2,9.7,64.1,1027.2,0.0
7,2015-01-09,9.7,5.7,14.4,2.9,0.0,247.1,21.6,70.6,1023.9,0.0
8,2015-01-10,13.0,6.3,16.0,1.1,0.0,263.8,28.4,79.6,1015.6,42.0
9,2015-01-11,5.6,3.5,7.2,0.0,0.0,270.0,23.4,62.3,1021.8,324.0
10,2015-01-12,6.6,5.6,7.9,0.0,0.0,227.9,16.6,41.0,1022.7,0.0
11,2015-01-13,8.6,4.0,13.7,2.7,0.0,212.9,12.2,54.0,1013.7,330.0
12,2015-01-14,5.2,1.3,8.2,2.7,0.0,239.6,14.4,61.6,1014.4,78.0
13,2015-01-15,7.4,2.2,12.0,1.1,0.0,166.3,10.4,42.8,1008.5,78.0
14,2015-01-16,5.7,4.0,8.5,0.6,0.0,230.4,5.0,17.6,1008.7,0.0
15,2015-01-17,3.5,-0.7,6.6,0.0,0.0,290.0,6.5,24.5,1016.4,138.0
16,2015-01-18,0.5,-1.6,4.5,0.0,0.0,175.0,5.8,18.7,1018.0,126.0
17,2015-01-19,-0.2,-0.6,0.1,0.4,0.0,162.1,4.7,13.7,1013.8,0.0
18,2015-01-20,0.6,-0.5,2.8,0.1,0.0,281.7,4.3,17.6,1013.7,54.0
19,2015-01-21,0.6,-1.7,2.3,0.0,0.0,71.7,9.0,27.7,1013.7,0.0
20,2015-01-22,1.6,1.0,2.2,0.0,0.0,171.7,11.2,31.7,1016.7,0.0
21,2015-01-23,1.9,-2.0,4.3,0.0,0.0,254.6,9.7,28.4,1025.0,0.0
22,2015-01-24,0.1,-2.9,3.1,2.3,0.0,239.6,6.8,42.1,1024.1,0.0
23,2015-01-25,2.9,1.7,4.3,0.8,0.0,260.8,7.6,41.0,1030.5,0.0
24,2015-01-26,2.4,1.4,5.4,3.6,0.0,215.4,8.6,45.0,1024.4,0.0
25,2015-01-27,3.7,2.7,4.9,0.7,0.0,275.4,11.5,36.0,1023.6,6.0
26,2015-01-28,3.7,1.4,5.1,2.2,0.0,230.8,13.3,45.4,1012.7,0.0
27,2015-01-29,2.7,0.6,5.2,4.7,0.0,230.0,11.2,31.0,991.0,84.0
28,2015-01-30,1.7,-0.9,3.9,0.0,,251.3,11.9,52.2,978.9,126.0
29,2015-01-31,1.9,0.2,4.6,4.4,,225.0,8.3,28.8,985.0,156.0
30,2015-02-01,1.1,-0.7,2.8,1.4,,223.3,5.0,32.8,992.6,102.0
31,2015-02-02,2.1,0.0,4.3,0.2,,274.2,12.6,40.3,1002.2,204.0
32,2015-02-03,0.4,-2.0,4.1,0.0,,225.8,4.7,19.4,1006.0,66.0
33,2015-02-04,-0.1,-2.4,2.2,0.0,,148.3,7.2,24.5,1014.7,180.0
34,2015-02-05,-1.2,-3.7,2.2,0.0,,157.1,12.2,43.2,1021.2,54.0
35,2015-02-06,0.0,-3.3,3.7,0.0,,55.4,12.6,47.9,1025.5,420.0
36,2015-02-07,-0.3,-5.5,5.1,0.2,,290.8,7.6,25.9,1030.7,528.0
37,2015-02-08,3.1,-0.4,5.5,0.0,,302.9,10.8,40.3,1029.5,222.0
38,2015-02-09,3.7,2.0,5.8,0.4,,,9.7,29.5,1030.9,6.0
39,2015-02-10,4.3,1.9,6.2,0.0,,,,,,0.0
40,2015-02-11,3.3,2.2,4.8,0.0,0.0,107.9,9.0,24.1,1028.5,0.0
41,2015-02-12,1.7,1.0,2.2,0.0,0.0,140.4,6.8,15.5,1025.3,0.0
42,2015-02-13,0.2,-1.3,1.7,0.0,0.0,135.4,7.2,16.9,1020.6,0.0
43,2015-02-14,1.8,-1.9,6.5,0.0,0.0,100.8,7.6,31.0,1013.1,168.0
44,2015-02-15,0.1,-2.7,4.7,0.0,0.0,268.8,5.8,22.7,1015.5,396.0
45,2015-02-16,1.5,-0.8,2.8,0.0,0.0,155.0,4.7,15.8,1021.9,0.0
46,2015-02-17,2.8,0.9,4.8,0.0,0.0,266.7,6.8,24.1,1033.7,0.0
47,2015-02-18,3.9,1.3,5.9,0.0,0.0,171.7,6.5,18.7,1041.0,0.0
48,2015-02-19,0.9,-0.3,1.7,0.0,0.0,192.9,9.0,26.6,1032.9,0.0
49,2015-02-20,6.3,0.7,11.8,0.0,0.0,153.3,10.1,54.4,1015.3,174.0
50,2015-02-21,5.4,0.8,9.2,0.9,0.0,262.5,12.2,42.8,1001.8,6.0
51,2015-02-22,3.5,0.0,7.8,0.1,0.0,267.1,6.5,28.8,1010.6,234.0
52,2015-02-23,2.0,-0.1,4.2,5.6,0.0,112.1,5.8,25.9,1002.2,0.0
53,2015-02-24,3.9,-0.1,7.7,0.0,0.0,239.6,9.7,37.8,1009.6,174.0
54,2015-02-25,3.7,-0.7,8.3,0.6,0.0,229.2,8.3,27.7,1020.2,408.0
55,2015-02-26,5.8,4.1,8.4,6.8,0.0,91.7,5.0,15.1,1019.4,18.0
56,2015-02-27,4.8,2.8,6.5,3.2,0.0,201.3,7.6,40.0,1015.3,0.0
57,2015-02-28,3.3,-1.0,8.3,0.7,0.0,238.8,7.2,29.2,1021.1,588.0
58,2015-03-01,6.7,1.3,12.3,0.8,0.0,187.5,9.0,42.8,1008.2,84.0
59,2015-03-02,6.7,1.7,11.6,0.7,0.0,255.4,18.0,66.2,1008.9,318.0
60,2015-03-03,5.8,0.3,11.6,0.3,0.0,241.3,16.2,50.0,1020.9,486.0
61,2015-03-04,4.5,1.3,9.3,1.6,0.0,259.6,12.6,51.8,1027.4,378.0
62,2015-03-05,4.9,1.5,8.7,0.0,0.0,305.8,13.0,55.1,1037.6,258.0
63,2015-03-06,4.2,-0.6,9.7,0.0,0.0,220.0,6.1,19.4,1038.3,198.0
64,2015-03-07,4.0,-1.2,10.5,0.0,0.0,222.1,4.7,12.6,1034.3,240.0
65,2015-03-08,5.9,-0.8,12.7,0.0,0.0,209.6,4.0,13.7,1027.9,438.0
66,2015-03-09,9.5,3.8,16.1,0.0,0.0,220.0,6.5,20.2,1026.9,558.0
67,2015-03-10,6.7,2.4,10.3,0.4,0.0,275.4,7.9,25.6,1028.5,12.0
68,2015-03-11,5.8,0.5,10.9,0.0,0.0,274.2,10.1,24.5,1031.4,654.0
69,2015-03-12,5.3,-1.0,12.0,0.0,0.0,165.0,7.2,29.5,1031.0,630.0
70,2015-03-13,5.1,0.8,8.4,0.0,0.0,81.3,13.0,42.5,1025.7,306.0
