,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.5,4.5,9.0,0.6,0.0,251.7,29.2,75.6,1017.9,54.0
1,2015-01-03,4.3,2.5,5.5,0.5,0.0,255.0,27.7,56.9,1017.0,0.0
2,2015-01-04,3.8,2.0,5.6,0.3,0.0,285.8,24.1,49.3,1023.4,204.0
3,2015-01-05,3.7,3.1,4.2,0.0,0.0,269.6,22.3,49.7,1027.9,0.0
4,2015-01-06,2.4,0.4,3.4,0.6,0.0,175.4,12.2,40.3,1025.0,0.0
5,2015-01-07,3.4,-0.8,6.4,0.6,0.0,228.3,14.0,31.7,1023.8,36.0
6,2015-01-08,4.6,2.4,7.1,11.0,0.0,224.2,16.6,59.0,1018.4,0.0
7,2015-01-09,6.6,3.6,9.0,18.8,0.0,259.6,27.7,94.7,1010.2,0.0
8,2015-01-10,8.9,5.3,13.1,4.2,0.0,258.3,31.3,100.8,1001.2,0.0
9,2015-01-11,3.4,1.0,5.4,8.2,0.0,262.1,30.6,68.8,1007.0,6.0
10,2015-01-12,6.4,3.7,7.7,2.6,0.0,238.8,22.0,53.6,1010.3,0.0
11,2015-01-13,8.9,7.2,11.5,3.1,0.0,222.9,19.4,49.0,1004.6,12.0
12,2015-01-14,5.1,2.0,7.7,1.8,0.0,234.6,18.4,67.7,1006.5,120.0
13,2015-01-15,5.2,0.4,9.4,2.8,0.0,177.5,18.4,46.4,1003.7,0.0
14,2015-01-16,6.7,3.7,9.3,0.0,0.0,200.4,11.2,34.6,1005.1,156.0
15,2015-01-17,3.2,-1.4,5.5,0.0,0.0,238.3,12.2,32.8,1012.1,336.0
16,2015-01-18,-0.5,-3.0,3.3,0.0,0.0,165.4,8.3,18.0,1015.4,186.0
17,2015-01-19,-1.0,-4.1,1.3,0.0,0.0,138.3,8.3,18.4,1013.7,180.0
18,2015-01-20,0.3,-1.4,1.0,3.6,0.0,212.1,5.4,15.5,1011.8,0.0
19,2015-01-21,-2.0,-3.4,0.1,0.0,50.0,184.2,6.5,16.6,1016.5,0.0
20,2015-01-22,-1.4,-2.9,-0.3,0.0,30.0,35.0,11.2,22.7,1020.0,0.0
21,2015-01-23,-1.6,-4.4,-0.4,0.0,30.0,285.0,7.9,22.3,1025.4,30.0
22,2015-01-24,-0.2,-1.9,1.6,1.6,20.0,201.7,11.5,30.2,1019.6,228.0
23,2015-01-25,0.7,-1.3,2.0,0.2,30.0,260.0,13.0,30.6,1024.5,0.0
24,2015-01-26,3.0,1.5,4.5,7.0,0.0,209.6,11.2,,1017.8,0.0
25,2015-01-27,3.4,0.5,5.8,0.0,0.0,289.6,20.9,44.6,1014.4,78.0
26,2015-01-28,3.8,1.6,6.4,4.3,0.0,217.5,17.6,52.2,1004.4,54.0
27,2015-01-29,1.7,0.1,3.1,1.9,0.0,210.0,16.9,48.6,985.0,12.0
28,2015-01-30,0.7,0.2,1.2,4.8,0.0,219.2,9.0,25.2,973.7,0.0
29,2015-01-31,0.5,-1.3,1.7,0.8,20.0,258.8,10.1,29.9,979.6,78.0
30,2015-02-01,1.7,0.7,3.5,0.0,0.0,247.5,14.8,36.7,988.1,6.0
31,2015-02-02,1.0,-0.5,3.0,1.4,0.0,250.8,18.0,40.3,994.3,36.0
32,2015-02-03,-0.1,-1.5,1.2,0.5,10.0,289.6,11.2,24.8,1000.7,0.0
33,2015-02-04,-1.2,-2.2,-0.6,1.6,10.0,285.0,11.2,23.0,1012.3,6.0
34,2015-02-05,-1.5,-4.7,1.0,0.0,20.0,150.0,6.8,17.6,1024.3,276.0
35,2015-02-06,-4.0,-7.3,0.8,0.0,10.0,152.9,5.4,16.2,1031.3,510.0
36,2015-02-07,-0.3,-7.0,4.7,0.6,10.0,259.2,18.0,58.0,1025.2,0.0
37,2015-02-08,1.9,-0.2,3.4,0.8,0.0,312.5,25.6,55.8,1022.3,432.0
38,2015-02-09,5.2,1.9,6.6,0.0,0.0,290.4,22.0,51.5,1020.3,0.0
39,2015-02-10,5.8,4.6,6.8,0.0,0.0,296.3,14.8,31.7,1026.6,0.0
40,2015-02-11,4.9,2.4,6.0,0.0,0.0,228.8,7.2,22.7,1027.5,0.0
41,2015-02-12,0.8,-1.5,2.4,0.0,0.0,165.4,7.9,19.4,1023.5,0.0
42,2015-02-13,-0.9,-2.7,1.3,0.0,0.0,150.0,7.6,20.9,1018.7,36.0
43,2015-02-14,0.1,-3.1,6.2,0.0,0.0,109.6,7.6,17.6,1014.0,504.0
44,2015-02-15,1.2,-3.2,6.0,0.0,0.0,70.8,12.2,27.4,1019.0,306.0
45,2015-02-16,1.1,-1.6,4.1,0.0,0.0,115.4,19.1,44.3,1023.4,180.0
46,2015-02-17,0.0,-4.0,2.7,0.0,0.0,199.6,9.0,23.8,1031.0,108.0
47,2015-02-18,3.6,0.4,8.5,0.0,0.0,243.8,12.6,31.7,1037.7,420.0
48,2015-02-19,2.4,-2.1,6.4,0.0,0.0,232.1,14.0,41.0,1027.0,516.0
49,2015-02-20,3.4,-3.3,8.4,0.9,0.0,189.2,11.9,40.7,1011.6,108.0
50,2015-02-21,5.4,1.6,8.7,0.0,0.0,202.5,16.9,59.0,997.2,42.0
51,2015-02-22,3.0,-0.2,7.0,0.1,0.0,230.0,12.6,33.5,1007.4,300.0
52,2015-02-23,1.6,0.1,3.2,4.3,0.0,172.1,14.4,42.8,997.9,0.0
53,2015-02-24,3.5,-0.8,7.9,0.0,0.0,187.9,12.2,36.4,1004.2,300.0
54,2015-02-25,3.2,-0.7,9.0,0.0,0.0,217.1,11.2,37.1,1016.9,390.0
55,2015-02-26,3.2,-2.3,10.2,0.0,0.0,154.2,12.2,38.9,1019.0,576.0
56,2015-02-27,3.1,-1.5,7.7,1.0,0.0,188.8,12.6,28.8,1012.8,174.0
57,2015-02-28,2.8,-0.6,6.9,0.2,0.0,232.1,13.0,29.5,1017.5,282.0
58,2015-03-01,4.3,0.7,9.5,3.1,0.0,190.0,16.2,40.3,1002.5,48.0
59,2015-03-02,4.9,1.7,8.2,2.5,0.0,232.9,22.7,68.8,999.5,174.0
60,2015-03-03,4.0,1.6,7.7,2.6,0.0,247.1,22.0,52.2,1012.5,234.0
61,2015-03-04,3.0,0.8,6.6,2.2,0.0,248.3,19.1,56.2,1018.6,126.0
62,2015-03-05,4.5,1.5,7.6,0.0,0.0,296.3,16.6,40.0,1031.9,42.0
63,2015-03-06,6.1,4.5,9.4,0.0,0.0,244.6,14.4,32.4,1033.3,36.0
64,2015-03-07,8.4,3.4,13.2,0.0,0.0,205.4,11.5,35.6,1029.4,258.0
65,2015-03-08,11.7,3.8,18.6,0.0,0.0,198.8,12.6,31.0,1023.4,576.0
66,2015-03-09,7.7,3.1,11.8,0.0,0.0,240.0,10.4,25.2,1026.0,390.0
