,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,4.9,1.5,8.1,4.0,0.0,234.6,16.2,40.7,1028.6,6.0
1,2015-01-03,2.0,0.0,3.9,8.9,0.0,207.9,10.1,27.7,1025.2,0.0
2,2015-01-04,2.9,0.7,5.8,0.0,0.0,282.9,10.1,32.4,1032.9,378.0
3,2015-01-05,0.8,-1.5,4.8,0.0,0.0,196.3,7.9,20.9,1033.4,408.0
4,2015-01-06,-0.3,-3.7,2.4,1.3,0.0,178.3,8.6,27.4,1024.7,174.0
5,2015-01-07,3.2,0.5,6.2,2.6,0.0,219.6,12.2,33.5,1028.4,288.0
6,2015-01-08,5.7,2.1,8.9,11.8,0.0,213.3,17.6,57.2,1023.9,0.0
7,2015-01-09,8.8,4.6,14.7,9.0,0.0,235.8,16.2,61.9,1020.9,0.0
8,2015-01-10,11.6,4.1,14.6,2.1,0.0,269.6,19.4,65.2,1013.5,18.0
9,2015-01-11,4.3,2.6,6.0,0.1,0.0,267.5,16.6,60.1,1019.6,30.0
10,2015-01-12,6.9,5.8,8.2,0.0,0.0,223.3,19.8,53.3,1018.7,0.0
11,2015-01-13,9.0,6.3,11.9,4.2,0.0,204.6,19.8,60.5,1009.4,174.0
12,2015-01-14,4.3,1.3,7.7,2.4,0.0,224.2,14.8,74.5,1011.3,90.0
13,2015-01-15,8.5,4.2,11.3,0.2,0.0,195.8,23.4,65.2,1003.4,0.0
14,2015-01-16,6.2,3.7,7.5,0.1,0.0,205.4,9.7,27.7,1006.8,0.0
15,2015-01-17,2.8,-0.9,5.1,0.0,0.0,256.7,8.3,30.2,1015.1,180.0
16,2015-01-18,1.3,-1.9,4.1,0.0,0.0,161.3,14.0,39.6,1015.1,18.0
17,2015-01-19,-0.4,-2.5,2.4,1.0,0.0,134.2,6.5,25.2,1012.3,222.0
18,2015-01-20,0.0,-1.7,1.4,0.7,0.0,202.5,3.6,15.8,1012.9,0.0
19,2015-01-21,-0.9,-4.1,1.2,0.0,0.0,111.3,9.0,21.6,1012.8,54.0
20,2015-01-22,0.5,-0.3,1.0,0.0,0.0,153.8,6.1,17.6,1017.0,0.0
21,2015-01-23,0.4,-1.6,1.4,0.0,0.0,297.5,6.5,18.0,1025.0,0.0
22,2015-01-24,-0.5,-3.3,1.4,7.0,0.0,205.8,8.6,25.9,1022.5,0.0
23,2015-01-25,1.5,-0.8,3.5,5.7,60.0,271.7,5.0,18.7,1029.5,0.0
24,2015-01-26,2.9,1.6,5.3,8.0,0.0,223.8,16.2,42.8,1021.9,0.0
25,2015-01-27,3.4,2.1,4.8,5.5,0.0,287.9,11.9,39.2,1022.6,0.0
26,2015-01-28,3.7,2.1,5.9,2.9,0.0,220.8,18.7,64.1,1009.4,54.0
27,2015-01-29,2.7,0.7,6.0,4.3,0.0,214.6,14.8,52.9,987.6,126.0
28,2015-01-30,1.3,0.0,3.1,0.1,0.0,253.8,9.0,33.8,977.3,24.0
29,2015-01-31,2.2,-0.2,5.7,0.0,0.0,223.3,10.8,29.5,982.9,240.0
30,2015-02-01,0.7,-0.7,3.5,5.7,0.0,215.4,7.9,24.8,991.2,60.0
31,2015-02-02,1.2,0.4,2.3,1.5,0.0,279.6,12.6,45.0,1000.9,0.0
32,2015-02-03,0.7,-0.7,2.1,1.3,0.0,260.8,4.7,18.0,1004.9,30.0
33,2015-02-04,-1.1,-3.6,2.0,0.0,0.0,288.3,5.8,18.7,1014.5,228.0
34,2015-02-05,-2.2,-4.7,-0.1,0.0,0.0,90.0,8.3,34.2,1022.2,84.0
35,2015-02-06,-0.9,-3.6,3.1,0.0,0.0,55.8,11.9,38.2,1026.5,444.0
36,2015-02-07,-0.6,-5.8,3.6,4.8,0.0,268.8,7.9,34.6,1030.7,510.0
37,2015-02-08,2.8,0.6,4.0,0.4,0.0,317.1,13.3,37.8,1029.6,96.0
38,2015-02-09,3.6,2.3,4.6,1.2,0.0,286.7,13.7,35.6,1030.0,0.0
39,2015-02-10,4.4,3.6,5.2,0.1,0.0,243.8,6.8,21.6,1031.2,0.0
40,2015-02-11,3.0,0.7,5.2,0.0,0.0,128.3,13.7,29.2,1026.6,210.0
41,2015-02-12,2.2,-0.3,5.5,0.0,0.0,130.4,13.3,25.6,1022.5,372.0
42,2015-02-13,2.6,-0.9,7.8,0.0,0.0,120.0,13.0,35.3,1016.7,486.0
43,2015-02-14,5.1,1.8,9.5,0.0,0.0,122.5,15.8,37.4,1009.8,378.0
44,2015-02-15,3.9,-1.4,9.9,0.0,0.0,125.8,8.3,23.0,1013.4,540.0
45,2015-02-16,1.7,-1.4,4.8,0.0,0.0,130.0,13.0,28.4,1019.9,306.0
46,2015-02-17,2.1,0.0,3.9,0.3,0.0,225.8,4.3,16.9,1032.7,0.0
47,2015-02-18,3.5,0.3,5.2,0.0,0.0,154.6,5.4,21.6,1039.7,0.0
48,2015-02-19,0.6,-1.0,3.1,0.0,0.0,151.7,14.8,37.8,1029.9,252.0
49,2015-02-20,6.1,0.5,9.5,0.4,0.0,188.8,17.6,57.6,1011.9,6.0
50,2015-02-21,4.8,1.0,7.5,1.0,0.0,243.3,11.5,46.8,999.8,108.0
51,2015-02-22,3.5,1.2,7.5,4.4,0.0,243.3,7.9,46.8,1008.9,258.0
52,2015-02-23,3.3,0.8,6.6,6.9,0.0,193.3,18.0,48.2,998.4,132.0
53,2015-02-24,4.5,2.4,7.4,1.9,0.0,213.8,14.4,45.4,1006.9,210.0
54,2015-02-25,3.9,1.7,8.5,3.2,0.0,204.2,12.2,30.6,1018.2,306.0
55,2015-02-26,6.0,2.4,9.3,9.8,0.0,167.1,14.0,40.3,1016.9,252.0
56,2015-02-27,4.6,1.5,6.0,2.5,0.0,264.2,11.5,40.7,1014.7,0.0
57,2015-02-28,3.8,-0.6,8.6,4.0,0.0,202.9,14.0,49.3,1018.4,594.0
58,2015-03-01,7.6,4.0,11.9,4.0,0.0,212.1,16.9,57.2,1004.5,102.0
59,2015-03-02,5.3,2.3,9.4,1.6,0.0,262.5,14.8,68.0,1007.1,282.0
60,2015-03-03,4.6,1.5,9.9,1.6,0.0,229.2,15.1,52.6,1018.4,222.0
61,2015-03-04,4.1,0.5,7.9,0.5,0.0,260.4,13.0,46.1,1025.8,186.0
62,2015-03-05,4.6,2.1,7.7,0.0,0.0,290.0,8.6,30.2,1037.2,42.0
63,2015-03-06,4.8,0.7,9.2,0.0,0.0,179.6,6.5,24.8,1036.5,72.0
64,2015-03-07,6.7,0.1,12.7,0.0,0.0,160.8,10.1,27.7,1031.2,198.0
65,2015-03-08,9.8,1.5,18.2,0.0,0.0,159.6,8.3,24.1,1025.1,516.0
66,2015-03-09,8.6,6.3,12.8,0.0,0.0,202.9,6.5,18.4,1026.5,180.0
67,2015-03-10,7.6,3.4,11.1,1.0,0.0,276.7,5.4,16.6,1027.8,60.0
68,2015-03-11,4.3,-0.6,10.0,0.0,0.0,230.0,5.4,17.3,1031.2,630.0
69,2015-03-12,5.3,-1.2,12.2,0.0,0.0,107.9,7.2,22.3,1030.1,648.0
70,2015-03-13,4.0,-0.7,7.1,0.0,0.0,103.3,13.3,31.7,1025.2,228.0
71,2015-03-14,3.5,0.0,7.0,0.4,0.0,101.7,7.9,23.0,1026.6,48.0
72,2015-03-15,4.3,1.9,6.7,0.6,0.0,57.5,9.0,28.8,1025.9,6.0
73,2015-03-16,5.9,-0.1,12.3,0.0,0.0,129.2,6.5,23.0,1023.5,516.0
74,2015-03-17,9.5,2.1,17.6,0.0,0.0,98.8,6.8,17.6,1024.2,606.0
75,2015-03-18,9.8,2.7,16.6,0.0,0.0,250.4,9.4,33.5,1025.7,606.0
76,2015-03-19,6.2,5.2,7.3,0.2,0.0,306.3,8.6,26.3,1027.9,0.0
77,2015-03-20,5.9,3.8,9.3,0.0,0.0,301.3,5.4,21.2,1024.7,234.0
78,2015-03-21,4.6,3.1,7.0,3.2,0.0,294.2,8.3,34.6,1018.5,6.0
79,2015-03-22,4.7,0.2,8.3,0.0,0.0,135.8,11.9,34.9,1023.4,288.0
80,2015-03-23,5.0,-1.8,11.4,0.0,0.0,138.8,7.9,23.8,1016.7,546.0
81,2015-03-24,7.9,4.4,11.6,0.0,0.0,117.5,5.4,24.5,1008.4,216.0
82,2015-03-25,6.1,4.3,7.7,0.0,0.0,261.3,10.1,27.4,1006.6,0.0
83,2015-03-26,6.0,4.3,10.7,1.1,0.0,242.1,10.8,42.5,1008.8,126.0
84,2015-03-27,7.1,4.9,10.3,0.0,0.0,274.6,13.3,45.4,1017.7,60.0
85,2015-03-28,8.2,3.7,12.2,2.0,0.0,203.8,13.3,42.8,1017.9,168.0
86,2015-03-29,10.5,7.2,12.8,12.9,0.0,,17.6,64.4,1001.8,0.0
87,2015-03-30,7.2,3.9,9.5,1.7,0.0,278.8,20.2,62.3,1005.4,300.0
88,2015-03-31,8.7,4.1,13.1,12.3,0.0,261.7,28.4,88.6,1002.3,276.0
89,2015-04-01,5.5,2.7,8.0,4.9,0.0,279.6,20.9,70.2,1017.1,186.0
90,2015-04-02,5.5,2.1,8.9,2.6,0.0,281.3,17.3,62.6,1016.6,264.0
91,2015-04-03,6.2,0.5,11.2,0.4,0.0,201.7,5.8,19.8,1020.1,498.0
92,2015-04-04,5.5,2.9,8.7,1.7,0.0,135.4,10.1,40.3,1017.8,246.0
93,2015-04-05,5.0,-0.6,10.6,0.0,0.0,217.5,6.1,26.3,1024.9,456.0
94,2015-04-06,4.9,1.6,9.5,0.0,0.0,281.3,7.2,23.4,1030.3,180.0
95,2015-04-07,6.6,-0.9,13.2,0.0,0.0,235.8,5.8,23.4,1036.1,606.0
96,2015-04-08,7.6,2.7,13.1,0.0,0.0,289.6,5.8,24.5,1033.4,522.0
97,2015-04-09,12.4,2.8,20.5,0.0,0.0,155.4,6.8,20.5,1026.8,720.0
98,2015-04-10,15.4,5.5,23.2,0.0,0.0,177.9,7.9,28.1,1020.0,708.0
99,2015-04-11,12.7,6.2,16.0,0.3,0.0,227.9,14.0,57.2,1020.8,60.0
100,2015-04-12,11.3,4.3,17.7,0.1,0.0,222.9,7.9,28.4,1028.2,714.0
101,2015-04-13,10.3,6.4,13.6,0.0,0.0,276.7,10.8,44.6,1030.3,402.0
102,2015-04-14,14.5,6.0,23.0,0.0,0.0,231.7,11.9,43.9,1026.4,714.0
103,2015-04-15,18.0,11.2,25.3,0.0,0.0,249.6,9.0,26.6,1017.5,774.0
104,2015-04-16,13.7,7.9,19.1,0.2,0.0,249.2,7.2,25.9,1014.4,552.0
105,2015-04-17,9.8,5.4,14.3,0.0,0.0,89.2,9.7,36.4,1017.4,564.0
106,2015-04-18,8.7,1.7,14.4,0.0,0.0,67.5,6.8,37.1,1025.3,798.0
107,2015-04-19,9.4,0.7,16.9,0.0,0.0,96.3,4.7,27.4,1022.1,792.0
108,2015-04-20,12.5,4.0,19.6,0.0,0.0,227.1,6.1,32.0,1026.6,798.0
109,2015-04-21,13.5,4.9,21.3,0.0,0.0,192.1,5.8,32.0,1029.8,816.0
110,2015-04-22,8.7,4.1,14.6,0.0,0.0,258.3,7.9,36.0,1027.3,498.0
111,2015-04-23,10.4,1.3,18.1,0.0,0.0,111.7,1.4,19.8,1019.1,798.0
112,2015-04-24,14.6,4.1,23.0,0.1,0.0,194.2,7.2,30.6,1012.7,750.0
113,2015-04-25,13.4,11.3,15.9,4.7,0.0,204.6,8.6,24.5,1008.8,24.0
114,2015-04-26,13.7,11.4,18.3,23.5,0.0,231.7,7.6,29.9,1006.4,222.0
115,2015-04-27,8.7,5.9,11.7,1.0,0.0,293.8,9.4,33.5,1006.4,0.0
116,2015-04-28,7.6,2.5,12.8,0.0,0.0,300.4,9.7,46.4,1016.5,606.0
117,2015-04-29,9.0,0.9,14.5,0.0,0.0,192.5,7.9,31.0,1018.3,486.0
118,2015-04-30,8.5,5.2,11.1,6.5,0.0,222.1,7.9,28.8,1013.4,30.0
119,2015-05-01,8.0,3.0,13.9,0.0,,161.7,4.7,15.8,1009.1,366.0
120,2015-05-02,10.2,2.3,15.7,0.0,,171.3,6.1,22.0,1011.2,408.0
121,2015-05-03,13.5,9.5,16.6,6.5,,144.6,12.2,31.3,1004.8,6.0
122,2015-05-04,16.8,12.6,21.9,0.3,,193.3,11.2,43.6,1007.0,390.0
123,2015-05-05,17.8,12.3,23.4,1.3,,196.3,19.1,64.4,1003.1,306.0
124,2015-05-06,13.3,9.9,17.6,1.6,,209.6,16.2,57.6,1012.9,612.0
125,2015-05-07,12.5,8.1,17.6,0.0,,216.3,8.3,34.9,1018.2,582.0
126,2015-05-08,14.2,8.2,20.3,0.0,,82.1,1.8,22.7,1015.6,294.0
127,2015-05-09,15.5,12.6,20.8,0.6,,242.9,11.2,70.9,1018.0,270.0
128,2015-05-10,14.7,10.8,19.6,0.0,,235.4,7.2,25.2,1025.9,654.0
129,2015-05-11,18.7,10.1,25.9,0.0,,137.1,10.8,29.9,1021.6,540.0
130,2015-05-12,18.4,9.2,26.3,0.0,,237.1,12.6,48.6,1017.4,474.0
131,2015-05-13,14.6,8.0,20.5,0.0,,222.5,6.8,27.7,1018.0,720.0
132,2015-05-14,12.6,6.6,18.2,1.3,,232.1,5.8,20.2,1012.7,612.0
133,2015-05-15,13.2,8.4,18.8,0.0,,251.7,10.1,35.3,1016.0,474.0
134,2015-05-16,10.8,6.1,13.8,0.3,,259.6,6.5,35.6,1023.8,84.0
135,2015-05-17,12.5,5.3,19.0,0.0,,253.8,6.8,30.6,1024.2,480.0
136,2015-05-18,14.9,7.2,21.6,0.8,,198.8,13.0,42.1,1010.5,546.0
137,2015-05-19,11.3,7.2,16.2,0.0,,241.3,12.2,42.1,1008.5,378.0
138,2015-05-20,10.4,6.8,15.2,0.0,,255.8,10.1,39.2,1015.1,516.0
139,2015-05-21,11.8,5.3,17.7,0.0,,284.2,6.8,31.3,1025.0,576.0
140,2015-05-22,14.7,9.6,20.2,0.0,,285.8,5.4,23.4,1025.1,786.0
141,2015-05-23,14.5,8.3,21.2,0.0,,279.2,8.3,29.9,1021.0,126.0
142,2015-05-24,15.2,10.2,20.4,0.1,,317.5,5.8,27.0,1018.8,408.0
143,2015-05-25,12.7,9.7,16.4,2.6,,276.3,6.5,27.7,1015.7,102.0
144,2015-05-26,11.1,7.1,14.2,0.0,,318.3,9.4,29.5,1020.6,54.0
145,2015-05-27,12.3,7.7,17.2,0.0,,251.3,7.2,36.0,1023.4,318.0
146,2015-05-28,14.5,9.5,19.1,0.0,,236.3,14.0,42.5,1015.2,198.0
147,2015-05-29,12.7,8.2,16.2,2.6,,208.3,11.9,39.6,1011.1,252.0
148,2015-05-30,10.9,7.3,16.2,0.0,,240.0,9.4,49.7,1014.7,336.0
149,2015-05-31,14.8,8.1,19.8,3.6,,192.1,15.8,46.8,1013.0,198.0
150,2015-06-01,13.5,9.5,18.1,1.4,,202.5,7.6,45.4,1015.7,348.0
151,2015-06-02,17.0,11.0,22.6,0.7,,194.6,15.8,49.3,1013.6,49.0
152,2015-06-03,16.5,12.3,19.9,0.0,,273.8,12.2,43.6,1021.9,320.0
153,2015-06-04,17.9,9.2,25.0,0.0,,122.5,7.2,22.3,1025.7,901.0
154,2015-06-05,23.9,13.1,32.8,10.6,,140.4,11.2,43.9,1018.3,893.0
155,2015-06-06,17.9,11.6,21.2,0.0,,270.8,10.1,31.7,1023.2,431.0
156,2015-06-07,16.0,8.5,21.6,0.0,,315.4,9.0,29.2,1028.4,821.0
157,2015-06-08,14.4,9.5,19.0,0.0,,269.6,11.9,35.3,1027.6,652.0
158,2015-06-09,13.4,8.8,18.5,0.0,,89.2,11.2,36.7,1027.3,534.0
159,2015-06-10,16.6,8.3,23.2,0.0,,113.8,7.9,34.6,1024.4,583.0
160,2015-06-11,19.2,13.3,25.5,0.0,,116.7,8.3,36.4,1018.6,604.0
161,2015-06-12,20.0,10.7,29.3,15.3,,128.3,9.0,54.0,1011.4,654.0
162,2015-06-13,18.7,14.3,23.7,5.3,,237.1,7.6,30.2,1010.3,389.0
163,2015-06-14,18.3,11.5,23.8,0.0,,284.2,6.8,25.9,1011.3,882.0
164,2015-06-15,15.3,11.2,19.4,0.0,,265.0,8.3,23.4,1017.8,189.0
165,2015-06-16,13.1,7.2,17.4,0.0,,239.2,9.4,33.1,1023.5,723.0
166,2015-06-17,15.2,5.4,22.0,11.9,,221.7,6.1,24.1,1023.1,746.0
167,2015-06-18,16.0,10.4,19.6,1.0,,276.7,13.7,48.2,1016.6,299.0
168,2015-06-19,11.3,9.9,15.6,9.1,,291.7,7.9,40.7,1018.9,44.0
169,2015-06-20,11.9,9.3,14.6,0.5,,280.0,6.5,22.3,1020.5,17.0
170,2015-06-21,15.3,11.1,19.9,10.5,,207.9,10.4,40.7,1015.8,266.0
171,2015-06-22,12.1,8.9,13.9,21.4,,240.0,8.3,30.6,1009.9,0.0
172,2015-06-23,11.4,8.9,15.9,7.4,,279.2,9.0,42.5,1013.6,93.0
173,2015-06-24,13.5,10.7,19.1,0.0,,250.4,6.5,24.5,1022.3,290.0
174,2015-06-25,18.4,11.2,25.1,0.0,,215.0,5.4,25.2,1022.1,624.0
175,2015-06-26,21.1,14.8,26.7,3.1,,222.9,9.0,29.9,1019.1,309.0
176,2015-06-27,19.0,12.6,22.5,0.0,,251.3,12.2,39.2,1017.5,440.0
177,2015-06-28,18.8,11.6,23.6,0.0,,171.7,6.8,25.2,1021.3,592.0
178,2015-06-29,20.9,14.7,25.1,0.0,,255.0,8.3,30.6,1020.7,750.0
179,2015-06-30,21.6,12.2,28.4,0.0,,139.2,4.7,18.7,1020.8,929.0
180,2015-07-01,25.4,17.1,32.1,0.0,,112.1,12.2,31.3,1017.8,934.0
181,2015-07-02,28.7,21.6,34.9,0.5,,121.3,13.3,34.2,1017.9,781.0
182,2015-07-03,26.0,19.7,32.6,0.0,,203.8,6.5,20.5,1022.2,735.0
183,2015-07-04,28.8,22.9,35.0,0.1,,182.9,9.0,28.8,1018.2,703.0
184,2015-07-05,23.5,16.2,34.8,5.5,,238.8,9.4,79.6,1016.1,374.0
185,2015-07-06,19.9,14.6,25.4,0.0,,226.3,6.5,31.3,1020.4,928.0
186,2015-07-07,21.5,12.9,30.4,2.5,,162.5,7.9,68.8,1010.9,413.0
187,2015-07-08,16.4,13.6,19.4,0.0,,248.3,13.0,52.6,1012.0,116.0
188,2015-07-09,14.5,8.9,18.3,1.8,,287.5,11.2,45.0,1020.3,293.0
189,2015-07-10,15.8,6.6,22.8,0.0,,145.8,5.8,22.7,1022.7,908.0
190,2015-07-11,21.3,12.5,28.6,0.0,,194.2,11.5,43.6,1015.9,723.0
191,2015-07-12,17.0,13.2,20.9,1.1,,272.9,6.8,28.8,1018.7,314.0
192,2015-07-13,16.6,14.4,18.0,6.5,,228.8,6.5,34.9,1017.4,0.0
193,2015-07-14,19.0,16.5,21.3,0.0,,267.1,10.8,40.0,1017.1,3.0
194,2015-07-15,20.2,16.7,26.3,0.0,,252.1,5.4,20.2,1019.1,262.0
195,2015-07-16,22.8,17.7,28.7,0.6,,172.9,5.8,25.6,1017.0,555.0
196,2015-07-17,27.7,20.6,34.2,0.0,,210.0,11.2,44.6,1012.6,697.0
197,2015-07-18,22.2,17.4,27.2,14.8,,287.1,8.6,30.2,1016.0,730.0
198,2015-07-19,18.0,14.9,20.8,3.2,,222.5,6.5,28.4,1011.4,65.0
199,2015-07-20,19.8,15.8,23.9,6.5,,210.4,5.4,19.1,1013.6,20.0
200,2015-07-21,22.8,19.4,27.3,0.0,,220.4,7.9,25.6,1014.0,372.0
