,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,5.6,1.5,8.7,3.3,0.0,253.8,34.9,87.5,1010.7,60.0
1,2015-01-03,3.9,2.5,5.1,3.8,0.0,267.9,32.4,73.4,1010.6,0.0
2,2015-01-04,3.1,1.9,4.2,4.2,0.0,306.7,24.1,49.7,1018.7,306.0
3,2015-01-05,2.6,-1.0,4.5,0.4,0.0,295.0,12.6,51.5,1025.1,0.0
4,2015-01-06,0.0,-1.8,1.8,0.0,0.0,162.1,12.2,47.5,1026.2,300.0
5,2015-01-07,1.8,-0.7,5.1,0.5,0.0,222.1,15.8,40.0,1021.4,60.0
6,2015-01-08,3.6,2.1,5.3,7.8,0.0,228.8,20.2,47.5,1015.1,0.0
7,2015-01-09,5.6,3.9,7.0,5.6,0.0,260.4,33.8,86.4,1003.3,42.0
8,2015-01-10,6.6,2.7,11.2,9.1,0.0,258.3,35.3,91.4,994.5,0.0
9,2015-01-11,3.6,2.2,4.7,0.9,0.0,269.6,38.5,79.2,999.1,108.0
10,2015-01-12,5.9,4.0,7.9,6.3,0.0,245.4,24.8,50.0,1004.8,0.0
11,2015-01-13,6.9,4.7,8.7,7.0,0.0,232.9,19.1,51.5,1001.6,0.0
12,2015-01-14,3.7,0.8,5.8,4.9,0.0,232.9,17.3,62.3,1003.8,48.0
13,2015-01-15,3.5,0.8,8.4,3.5,0.0,195.4,19.4,46.1,1003.0,0.0
14,2015-01-16,6.1,4.1,8.2,0.0,0.0,216.7,17.3,43.6,1003.1,216.0
15,2015-01-17,2.9,0.1,5.0,0.0,0.0,237.9,14.8,39.2,1009.9,342.0
16,2015-01-18,0.5,-1.0,2.2,0.9,0.0,201.7,12.2,27.4,1015.1,186.0
17,2015-01-19,0.1,-1.4,2.0,0.2,0.0,167.1,10.4,28.1,1014.9,0.0
18,2015-01-20,1.1,0.0,1.7,2.7,0.0,145.4,10.1,28.8,1012.7,0.0
19,2015-01-21,-0.1,-1.8,0.6,0.5,10.0,258.3,9.7,23.8,1015.7,0.0
20,2015-01-22,-2.0,-4.2,-0.3,0.0,0.0,263.3,5.4,14.8,1020.9,0.0
21,2015-01-23,-1.1,-4.2,0.4,0.1,0.0,297.1,10.4,24.8,1024.6,0.0
22,2015-01-24,-1.1,-3.0,1.0,0.4,0.0,205.0,16.2,53.6,1018.6,12.0
23,2015-01-25,1.1,-1.3,3.3,0.0,0.0,267.9,12.2,25.2,1022.1,228.0
24,2015-01-26,1.8,0.8,3.7,6.9,0.0,203.3,14.4,34.6,1016.0,0.0
25,2015-01-27,2.7,-0.1,3.7,1.1,0.0,309.2,19.8,43.9,1010.6,0.0
26,2015-01-28,2.5,-0.5,4.1,3.7,0.0,217.5,19.1,51.1,1001.7,0.0
27,2015-01-29,1.5,0.2,3.2,0.3,0.0,215.0,22.0,55.1,982.7,72.0
28,2015-01-30,0.3,-0.2,0.7,6.1,0.0,189.6,7.6,30.6,974.2,0.0
29,2015-01-31,0.2,-0.9,1.0,5.9,30.0,294.6,17.3,39.6,976.2,0.0
30,2015-02-01,0.4,-1.2,2.0,2.0,60.0,243.3,18.4,38.2,985.1,126.0
31,2015-02-02,-0.6,-1.8,2.1,4.3,60.0,256.3,15.5,41.4,990.7,60.0
32,2015-02-03,-1.9,-2.6,-1.1,0.5,110.0,298.3,9.7,24.5,998.8,0.0
33,2015-02-04,-1.5,-2.3,-0.4,0.0,100.0,310.0,7.9,18.0,1010.9,0.0
34,2015-02-05,-2.2,-5.2,2.0,0.7,90.0,188.8,5.8,20.9,1025.2,234.0
35,2015-02-06,-2.4,-6.1,1.4,0.0,80.0,275.8,12.6,33.1,1030.9,450.0
36,2015-02-07,2.3,0.3,4.4,0.0,70.0,276.3,30.2,73.4,1019.1,6.0
37,2015-02-08,1.8,0.5,2.7,0.2,0.0,329.6,29.2,65.9,1018.3,522.0
38,2015-02-09,4.3,2.3,6.1,0.0,0.0,292.1,25.9,53.3,1016.1,372.0
39,2015-02-10,3.8,2.0,5.8,0.0,0.0,288.3,20.2,50.4,1023.7,0.0
40,2015-02-11,2.4,0.2,3.8,0.0,0.0,278.8,13.0,31.0,1026.8,0.0
41,2015-02-12,0.5,-0.6,1.3,0.0,0.0,219.2,7.9,20.2,1023.6,0.0
42,2015-02-13,-0.6,-1.5,0.4,0.0,0.0,195.0,8.3,20.5,1019.2,0.0
43,2015-02-14,0.5,-2.9,4.0,0.0,0.0,,,,,480.0
