,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2018-01-28,5.1,3.2,6.4,0.0,0.0,242.9,19.5,39.0,1032.4,
1,2018-01-29,7.1,5.8,7.9,0.2,0.0,239.2,23.1,54.0,1027.9,
2,2018-01-30,3.4,-0.8,7.4,1.3,0.0,254.6,12.4,51.0,1028.6,
3,2018-02-01,2.3,-0.1,5.1,1.2,0.0,224.2,13.1,37.0,1003.3,
4,2018-02-02,1.0,-0.1,1.7,0.6,10.0,227.5,14.9,32.0,1006.2,
5,2018-02-03,1.0,-1.3,1.8,0.0,0.0,263.3,10.8,37.0,1007.0,
6,2018-02-04,-1.4,-3.0,0.0,1.9,20.0,87.5,10.4,41.0,1016.5,
7,2018-02-05,-2.7,-4.5,-1.3,0.0,0.0,70.4,18.0,40.0,1026.1,
8,2018-02-08,-3.0,-5.3,0.3,0.0,0.0,199.6,6.1,16.0,1020.2,
9,2018-02-09,-3.0,-6.4,-0.9,0.0,0.0,95.0,5.4,19.0,1018.8,
10,2018-02-10,-0.2,-1.2,1.1,0.0,0.0,173.3,7.0,20.0,1017.4,
11,2018-02-11,0.3,-0.4,1.1,0.7,10.0,219.2,11.8,32.0,1008.9,
12,2018-02-12,-0.1,-3.9,1.4,0.5,10.0,256.3,11.0,33.0,1013.3,
13,2018-02-13,,,,0.0,10.0,65.0,8.3,20.0,,
14,2018-02-14,-3.2,-7.8,2.3,0.0,0.0,61.3,10.5,20.0,1020.1,
15,2018-02-15,-1.6,-3.8,0.9,2.5,10.0,99.6,12.1,27.0,1020.2,
16,2018-02-16,0.2,-0.3,0.9,1.3,20.0,190.0,5.0,18.0,1026.1,
17,2018-02-17,0.2,-2.4,2.3,0.0,10.0,65.8,12.8,37.0,1024.7,
18,2018-02-18,-0.2,-4.2,3.4,0.0,10.0,85.0,8.7,24.0,1028.2,
19,2018-02-21,-1.6,-4.8,1.4,0.0,10.0,96.3,14.2,39.0,1022.6,
20,2018-02-22,-1.8,-3.5,0.5,0.0,10.0,64.6,27.0,59.0,1022.2,
21,2018-02-23,-3.8,-6.1,-0.3,0.0,10.0,64.2,25.8,50.0,1022.0,
22,2018-02-24,-4.4,-8.1,-0.6,0.0,10.0,72.9,24.3,60.0,1025.7,
23,2018-02-25,-7.0,-10.7,-3.6,0.0,10.0,62.5,20.3,46.0,1029.2,
24,2018-02-26,-8.4,-10.3,-6.1,0.0,20.0,60.0,18.5,52.0,1026.6,
25,2018-02-27,-9.3,-12.8,-5.2,0.0,20.0,63.3,20.6,48.0,1021.3,
26,2018-02-28,-9.7,-12.6,-6.4,0.0,20.0,70.4,20.3,44.0,1022.4,
27,2018-03-01,-6.7,-10.8,-1.6,0.0,20.0,75.0,30.7,54.0,1012.6,
28,2018-03-02,-5.7,-9.0,-1.6,0.0,20.0,72.1,22.7,50.0,1002.1,
29,2018-03-03,-2.9,-5.9,0.2,0.5,20.0,82.5,15.1,28.0,1001.4,
30,2018-03-04,0.6,-3.4,6.0,0.0,20.0,86.7,14.8,27.0,1002.4,
31,2018-03-05,3.2,-1.2,8.4,0.0,20.0,87.1,10.0,26.0,998.9,
32,2018-03-06,-0.4,-2.8,1.9,0.0,20.0,117.5,5.8,15.0,993.9,
