,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2018-01-28,7.7,4.6,10.0,1.8,0.0,234.2,25.2,55.0,1026.3,
1,2018-01-29,8.8,5.7,9.8,5.6,0.0,250.4,30.9,69.0,1022.8,
2,2018-01-30,3.9,2.5,5.7,0.0,0.0,239.6,12.9,40.0,1026.8,
3,2018-02-01,2.1,1.1,3.5,0.8,0.0,222.1,16.8,40.0,998.9,
4,2018-02-02,2.7,1.1,4.5,1.4,0.0,251.7,13.7,42.0,1001.5,
5,2018-02-03,0.7,-1.3,2.4,2.8,0.0,188.8,8.9,28.0,1006.8,
6,2018-02-04,-1.1,-2.1,0.2,1.2,40.0,155.4,8.3,25.0,1019.3,
7,2018-02-05,-0.2,-2.0,0.9,1.2,0.0,69.6,9.0,32.0,1027.8,
8,2018-02-08,,,,0.0,0.0,132.1,3.5,16.0,,
9,2018-02-09,-1.6,-3.9,1.8,0.0,0.0,156.7,9.4,26.0,1015.5,
10,2018-02-10,-0.1,-2.4,2.1,0.2,10.0,175.4,8.3,33.0,1014.3,
11,2018-02-11,2.1,0.5,5.2,4.5,10.0,214.2,20.3,51.0,1001.5,
12,2018-02-12,1.2,0.0,3.3,1.3,10.0,245.8,16.1,45.0,1010.4,
13,2018-02-13,,,,0.0,10.0,167.5,10.4,31.0,,
14,2018-02-14,0.5,-2.7,4.4,0.0,0.0,133.3,12.9,31.0,1017.1,
15,2018-02-15,2.1,-0.1,4.2,0.6,10.0,182.9,14.8,40.0,1013.4,
16,2018-02-16,2.2,-1.1,5.7,0.0,0.0,203.8,8.3,36.0,1023.5,
17,2018-02-17,0.0,-2.8,4.2,0.0,0.0,122.5,3.0,14.0,1025.5,
18,2018-02-18,0.8,-2.8,5.1,0.0,0.0,145.8,7.4,22.0,1026.8,
19,2018-02-21,-0.7,-3.6,2.4,0.0,0.0,42.9,7.0,24.0,1026.1,
20,2018-02-22,-0.6,-3.4,2.0,0.0,0.0,77.1,6.3,31.0,1026.2,
21,2018-02-23,-0.9,-2.5,1.0,0.0,0.0,64.6,10.6,34.0,1025.1,
22,2018-02-24,-2.2,-5.1,1.2,0.0,0.0,84.2,14.8,46.0,1028.7,
23,2018-02-25,-4.2,-7.2,-1.8,0.0,0.0,56.3,10.9,31.0,1032.2,
24,2018-02-26,-4.3,-5.7,-2.6,0.0,10.0,30.8,10.6,32.0,1030.5,
25,2018-02-27,-5.8,-8.2,-3.1,0.8,10.0,53.8,6.6,25.0,1024.3,
26,2018-02-28,-9.3,-11.9,-6.7,0.2,20.0,76.7,14.3,44.0,1024.5,
27,2018-03-01,-7.8,-10.1,-4.6,0.0,20.0,80.4,21.0,56.0,1015.1,
28,2018-03-02,-7.5,-11.0,-3.6,0.0,10.0,77.9,19.5,44.0,1004.4,
29,2018-03-03,-5.2,-9.3,-0.8,0.0,10.0,84.2,16.9,39.0,1001.4,
30,2018-03-04,1.6,-2.6,7.1,0.1,10.0,106.7,10.6,32.0,998.4,
31,2018-03-05,6.4,1.1,10.3,1.1,0.0,175.4,12.5,37.0,995.0,
32,2018-03-06,5.1,0.2,11.8,0.0,0.0,108.3,6.6,22.0,992.2,
33,2018-03-07,4.2,0.5,9.5,1.9,0.0,98.3,3.2,16.0,994.4,
34,2018-03-08,5.1,2.8,8.0,5.4,0.0,215.0,19.5,50.0,999.3,
35,2018-03-09,5.3,2.8,8.5,0.0,0.0,209.6,15.5,42.0,1005.4,
36,2018-03-10,10.1,5.0,15.3,3.6,0.0,165.4,12.9,31.0,1001.2,
37,2018-03-11,11.8,8.7,16.1,0.0,0.0,157.9,12.0,45.0,996.2,
38,2018-03-12,9.2,5.5,14.1,0.0,0.0,157.9,7.4,29.0,992.7,
39,2018-03-13,6.6,4.0,9.2,8.1,0.0,260.8,14.0,33.0,1000.4,
40,2018-03-14,3.6,2.1,6.5,0.8,0.0,211.7,9.1,26.0,1011.6,
41,2018-03-15,,,,0.0,,,,44.0,,
