,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2018-01-29,9.7,8.7,10.7,,,235.8,11.5,,1029.0,
1,2018-01-30,6.6,4.2,9.9,,,115.8,6.6,,1029.1,
2,2018-02-01,3.4,1.3,6.2,,,191.7,8.1,,1003.1,
3,2018-02-02,3.5,2.0,5.2,,,203.8,9.7,,1005.3,
4,2018-02-05,0.6,-1.0,3.2,,,71.7,8.7,,1024.7,
5,2018-02-08,-2.4,-4.9,0.3,,,157.9,5.2,,1021.2,
6,2018-02-09,-2.1,-5.7,1.0,,,70.0,4.9,,1017.3,
7,2018-02-10,2.1,0.9,3.9,,,155.8,8.8,,1016.6,
8,2018-02-11,3.3,1.9,5.5,,,200.0,9.9,,1006.7,
9,2018-02-12,2.3,0.3,4.8,,,202.5,7.3,,1014.2,
10,2018-02-13,1.0,-2.9,4.7,,,117.1,7.0,,1015.5,
11,2018-02-14,0.1,-4.7,5.1,,,115.0,7.0,,1017.4,
12,2018-02-16,2.3,-1.0,7.0,,,132.5,5.0,,1025.9,
13,2018-02-17,0.3,-2.2,4.5,,,171.3,4.6,,1024.4,
14,2018-02-18,-0.5,-4.0,6.2,,,129.2,5.6,,1027.8,
15,2018-02-21,2.0,-2.6,6.4,,,196.7,8.2,,1023.1,
16,2018-02-22,0.9,-1.2,3.5,,,91.7,10.5,,1022.4,
17,2018-02-23,-0.1,-2.3,2.7,,,76.3,12.1,,1021.3,
18,2018-02-24,-1.1,-4.5,2.9,,,84.2,13.0,,1024.0,
19,2018-02-25,-2.8,-5.8,-0.1,,,74.2,11.6,,1028.1,
20,2018-02-26,-4.3,-6.9,-2.3,,,97.9,11.5,,1027.4,
21,2018-02-27,-5.5,-9.4,-2.8,,,89.2,9.3,,1021.7,
22,2018-03-01,-3.7,-6.8,1.1,,,90.4,14.1,,1008.5,
23,2018-03-02,-3.1,-5.3,-0.6,,,90.4,10.7,,999.8,
24,2018-03-03,-0.8,-2.8,1.3,,,100.4,8.5,,999.0,
25,2018-03-04,4.7,0.3,10.0,,,86.7,7.7,,998.2,
26,2018-03-05,7.3,2.0,12.7,,,98.3,6.0,,996.1,
27,2018-03-06,5.4,-1.3,12.8,,,149.2,5.1,,992.4,
28,2018-03-07,5.5,1.1,8.4,,,147.5,7.3,,996.3,
29,2018-03-08,6.3,3.5,10.4,,,208.3,9.8,,1003.6,
30,2018-03-09,5.6,2.7,8.0,,,41.3,5.4,,1008.1,
31,2018-03-10,10.7,7.5,14.7,,,112.5,6.5,,1003.3,
32,2018-03-11,11.2,7.4,14.5,,,82.1,6.9,,997.3,
33,2018-03-12,10.0,7.5,13.1,,,162.9,6.6,,995.0,
34,2018-03-13,7.6,5.0,9.7,,,254.2,12.0,,1003.7,
35,2018-03-14,7.5,4.8,12.3,,,116.7,6.2,,1011.5,
36,2018-03-15,7.7,4.3,11.8,,,102.1,9.3,,999.6,
37,2018-03-16,7.8,3.2,10.4,,,91.3,6.0,,1001.4,
38,2018-03-17,-1.0,-2.5,2.5,,,79.2,12.5,,1005.2,
39,2018-03-18,-2.2,-3.7,-0.4,,,71.3,13.3,,1008.3,
40,2018-03-19,-0.9,-3.4,2.5,,,70.4,9.4,,1012.5,
41,2018-03-20,0.2,-5.3,7.3,,,147.5,8.1,,1019.7,
42,2018-03-21,1.5,-3.4,6.6,,,218.8,6.9,,1028.9,
43,2018-03-22,2.5,0.0,4.3,,,159.6,8.0,,1019.1,
44,2018-03-23,6.2,4.2,9.4,,,159.6,7.2,,1008.8,
45,2018-03-26,8.1,4.3,11.3,,,256.7,8.3,,1014.8,
46,2018-03-27,5.8,0.8,11.0,,,132.1,6.5,,1013.8,
47,2018-03-28,8.3,6.2,9.5,,,189.2,9.2,,1003.6,
48,2018-03-29,7.1,4.6,11.3,,,217.5,9.9,,1006.7,
49,2018-03-30,7.8,3.0,13.0,,,115.4,8.0,,1003.2,
50,2018-03-31,8.4,2.9,13.4,,,144.6,5.4,,1000.3,
51,2018-04-01,7.6,6.1,9.4,,,247.5,9.6,,1008.1,
52,2018-04-02,9.2,3.0,14.7,,,90.4,8.3,,1009.6,
53,2018-04-03,13.9,10.7,17.7,,,154.2,7.3,,1003.3,
54,2018-04-04,12.0,10.2,14.5,,,156.7,7.3,,1003.5,
55,2018-04-05,8.6,4.2,10.6,,,204.2,10.1,,1012.3,
56,2018-04-06,8.0,0.5,15.0,,,76.3,9.3,,1021.0,
57,2018-04-07,14.3,4.6,22.4,,,135.0,9.1,,1012.7,
58,2018-04-08,15.9,8.7,24.8,,,86.3,5.1,,1008.2,
59,2018-04-09,14.5,7.8,21.5,,,147.1,5.8,,1004.7,
60,2018-04-10,14.0,10.3,19.8,,,136.7,7.1,,1003.9,
61,2018-04-11,11.4,9.0,15.5,,,83.3,5.7,,1006.6,
62,2018-04-12,13.0,6.6,19.8,,,198.8,5.6,,1001.0,
63,2018-04-13,10.6,6.8,14.1,,,120.0,6.0,,1007.7,
64,2018-04-14,13.9,7.0,20.9,,,126.3,6.8,,1017.3,
65,2018-04-15,14.9,11.4,19.2,,,122.1,5.1,,1014.0,
66,2018-04-16,14.0,8.0,19.2,,,210.4,7.2,,1015.0,
67,2018-04-17,14.3,6.3,22.5,,,205.0,5.1,,1024.9,
68,2018-04-18,17.1,7.9,26.1,,,142.5,5.7,,1030.2,
69,2018-04-19,18.9,9.1,28.0,,,123.3,6.9,,1027.6,
70,2018-04-21,18.8,11.6,25.9,,,198.8,5.8,,1020.1,
71,2018-04-22,20.1,12.1,27.6,,,102.5,6.7,,1013.9,
72,2018-04-23,18.4,14.3,21.4,,,194.2,8.5,,1014.6,
73,2018-04-24,14.8,8.9,20.0,,,190.0,8.6,,1017.1,
74,2018-06-26,18.0,11.5,24.1,,,252.9,9.5,,1024.0,
75,2018-06-27,20.1,11.9,28.0,,,130.8,7.7,,1023.1,
76,2018-06-28,22.3,13.7,28.2,,,82.5,8.7,,1020.8,
77,2018-06-29,25.2,19.8,30.8,,,263.3,9.1,,1016.5,
78,2018-06-30,23.2,15.9,28.5,,,102.9,8.3,,1014.6,
79,2018-07-01,21.9,15.6,26.5,,,91.3,10.9,,1016.0,
80,2018-07-02,22.2,14.4,27.8,,,76.3,7.8,,1015.3,
81,2018-07-03,22.7,12.7,30.0,,,141.3,6.1,,1016.0,
82,2018-07-04,20.5,17.0,25.7,,,92.5,5.3,,1014.7,
83,2018-07-05,19.8,16.0,25.5,,,126.7,5.9,,1013.8,
84,2018-07-06,20.6,15.5,25.7,,,305.4,9.2,,1018.9,
85,2018-07-07,21.3,15.1,27.0,,,214.6,8.6,,1022.3,
86,2018-07-08,20.6,14.0,26.0,,,307.9,9.3,,1022.9,
87,2018-07-09,20.2,13.6,25.4,,,249.6,9.8,,1021.7,
88,2018-07-10,16.9,13.4,20.6,,,309.2,10.9,,1017.7,
89,2018-07-11,16.2,12.2,21.2,,,264.2,8.8,,1016.8,
90,2018-07-12,19.9,16.0,25.2,,,277.1,7.6,,1017.8,
91,2018-07-13,21.2,14.9,26.2,,,167.9,6.2,,1019.7,
92,2018-07-14,22.7,16.2,29.4,,,176.7,7.0,,1018.7,
93,2018-07-15,23.2,16.0,29.9,,,230.4,6.9,,1015.8,
94,2018-07-16,23.7,15.9,30.5,,,156.3,6.2,,1012.8,
95,2018-07-17,22.0,16.0,28.2,,,203.8,7.3,,1014.6,
96,2018-07-18,21.0,14.0,26.9,,,317.1,8.0,,1018.1,
97,2018-07-19,22.1,14.0,28.4,,,168.3,6.7,,1017.5,
98,2018-07-20,22.8,15.2,30.4,,,148.3,5.6,,1013.4,
99,2018-07-21,21.4,17.7,26.8,,,128.8,6.6,,1011.4,
100,2018-07-22,22.4,17.4,27.9,,,226.7,8.0,,1014.1,
101,2018-07-23,23.4,16.6,28.8,,,208.8,7.1,,1016.9,
102,2018-07-24,25.4,16.7,33.3,,,127.5,5.1,,1014.5,
103,2018-07-25,27.1,18.3,34.5,,,80.4,6.8,,1014.0,
104,2018-07-26,29.3,20.8,35.9,,,83.3,6.3,,1013.9,
105,2018-07-27,28.1,18.8,34.8,,,122.5,6.3,,1011.8,
106,2018-07-28,23.8,20.4,28.3,,,128.3,6.7,,1008.9,
107,2018-07-29,24.6,18.6,30.9,,,138.8,7.5,,1013.6,
108,2018-07-30,26.1,17.8,33.3,,,106.3,5.3,,1014.8,
109,2018-07-31,26.7,19.1,34.5,,,201.3,7.4,,1015.9,
110,2018-08-01,22.1,18.5,25.4,,,167.1,4.7,,1020.3,
111,2018-08-02,24.4,17.7,33.0,,,140.8,6.1,,1021.3,
112,2018-08-03,27.9,19.8,35.3,,,219.6,5.9,,1019.8,
113,2018-08-04,27.6,21.0,34.4,,,190.8,8.3,,1017.5,
114,2018-08-05,25.4,20.5,29.6,,,327.5,11.2,,1020.1,
115,2018-08-06,26.0,16.4,34.1,,,112.1,5.5,,1016.0,
116,2018-08-07,28.5,18.5,37.2,,,118.8,7.0,,1009.9,
117,2018-08-08,26.1,22.8,29.8,,,201.3,9.6,,1011.6,
118,2018-08-09,21.8,17.6,31.2,,,241.7,8.8,,1012.8,
119,2018-08-10,19.4,14.2,24.1,,,221.7,10.6,,1021.8,
120,2018-08-11,19.2,15.0,23.7,,,220.4,7.6,,1022.3,
121,2018-08-12,19.8,11.2,28.1,,,123.8,5.2,,1016.8,
122,2018-08-13,18.7,15.2,25.3,,,157.5,8.4,,1009.0,
123,2018-08-14,18.9,16.9,23.0,,,183.3,6.6,,1014.5,
124,2018-08-15,20.3,16.6,25.1,,,110.4,5.1,,1019.7,
125,2018-08-16,22.3,14.5,30.6,,,72.1,5.8,,1016.3,
126,2018-08-17,20.6,16.0,24.9,,,252.9,10.2,,1016.5,
127,2018-08-18,20.0,12.9,26.6,,,195.8,6.0,,1021.9,
128,2018-08-19,21.7,14.2,29.4,,,141.7,6.7,,1021.0,
129,2018-08-20,21.6,16.7,25.8,,,168.3,7.0,,1019.6,
130,2018-08-21,23.5,17.2,28.9,,,164.6,6.0,,1019.6,
131,2018-08-23,23.8,17.7,30.5,,,190.0,7.8,,1013.0,
132,2018-08-24,19.6,16.7,21.7,,,271.7,9.4,,1012.2,
133,2018-08-25,15.0,11.0,18.3,,,264.2,8.8,,1012.9,
134,2018-08-27,18.2,14.7,21.5,,,202.5,9.8,,1013.6,
135,2018-08-29,18.9,12.0,28.1,,,118.8,5.4,,1013.8,
136,2018-08-30,17.3,14.0,21.2,,,284.2,9.8,,1019.7,
137,2018-08-31,15.6,11.4,20.6,,,240.8,6.4,,1022.2,
138,2018-09-01,15.6,9.2,21.4,,,205.0,6.8,,1025.3,
139,2018-09-02,15.5,9.0,20.2,,,97.1,6.1,,1024.1,
140,2018-09-03,18.2,15.8,20.7,,,265.4,6.3,,1018.0,
141,2018-09-04,20.7,15.3,26.6,,,207.5,5.5,,1016.1,
142,2018-09-05,22.2,15.6,29.2,,,140.8,4.9,,1016.0,
143,2018-09-07,16.3,11.5,19.8,,,159.2,6.8,,1014.6,
144,2018-09-08,14.9,8.0,21.7,,,132.9,6.0,,1020.8,
145,2018-09-09,17.9,12.3,24.5,,,59.2,5.4,,1021.4,
146,2018-09-10,18.4,12.1,26.4,,,156.3,6.9,,1022.0,
147,2018-09-11,19.7,11.6,27.7,,,129.6,7.7,,1023.3,
148,2018-09-12,20.3,12.8,28.6,,,205.8,7.6,,1020.5,
149,2018-09-13,16.4,15.5,17.5,,,320.0,8.2,,1020.4,
150,2018-09-14,17.3,13.9,21.4,,,255.8,6.4,,1020.8,
151,2018-09-15,16.3,12.8,20.7,,,166.7,5.9,,1024.1,
152,2018-09-16,16.3,8.4,24.7,,,117.1,5.0,,1023.2,
153,2018-09-17,18.4,9.5,28.7,,,120.4,4.5,,1019.4,
154,2018-09-18,21.1,11.3,30.8,,,158.3,5.8,,1015.0,
155,2018-09-19,22.1,15.1,28.8,,,187.1,7.2,,1018.1,
156,2018-09-20,20.6,14.1,27.8,,,153.8,7.0,,1017.7,
157,2018-09-21,17.3,12.9,22.7,,,187.5,8.3,,1011.2,
158,2018-09-22,13.1,10.5,17.2,,,193.3,8.1,,1021.1,
159,2018-09-23,12.3,9.5,20.1,,,157.5,8.9,,1012.9,
160,2018-09-24,10.6,8.0,14.3,,,173.3,8.6,,1032.1,
161,2018-09-25,9.3,5.3,15.8,,,120.0,5.0,,1038.8,
162,2018-09-26,10.2,4.4,17.6,,,109.2,4.9,,1035.3,
163,2018-09-27,13.4,5.0,24.0,,,158.8,4.6,,1028.8,
164,2018-09-28,10.6,7.3,14.9,,,200.4,6.3,,1025.0,
165,2018-09-29,9.4,3.5,16.2,,,116.3,5.5,,1028.2,
166,2018-09-30,9.5,2.8,17.5,,,167.5,5.3,,1018.9,
167,2018-10-01,9.7,6.2,13.1,,,208.8,7.3,,1018.4,
168,2018-10-02,8.7,5.7,11.7,,,188.8,8.6,,1021.6,
169,2018-10-03,12.6,8.8,16.0,,,216.7,7.8,,1024.6,
170,2018-10-04,10.5,4.6,17.6,,,152.9,5.5,,1027.9,
171,2018-10-05,12.4,5.5,22.2,,,138.3,6.0,,1020.5,
172,2018-10-06,14.8,7.6,23.7,,,110.4,4.9,,1011.6,
173,2018-10-07,13.1,10.9,14.8,,,171.3,6.0,,1016.1,
174,2018-10-08,11.1,5.5,18.1,,,266.3,4.4,,1022.2,
175,2018-10-10,14.9,9.3,22.8,,,147.1,6.6,,1018.3,
