,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,0.3,,,2.3,50.0,,20.5,57.2,1032.6,
1,2015-01-03,1.0,,,13.7,30.0,,10.8,38.9,1026.3,
2,2015-01-04,1.4,,,0.0,50.0,,10.8,29.5,1034.1,
3,2015-01-05,-1.7,,,0.0,30.0,,6.5,22.3,1034.7,
4,2015-01-06,-2.7,,,0.2,30.0,,8.3,31.3,1026.8,
5,2015-01-07,0.2,,,0.6,20.0,,13.3,27.7,1030.6,
6,2015-01-08,4.7,,,4.9,20.0,,23.8,61.2,1026.8,
7,2015-01-09,7.5,,,5.9,0.0,,29.9,77.8,1024.3,
8,2015-01-10,10.5,,,7.1,0.0,,31.3,68.4,1016.4,
9,2015-01-11,3.2,,,1.1,0.0,,25.2,59.0,1022.1,
10,2015-01-12,4.2,,,0.7,0.0,,27.4,64.8,1022.4,
11,2015-01-13,6.5,,,9.4,0.0,,22.3,64.8,1013.0,
12,2015-01-14,3.4,,,3.2,0.0,,22.3,72.4,1014.1,
13,2015-01-15,6.1,,,5.3,0.0,,18.4,50.0,1007.3,
14,2015-01-16,3.1,,,2.8,0.0,,8.3,46.4,1008.1,
15,2015-01-17,1.9,,,0.0,0.0,,8.6,20.5,1016.0,
16,2015-01-18,-0.6,,,0.0,0.0,,9.4,31.3,1016.9,
17,2015-01-19,-2.3,,,1.4,0.0,,5.0,14.8,1012.9,
18,2015-01-20,-1.7,,,0.0,0.0,,4.3,13.0,1013.1,
19,2015-01-21,-2.1,,,0.0,0.0,,9.0,27.7,1012.5,
20,2015-01-22,-0.8,,,0.0,0.0,,10.4,27.7,1015.8,
21,2015-01-23,-0.8,,,0.0,0.0,,7.6,20.5,1024.5,
22,2015-01-24,-1.3,,,2.0,0.0,,12.6,40.7,1023.6,
23,2015-01-25,0.1,,,1.7,50.0,,8.3,20.2,1030.5,
24,2015-01-26,0.5,,,4.4,90.0,,14.8,33.5,1024.2,
25,2015-01-27,1.5,,,0.0,70.0,,11.5,29.5,1024.0,
26,2015-01-28,1.7,,,5.9,30.0,,21.2,57.2,1012.3,
27,2015-01-29,0.7,,,9.3,0.0,,17.3,38.9,990.5,
28,2015-01-30,-0.3,,,0.2,10.0,,15.1,46.4,979.0,
29,2015-01-31,-0.3,,,4.5,20.0,,12.2,31.3,984.6,
30,2015-02-01,-0.4,,,1.8,70.0,,10.1,31.3,992.2,
31,2015-02-02,-0.7,,,0.0,80.0,,14.0,31.3,1002.4,
32,2015-02-03,-3.0,,,0.0,80.0,,6.1,15.1,1005.7,
33,2015-02-04,-3.0,,,0.0,60.0,,8.6,37.1,1014.0,
34,2015-02-05,-4.2,,,0.0,60.0,,15.5,53.6,1020.1,
35,2015-02-06,-2.5,,,0.0,60.0,,23.0,53.6,1023.5,
36,2015-02-07,-2.1,,,0.4,60.0,,11.9,29.5,1029.9,
37,2015-02-08,1.0,,,0.1,50.0,,11.5,42.5,1029.6,
38,2015-02-09,1.8,,,0.1,40.0,,11.5,27.7,1031.1,
39,2015-02-10,2.1,,,0.0,0.0,,7.9,22.3,1031.4,
40,2015-02-11,1.2,,,0.0,0.0,,10.4,27.7,1027.2,
41,2015-02-12,-0.3,,,0.0,0.0,,5.8,15.1,1024.2,
42,2015-02-13,-0.8,,,0.0,0.0,,6.8,22.3,1019.3,
43,2015-02-14,0.4,,,0.4,0.0,,10.1,24.1,1011.6,
44,2015-02-15,-1.5,,,0.4,0.0,,7.9,27.7,1014.6,
45,2015-02-16,-0.1,,,0.0,0.0,,5.8,16.6,1020.8,
46,2015-02-17,0.4,,,0.0,0.0,,6.1,14.8,1033.2,
47,2015-02-18,1.6,,,0.0,0.0,,7.9,25.9,1040.1,
48,2015-02-19,-1.3,,,0.0,0.0,,11.5,31.3,1032.0,
49,2015-02-20,5.3,,,4.3,0.0,,16.2,48.2,1014.1,
50,2015-02-21,2.7,,,1.4,0.0,,15.1,57.2,1001.3,
51,2015-02-22,1.7,,,0.0,0.0,,7.2,20.5,1010.0,
52,2015-02-23,1.4,,,8.1,0.0,,16.6,51.8,1001.2,
53,2015-02-24,2.5,,,0.6,0.0,,15.8,42.5,1009.2,
54,2015-02-25,2.7,,,1.2,0.0,,10.8,25.9,1019.6,
55,2015-02-26,4.5,,,7.0,0.0,,6.5,20.2,1018.4,
56,2015-02-27,2.8,,,2.2,0.0,,8.6,33.5,1015.1,
57,2015-02-28,1.5,,,1.8,0.0,,9.7,31.3,1020.3,
58,2015-03-01,5.3,,,6.1,0.0,,20.5,46.4,1007.5,
59,2015-03-02,4.6,,,3.4,0.0,,25.6,73.4,1009.1,
60,2015-03-03,3.3,,,3.2,0.0,,19.8,61.2,1020.9,
61,2015-03-04,2.3,,,0.3,0.0,,16.2,48.2,1027.5,
62,2015-03-05,3.0,,,0.0,0.0,,9.0,35.3,1037.3,
63,2015-03-06,2.2,,,0.0,0.0,,7.6,25.9,1037.8,
64,2015-03-07,2.6,,,0.0,0.0,,6.1,13.0,1033.5,
65,2015-03-08,4.5,,,0.0,0.0,,6.8,16.6,1027.3,
66,2015-03-09,7.4,,,0.0,0.0,,8.3,24.1,1026.5,
67,2015-03-10,5.0,,,0.4,0.0,,5.8,22.3,1028.3,
68,2015-03-11,3.6,,,0.0,0.0,,7.6,20.5,1030.8,
69,2015-03-12,2.3,,,0.0,0.0,,7.9,29.5,1030.5,
70,2015-03-13,1.8,,,0.0,0.0,,11.9,33.5,1024.5,
71,2015-03-14,2.7,,,0.0,0.0,,12.2,31.3,1025.2,
72,2015-03-15,2.0,,,0.5,0.0,,11.5,27.7,1025.0,
73,2015-03-16,3.9,,,0.0,0.0,,9.0,22.3,1023.5,
74,2015-03-17,6.2,,,0.0,0.0,,7.6,24.1,1024.5,
75,2015-03-18,9.1,,,0.0,0.0,,7.2,25.9,1025.1,
76,2015-03-19,6.5,,,0.0,0.0,,9.4,24.1,1026.6,
77,2015-03-20,6.4,,,0.0,0.0,,6.8,18.7,1023.8,
78,2015-03-21,3.0,,,0.4,0.0,,7.9,25.9,1018.7,
79,2015-03-22,2.9,,,0.0,0.0,,12.6,42.5,1022.4,
80,2015-03-23,1.7,,,0.0,0.0,,5.4,13.0,1017.8,
81,2015-03-24,4.9,,,0.1,0.0,,6.8,22.3,1009.1,
82,2015-03-25,6.2,,,0.1,0.0,,8.3,31.3,1005.9,
83,2015-03-26,4.8,,,1.4,0.0,,15.1,42.5,1009.9,
84,2015-03-27,5.3,,,0.0,0.0,,15.1,42.5,1019.3,
85,2015-03-28,5.7,,,1.3,0.0,,15.1,46.4,1020.4,
86,2015-03-29,8.8,,,14.5,0.0,,30.2,90.7,1005.3,
87,2015-03-30,6.2,,,2.7,0.0,,21.6,57.2,1007.3,
88,2015-03-31,7.0,,,20.0,0.0,,35.6,94.3,1005.8,
89,2015-04-01,3.8,,,4.5,0.0,,26.3,68.4,1019.0,
90,2015-04-02,3.8,,,3.8,0.0,,19.4,51.8,1017.9,
91,2015-04-03,3.7,,,0.5,0.0,,8.6,24.1,1020.9,
92,2015-04-04,2.6,,,6.1,0.0,,7.9,33.5,1017.1,
93,2015-04-05,3.2,,,0.0,0.0,,10.1,33.5,1024.2,
94,2015-04-06,2.3,,,0.0,0.0,,8.3,29.5,1030.4,
95,2015-04-07,4.7,,,0.0,0.0,,6.5,18.4,1036.3,
96,2015-04-08,6.9,,,0.0,0.0,,6.5,20.5,1033.1,
97,2015-04-09,10.2,,,0.0,0.0,,6.5,22.3,1027.4,
98,2015-04-10,12.4,,,0.0,0.0,,9.7,33.5,1021.5,
99,2015-04-11,10.4,,,1.2,0.0,,15.1,46.4,1022.8,
100,2015-04-12,10.2,,,0.0,0.0,,11.9,37.1,1029.2,
101,2015-04-13,11.0,,,0.0,0.0,,13.3,33.5,1030.2,
102,2015-04-14,12.0,,,0.0,0.0,,13.3,38.9,1028.1,
103,2015-04-15,15.3,,,0.0,0.0,,10.1,31.3,1018.5,
104,2015-04-16,14.9,,,0.0,0.0,,9.0,25.9,1013.6,
105,2015-04-17,9.4,,,0.3,0.0,,9.4,35.3,1016.1,
106,2015-04-18,6.4,,,0.0,0.0,,10.4,37.1,1024.6,
