,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,5.5,2.7,8.1,0.8,0.0,241.3,26.3,58.3,1018.7,12.0
1,2015-01-03,4.5,3.1,5.8,0.0,0.0,257.9,30.2,69.5,1017.2,0.0
2,2015-01-04,3.7,1.4,5.2,0.5,0.0,295.4,20.2,54.0,1022.0,120.0
3,2015-01-05,3.4,1.9,4.0,1.6,0.0,270.0,15.5,41.4,1027.0,0.0
4,2015-01-06,1.2,-0.4,3.3,0.0,0.0,156.3,12.6,34.9,1026.7,0.0
5,2015-01-07,2.1,-0.5,5.7,0.3,0.0,220.0,11.5,28.1,1024.6,6.0
6,2015-01-08,3.6,0.6,6.6,9.3,0.0,216.7,15.8,51.8,1019.7,0.0
7,2015-01-09,6.3,4.8,9.0,11.5,0.0,257.5,31.3,77.4,1010.9,0.0
8,2015-01-10,8.7,4.7,13.0,3.5,0.0,259.2,30.6,80.6,1001.7,0.0
9,2015-01-11,3.5,1.9,5.0,4.4,0.0,265.8,33.8,67.3,1007.2,0.0
10,2015-01-12,5.8,3.7,8.2,2.6,0.0,237.5,27.0,52.9,1011.9,0.0
11,2015-01-13,10.1,7.9,12.4,1.3,0.0,223.8,26.6,55.1,1006.6,138.0
12,2015-01-14,6.1,2.5,8.2,0.9,0.0,232.9,19.4,67.3,1007.9,120.0
13,2015-01-15,5.2,1.1,9.9,2.0,0.0,192.9,20.2,42.1,1007.2,0.0
14,2015-01-16,8.2,5.5,10.2,3.9,0.0,209.2,14.0,41.4,1006.3,42.0
15,2015-01-17,3.0,-1.6,5.5,0.0,0.0,253.8,7.2,23.0,1012.4,54.0
16,2015-01-18,0.6,-2.5,3.5,0.0,0.0,182.5,8.6,27.7,1016.9,342.0
17,2015-01-19,-0.1,-3.1,1.7,0.0,0.0,127.1,8.3,23.8,1014.8,18.0
18,2015-01-20,1.2,0.4,1.8,2.6,0.0,137.9,8.3,24.1,1012.0,0.0
19,2015-01-21,0.6,-0.1,1.5,0.0,0.0,171.7,7.9,20.9,1016.3,0.0
20,2015-01-22,-0.3,-1.1,0.9,0.0,0.0,42.5,10.8,26.6,1019.4,0.0
21,2015-01-23,0.2,-0.4,0.9,0.0,0.0,182.5,7.9,21.2,1024.5,0.0
