,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,,,7.5,,,,,,
1,2015-01-03,,,,12.8,,,,,,
2,2015-01-04,,,,5.1,,,,,,
3,2015-01-05,,,,1.5,,,,,,
4,2015-01-06,,,,0.0,,,,,,
5,2015-01-07,,,,1.8,,,,,,
6,2015-01-08,,,,5.0,,,,,,
7,2015-01-09,,,,9.1,,,,,,
8,2015-01-10,,,,24.0,,,,,,
9,2015-01-11,,,,7.2,,,,,,
10,2015-01-12,,,,5.0,,,,,,
11,2015-01-13,,,,0.0,,,,,,
12,2015-01-14,,,,4.1,,,,,,
13,2015-01-15,,,,0.0,,,,,,
14,2015-01-16,,,,0.0,,,,,,
15,2015-01-17,,,,5.1,,,,,,
16,2015-01-18,,,,0.1,,,,,,
17,2015-01-19,,,,0.0,,,,,,
18,2015-01-20,,,,0.1,,,,,,
19,2015-01-21,,,,0.2,,,,,,
20,2015-01-22,,,,0.0,,,,,,
21,2015-01-23,,,,0.4,,,,,,
22,2015-01-24,,,,0.2,,,,,,
23,2015-01-25,,,,1.9,,,,,,
24,2015-01-26,,,,5.3,,,,,,
25,2015-01-27,,,,8.0,,,,,,
26,2015-01-28,,,,0.3,,,,,,
27,2015-01-29,,,,11.3,,,,,,
28,2015-01-30,,,,6.1,,,,,,
29,2015-01-31,,,,3.6,,,,,,
30,2015-02-01,,,,0.4,,,,,,
31,2015-02-02,,,,7.5,,,,,,
32,2015-02-03,,,,0.2,,,,,,
33,2015-02-04,,,,0.0,,,,,,
34,2015-02-05,,,,0.0,,,,,,
35,2015-02-06,,,,0.0,,,,,,
36,2015-02-07,,,,0.0,,,,,,
37,2015-02-08,,,,3.3,,,,,,
38,2015-02-09,,,,12.6,,,,,,
39,2015-02-10,,,,1.8,,,,,,
40,2015-02-11,,,,0.0,,,,,,
41,2015-02-12,,,,0.0,,,,,,
42,2015-02-13,,,,0.0,,,,,,
43,2015-02-14,,,,0.0,,,,,,
44,2015-02-15,,,,0.0,,,,,,
45,2015-02-16,,,,0.0,,,,,,
46,2015-02-17,,,,0.0,,,,,,
47,2015-02-18,,,,0.0,,,,,,
48,2015-02-19,,,,0.0,,,,,,
49,2015-02-20,,,,0.0,,,,,,
50,2015-02-21,,,,0.0,,,,,,
51,2015-02-22,,,,0.2,,,,,,
52,2015-02-23,,,,4.3,,,,,,
53,2015-02-24,,,,3.5,,,,,,
54,2015-02-25,,,,0.0,,,,,,
55,2015-02-26,,,,0.0,,,,,,
56,2015-02-27,,,,0.0,,,,,,
57,2015-02-28,,,,0.3,,,,,,
58,2015-03-01,,,,5.0,,,,,,
59,2015-03-02,,,,16.4,,,,,,
60,2015-03-03,,,,0.3,,,,,,
61,2015-03-04,,,,1.9,,,,,,
62,2015-03-05,,,,1.2,,,,,,
63,2015-03-06,,,,0.0,,,,,,
64,2015-03-07,,,,0.0,,,,,,
65,2015-03-08,,,,0.0,,,,,,
66,2015-03-09,,,,0.0,,,,,,
67,2015-03-10,,,,0.0,,,,,,
68,2015-03-11,,,,1.8,,,,,,
69,2015-03-12,,,,0.4,,,,,,
70,2015-03-13,,,,0.0,,,,,,
71,2015-03-14,,,,0.1,,,,,,
72,2015-03-15,,,,0.0,,,,,,
73,2015-03-16,,,,0.0,,,,,,
74,2015-03-17,,,,0.0,,,,,,
75,2015-03-18,,,,0.0,,,,,,
76,2015-03-19,,,,0.0,,,,,,
77,2015-03-20,,,,0.0,,,,,,
78,2015-03-21,,,,0.2,,,,,,
79,2015-03-22,,,,1.4,,,,,,
80,2015-03-23,,,,0.0,,,,,,
81,2015-03-24,,,,0.0,,,,,,
82,2015-03-25,,,,0.0,,,,,,
83,2015-03-26,,,,1.8,,,,,,
84,2015-03-27,,,,5.9,,,,,,
85,2015-03-28,,,,0.0,,,,,,
86,2015-03-30,,,,28.1,,,,,,
87,2015-03-31,,,,18.9,,,,,,
88,2015-04-01,,,,9.5,,,,,,
89,2015-04-02,,,,21.5,,,,,,
90,2015-04-03,,,,0.0,,,,,,
91,2015-04-04,,,,0.0,,,,,,
92,2015-04-05,,,,0.0,,,,,,
93,2015-04-06,,,,1.6,,,,,,
94,2015-04-07,,,,0.0,,,,,,
95,2015-04-08,,,,0.0,,,,,,
96,2015-04-09,,,,0.0,,,,,,
97,2015-04-10,,,,0.0,,,,,,
98,2015-04-11,,,,0.1,,,,,,
99,2015-04-12,,,,0.0,,,,,,
100,2015-04-13,,,,0.0,,,,,,
101,2015-04-14,,,,0.0,,,,,,
102,2015-04-15,,,,0.0,,,,,,
103,2015-04-16,,,,0.0,,,,,,
104,2015-04-17,,,,2.9,,,,,,
105,2015-04-18,,,,0.0,,,,,,
106,2015-04-19,,,,0.0,,,,,,
107,2015-04-20,,,,0.0,,,,,,
108,2015-04-21,,,,0.0,,,,,,
109,2015-04-22,,,,0.0,,,,,,
110,2015-04-23,,,,0.7,,,,,,
111,2015-04-24,,,,0.0,,,,,,
112,2015-04-25,,,,0.9,,,,,,
113,2015-04-26,,,,3.5,,,,,,
114,2015-04-27,,,,0.0,,,,,,
115,2015-04-28,,,,9.3,,,,,,
116,2015-04-29,,,,0.0,,,,,,
117,2015-04-30,,,,1.3,,,,,,
118,2015-05-01,,,,13.8,,,,,,
119,2015-05-02,,,,4.4,,,,,,
120,2015-05-03,,,,9.2,,,,,,
121,2015-05-04,,,,1.2,,,,,,
122,2015-05-05,,,,0.2,,,,,,
123,2015-05-06,,,,34.2,,,,,,
124,2015-05-07,,,,1.1,,,,,,
125,2015-05-08,,,,0.0,,,,,,
126,2015-05-09,,,,6.4,,,,,,
127,2015-05-10,,,,0.0,,,,,,
128,2015-05-11,,,,0.0,,,,,,
129,2015-05-12,,,,0.0,,,,,,
130,2015-05-13,,,,0.0,,,,,,
131,2015-05-14,,,,0.2,,,,,,
132,2015-05-15,,,,0.0,,,,,,
133,2015-05-16,,,,0.0,,,,,,
134,2015-05-17,,,,1.2,,,,,,
135,2015-05-18,,,,0.0,,,,,,
136,2015-05-19,,,,27.2,,,,,,
137,2015-05-20,,,,36.0,,,,,,
138,2015-05-21,,,,0.9,,,,,,
139,2015-05-22,,,,0.0,,,,,,
