,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,-2.0,-10.1,2.7,6.9,60.0,182.9,9.4,30.2,1034.0,96.0
1,2015-01-03,0.8,-0.7,2.7,13.9,30.0,224.2,9.0,38.2,1027.1,0.0
2,2015-01-04,1.3,0.7,1.7,0.4,40.0,268.8,24.8,48.2,1029.4,0.0
3,2015-01-05,0.8,-1.5,2.1,0.0,20.0,264.6,19.4,37.8,1033.3,18.0
4,2015-01-06,-1.3,-4.0,2.1,0.0,20.0,90.0,7.9,15.5,1028.5,240.0
5,2015-01-07,-2.1,-5.7,1.4,1.5,30.0,192.9,4.7,17.6,1031.5,0.0
6,2015-01-08,0.8,-4.7,7.3,0.9,30.0,136.3,9.0,60.5,1030.3,12.0
7,2015-01-09,6.5,1.5,9.1,6.0,0.0,258.3,29.5,73.4,1025.4,0.0
8,2015-01-10,12.6,7.0,15.2,4.1,0.0,256.3,42.1,81.7,1014.7,186.0
9,2015-01-11,3.5,1.0,7.1,2.4,0.0,267.9,28.8,67.0,1019.8,42.0
10,2015-01-12,3.0,-1.0,5.2,0.0,0.0,236.3,22.7,60.8,1025.5,0.0
11,2015-01-13,0.5,-4.3,6.7,0.0,0.0,105.4,6.1,18.0,1019.6,474.0
12,2015-01-14,3.4,-0.7,8.4,1.9,0.0,194.2,13.0,68.0,1017.4,0.0
13,2015-01-15,1.0,-1.6,4.5,0.0,0.0,102.9,9.4,18.4,1015.8,18.0
14,2015-01-16,0.8,-2.8,4.3,0.0,0.0,81.3,8.3,25.2,1010.0,150.0
15,2015-01-17,1.8,0.4,3.3,5.2,0.0,259.2,11.9,25.2,1015.0,0.0
16,2015-01-18,2.0,1.1,3.1,0.2,0.0,172.1,5.8,15.5,1018.5,6.0
17,2015-01-19,1.5,-1.5,3.7,0.0,0.0,107.9,6.1,18.7,1013.9,24.0
18,2015-01-20,-0.7,-3.2,0.2,0.0,0.0,122.5,4.3,9.4,1012.7,0.0
19,2015-01-21,-0.1,-2.3,1.6,0.0,0.0,73.3,10.4,33.5,1013.4,72.0
20,2015-01-22,-0.4,-4.2,4.0,0.2,0.0,179.2,6.5,18.0,1013.5,198.0
21,2015-01-23,1.1,0.2,1.6,0.1,0.0,267.9,10.8,27.0,1021.0,0.0
22,2015-01-24,0.1,-0.4,0.6,0.3,0.0,282.1,12.2,29.5,1022.3,0.0
23,2015-01-25,0.6,-0.7,2.1,1.6,0.0,268.8,15.1,31.7,1027.4,24.0
24,2015-01-26,0.2,-0.6,2.0,4.4,10.0,234.6,10.8,23.8,1025.5,96.0
25,2015-01-27,1.0,-0.3,1.9,0.4,30.0,259.2,18.0,38.2,1020.2,12.0
26,2015-01-28,1.3,-0.5,3.5,1.9,0.0,229.2,14.0,32.4,1016.1,168.0
27,2015-01-29,1.7,0.1,4.2,1.3,0.0,202.9,15.1,35.6,995.3,282.0
28,2015-01-30,0.2,-1.8,2.4,0.6,0.0,203.3,15.1,54.0,979.8,0.0
29,2015-01-31,-0.3,-3.9,3.4,0.0,10.0,228.8,10.1,37.8,986.2,192.0
30,2015-02-01,-0.5,-2.6,2.1,1.6,0.0,246.3,8.6,34.2,993.7,126.0
31,2015-02-02,-0.6,-5.8,1.1,1.0,30.0,256.7,14.4,36.0,1001.0,60.0
32,2015-02-03,-5.6,-11.2,-0.6,0.0,30.0,205.8,6.5,22.0,1006.4,402.0
33,2015-02-04,-8.1,-13.6,-1.8,0.0,30.0,242.1,4.0,11.2,1013.2,318.0
34,2015-02-05,-2.4,-5.9,0.2,0.0,30.0,79.6,15.8,46.1,1017.0,108.0
35,2015-02-06,-3.2,-7.7,0.1,0.0,20.0,72.9,16.9,49.7,1022.2,486.0
36,2015-02-07,-5.5,-11.7,0.7,0.2,10.0,160.8,7.9,24.5,1028.5,528.0
37,2015-02-08,-1.7,-4.9,1.0,0.2,10.0,286.3,25.6,60.1,1024.2,198.0
38,2015-02-09,-1.1,-4.0,1.6,1.1,20.0,255.4,31.3,56.9,1028.5,0.0
39,2015-02-10,1.8,0.9,2.9,0.0,10.0,270.8,13.0,33.8,1030.7,6.0
40,2015-02-11,0.7,-0.6,1.9,0.0,0.0,89.6,6.1,18.7,1028.9,0.0
41,2015-02-12,-0.3,-1.2,0.6,0.0,0.0,117.9,9.0,18.7,1026.4,0.0
42,2015-02-13,-1.4,-2.5,0.0,0.0,0.0,122.1,7.6,19.4,1022.9,0.0
43,2015-02-14,-1.4,-2.5,-0.2,0.0,0.0,90.4,9.0,20.5,1015.8,0.0
44,2015-02-15,-1.3,-4.1,3.1,0.0,0.0,91.3,10.1,20.9,1015.1,240.0
45,2015-02-16,-2.4,-4.7,0.3,0.0,0.0,178.8,5.0,14.8,1021.8,54.0
46,2015-02-17,-2.1,-4.2,-0.4,0.0,0.0,270.8,8.6,18.4,1032.4,24.0
47,2015-02-18,-0.9,-1.6,-0.4,0.0,0.0,150.4,7.6,16.6,1041.3,0.0
48,2015-02-19,-1.7,-2.7,-0.6,0.0,0.0,170.4,5.8,14.0,1034.2,0.0
49,2015-02-20,0.0,-4.7,9.0,0.0,0.0,99.6,7.2,18.0,1020.6,474.0
50,2015-02-21,1.0,-6.2,9.1,0.0,0.0,185.8,7.6,23.0,1003.9,372.0
51,2015-02-22,2.1,-0.4,4.4,0.0,0.0,268.8,9.0,27.4,1009.2,0.0
52,2015-02-23,1.3,-3.7,6.1,1.4,0.0,218.3,7.2,33.5,1005.6,96.0
53,2015-02-24,3.2,0.5,6.6,1.1,0.0,224.6,10.1,40.0,1010.4,36.0
54,2015-02-25,2.3,-1.9,6.4,0.0,0.0,264.6,8.6,24.5,1020.6,132.0
