,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,,,5.1,,,,,,
1,2015-01-03,,,,22.3,,,,,,
2,2015-01-04,,,,20.2,,,,,,
3,2015-01-05,,,,1.6,,,,,,
4,2015-01-06,,,,0.0,,,,,,
5,2015-01-07,,,,0.0,,,,,,
6,2015-01-08,,,,0.1,,,,,,
7,2015-01-09,,,,5.6,,,,,,
8,2015-01-10,,,,2.6,,,,,,
9,2015-01-11,,,,18.7,,,,,,
10,2015-01-12,,,,0.8,,,,,,
11,2015-01-13,,,,0.0,,,,,,
12,2015-01-14,,,,3.7,,,,,,
13,2015-01-15,,,,0.0,,,,,,
14,2015-01-16,,,,0.0,,,,,,
15,2015-01-17,,,,9.3,,,,,,
16,2015-01-18,,,,1.8,,,,,,
17,2015-01-19,,,,0.0,,,,,,
18,2015-01-20,,,,0.0,,,,,,
19,2015-01-21,,,,0.0,,,,,,
20,2015-01-22,,,,0.0,,,,,,
21,2015-01-23,,,,0.0,,,,,,
22,2015-01-24,,,,2.0,,,,,,
23,2015-01-25,,,,16.2,,,,,,
24,2015-01-26,,,,3.0,,,,,,
25,2015-01-27,,,,26.7,,,,,,
26,2015-01-28,,,,4.0,,,,,,
27,2015-01-29,,,,9.8,,,,,,
28,2015-01-30,,,,0.6,,,,,,
29,2015-01-31,,,,2.6,,,,,,
30,2015-02-01,,,,4.3,,,,,,
31,2015-02-02,,,,15.5,,,,,,
32,2015-02-03,,,,0.5,,,,,,
33,2015-02-04,,,,0.0,,,,,,
34,2015-02-05,,,,0.0,,,,,,
35,2015-02-06,,,,0.0,,,,,,
36,2015-02-07,,,,0.0,,,,,,
37,2015-02-08,,,,9.0,,,,,,
38,2015-02-09,,,,0.4,,,,,,
39,2015-02-10,,,,0.0,,,,,,
40,2015-02-11,,,,0.0,,,,,,
41,2015-02-12,,,,0.0,,,,,,
42,2015-02-13,,,,0.0,,,,,,
43,2015-02-14,,,,0.0,,,,,,
44,2015-02-15,,,,0.0,,,,,,
45,2015-02-16,,,,0.0,,,,,,
46,2015-02-17,,,,0.0,,,,,,
47,2015-02-18,,,,0.0,,,,,,
48,2015-02-19,,,,0.0,,,,,,
49,2015-02-20,,,,0.0,,,,,,
50,2015-02-21,,,,0.0,,,,,,
51,2015-02-22,,,,2.9,,,,,,
52,2015-02-23,,,,0.2,,,,,,
53,2015-02-24,,,,4.1,,,,,,
54,2015-02-25,,,,1.2,,,,,,
55,2015-02-26,,,,0.0,,,,,,
56,2015-02-27,,,,6.0,,,,,,
57,2015-02-28,,,,2.3,,,,,,
58,2015-03-01,,,,2.1,,,,,,
59,2015-03-02,,,,27.2,,,,,,
60,2015-03-03,,,,0.1,,,,,,
61,2015-03-04,,,,4.1,,,,,,
62,2015-03-05,,,,12.2,,,,,,
63,2015-03-06,,,,0.0,,,,,,
64,2015-03-07,,,,0.0,,,,,,
65,2015-03-08,,,,0.0,,,,,,
66,2015-03-09,,,,0.0,,,,,,
67,2015-03-10,,,,0.0,,,,,,
68,2015-03-11,,,,9.6,,,,,,
69,2015-03-12,,,,0.1,,,,,,
70,2015-03-13,,,,0.0,,,,,,
71,2015-03-14,,,,0.0,,,,,,
72,2015-03-15,,,,0.0,,,,,,
73,2015-03-16,,,,0.0,,,,,,
74,2015-03-17,,,,0.0,,,,,,
75,2015-03-18,,,,0.0,,,,,,
76,2015-03-19,,,,0.0,,,,,,
77,2015-03-20,,,,0.0,,,,,,
