,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,,,1.3,,,,,,
1,2015-01-03,,,,23.2,,,,,,
2,2015-01-04,,,,0.0,,,,,,
3,2015-01-05,,,,0.0,,,,,,
4,2015-01-06,,,,0.0,,,,,,
5,2015-01-07,,,,0.7,,,,,,
6,2015-01-08,,,,5.7,,,,,,
7,2015-01-09,,,,7.0,,,,,,
8,2015-01-10,,,,11.3,,,,,,
9,2015-01-11,,,,0.6,,,,,,
10,2015-01-12,,,,0.3,,,,,,
11,2015-01-13,,,,0.0,,,,,,
12,2015-01-14,,,,7.4,,,,,,
13,2015-01-15,,,,0.0,,,,,,
14,2015-01-16,,,,7.8,,,,,,
15,2015-01-17,,,,7.6,,,,,,
16,2015-01-18,,,,0.0,,,,,,
17,2015-01-19,,,,0.8,,,,,,
18,2015-01-20,,,,2.9,,,,,,
19,2015-01-21,,,,0.0,,,,,,
20,2015-01-22,,,,0.1,,,,,,
21,2015-01-23,,,,0.6,,,,,,
22,2015-01-24,,,,1.0,,,,,,
23,2015-01-25,,,,1.5,,,,,,
24,2015-01-26,,,,6.0,,,,,,
25,2015-01-27,,,,1.7,,,,,,
26,2015-01-28,,,,1.0,,,,,,
27,2015-01-29,,,,2.7,,,,,,
28,2015-01-30,,,,4.2,,,,,,
29,2015-01-31,,,,0.8,,,,,,
30,2015-02-01,,,,1.6,,,,,,
31,2015-02-02,,,,4.3,,,,,,
32,2015-02-03,,,,0.0,,,,,,
33,2015-02-04,,,,0.0,,,,,,
34,2015-02-05,,,,0.0,,,,,,
35,2015-02-06,,,,0.0,,,,,,
36,2015-02-07,,,,0.0,,,,,,
37,2015-02-08,,,,1.7,,,,,,
38,2015-02-09,,,,1.0,,,,,,
39,2015-02-10,,,,0.1,,,,,,
40,2015-02-11,,,,0.0,,,,,,
41,2015-02-12,,,,0.0,,,,,,
42,2015-02-13,,,,0.0,,,,,,
43,2015-02-14,,,,0.0,,,,,,
44,2015-02-15,,,,0.0,,,,,,
45,2015-02-16,,,,0.0,,,,,,
46,2015-02-17,,,,0.0,,,,,,
47,2015-02-18,,,,0.0,,,,,,
48,2015-02-19,,,,0.0,,,,,,
49,2015-02-20,,,,0.0,,,,,,
50,2015-02-21,,,,0.5,,,,,,
51,2015-02-22,,,,0.2,,,,,,
52,2015-02-23,,,,2.9,,,,,,
53,2015-02-24,,,,0.6,,,,,,
54,2015-02-25,,,,1.3,,,,,,
55,2015-02-26,,,,0.0,,,,,,
56,2015-02-27,,,,4.6,,,,,,
