,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,1.7,-1.9,4.9,2.6,20.0,208.8,9.4,42.5,1033.7,0.0
1,2015-01-03,2.2,-0.6,10.7,21.1,0.0,172.1,8.3,62.6,1026.9,0.0
2,2015-01-04,2.0,-0.8,4.8,0.0,0.0,275.0,7.6,28.4,1033.9,102.0
3,2015-01-05,-0.8,-5.1,6.9,0.0,0.0,159.2,1.4,7.6,1035.0,462.0
4,2015-01-06,-2.9,-7.0,3.8,0.9,0.0,137.5,1.4,24.1,1027.4,372.0
5,2015-01-07,1.5,-1.2,3.5,0.4,0.0,247.5,8.3,29.2,1031.4,96.0
6,2015-01-08,4.8,-0.9,10.8,2.6,0.0,161.7,11.2,66.2,1028.9,0.0
7,2015-01-09,8.8,2.2,12.8,2.3,0.0,248.3,24.1,73.4,1026.3,18.0
8,2015-01-10,13.0,7.9,14.9,12.4,0.0,258.3,29.5,69.8,1017.8,108.0
9,2015-01-11,4.8,2.7,8.0,1.8,0.0,261.7,22.0,51.5,1022.8,144.0
10,2015-01-12,4.8,-1.7,7.6,0.0,0.0,212.1,18.4,52.9,1025.3,30.0
11,2015-01-13,6.1,-3.4,15.9,3.8,0.0,168.8,7.2,51.8,1015.9,450.0
12,2015-01-14,5.6,0.2,8.8,1.4,0.0,236.7,15.1,68.4,1016.3,48.0
13,2015-01-15,6.3,-0.2,10.6,0.1,0.0,124.2,7.6,32.0,1010.8,36.0
14,2015-01-16,5.4,4.5,7.2,16.0,0.0,180.0,5.4,25.9,1008.5,0.0
15,2015-01-17,3.1,-1.1,4.7,1.5,0.0,256.7,7.2,35.3,1016.2,0.0
16,2015-01-18,-1.1,-4.4,3.1,0.0,0.0,141.7,4.0,15.5,1018.5,102.0
17,2015-01-19,-1.2,-4.2,1.7,3.2,0.0,131.7,2.5,10.8,1013.2,108.0
18,2015-01-20,-0.5,-3.6,0.7,1.1,0.0,261.7,3.6,16.2,1013.1,0.0
19,2015-01-21,0.1,-3.6,1.6,0.0,0.0,107.1,6.1,21.2,1012.1,0.0
20,2015-01-22,0.9,0.2,1.5,0.2,0.0,150.8,6.5,20.2,1014.7,0.0
21,2015-01-23,0.7,0.3,1.2,0.0,0.0,288.8,5.0,11.5,1023.6,0.0
22,2015-01-24,0.6,0.0,2.2,1.8,0.0,275.0,7.6,28.4,1023.8,0.0
23,2015-01-25,1.2,0.0,2.7,0.8,0.0,285.8,7.6,21.6,1030.4,0.0
24,2015-01-26,1.0,0.0,2.9,5.6,0.0,161.7,4.7,36.4,1025.3,0.0
25,2015-01-27,2.5,1.6,4.5,0.7,0.0,264.6,13.3,40.0,1023.5,66.0
26,2015-01-28,3.6,0.9,6.2,4.5,0.0,207.9,10.4,55.1,1014.5,0.0
27,2015-01-29,2.9,-0.4,5.3,3.6,0.0,208.3,10.1,37.4,993.0,90.0
28,2015-01-30,1.3,-3.2,4.3,8.6,0.0,235.0,13.3,54.0,979.6,246.0
29,2015-01-31,-0.2,-4.8,3.6,2.4,50.0,171.3,3.6,17.3,985.9,48.0
30,2015-02-01,0.4,-3.7,1.8,2.2,40.0,213.3,9.0,28.8,993.0,60.0
31,2015-02-02,0.3,-4.5,2.5,1.3,30.0,243.3,11.9,30.6,1002.5,30.0
32,2015-02-03,-3.7,-8.2,3.6,0.0,30.0,152.5,2.5,9.7,1006.0,474.0
33,2015-02-04,-3.8,-9.0,-0.1,0.0,20.0,120.0,4.3,20.5,1013.5,0.0
34,2015-02-05,-1.0,-2.4,0.3,0.0,20.0,47.1,16.2,43.9,1017.7,60.0
35,2015-02-06,-1.4,-3.8,1.6,0.0,20.0,69.6,16.9,46.4,1022.0,246.0
36,2015-02-07,-3.6,-6.0,1.3,0.1,20.0,127.1,8.6,24.5,1029.3,492.0
37,2015-02-08,-0.5,-5.3,3.0,0.1,10.0,295.8,8.6,33.1,1028.7,156.0
38,2015-02-09,0.7,-2.3,2.8,0.5,10.0,272.9,10.8,41.0,1031.4,6.0
39,2015-02-10,2.0,0.1,4.4,0.0,10.0,206.7,4.3,19.8,1031.5,0.0
40,2015-02-11,2.2,-2.2,6.2,0.0,0.0,96.3,8.6,23.0,1027.3,372.0
41,2015-02-12,0.1,-4.5,8.4,0.0,0.0,115.4,5.4,19.4,1024.5,528.0
42,2015-02-13,-0.3,-5.8,6.2,0.0,0.0,111.3,5.0,19.4,1020.0,468.0
43,2015-02-14,1.9,-2.7,7.8,0.0,0.0,115.8,7.6,21.2,1012.3,276.0
44,2015-02-15,-1.2,-4.4,1.2,0.0,0.0,118.3,5.4,19.8,1014.3,0.0
45,2015-02-16,-0.5,-3.7,1.5,0.0,0.0,170.0,4.0,16.9,1021.3,12.0
46,2015-02-17,-0.1,-1.3,0.8,0.0,0.0,265.4,6.1,20.2,1033.5,0.0
47,2015-02-18,0.7,-0.1,1.5,0.0,0.0,102.1,6.1,26.3,1040.6,0.0
48,2015-02-19,-1.0,-5.6,2.4,0.0,0.0,182.9,3.6,14.0,1033.0,102.0
49,2015-02-20,2.8,-6.4,14.7,0.0,0.0,137.5,6.1,34.2,1017.1,576.0
50,2015-02-21,4.1,0.2,7.7,1.0,0.0,177.9,7.9,31.7,1002.7,24.0
51,2015-02-22,1.6,-2.4,5.5,0.0,0.0,214.6,4.7,20.9,1010.6,90.0
52,2015-02-23,1.4,-4.0,6.5,3.6,0.0,118.3,4.0,20.9,1003.3,0.0
53,2015-02-24,3.2,-2.1,6.7,0.0,0.0,205.4,8.6,32.8,1010.8,6.0
54,2015-02-25,2.4,-3.2,9.2,0.0,0.0,180.4,6.1,30.6,1020.4,468.0
55,2015-02-26,3.6,-3.5,11.2,0.0,0.0,108.8,5.8,25.9,1019.8,468.0
56,2015-02-27,3.3,2.4,4.2,8.4,0.0,216.7,9.4,33.1,1014.7,0.0
57,2015-02-28,2.7,-2.5,8.6,0.8,0.0,192.1,3.6,14.4,1021.1,384.0
58,2015-03-01,6.3,-1.9,11.4,4.4,0.0,176.3,9.7,43.6,1009.8,0.0
59,2015-03-02,6.5,3.3,11.0,3.0,0.0,253.8,20.5,63.4,1010.3,66.0
60,2015-03-03,5.6,-1.0,11.1,2.2,0.0,227.1,12.2,51.5,1022.1,498.0
61,2015-03-04,4.1,0.8,7.7,0.0,0.0,262.1,12.6,38.9,1027.8,330.0
62,2015-03-05,3.3,-2.2,7.4,0.0,0.0,295.4,9.0,28.1,1036.8,198.0
63,2015-03-06,2.0,-4.0,10.2,0.0,0.0,198.3,3.2,15.8,1038.2,540.0
64,2015-03-07,2.7,-4.4,11.8,0.0,0.0,99.6,4.7,19.1,1033.9,408.0
65,2015-03-08,5.2,-3.4,16.4,0.0,0.0,130.4,5.4,20.2,1027.0,564.0
66,2015-03-09,6.0,-1.8,16.9,0.0,0.0,225.4,4.0,18.4,1026.1,618.0
67,2015-03-10,5.3,-3.0,13.2,1.8,0.0,227.5,5.8,23.4,1027.7,222.0
68,2015-03-11,4.9,-2.9,10.5,0.0,0.0,257.1,6.1,27.7,1029.9,480.0
69,2015-03-12,2.3,-5.2,11.0,0.0,0.0,82.1,6.1,34.9,1030.0,498.0
70,2015-03-13,1.6,-5.3,7.9,0.0,0.0,116.3,7.6,27.4,1024.1,252.0
71,2015-03-14,2.1,-4.0,6.7,0.0,0.0,84.2,6.5,27.0,1024.7,0.0
72,2015-03-15,4.9,-1.8,9.4,0.0,0.0,73.3,9.7,28.4,1023.7,210.0
