,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,-0.6,2.6,3.4,100.0,,,,,
1,2015-01-03,,-1.1,0.9,4.8,90.0,,,,,
2,2015-01-04,,-0.3,0.6,3.9,140.0,,,,,
3,2015-01-05,,-2.3,0.4,0.0,150.0,,,,,
4,2015-01-06,,-3.7,-1.3,0.3,140.0,,,,,
5,2015-01-07,,-2.3,1.0,0.9,130.0,,,,,
6,2015-01-08,,-1.6,4.2,25.6,130.0,,,,,
7,2015-01-09,,1.4,5.0,39.0,80.0,,,,,
8,2015-01-10,,0.3,9.6,10.1,0.0,,,,,
9,2015-01-11,,-1.1,0.6,23.6,0.0,,,,,
10,2015-01-12,,0.6,3.4,8.6,130.0,,,,,
11,2015-01-13,,3.3,7.8,5.1,10.0,,,,,
12,2015-01-14,,-1.4,3.7,3.7,0.0,,,,,
13,2015-01-15,,-2.1,6.3,14.6,10.0,,,,,
14,2015-01-16,,0.7,5.9,2.2,0.0,,,,,
15,2015-01-17,,-3.5,1.0,0.0,0.0,,,,,
16,2015-01-18,,-3.8,-0.5,0.0,0.0,,,,,
17,2015-01-19,,-4.8,-1.0,0.6,0.0,,,,,
18,2015-01-20,,-6.7,-0.5,1.0,0.0,,,,,
19,2015-01-21,,-9.3,-1.7,0.0,20.0,,,,,
20,2015-01-22,,-4.5,-1.6,0.0,20.0,,,,,
21,2015-01-23,,-4.7,0.0,0.0,20.0,,,,,
22,2015-01-24,,-5.4,-0.2,2.1,10.0,,,,,
23,2015-01-25,,-1.3,0.2,4.0,40.0,,,,,
24,2015-01-26,,-1.2,0.7,10.9,90.0,,,,,
25,2015-01-27,,-1.2,0.4,3.4,170.0,,,,,
26,2015-01-28,,-1.7,0.1,9.2,180.0,,,,,
27,2015-01-29,,-2.8,-1.4,9.9,230.0,,,,,
28,2015-01-30,,-3.7,-1.4,6.6,350.0,,,,,
29,2015-01-31,,-4.2,-1.1,4.9,380.0,,,,,
30,2015-02-01,,-3.6,-1.5,0.1,410.0,,,,,
31,2015-02-02,,-4.6,-1.8,2.3,380.0,,,,,
32,2015-02-03,,-5.9,-2.0,4.5,370.0,,,,,
33,2015-02-04,,-7.0,-3.3,0.0,400.0,,,,,
34,2015-02-05,,-8.2,-4.0,0.0,380.0,,,,,
35,2015-02-06,,-9.4,-2.1,0.0,370.0,,,,,
36,2015-02-07,,-9.0,0.9,0.8,360.0,,,,,
37,2015-02-08,,-6.5,0.4,2.5,350.0,,,,,
38,2015-02-09,,-2.9,2.5,0.1,360.0,,,,,
39,2015-02-10,,-0.2,2.3,0.0,280.0,,,,,
40,2015-02-11,,-3.0,7.2,0.0,230.0,,,,,
41,2015-02-12,,-5.2,9.8,0.0,220.0,,,,,
42,2015-02-13,,-5.4,7.0,0.0,220.0,,,,,
43,2015-02-14,,-3.0,10.5,0.0,220.0,,,,,
44,2015-02-15,,-5.3,2.7,0.0,220.0,,,,,
45,2015-02-16,,-2.5,4.5,0.0,220.0,,,,,
46,2015-02-17,,-3.2,1.7,0.2,220.0,,,,,
47,2015-02-18,,-3.4,3.9,0.0,220.0,,,,,
48,2015-02-19,,-4.1,2.6,0.0,220.0,,,,,
49,2015-02-20,,-4.3,4.8,1.0,220.0,,,,,
50,2015-02-21,,-0.7,4.5,0.1,180.0,,,,,
51,2015-02-22,,-2.9,1.2,0.0,160.0,,,,,
52,2015-02-23,,-1.7,0.1,8.8,170.0,,,,,
53,2015-02-24,,-0.9,0.9,0.2,280.0,,,,,
54,2015-02-25,,-3.3,3.7,0.0,260.0,,,,,
55,2015-02-26,,-3.7,4.0,0.1,240.0,,,,,
56,2015-02-27,,-2.8,2.0,1.0,230.0,,,,,
57,2015-02-28,,-4.5,2.8,0.1,250.0,,,,,
58,2015-03-01,,-1.4,4.4,7.9,240.0,,,,,
59,2015-03-02,,-1.7,2.9,3.9,230.0,,,,,
60,2015-03-03,,-2.0,2.9,7.7,260.0,,,,,
61,2015-03-04,,-1.8,0.3,5.4,290.0,,,,,
62,2015-03-05,,-1.8,2.1,0.2,330.0,,,,,
63,2015-03-06,,-0.8,1.7,0.0,310.0,,,,,
64,2015-03-07,,-2.1,7.6,0.0,300.0,,,,,
65,2015-03-08,,3.7,12.4,0.0,280.0,,,,,
66,2015-03-09,,0.3,10.7,0.0,240.0,,,,,
67,2015-03-10,,0.4,5.9,0.8,210.0,,,,,
68,2015-03-11,,-1.2,4.4,0.0,190.0,,,,,
69,2015-03-12,,-2.2,5.4,0.0,170.0,,,,,
70,2015-03-13,,-2.3,2.3,0.0,160.0,,,,,
71,2015-03-14,,-1.1,0.9,1.6,150.0,,,,,
72,2015-03-15,,0.1,1.9,1.4,160.0,,,,,
73,2015-03-16,,0.8,7.7,0.0,140.0,,,,,
74,2015-03-17,,-0.2,12.5,0.0,100.0,,,,,
75,2015-03-18,,0.4,13.8,0.0,70.0,,,,,
76,2015-03-19,,-0.9,11.8,0.0,30.0,,,,,
77,2015-03-20,,-1.6,10.9,0.0,0.0,,,,,
78,2015-03-21,,-2.0,3.4,1.9,0.0,,,,,
79,2015-03-22,,-5.2,0.4,0.0,10.0,,,,,
80,2015-03-23,,-4.9,8.2,0.0,0.0,,,,,
81,2015-03-24,,-0.5,7.3,0.0,0.0,,,,,
82,2015-03-25,,-0.7,13.7,0.0,0.0,,,,,
83,2015-03-26,,0.7,5.6,3.7,0.0,,,,,
84,2015-03-27,,0.6,2.3,6.3,0.0,,,,,
85,2015-03-28,,0.5,7.8,8.1,0.0,,,,,
86,2015-03-29,,1.9,7.3,43.0,0.0,,,,,
87,2015-03-30,,-0.3,3.5,25.5,0.0,,,,,
88,2015-03-31,,-1.0,5.1,23.8,90.0,,,,,
89,2015-04-01,,-1.3,1.3,29.1,80.0,,,,,
90,2015-04-02,,-1.7,1.3,7.1,330.0,,,,,
91,2015-04-03,,-3.1,3.9,0.2,310.0,,,,,
92,2015-04-04,,-3.4,4.3,0.0,250.0,,,,,
93,2015-04-05,,-3.3,5.0,0.0,210.0,,,,,
94,2015-04-06,,-1.8,5.6,0.0,180.0,,,,,
95,2015-04-07,,-3.4,7.4,0.0,130.0,,,,,
96,2015-04-08,,0.4,9.9,0.0,90.0,,,,,
97,2015-04-09,,2.1,15.0,0.0,10.0,,,,,
98,2015-04-10,,3.1,17.4,0.0,0.0,,,,,
99,2015-04-11,,1.7,15.9,1.6,,,,,,
100,2015-04-12,,-1.4,11.3,0.9,0.0,,,,,
101,2015-04-13,,-0.6,9.0,0.0,0.0,,,,,
102,2015-04-14,,-0.7,13.6,0.0,0.0,,,,,
103,2015-04-15,,6.9,19.6,0.0,0.0,,,,,
104,2015-04-16,,3.5,12.0,0.1,0.0,,,,,
105,2015-04-17,,1.6,6.5,0.0,0.0,,,,,
106,2015-04-18,,0.6,8.5,0.0,0.0,,,,,
107,2015-04-19,,-0.7,13.7,0.0,0.0,,,,,
108,2015-04-20,,0.4,14.5,0.0,0.0,,,,,
109,2015-04-21,,2.0,16.9,0.0,0.0,,,,,
110,2015-04-22,,-0.1,7.0,0.5,0.0,,,,,
111,2015-04-23,,-0.6,15.6,0.0,0.0,,,,,
112,2015-04-24,,3.4,16.9,0.0,0.0,,,,,
113,2015-04-25,,6.1,15.8,4.2,0.0,,,,,
114,2015-04-26,,7.8,13.6,7.4,0.0,,,,,
115,2015-04-27,,3.1,8.7,2.9,0.0,,,,,
116,2015-04-28,,-0.2,8.9,1.0,0.0,,,,,
117,2015-04-29,,-2.0,10.3,0.0,0.0,,,,,
118,2015-04-30,,2.2,12.1,9.3,0.0,,,,,
