,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,-8.4,3.2,5.4,100.0,,,,,
1,2015-01-03,,-0.4,4.6,27.1,0.0,,,,,
2,2015-01-04,,0.4,1.3,0.0,10.0,,,,,
3,2015-01-05,,-2.5,2.8,0.0,10.0,,,,,
4,2015-01-06,,-3.9,3.5,0.1,0.0,,,,,
5,2015-01-07,,-4.6,1.9,0.9,10.0,,,,,
6,2015-01-08,,-1.9,7.7,0.2,0.0,,,,,
7,2015-01-09,,4.1,9.4,3.8,0.0,,,,,
8,2015-01-10,,9.3,15.0,5.8,0.0,,,,,
9,2015-01-11,,0.2,11.2,3.3,0.0,,,,,
10,2015-01-12,,-1.6,4.7,0.0,0.0,,,,,
11,2015-01-13,,-2.9,13.2,0.0,0.0,,,,,
12,2015-01-14,,-0.5,9.8,1.4,0.0,,,,,
13,2015-01-15,,-1.7,7.3,0.0,0.0,,,,,
14,2015-01-16,,-2.2,4.7,1.3,0.0,,,,,
15,2015-01-17,,0.2,3.2,6.3,0.0,,,,,
16,2015-01-18,,0.1,2.5,0.0,0.0,,,,,
17,2015-01-19,,-2.2,3.0,0.0,0.0,,,,,
18,2015-01-20,,-2.3,0.9,0.0,0.0,,,,,
19,2015-01-21,,-0.8,0.3,0.0,0.0,,,,,
20,2015-01-22,,-0.4,0.8,0.2,0.0,,,,,
21,2015-01-23,,-0.8,0.2,0.0,0.0,,,,,
22,2015-01-24,,-2.1,0.3,0.9,0.0,,,,,
23,2015-01-25,,-1.3,0.6,1.7,20.0,,,,,
24,2015-01-26,,-2.1,1.4,2.9,60.0,,,,,
25,2015-01-27,,-0.3,1.1,0.9,70.0,,,,,
26,2015-01-28,,-2.2,1.8,1.9,60.0,,,,,
27,2015-01-29,,-1.1,2.9,2.3,40.0,,,,,
28,2015-01-30,,-4.6,1.9,0.4,50.0,,,,,
29,2015-01-31,,-4.4,1.9,0.1,70.0,,,,,
30,2015-02-01,,-6.2,1.6,1.7,50.0,,,,,
31,2015-02-02,,-5.1,0.8,0.4,110.0,,,,,
32,2015-02-03,,-11.8,-0.7,0.0,100.0,,,,,
33,2015-02-04,,-14.1,-2.7,0.0,90.0,,,,,
34,2015-02-05,,-5.0,-1.1,0.0,80.0,,,,,
35,2015-02-06,,-6.2,-1.3,0.0,80.0,,,,,
36,2015-02-07,,-8.2,-2.4,0.1,90.0,,,,,
37,2015-02-08,,-7.5,0.7,0.9,90.0,,,,,
38,2015-02-09,,-4.5,0.3,0.1,120.0,,,,,
39,2015-02-10,,-5.4,3.6,0.0,100.0,,,,,
40,2015-02-11,,-3.1,0.6,0.0,80.0,,,,,
41,2015-02-12,,-2.6,-1.1,0.0,70.0,,,,,
42,2015-02-13,,-4.6,-1.7,0.0,70.0,,,,,
43,2015-02-14,,-4.3,-2.0,0.0,70.0,,,,,
44,2015-02-15,,-4.5,-0.1,0.0,60.0,,,,,
45,2015-02-16,,-3.0,0.0,0.0,60.0,,,,,
46,2015-02-17,,-3.5,-1.2,0.0,50.0,,,,,
47,2015-02-18,,-2.9,-1.4,0.0,50.0,,,,,
48,2015-02-19,,-4.7,3.4,0.0,50.0,,,,,
49,2015-02-20,,-8.6,8.9,0.0,40.0,,,,,
50,2015-02-21,,-5.8,6.7,1.1,30.0,,,,,
51,2015-02-22,,-4.2,3.6,0.9,40.0,,,,,
52,2015-02-23,,-4.5,4.3,2.8,20.0,,,,,
53,2015-02-24,,-0.9,5.2,0.2,0.0,,,,,
54,2015-02-25,,-2.1,4.9,0.0,0.0,,,,,
55,2015-02-26,,-3.9,6.3,0.0,0.0,,,,,
56,2015-02-27,,-4.4,7.8,1.6,0.0,,,,,
57,2015-02-28,,-1.6,3.6,0.1,0.0,,,,,
58,2015-03-01,,-2.0,8.1,2.3,0.0,,,,,
59,2015-03-02,,0.9,8.6,5.8,0.0,,,,,
60,2015-03-03,,0.4,8.1,1.6,0.0,,,,,
61,2015-03-04,,-0.4,5.5,0.3,0.0,,,,,
62,2015-03-05,,-0.4,4.6,0.0,,,,,,
63,2015-03-06,,-2.3,6.1,0.0,0.0,,,,,
64,2015-03-07,,-2.9,8.8,0.0,0.0,,,,,
65,2015-03-08,,-2.7,12.5,0.0,0.0,,,,,
66,2015-03-09,,-1.5,13.0,0.0,0.0,,,,,
67,2015-03-10,,-3.1,13.9,1.2,0.0,,,,,
68,2015-03-11,,-1.5,7.9,0.2,0.0,,,,,
69,2015-03-12,,0.1,8.1,0.0,0.0,,,,,
70,2015-03-13,,-0.8,4.2,0.0,0.0,,,,,
71,2015-03-14,,-2.0,5.4,0.0,0.0,,,,,
72,2015-03-15,,-0.8,10.2,0.0,0.0,,,,,
73,2015-03-16,,1.4,13.5,0.0,0.0,,,,,
74,2015-03-17,,4.1,17.5,0.0,0.0,,,,,
75,2015-03-18,,0.7,14.6,0.0,0.0,,,,,
76,2015-03-19,,-1.0,13.6,0.0,0.0,,,,,
77,2015-03-20,,-2.6,13.3,0.0,,,,,,
78,2015-03-21,,-3.4,14.0,3.7,,,,,,
79,2015-03-22,,2.6,5.7,0.0,,,,,,
80,2015-03-23,,-0.8,6.3,0.0,,,,,,
81,2015-03-24,,-2.0,15.2,0.0,,,,,,
82,2015-03-25,,2.7,15.2,0.0,,,,,,
83,2015-03-26,,4.9,7.7,1.2,,,,,,
84,2015-03-27,,3.8,9.1,0.7,,,,,,
85,2015-03-28,,1.0,11.8,0.1,,,,,,
86,2015-03-29,,6.5,12.5,5.8,,,,,,
87,2015-03-30,,3.8,9.5,3.4,,,,,,
88,2015-03-31,,1.6,13.9,6.0,0.0,,,,,
89,2015-04-01,,0.2,6.5,1.4,10.0,,,,,
90,2015-04-02,,0.2,6.0,4.4,0.0,,,,,
91,2015-04-03,,-1.4,9.7,0.6,0.0,,,,,
