,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,2.0,-1.7,4.4,1.8,0.0,235.4,21.2,48.2,1033.8,0.0
1,2015-01-03,4.2,1.2,10.7,14.1,0.0,213.3,13.3,50.0,1026.5,0.0
2,2015-01-04,2.7,0.3,6.1,0.0,0.0,223.3,9.7,24.1,1033.8,222.0
3,2015-01-05,-0.2,-4.4,4.8,0.0,0.0,209.2,5.8,16.9,1034.5,444.0
4,2015-01-06,-2.4,-6.4,1.7,0.8,0.0,191.3,5.4,25.2,1026.9,240.0
5,2015-01-07,1.3,-1.3,3.0,0.0,0.0,220.4,10.8,24.8,1031.2,0.0
6,2015-01-08,7.3,0.3,10.8,3.9,0.0,217.5,25.6,61.2,1028.3,6.0
7,2015-01-09,8.8,6.5,13.4,7.0,0.0,236.3,34.2,71.6,1026.7,0.0
8,2015-01-10,12.9,8.8,14.4,6.6,0.0,239.2,40.3,78.1,1018.4,36.0
9,2015-01-11,5.8,3.5,8.8,0.3,0.0,248.3,25.6,54.7,1023.2,132.0
10,2015-01-12,6.3,2.8,8.1,0.0,0.0,232.5,30.2,64.4,1024.7,0.0
11,2015-01-13,8.6,-0.5,15.3,5.8,0.0,237.5,16.9,68.4,1014.9,390.0
12,2015-01-14,7.0,2.3,9.7,0.5,0.0,233.8,24.5,65.9,1015.9,0.0
13,2015-01-15,8.2,0.8,12.5,3.8,0.0,194.2,13.3,45.4,1009.3,6.0
14,2015-01-16,6.3,4.8,11.2,17.5,0.0,194.2,9.0,28.8,1008.1,0.0
15,2015-01-17,3.9,1.7,4.8,3.0,0.0,223.3,10.1,21.2,1016.0,0.0
16,2015-01-18,-0.4,-2.9,1.8,0.0,0.0,164.6,4.3,14.8,1017.7,0.0
17,2015-01-19,0.6,-1.1,2.0,1.4,0.0,156.3,3.2,8.6,1012.7,18.0
18,2015-01-20,0.9,-0.5,2.0,0.3,0.0,169.6,6.8,18.4,1012.7,0.0
19,2015-01-21,1.7,-0.5,3.7,0.0,0.0,54.2,14.0,27.4,1011.2,66.0
20,2015-01-22,1.8,1.0,2.6,0.2,0.0,128.3,10.1,24.8,1014.5,0.0
21,2015-01-23,1.9,1.1,2.6,0.0,0.0,137.5,6.1,15.5,1023.4,0.0
22,2015-01-24,1.2,0.3,2.8,1.9,0.0,237.5,11.5,31.0,1023.8,0.0
23,2015-01-25,1.6,0.3,3.4,1.7,0.0,222.5,12.2,23.4,1030.4,0.0
24,2015-01-26,1.8,0.7,2.9,5.2,0.0,230.4,22.0,47.2,1025.2,0.0
25,2015-01-27,2.8,1.0,4.7,1.6,0.0,233.3,16.9,33.8,1023.9,132.0
26,2015-01-28,4.1,2.2,6.0,3.4,0.0,226.7,27.7,74.2,1014.1,0.0
27,2015-01-29,4.1,2.0,5.5,4.6,0.0,226.7,25.6,55.4,992.2,30.0
28,2015-01-30,1.8,0.2,4.8,7.9,0.0,232.9,20.5,52.2,979.6,24.0
29,2015-01-31,2.1,-0.6,4.6,1.1,10.0,228.3,15.8,36.0,985.3,18.0
30,2015-02-01,1.6,0.0,3.0,1.5,0.0,224.6,19.1,43.2,992.7,12.0
31,2015-02-02,1.5,-1.9,3.5,0.0,0.0,240.8,15.5,36.7,1002.5,42.0
32,2015-02-03,-1.5,-5.5,3.8,0.0,0.0,167.1,5.0,19.4,1005.1,450.0
33,2015-02-04,-1.8,-5.7,0.5,0.0,0.0,35.4,11.5,28.8,1012.9,0.0
34,2015-02-05,0.1,-1.2,1.9,0.0,0.0,42.9,24.1,62.3,1017.2,12.0
35,2015-02-06,0.0,-2.2,2.9,0.0,0.0,54.6,29.2,62.6,1021.2,198.0
36,2015-02-07,-2.0,-4.6,2.1,0.0,0.0,75.4,16.2,43.9,1028.7,492.0
37,2015-02-08,0.2,-3.7,4.5,0.2,0.0,252.1,13.3,31.7,1029.0,138.0
38,2015-02-09,1.1,-0.9,2.4,0.5,0.0,226.3,18.7,41.4,1031.8,42.0
39,2015-02-10,3.1,0.8,5.4,0.0,0.0,160.0,8.6,27.0,1031.1,0.0
40,2015-02-11,3.2,-2.8,7.8,0.0,0.0,49.6,14.8,32.8,1026.5,516.0
41,2015-02-12,-1.3,-4.3,1.3,0.0,0.0,163.3,4.0,11.5,1024.3,48.0
42,2015-02-13,-0.1,-1.8,4.0,0.0,0.0,170.0,4.7,11.2,1019.6,168.0
43,2015-02-14,1.9,-1.9,9.7,0.0,0.0,125.8,9.4,31.3,1011.5,192.0
44,2015-02-15,-0.2,-2.2,1.5,0.0,0.0,45.8,13.3,31.7,1013.7,0.0
45,2015-02-16,0.3,-2.4,1.3,0.0,0.0,152.5,4.7,18.4,1021.0,0.0
46,2015-02-17,1.1,-0.3,2.1,0.0,0.0,236.7,8.3,20.2,1033.2,0.0
47,2015-02-18,1.3,-4.0,3.5,0.0,0.0,82.1,11.2,31.7,1040.0,138.0
48,2015-02-19,-1.1,-5.3,3.8,0.0,0.0,190.0,5.8,25.9,1032.4,48.0
49,2015-02-20,3.1,-5.2,13.5,0.2,0.0,172.9,9.4,43.6,1016.1,558.0
50,2015-02-21,5.9,0.9,9.0,0.9,0.0,230.0,18.4,56.9,1002.0,6.0
51,2015-02-22,2.2,-3.3,6.1,0.0,0.0,225.0,6.1,14.8,1010.3,30.0
52,2015-02-23,2.6,-3.9,7.2,3.8,0.0,192.5,11.2,42.8,1002.6,0.0
53,2015-02-24,5.1,2.3,7.3,0.0,0.0,229.6,18.7,43.6,1010.3,54.0
54,2015-02-25,4.3,-1.8,9.3,0.0,0.0,223.8,10.4,30.6,1019.9,372.0
55,2015-02-26,4.7,-1.1,11.7,2.9,0.0,206.7,4.3,13.7,1019.0,420.0
56,2015-02-27,4.1,3.0,5.4,5.3,0.0,157.9,6.5,25.2,1014.5,0.0
57,2015-02-28,3.5,-1.4,8.9,0.3,0.0,219.2,8.3,26.6,1020.6,564.0
58,2015-03-01,7.2,-1.1,10.9,3.2,0.0,219.2,22.3,60.5,1009.1,0.0
59,2015-03-02,7.0,2.7,11.3,1.9,0.0,238.3,25.2,69.5,1010.2,60.0
60,2015-03-03,6.9,2.2,11.8,0.7,0.0,235.0,21.6,47.5,1021.6,510.0
61,2015-03-04,5.0,0.8,8.4,0.0,0.0,247.1,16.2,41.8,1027.7,336.0
62,2015-03-05,4.0,-1.9,8.5,0.0,0.0,206.3,9.4,28.4,1036.8,288.0
63,2015-03-06,2.9,-3.5,11.4,0.0,0.0,182.5,4.3,18.0,1037.6,588.0
64,2015-03-07,3.3,-3.7,11.7,0.0,0.0,190.4,5.0,18.4,1033.1,426.0
65,2015-03-08,5.0,-3.0,15.4,0.0,0.0,210.8,4.7,19.8,1026.5,570.0
66,2015-03-09,6.9,-1.2,16.3,0.0,0.0,132.9,7.2,28.8,1025.6,606.0
67,2015-03-10,6.3,-1.9,13.0,2.0,0.0,224.6,6.5,18.0,1027.3,144.0
68,2015-03-11,6.2,-1.6,11.0,0.0,0.0,79.2,9.4,23.4,1029.6,582.0
69,2015-03-12,4.5,-2.2,12.0,0.0,0.0,47.5,12.2,36.4,1029.2,552.0
70,2015-03-13,4.5,-0.3,9.7,0.0,0.0,59.6,17.6,41.8,1023.1,612.0
71,2015-03-14,4.2,-1.1,7.7,0.0,0.0,53.3,13.7,28.8,1024.0,0.0
72,2015-03-15,5.8,2.4,10.0,0.0,0.0,56.7,15.5,37.1,1023.2,282.0
73,2015-03-16,6.6,1.7,14.1,0.0,0.0,136.3,10.8,32.8,1022.1,444.0
74,2015-03-17,9.7,3.7,18.0,0.0,0.0,35.8,13.7,32.8,1022.5,522.0
75,2015-03-18,9.4,0.8,18.4,0.0,0.0,154.6,5.4,20.2,1023.9,630.0
76,2015-03-19,9.0,1.9,16.6,0.0,0.0,82.9,9.0,24.8,1024.6,378.0
77,2015-03-20,7.9,0.7,15.6,0.0,0.0,54.6,10.1,28.4,1022.5,636.0
78,2015-03-21,5.5,-1.5,11.7,0.0,0.0,141.3,9.0,33.8,1017.6,216.0
79,2015-03-22,7.1,3.2,10.5,0.0,0.0,58.8,18.0,45.7,1020.5,144.0
80,2015-03-23,6.0,0.1,11.1,0.0,0.0,66.7,10.8,22.0,1016.7,216.0
81,2015-03-24,7.8,-1.6,17.9,0.0,0.0,172.9,4.7,21.6,1008.5,516.0
82,2015-03-25,8.3,0.6,15.2,0.1,0.0,209.6,14.0,40.3,1004.9,366.0
83,2015-03-26,7.1,5.8,9.5,1.1,0.0,230.4,16.9,45.0,1010.3,0.0
84,2015-03-27,7.9,1.3,12.2,0.0,0.0,254.6,18.4,42.1,1019.3,318.0
85,2015-03-28,8.1,1.0,13.9,0.4,0.0,225.4,16.2,45.7,1021.1,318.0
86,2015-03-29,10.8,9.8,12.0,12.0,0.0,,34.6,67.3,1007.9,12.0
87,2015-03-30,9.8,7.4,12.2,2.7,0.0,259.6,25.2,67.0,1007.7,96.0
88,2015-03-31,10.3,5.1,14.0,7.0,0.0,245.0,40.3,91.8,1007.4,114.0
89,2015-04-01,6.2,2.5,9.0,1.7,0.0,253.3,25.9,70.2,1020.9,354.0
90,2015-04-02,5.9,-1.1,10.9,9.8,0.0,262.5,23.0,60.8,1018.2,114.0
91,2015-04-03,5.3,-3.1,12.2,6.1,0.0,224.2,6.1,25.9,1020.9,492.0
92,2015-04-04,5.6,4.4,6.3,8.0,0.0,93.8,10.1,36.4,1015.5,0.0
93,2015-04-05,5.4,-0.6,10.7,0.0,0.0,55.0,11.2,40.0,1022.7,540.0
94,2015-04-06,3.9,-3.1,11.0,0.0,0.0,150.0,7.6,34.6,1029.0,222.0
95,2015-04-07,5.3,-2.2,13.2,0.0,0.0,95.4,6.8,25.6,1035.7,690.0
96,2015-04-08,7.2,-1.9,16.0,0.0,0.0,130.4,5.8,23.8,1032.7,690.0
97,2015-04-09,11.6,3.4,20.5,0.0,0.0,178.8,6.1,20.5,1026.8,720.0
98,2015-04-10,12.8,2.5,22.8,0.0,0.0,192.1,6.1,22.0,1021.6,738.0
99,2015-04-11,13.5,10.3,16.4,0.2,0.0,228.8,19.4,45.7,1023.4,84.0
100,2015-04-12,13.3,6.9,18.9,0.0,0.0,240.8,7.9,25.9,1029.0,444.0
101,2015-04-13,13.3,7.0,20.0,0.0,0.0,231.3,13.7,41.4,1029.6,432.0
102,2015-04-14,13.2,3.4,21.9,0.0,0.0,215.0,11.2,35.3,1028.3,732.0
103,2015-04-15,15.2,4.8,25.5,0.0,0.0,215.4,7.9,30.2,1018.9,708.0
104,2015-04-16,16.0,7.9,22.9,0.0,0.0,222.1,10.4,28.8,1013.7,288.0
105,2015-04-17,12.4,8.1,16.0,0.0,0.0,224.6,11.2,35.6,1014.8,114.0
106,2015-04-18,9.2,2.8,14.1,0.0,0.0,50.4,15.1,39.6,1023.3,654.0
107,2015-04-19,10.4,2.0,18.2,0.0,0.0,61.3,15.5,42.5,1020.2,774.0
108,2015-04-20,11.5,2.7,19.9,0.0,0.0,50.8,10.8,34.2,1024.8,750.0
109,2015-04-21,12.5,2.0,22.3,0.0,0.0,73.3,7.9,27.7,1028.0,774.0
110,2015-04-22,11.4,2.1,19.5,0.0,0.0,71.3,11.9,40.7,1024.7,768.0
111,2015-04-23,10.1,0.7,17.5,0.0,0.0,59.6,9.7,29.5,1018.7,780.0
112,2015-04-24,11.3,0.1,21.5,0.0,0.0,175.8,6.1,20.9,1014.5,750.0
113,2015-04-25,12.4,4.6,18.6,7.7,0.0,217.5,10.8,42.1,1011.0,18.0
114,2015-04-26,15.8,9.5,22.0,1.9,0.0,229.2,7.2,36.4,1007.2,528.0
