,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,5.5,3.6,7.8,0.5,0.0,252.1,58.7,99.4,1009.1,126.0
1,2015-01-03,4.3,2.9,5.5,2.4,0.0,270.4,51.8,90.7,1009.4,0.0
2,2015-01-04,3.9,3.2,4.7,3.1,0.0,312.9,41.4,77.0,1018.3,312.0
3,2015-01-05,3.4,2.2,4.2,0.0,0.0,257.1,12.2,48.6,1025.1,6.0
4,2015-01-06,1.5,-0.3,3.0,0.0,0.0,165.8,22.7,55.8,1025.9,282.0
5,2015-01-07,2.2,-0.3,5.2,0.1,0.0,228.3,30.6,52.2,1020.8,132.0
6,2015-01-08,3.8,2.2,5.5,5.8,0.0,234.2,38.5,67.7,1014.1,0.0
7,2015-01-09,5.5,3.8,6.7,5.1,0.0,256.7,55.4,99.7,1001.8,60.0
8,2015-01-10,6.1,3.5,9.1,3.8,0.0,257.9,57.6,136.4,993.1,0.0
9,2015-01-11,4.1,3.3,4.9,0.2,0.0,270.4,64.8,101.9,997.4,126.0
10,2015-01-12,5.7,4.0,7.3,2.8,0.0,249.6,47.9,79.6,1003.4,0.0
11,2015-01-13,6.3,4.5,8.5,7.7,0.0,240.8,35.6,64.8,1000.6,0.0
12,2015-01-14,3.6,1.2,5.8,2.3,0.0,240.8,32.0,75.6,1003.1,90.0
13,2015-01-15,3.7,1.1,7.7,4.0,0.0,203.8,41.0,68.8,1002.0,0.0
14,2015-01-16,5.7,3.7,7.4,0.0,0.0,227.9,34.6,64.4,1002.4,114.0
15,2015-01-17,3.0,-0.1,4.6,0.0,0.0,245.8,28.4,57.2,1009.4,324.0
16,2015-01-18,0.6,-0.4,1.9,0.1,0.0,214.6,24.1,41.8,1014.7,102.0
17,2015-01-19,0.7,-1.0,2.6,0.0,0.0,182.9,21.2,36.4,1014.8,60.0
18,2015-01-20,1.6,0.1,2.2,1.1,0.0,147.5,21.2,42.8,1013.0,0.0
19,2015-01-21,1.0,-0.4,2.4,0.5,0.0,275.8,11.5,29.5,1015.7,0.0
20,2015-01-22,1.0,-1.4,3.7,0.0,0.0,134.6,8.3,18.0,1021.0,264.0
21,2015-01-23,0.4,-2.5,2.0,0.9,0.0,287.5,14.4,32.8,1024.6,0.0
22,2015-01-24,-0.9,-2.6,3.0,0.2,0.0,211.7,30.2,60.5,1018.3,132.0
23,2015-01-25,2.4,-0.9,3.8,0.0,0.0,294.2,16.9,38.5,1021.9,192.0
24,2015-01-26,1.9,1.0,4.0,6.2,0.0,212.9,27.4,46.4,1015.5,0.0
25,2015-01-27,3.0,1.3,4.0,1.3,0.0,318.3,27.7,52.6,1010.4,0.0
26,2015-01-28,2.7,0.1,4.3,4.0,0.0,228.3,35.6,69.8,1000.7,0.0
27,2015-01-29,1.7,0.6,2.9,0.1,0.0,222.1,43.6,73.4,981.5,66.0
28,2015-01-30,0.7,0.1,1.3,5.7,0.0,210.4,13.0,41.0,974.3,0.0
29,2015-01-31,1.3,-0.1,2.3,3.4,0.0,295.4,24.5,61.9,975.9,0.0
30,2015-02-01,1.6,-0.1,2.8,1.9,0.0,264.2,38.2,59.4,984.1,138.0
31,2015-02-02,0.5,-1.6,2.2,1.0,0.0,282.5,29.9,51.8,990.0,132.0
32,2015-02-03,-1.3,-2.0,-0.5,0.2,10.0,295.8,12.2,34.9,998.9,30.0
33,2015-02-04,-0.8,-1.3,0.3,0.0,10.0,251.7,9.0,28.1,1010.9,0.0
34,2015-02-05,1.3,0.2,2.8,0.0,10.0,72.1,17.6,46.8,1025.2,306.0
35,2015-02-06,1.1,-1.0,2.4,0.0,0.0,270.0,17.6,38.5,1030.7,468.0
36,2015-02-07,3.4,1.8,5.0,0.0,0.0,278.3,43.2,85.0,1018.4,0.0
37,2015-02-08,2.3,0.9,3.2,0.6,0.0,333.3,33.8,72.4,1018.2,522.0
38,2015-02-09,4.3,3.3,5.8,0.0,0.0,289.2,30.6,53.3,1015.8,408.0
39,2015-02-10,3.9,2.7,5.6,0.0,0.0,285.4,29.5,49.3,1023.4,210.0
40,2015-02-11,2.4,0.2,3.7,0.0,0.0,282.9,20.5,36.7,1026.6,18.0
41,2015-02-12,0.4,-0.6,1.4,0.0,0.0,229.2,11.9,24.8,1023.6,0.0
42,2015-02-13,-0.8,-1.6,0.2,0.0,0.0,201.7,12.2,27.0,1019.3,0.0
43,2015-02-14,1.9,-1.1,3.5,0.0,0.0,100.8,17.6,60.5,1016.4,462.0
44,2015-02-15,2.4,0.8,3.0,0.0,0.0,85.8,40.3,74.9,1023.1,0.0
45,2015-02-16,0.5,-0.4,1.1,0.0,0.0,134.2,34.2,61.2,1026.8,54.0
46,2015-02-17,0.7,-0.9,2.8,0.0,0.0,213.3,23.8,51.8,1030.7,456.0
