,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.3,4.1,9.2,4.0,0.0,251.3,33.8,78.8,1016.6,48.0
1,2015-01-03,4.8,2.4,5.9,6.1,0.0,259.6,25.2,58.7,1016.6,0.0
2,2015-01-04,4.1,2.6,6.4,0.0,0.0,283.3,17.6,46.8,1025.2,384.0
3,2015-01-05,3.9,2.6,4.4,0.0,0.0,255.8,14.0,35.6,1028.4,0.0
4,2015-01-06,2.9,1.2,4.2,0.5,0.0,172.9,15.5,40.7,1023.5,0.0
5,2015-01-07,4.3,1.7,6.5,0.1,0.0,232.1,17.3,44.3,1022.7,204.0
6,2015-01-08,5.2,2.9,6.8,10.0,0.0,231.7,23.8,54.4,1016.7,0.0
7,2015-01-09,7.1,5.5,9.1,11.0,0.0,253.8,34.6,104.4,1008.6,0.0
8,2015-01-10,8.8,4.5,12.3,5.6,0.0,256.7,33.5,96.8,1000.3,0.0
9,2015-01-11,4.1,1.4,5.9,9.1,0.0,266.3,28.8,72.4,1006.4,6.0
10,2015-01-12,7.0,5.5,8.6,10.1,0.0,239.2,29.9,59.8,1007.7,0.0
11,2015-01-13,7.5,4.9,9.4,13.4,0.0,233.3,20.9,57.2,1002.1,0.0
12,2015-01-14,3.9,0.8,6.6,3.1,0.0,235.4,21.2,51.1,1005.1,24.0
13,2015-01-15,6.2,1.8,9.5,2.3,0.0,188.8,28.1,60.5,999.3,0.0
14,2015-01-16,6.0,3.5,7.5,0.0,0.0,218.3,24.1,59.8,1003.1,288.0
15,2015-01-17,2.6,0.2,5.4,0.0,0.0,233.3,15.1,33.8,1011.4,402.0
16,2015-01-18,1.9,0.7,2.3,1.3,0.0,197.5,16.2,35.3,1013.7,0.0
17,2015-01-19,0.8,-1.6,2.0,0.0,0.0,154.2,8.3,20.5,1012.9,0.0
18,2015-01-20,0.1,-1.1,1.5,0.0,0.0,201.7,5.4,16.6,1012.3,0.0
19,2015-01-21,-1.7,-4.3,-0.1,0.0,0.0,140.8,7.9,29.2,1016.5,0.0
20,2015-01-22,-0.9,-4.1,1.0,0.0,0.0,79.6,10.1,23.4,1021.3,0.0
21,2015-01-23,-2.2,-4.4,0.5,0.0,0.0,202.9,9.0,33.5,1026.0,102.0
22,2015-01-24,-0.8,-2.6,0.6,2.4,0.0,215.4,13.7,40.7,1018.6,0.0
23,2015-01-25,1.6,-2.3,3.3,0.2,20.0,255.0,7.9,22.3,1024.6,60.0
24,2015-01-26,3.6,2.3,5.5,7.1,0.0,225.4,18.4,46.4,1016.5,0.0
25,2015-01-27,3.9,2.1,6.2,0.0,0.0,290.0,18.7,41.4,1015.8,294.0
26,2015-01-28,4.1,2.1,6.0,6.0,0.0,222.9,27.0,66.6,1001.4,0.0
27,2015-01-29,2.0,0.9,3.0,0.1,0.0,212.9,28.8,56.9,981.9,12.0
28,2015-01-30,0.8,-1.4,2.4,0.0,0.0,189.2,7.9,22.3,974.5,0.0
29,2015-01-31,0.3,-3.5,3.1,0.0,0.0,266.7,5.4,18.4,979.9,264.0
30,2015-02-01,-0.2,-4.4,1.2,0.9,0.0,195.4,10.1,31.3,987.9,0.0
31,2015-02-02,1.3,0.0,4.0,0.7,0.0,265.0,14.4,39.6,994.2,90.0
32,2015-02-03,-0.5,-1.8,0.6,0.2,0.0,303.8,11.9,28.4,1001.8,108.0
33,2015-02-04,-1.7,-5.1,0.6,0.6,0.0,312.1,10.1,21.6,1013.5,168.0
34,2015-02-05,-0.5,-4.5,2.1,0.0,10.0,146.7,9.0,23.4,1025.4,102.0
35,2015-02-06,-2.3,-6.4,2.0,0.0,0.0,109.2,6.5,14.8,1032.4,456.0
36,2015-02-07,2.0,-4.1,5.5,0.0,0.0,272.1,19.4,75.2,1026.2,0.0
37,2015-02-08,2.8,0.2,4.9,0.7,0.0,318.3,24.1,60.5,1024.9,498.0
38,2015-02-09,5.6,4.8,6.4,0.4,0.0,297.5,26.3,60.5,1021.8,0.0
39,2015-02-10,5.9,2.8,7.4,0.0,0.0,300.0,18.0,42.1,1027.5,0.0
40,2015-02-11,3.2,-0.3,4.5,0.0,0.0,252.5,6.8,20.5,1027.7,0.0
