,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2016-06-01,13.3,10.8,15.9,,,264.6,10.9,,1003.1,
1,2016-06-02,14.1,12.1,19.1,,,159.2,7.8,,999.3,
2,2016-06-03,15.0,12.7,19.7,,,,5.7,,,
3,2016-06-04,15.3,13.2,20.8,,,135.0,7.9,,,
4,2016-06-05,16.7,12.8,21.4,,,223.8,6.3,,1006.0,
5,2016-06-06,19.4,12.3,25.1,,,85.8,8.0,,1008.5,
6,2016-06-07,19.3,15.0,25.6,,,163.8,7.4,,1009.7,
7,2016-06-08,15.7,13.4,18.1,,,253.8,8.0,,,
8,2016-06-09,15.7,10.9,21.3,,,196.7,10.6,,,
9,2016-06-10,16.2,8.9,22.4,,,86.7,6.0,,1002.7,
10,2016-06-11,13.9,12.1,16.5,,,146.3,5.8,,,
11,2016-06-12,14.3,12.5,18.0,,,265.4,8.4,,,
12,2016-06-13,13.5,11.8,15.2,,,252.1,14.4,,,
13,2016-06-14,12.9,11.0,16.2,,,235.4,12.8,,,
14,2016-06-15,12.0,10.0,14.8,,,224.2,13.6,,990.7,
15,2016-06-16,12.0,8.7,15.6,,,165.0,7.1,,992.7,
16,2016-06-17,11.9,9.7,15.6,,,245.0,14.6,,997.3,
17,2016-06-18,12.2,9.3,17.2,,,253.3,13.4,,1006.2,
18,2016-06-19,12.1,8.6,16.4,,,245.4,7.9,,1012.6,
19,2016-06-20,13.2,6.5,18.3,,,195.8,13.6,,1011.1,
20,2016-06-21,15.2,12.7,18.9,,,232.9,12.8,,1009.9,
21,2016-06-22,19.1,15.4,25.2,,,181.7,7.1,,1012.5,
22,2016-06-23,24.3,17.1,31.0,,,149.6,11.0,,1008.5,
23,2016-06-24,24.1,18.8,27.9,,,232.9,11.1,,1005.4,
24,2016-06-25,15.7,10.8,19.2,,,258.3,9.7,,,
25,2016-06-26,13.6,10.1,17.7,,,252.9,12.7,,1008.2,
26,2016-06-27,12.7,9.0,16.4,,,242.5,14.9,,1010.0,
27,2016-06-28,15.1,12.8,18.0,,,231.7,9.8,,,
28,2016-06-29,16.1,14.0,19.0,,,236.7,16.4,,,
29,2016-06-30,15.9,13.8,18.3,,,236.3,14.0,,,
30,2016-07-01,16.7,14.6,19.4,,,224.6,15.6,,1005.2,
31,2016-07-02,13.9,10.7,17.7,,,249.2,16.5,,1005.3,
32,2016-07-03,12.0,10.3,14.6,,,244.6,11.9,,1010.8,
33,2016-07-04,14.3,11.5,17.7,,,224.2,8.9,,1010.6,
34,2016-07-05,16.0,14.1,18.8,,,250.4,15.5,,1007.0,
35,2016-07-06,14.2,9.8,18.5,,,293.3,8.8,,1010.3,
36,2016-07-08,19.3,15.3,23.2,,,234.6,12.1,,1006.8,
37,2016-07-09,18.2,14.3,21.5,,,265.0,10.6,,1009.2,
38,2016-07-10,21.8,17.2,26.6,,,210.0,10.2,,1003.7,
39,2016-07-11,19.3,15.8,22.4,,,246.7,17.9,,1001.0,
40,2016-07-12,16.6,13.4,19.3,,,247.9,11.4,,1002.8,
41,2016-07-13,12.8,10.3,15.9,,,260.0,11.7,,,
42,2016-07-14,11.5,9.0,15.6,,,311.7,9.4,,,
43,2016-07-15,12.7,8.5,17.0,,,304.6,9.2,,1015.4,
44,2016-07-16,15.7,12.5,18.8,,,248.3,9.5,,1015.2,
45,2016-07-17,19.2,16.6,22.3,,,267.5,8.7,,1011.9,
46,2016-07-18,20.4,16.5,24.8,,,192.9,4.5,,1011.1,
47,2016-07-19,22.2,17.8,26.4,,,94.2,7.0,,1009.9,
48,2016-07-20,24.1,18.9,29.9,,,161.3,9.8,,1004.7,
49,2016-07-21,19.7,16.2,25.2,,,221.7,9.0,,,
50,2016-07-22,20.2,16.2,24.6,,,127.5,8.4,,1005.0,
51,2016-07-23,17.4,15.7,19.8,,,132.9,5.3,,,
52,2016-07-24,19.2,16.8,22.5,,,270.8,5.3,,1008.4,
53,2016-07-26,19.4,16.7,22.7,,,187.9,5.7,,1008.9,
54,2016-07-27,17.9,14.7,21.5,,,260.8,10.0,,1007.3,
