,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,0.1,-2.0,1.8,11.2,90.0,,,,,
1,2015-01-03,0.3,-0.5,1.4,25.5,70.0,,,,,
2,2015-01-04,0.4,-0.7,1.0,0.1,120.0,,,,,
3,2015-01-05,-0.7,-2.6,2.7,0.0,110.0,,,,,
4,2015-01-06,-1.1,-3.9,2.5,0.4,100.0,,,,,
5,2015-01-07,-0.1,-1.1,0.5,0.0,100.0,,,,,
6,2015-01-08,4.1,-0.2,7.2,9.4,90.0,,,,,
7,2015-01-09,6.4,4.3,10.6,18.0,0.0,,,,,
8,2015-01-10,9.8,3.5,12.0,16.4,0.0,,,,,
9,2015-01-11,2.6,1.2,3.7,0.2,0.0,,,,,
10,2015-01-12,4.3,2.8,6.8,0.0,0.0,,,,,
11,2015-01-13,8.3,3.2,12.2,7.0,0.0,,,,,
12,2015-01-14,3.5,0.3,7.0,4.6,0.0,,,,,
13,2015-01-15,4.6,0.8,9.2,3.0,0.0,,,,,
14,2015-01-16,4.4,2.2,8.7,14.5,0.0,,,,,
15,2015-01-17,1.7,-1.0,3.1,0.4,0.0,,,,,
16,2015-01-18,-0.4,-1.4,1.3,0.0,0.0,,,,,
17,2015-01-19,-0.2,-1.8,2.3,1.2,0.0,,,,,
18,2015-01-20,-1.5,-3.8,-0.2,0.4,10.0,,,,,
19,2015-01-21,-1.8,-4.5,-0.3,0.0,10.0,,,,,
20,2015-01-22,-1.0,-1.4,-0.6,0.2,10.0,,,,,
21,2015-01-23,-1.2,-3.8,-0.2,0.0,10.0,,,,,
22,2015-01-24,-2.4,-5.4,-0.1,1.8,10.0,,,,,
23,2015-01-25,-0.3,-1.5,0.9,1.5,30.0,,,,,
24,2015-01-26,-0.3,-0.9,0.5,6.9,40.0,,,,,
25,2015-01-27,0.6,0.2,1.0,1.6,80.0,,,,,
26,2015-01-28,0.9,0.0,2.2,6.7,50.0,,,,,
27,2015-01-29,0.1,-1.4,1.3,22.1,40.0,,,,,
28,2015-01-30,-0.9,-3.2,0.4,2.1,180.0,,,,,
29,2015-01-31,-1.0,-3.2,0.4,2.6,190.0,,,,,
30,2015-02-01,-0.7,-1.6,0.7,3.2,210.0,,,,,
31,2015-02-02,-0.8,-3.1,0.8,0.7,230.0,,,,,
32,2015-02-03,-2.5,-4.4,1.0,0.0,230.0,,,,,
33,2015-02-04,-3.8,-6.5,-2.2,0.0,220.0,,,,,
34,2015-02-05,-4.0,-6.4,-0.6,0.0,210.0,,,,,
35,2015-02-06,-3.6,-5.9,0.1,0.0,200.0,,,,,
36,2015-02-07,-4.2,-8.2,-0.1,0.0,190.0,,,,,
37,2015-02-08,-0.6,-3.2,1.3,0.1,180.0,,,,,
38,2015-02-09,-0.2,-2.7,0.8,0.9,180.0,,,,,
39,2015-02-10,1.2,0.0,2.9,0.0,150.0,,,,,
40,2015-02-11,0.1,-1.4,1.4,0.0,120.0,,,,,
41,2015-02-12,-1.3,-3.0,1.6,0.0,100.0,,,,,
42,2015-02-13,-0.8,-3.9,5.9,0.0,90.0,,,,,
43,2015-02-14,0.0,-2.5,5.9,0.0,90.0,,,,,
44,2015-02-15,-1.4,-3.5,1.1,0.0,90.0,,,,,
45,2015-02-16,0.0,-1.4,1.6,0.0,90.0,,,,,
46,2015-02-17,-1.0,-2.1,0.5,0.0,80.0,,,,,
47,2015-02-18,-0.3,-2.5,0.5,0.0,80.0,,,,,
48,2015-02-19,-1.7,-2.9,-0.6,0.0,70.0,,,,,
49,2015-02-20,2.6,-3.6,9.8,0.1,60.0,,,,,
50,2015-02-21,2.9,0.0,5.1,1.2,0.0,,,,,
51,2015-02-22,1.0,-1.3,3.7,0.0,0.0,,,,,
52,2015-02-23,0.2,-1.7,3.4,10.4,0.0,,,,,
53,2015-02-24,2.2,0.4,3.7,0.0,40.0,,,,,
54,2015-02-25,2.4,0.2,6.5,0.1,20.0,,,,,
55,2015-02-26,3.7,0.3,8.3,0.0,0.0,,,,,
56,2015-02-27,2.0,0.6,3.7,6.6,0.0,,,,,
57,2015-02-28,1.5,-1.5,5.9,2.2,0.0,,,,,
58,2015-03-01,3.6,-0.4,7.6,13.4,10.0,,,,,
59,2015-03-02,4.6,0.4,7.6,3.7,0.0,,,,,
60,2015-03-03,3.1,-1.7,8.3,3.3,10.0,,,,,
61,2015-03-04,1.9,0.1,4.8,0.8,10.0,,,,,
62,2015-03-05,2.1,-0.6,5.6,0.0,10.0,,,,,
63,2015-03-06,2.9,-0.6,7.0,0.0,0.0,,,,,
64,2015-03-07,4.7,-0.1,9.5,0.0,0.0,,,,,
65,2015-03-08,8.2,1.8,15.5,0.0,0.0,,,,,
66,2015-03-09,8.8,2.1,16.5,0.0,0.0,,,,,
67,2015-03-10,7.4,4.9,10.8,2.8,0.0,,,,,
68,2015-03-11,3.8,0.7,7.9,0.0,0.0,,,,,
69,2015-03-12,3.9,-1.2,9.3,0.0,0.0,,,,,
70,2015-03-13,2.1,-1.6,5.3,0.0,0.0,,,,,
71,2015-03-14,2.0,0.2,3.5,0.0,0.0,,,,,
72,2015-03-15,2.6,1.3,5.4,0.0,0.0,,,,,
73,2015-03-16,6.8,1.1,13.2,0.0,0.0,,,,,
74,2015-03-17,9.4,3.7,16.1,0.0,0.0,,,,,
75,2015-03-18,10.6,5.4,16.6,0.0,0.0,,,,,
76,2015-03-19,8.2,3.3,15.2,0.0,0.0,,,,,
77,2015-03-20,7.8,2.7,14.3,0.0,0.0,,,,,
78,2015-03-21,4.7,1.9,7.4,0.0,0.0,,,,,
79,2015-03-22,3.3,-0.7,7.7,0.0,0.0,,,,,
80,2015-03-23,3.3,-0.9,6.8,0.0,0.0,,,,,
81,2015-03-24,7.0,1.0,13.3,0.0,0.0,,,,,
82,2015-03-25,9.7,4.4,16.9,0.0,0.0,,,,,
83,2015-03-26,4.4,2.8,6.9,2.9,0.0,,,,,
84,2015-03-27,5.3,3.4,8.8,0.0,0.0,,,,,
85,2015-03-28,6.3,0.7,10.9,3.6,0.0,,,,,
86,2015-03-29,8.3,5.4,9.6,25.5,0.0,,,,,
87,2015-03-30,5.2,2.9,7.9,2.5,0.0,,,,,
