,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,4.9,2.5,7.8,1.3,0.0,238.3,32.0,72.0,1018.8,6.0
1,2015-01-03,4.1,2.6,5.6,0.2,0.0,252.9,32.8,68.0,1017.0,0.0
2,2015-01-04,3.5,1.6,5.0,0.5,0.0,292.5,28.4,61.6,1021.3,78.0
3,2015-01-05,3.1,1.7,3.8,2.4,0.0,266.7,20.2,48.2,1026.5,0.0
4,2015-01-06,0.6,-1.2,2.7,0.0,0.0,128.3,14.0,36.4,1026.5,0.0
5,2015-01-07,1.4,-1.9,5.3,0.3,0.0,207.1,14.0,29.2,1024.5,24.0
6,2015-01-08,3.3,-0.2,6.8,9.0,0.0,215.8,21.6,59.8,1019.7,0.0
7,2015-01-09,6.2,4.3,9.2,14.0,0.0,257.5,37.1,88.2,1010.7,0.0
8,2015-01-10,8.7,4.5,13.0,4.2,0.0,252.9,34.6,105.1,1001.5,0.0
9,2015-01-11,3.2,0.5,4.8,8.7,0.0,262.9,36.7,70.6,1007.1,6.0
10,2015-01-12,5.5,3.2,7.6,1.8,0.0,239.2,32.0,64.1,1011.9,0.0
11,2015-01-13,9.6,7.4,11.8,1.6,0.0,221.3,30.6,62.3,1006.8,240.0
12,2015-01-14,5.7,2.3,7.8,1.5,0.0,223.3,22.0,70.9,1007.8,210.0
13,2015-01-15,4.4,0.1,9.7,1.7,0.0,187.1,23.0,53.3,1007.5,0.0
14,2015-01-16,7.2,4.8,9.9,7.6,0.0,198.8,15.8,46.1,1006.2,60.0
15,2015-01-17,2.7,-2.1,4.9,0.0,0.0,251.7,9.0,27.0,1012.2,18.0
16,2015-01-18,-0.4,-3.5,3.7,0.0,0.0,172.1,9.4,27.7,1016.8,384.0
17,2015-01-19,-1.1,-4.1,0.7,0.2,0.0,112.1,9.0,20.5,1014.5,0.0
18,2015-01-20,0.6,0.2,1.8,1.7,10.0,121.3,8.3,18.7,1011.7,0.0
19,2015-01-21,0.2,-2.2,1.4,0.0,0.0,201.3,8.6,21.6,1015.8,0.0
20,2015-01-22,-0.7,-2.9,0.4,0.3,0.0,43.3,15.5,28.4,1018.6,0.0
21,2015-01-23,0.0,-1.0,1.0,0.0,0.0,34.6,12.2,28.8,1023.9,0.0
22,2015-01-24,-0.7,-1.7,0.5,0.1,0.0,192.1,11.5,29.5,1020.4,0.0
23,2015-01-25,1.0,0.2,1.5,0.0,0.0,285.0,12.6,27.7,1024.1,0.0
24,2015-01-26,2.1,0.5,4.5,5.0,0.0,195.4,15.5,36.7,1019.2,6.0
25,2015-01-27,3.0,-2.3,4.3,0.3,0.0,281.3,20.2,43.9,1012.8,0.0
26,2015-01-28,2.9,-2.3,5.3,4.9,0.0,225.0,23.4,65.5,1006.5,66.0
27,2015-01-29,1.7,-0.3,3.9,2.8,0.0,206.3,24.8,56.2,987.6,192.0
28,2015-01-30,0.8,0.0,2.4,1.9,20.0,180.4,14.8,32.0,974.0,0.0
29,2015-01-31,0.2,-0.8,1.1,0.6,30.0,248.8,15.8,35.6,979.5,78.0
30,2015-02-01,0.4,-2.7,3.8,0.0,20.0,226.7,16.6,28.4,988.7,324.0
