,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,8.0,5.8,10.3,,,,66.2,97.2,1015.1,120.0
1,2015-01-03,7.2,4.1,7.8,,,,54.4,89.6,1016.2,0.0
2,2015-01-04,6.8,5.2,7.4,,,,41.0,84.6,1026.8,264.0
3,2015-01-05,6.4,4.7,7.4,,,,33.8,52.2,1027.7,0.0
4,2015-01-06,5.0,3.7,7.5,,,,31.7,52.6,1020.8,0.0
5,2015-01-07,6.9,5.0,7.8,,,,39.6,77.8,1020.7,222.0
6,2015-01-08,7.1,4.7,8.2,,,,45.4,78.5,1014.4,0.0
7,2015-01-09,8.0,5.9,9.8,,,,59.0,121.0,1006.7,0.0
8,2015-01-10,8.5,6.2,10.3,,,,66.2,104.8,999.1,48.0
9,2015-01-11,6.6,3.5,7.7,,,,64.8,119.2,1005.8,84.0
10,2015-01-12,7.7,6.9,8.6,,,,55.4,83.9,1004.6,0.0
11,2015-01-13,6.8,3.0,8.8,,,,37.8,74.5,999.2,6.0
12,2015-01-14,5.2,2.0,6.3,,,,41.4,101.9,1002.1,48.0
13,2015-01-15,6.9,4.5,8.4,,,,56.2,92.9,992.8,0.0
14,2015-01-16,6.7,5.5,7.5,,,,50.8,95.4,999.2,216.0
15,2015-01-17,5.3,2.3,6.4,,,,42.1,74.2,1009.0,186.0
16,2015-01-18,3.6,1.7,4.5,,,,32.8,71.6,1010.8,0.0
17,2015-01-19,3.6,2.4,5.0,,,,13.0,30.6,1011.7,222.0
18,2015-01-20,3.2,1.7,4.1,,,,19.4,37.4,1011.5,228.0
19,2015-01-21,2.4,0.5,3.6,,,,21.6,37.1,1015.2,258.0
20,2015-01-22,1.6,0.1,2.6,,,,16.9,34.2,1021.9,192.0
21,2015-01-23,1.5,-1.3,3.4,,,,19.1,63.7,1024.7,360.0
22,2015-01-24,4.1,-0.6,6.8,,,,41.4,66.6,1016.8,180.0
23,2015-01-25,6.3,5.1,6.8,,,,28.8,53.3,1024.2,180.0
24,2015-01-26,5.9,3.3,7.3,,,,40.0,81.4,1015.1,12.0
25,2015-01-27,6.3,5.2,6.6,,,,35.3,72.4,1017.2,204.0
26,2015-01-28,5.6,3.3,6.5,,,,52.6,95.0,997.3,0.0
27,2015-01-29,3.3,0.7,5.6,,,,47.9,97.9,977.7,0.0
28,2015-01-30,3.1,0.8,5.0,,,,11.5,32.8,973.8,372.0
29,2015-01-31,2.3,1.2,3.2,,,,15.8,31.0,979.0,0.0
30,2015-02-01,4.4,2.3,5.8,,,,25.2,51.1,987.6,144.0
31,2015-02-02,4.6,2.2,5.7,,,,33.5,64.8,994.6,312.0
32,2015-02-03,3.0,1.1,4.5,,,,27.7,55.1,1003.0,180.0
33,2015-02-04,2.0,1.2,2.8,,,,23.0,43.2,1014.8,366.0
34,2015-02-05,1.3,-0.1,2.3,,,,27.4,44.6,1026.4,6.0
35,2015-02-06,2.5,1.4,4.6,,,,13.7,31.3,1032.9,474.0
36,2015-02-07,5.8,4.5,6.7,,,,35.6,86.8,1028.2,36.0
37,2015-02-08,5.2,3.8,6.0,,,,43.6,87.5,1027.6,90.0
38,2015-02-09,6.0,5.5,6.5,,,,38.2,65.2,1024.7,102.0
39,2015-02-10,6.0,5.3,6.6,,,,25.6,50.4,1029.6,0.0
40,2015-02-11,4.4,3.5,5.5,,,,10.8,22.3,1027.3,0.0
41,2015-02-12,3.0,2.3,3.8,,,,13.3,41.8,1021.9,0.0
