,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,3.9,2.9,6.1,3.4,0.0,247.5,31.7,66.6,,0.0
1,2015-01-03,2.0,0.4,3.4,0.2,0.0,255.4,26.6,56.9,,0.0
2,2015-01-04,1.8,1.0,2.7,0.5,0.0,292.9,27.4,60.8,,6.0
3,2015-01-05,1.2,0.2,1.8,0.1,0.0,285.0,24.5,54.0,,0.0
4,2015-01-06,1.1,0.1,3.8,0.0,0.0,178.8,13.3,36.4,,354.0
5,2015-01-07,1.4,0.4,2.3,0.8,0.0,231.3,16.6,35.3,,0.0
6,2015-01-08,3.9,0.3,6.8,6.6,0.0,235.4,25.9,76.3,,0.0
7,2015-01-09,6.2,3.4,8.9,8.9,0.0,263.3,37.1,83.5,,0.0
8,2015-01-10,9.9,3.3,14.1,4.5,0.0,265.8,33.8,81.4,,48.0
9,2015-01-11,2.4,0.7,3.4,0.8,0.0,268.8,35.3,72.0,,30.0
10,2015-01-12,4.8,3.0,6.4,0.0,0.0,250.0,32.8,66.6,,0.0
11,2015-01-13,9.5,6.2,12.0,3.4,0.0,234.6,30.2,67.0,,456.0
12,2015-01-14,5.8,1.1,10.3,1.0,0.0,245.8,22.3,59.8,,204.0
13,2015-01-15,4.7,0.2,9.6,0.0,0.0,194.2,22.0,49.0,,6.0
14,2015-01-16,7.0,2.7,10.3,1.3,0.0,187.1,12.6,37.4,,18.0
15,2015-01-17,2.7,0.9,4.9,0.3,0.0,250.8,11.2,36.7,,0.0
16,2015-01-18,1.5,0.0,4.4,0.0,0.0,212.5,10.1,28.1,,450.0
17,2015-01-19,0.8,-2.2,2.0,0.0,0.0,142.5,9.7,21.2,,0.0
18,2015-01-20,0.5,-1.1,1.6,1.3,0.0,183.3,7.9,21.6,,0.0
19,2015-01-21,-1.3,-1.6,-0.3,0.0,10.0,158.8,7.6,25.9,,66.0
20,2015-01-22,-0.6,-1.5,-0.1,2.0,10.0,52.5,7.2,24.5,,0.0
21,2015-01-23,-1.5,-1.9,-0.6,0.9,20.0,247.5,7.6,20.5,,0.0
22,2015-01-24,-1.5,-2.5,-0.3,0.1,40.0,190.0,9.0,27.4,,18.0
23,2015-01-25,0.0,-1.2,0.8,0.2,40.0,280.0,15.1,31.7,,0.0
24,2015-01-26,1.1,0.0,3.1,1.9,20.0,224.6,13.7,40.3,,156.0
25,2015-01-27,1.1,0.1,1.8,2.1,0.0,277.1,21.6,43.9,,0.0
26,2015-01-28,2.1,0.6,3.9,0.2,0.0,240.0,21.2,63.0,,138.0
27,2015-01-29,1.5,0.1,3.8,0.1,0.0,220.4,22.3,61.6,,264.0
28,2015-01-30,0.5,-1.3,3.0,0.4,0.0,211.3,20.5,52.9,,12.0
29,2015-01-31,-0.4,-2.3,1.4,0.1,10.0,249.6,18.4,45.7,,0.0
30,2015-02-01,0.2,-1.2,2.8,0.0,0.0,240.0,14.0,32.4,,144.0
31,2015-02-02,0.1,-1.2,2.0,0.2,0.0,255.8,15.8,36.4,,342.0
32,2015-02-03,-0.3,-1.7,1.8,0.5,10.0,255.8,16.9,38.2,,132.0
33,2015-02-04,-3.3,-4.8,-1.7,0.3,30.0,275.8,10.1,28.4,,12.0
34,2015-02-05,-2.8,-4.3,-0.4,0.0,40.0,122.1,8.6,31.3,,192.0
35,2015-02-06,-3.3,-4.7,-2.4,0.0,30.0,59.6,11.2,32.0,,0.0
36,2015-02-07,-2.9,-6.7,1.5,0.1,30.0,215.8,15.8,51.8,,366.0
37,2015-02-08,-0.2,-2.9,1.7,1.0,20.0,312.9,24.8,60.8,,264.0
38,2015-02-09,1.4,-1.5,3.2,1.9,10.0,278.8,23.4,49.0,,0.0
39,2015-02-10,3.1,2.5,3.6,0.0,0.0,281.7,17.3,36.4,,0.0
40,2015-02-11,2.0,-1.3,3.3,0.0,0.0,225.4,6.5,20.9,,0.0
41,2015-02-12,0.1,-4.4,8.0,0.0,0.0,180.4,6.1,21.6,,552.0
42,2015-02-13,0.7,-3.0,6.3,0.0,0.0,176.7,10.8,27.7,,558.0
43,2015-02-14,0.5,-2.3,5.3,0.0,0.0,157.5,13.3,36.0,,558.0
44,2015-02-15,1.2,-3.8,6.0,0.0,0.0,107.5,10.1,37.4,,78.0
45,2015-02-16,1.8,-0.8,6.4,0.0,0.0,96.3,11.9,26.3,,534.0
46,2015-02-17,1.6,-1.8,7.0,0.0,0.0,201.3,10.8,28.1,,438.0
47,2015-02-18,1.5,-1.1,3.2,0.0,0.0,247.1,9.4,19.8,,0.0
48,2015-02-19,1.5,-2.4,7.7,0.0,0.0,242.5,11.5,30.2,,558.0
49,2015-02-20,4.2,-2.4,10.1,0.0,0.0,222.1,20.2,54.4,,516.0
50,2015-02-21,5.5,2.4,9.7,0.1,0.0,211.7,18.4,54.0,,288.0
51,2015-02-22,2.1,-0.3,4.3,0.0,0.0,242.5,8.6,23.8,,12.0
52,2015-02-23,2.4,0.4,5.8,2.3,0.0,190.8,16.2,40.3,,186.0
53,2015-02-24,4.2,1.9,6.7,0.0,0.0,233.8,15.1,34.6,,168.0
54,2015-02-25,3.1,0.6,5.9,0.0,0.0,243.3,13.3,30.2,,240.0
55,2015-02-26,3.0,-0.9,8.6,0.0,0.0,171.3,9.7,22.7,,600.0
56,2015-02-27,3.6,-0.5,9.5,0.1,0.0,155.4,10.8,23.0,,582.0
57,2015-02-28,2.3,0.8,5.7,0.0,0.0,253.3,11.5,30.6,,138.0
58,2015-03-01,4.2,0.9,7.5,4.1,0.0,207.1,20.2,48.6,,96.0
59,2015-03-02,5.0,-0.1,6.7,1.5,0.0,248.3,23.8,65.2,,354.0
60,2015-03-03,3.7,1.0,7.0,1.0,0.0,248.8,25.6,60.1,,390.0
61,2015-03-04,2.6,0.6,5.1,1.1,0.0,263.3,21.2,48.6,,222.0
62,2015-03-05,2.3,0.4,5.1,0.2,0.0,289.6,16.9,39.6,,138.0
63,2015-03-06,3.5,0.7,5.4,0.0,0.0,255.8,12.6,28.1,,0.0
64,2015-03-07,6.6,3.0,10.7,0.0,0.0,224.6,12.6,35.3,,534.0
65,2015-03-08,9.3,5.4,14.4,0.0,0.0,187.1,11.2,32.8,,264.0
66,2015-03-09,8.1,4.5,11.0,0.0,0.0,222.1,10.1,29.9,,450.0
67,2015-03-10,7.3,1.8,12.7,1.9,0.0,254.6,12.6,33.5,,432.0
68,2015-03-11,2.9,0.9,5.5,0.8,0.0,299.6,13.3,33.8,,0.0
69,2015-03-12,1.7,0.7,3.1,0.3,0.0,256.3,7.6,20.5,,0.0
70,2015-03-13,0.9,-0.7,2.7,0.3,0.0,192.9,6.5,20.5,,0.0
71,2015-03-14,2.0,0.9,2.8,3.3,0.0,58.8,7.6,22.3,,0.0
72,2015-03-15,3.9,2.1,6.3,0.0,0.0,94.2,15.5,40.7,,72.0
73,2015-03-16,7.7,3.6,11.2,0.0,0.0,110.0,22.7,65.2,,306.0
74,2015-03-17,9.2,4.2,15.1,0.0,0.0,119.2,15.8,47.9,,594.0
75,2015-03-18,7.4,1.6,14.4,0.0,0.0,101.3,11.2,29.5,,666.0
76,2015-03-19,6.5,0.8,12.5,0.0,0.0,111.7,7.2,20.5,,678.0
77,2015-03-20,5.6,0.3,10.8,0.0,0.0,208.3,5.8,19.1,,684.0
78,2015-03-21,4.6,1.8,8.4,1.3,0.0,270.4,12.2,30.6,,384.0
79,2015-03-22,0.2,-2.3,2.7,0.0,0.0,127.5,9.0,33.5,,150.0
80,2015-03-23,4.3,-2.8,10.9,0.0,0.0,190.4,9.4,25.6,,648.0
81,2015-03-24,7.1,3.3,10.9,0.0,0.0,237.9,10.4,28.1,,414.0
82,2015-03-25,10.3,2.4,17.3,1.4,0.0,127.9,13.0,34.9,,594.0
83,2015-03-26,7.1,5.0,11.6,1.8,0.0,234.6,11.9,34.6,,0.0
84,2015-03-27,6.0,3.7,9.9,1.4,0.0,261.3,18.4,47.9,,144.0
85,2015-03-28,6.0,3.8,9.6,0.3,0.0,254.6,14.0,35.3,,252.0
86,2015-03-29,9.1,6.6,12.0,5.3,0.0,,26.3,71.3,,12.0
87,2015-03-30,5.2,2.7,8.1,6.9,0.0,270.8,33.1,76.3,,240.0
88,2015-03-31,5.7,0.4,11.8,11.3,0.0,248.8,35.6,107.6,,180.0
89,2015-04-01,1.8,-0.1,5.4,7.2,0.0,275.0,31.0,79.9,,54.0
90,2015-04-02,1.0,-0.3,3.3,3.1,50.0,275.0,23.0,68.0,,156.0
91,2015-04-03,2.9,1.0,6.1,0.1,30.0,275.0,19.1,43.9,,132.0
92,2015-04-04,2.3,-0.8,7.6,0.2,0.0,287.9,9.0,46.4,,480.0
93,2015-04-05,2.3,-1.6,7.0,0.0,0.0,271.7,11.2,42.5,,444.0
94,2015-04-06,2.9,-0.2,7.6,0.2,0.0,204.2,10.4,39.2,,288.0
95,2015-04-07,5.4,-1.3,10.6,0.0,0.0,280.0,15.5,41.8,,684.0
96,2015-04-08,6.4,5.5,7.0,0.0,0.0,292.5,13.0,38.9,,0.0
97,2015-04-09,9.3,5.7,15.0,0.0,0.0,159.2,8.6,27.7,,504.0
98,2015-04-10,12.5,7.2,18.2,0.0,0.0,183.8,9.0,26.6,,702.0
99,2015-04-11,14.7,11.2,19.4,0.2,0.0,225.4,18.7,47.5,,570.0
100,2015-04-12,9.8,4.3,14.1,0.0,0.0,260.4,12.6,42.5,,648.0
101,2015-04-13,8.7,4.8,12.2,0.0,0.0,275.8,22.0,60.1,,276.0
102,2015-04-14,9.4,2.1,14.8,0.0,0.0,254.6,17.6,41.4,,540.0
103,2015-04-15,15.8,9.1,21.6,0.0,0.0,264.6,18.0,45.4,,666.0
104,2015-04-16,10.6,7.3,15.2,0.2,0.0,285.8,11.9,28.1,,198.0
105,2015-04-17,6.4,3.0,9.8,0.2,0.0,314.6,10.4,31.7,,234.0
106,2015-04-18,5.2,2.3,9.2,0.0,0.0,281.3,10.8,27.4,,276.0
107,2015-04-19,7.9,2.1,13.8,0.0,0.0,198.8,9.7,24.5,,756.0
108,2015-04-20,10.0,3.8,17.3,0.0,0.0,280.0,13.3,41.8,,708.0
