,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.0,,,1.2,0.0,,31.7,68.4,1017.8,
1,2015-01-03,3.9,,,0.9,0.0,,24.8,55.4,1017.4,
2,2015-01-04,3.1,,,0.0,0.0,,18.7,51.8,1024.7,
3,2015-01-05,2.7,,,0.0,0.0,,15.5,42.5,1028.2,0.0
4,2015-01-06,1.8,,,0.4,0.0,,9.0,25.9,1022.7,
5,2015-01-07,3.3,,,0.1,0.0,,14.4,40.7,1022.7,
6,2015-01-08,4.4,,,14.7,0.0,,19.8,42.5,1017.0,0.0
7,2015-01-09,7.0,,,5.1,0.0,,33.8,87.1,1009.9,
8,2015-01-10,8.6,,,5.8,0.0,,35.6,87.1,1001.3,
9,2015-01-11,3.3,,,20.4,0.0,,28.8,70.2,1007.5,
10,2015-01-12,6.2,,,9.5,0.0,,30.6,63.0,1009.0,
11,2015-01-13,8.0,,,13.0,0.0,,25.2,57.2,1002.6,
12,2015-01-14,4.0,,,1.1,0.0,,21.2,50.0,1005.2,
13,2015-01-15,6.0,,,2.5,0.0,,23.0,55.4,999.9,78.0
14,2015-01-16,6.0,,,0.0,0.0,,16.9,48.2,1003.2,
15,2015-01-17,1.6,,,0.0,0.0,,10.4,27.7,1011.2,
16,2015-01-18,0.3,,,0.0,0.0,,11.2,27.7,1013.1,78.0
17,2015-01-19,-0.8,,,0.0,0.0,,5.8,16.6,1011.9,
18,2015-01-20,-0.1,,,0.0,0.0,,4.7,14.8,1010.8,
19,2015-01-21,-2.7,,,0.0,0.0,,7.6,27.7,1015.0,0.0
20,2015-01-22,-1.1,,,0.0,0.0,,13.3,27.7,1018.8,
21,2015-01-23,-1.7,,,0.0,0.0,,7.9,25.9,1024.4,
22,2015-01-24,-1.3,,,0.9,0.0,,12.6,29.5,1018.1,
23,2015-01-25,0.6,,,3.5,10.0,,8.6,16.6,1024.1,
24,2015-01-26,2.8,,,4.3,0.0,,16.9,44.3,1016.4,
25,2015-01-27,2.7,,,0.0,0.0,,18.0,51.8,1015.2,
26,2015-01-28,3.3,,,6.5,0.0,,22.7,57.2,1002.2,6.0
27,2015-01-29,1.4,,,2.0,0.0,,23.0,55.4,982.6,
28,2015-01-30,0.1,,,0.9,10.0,,7.6,20.5,973.0,
29,2015-01-31,0.3,,,2.7,0.0,,9.0,27.7,978.6,
30,2015-02-01,0.5,,,0.1,10.0,,14.8,31.3,987.4,
31,2015-02-02,0.5,,,2.6,0.0,,15.5,37.1,994.0,
32,2015-02-03,-0.8,,,0.9,20.0,,11.9,40.7,1000.4,
33,2015-02-04,-3.1,,,0.5,20.0,,7.9,24.1,1012.2,
34,2015-02-05,-2.9,,,0.2,40.0,,6.8,24.1,1023.2,
35,2015-02-06,-3.5,,,0.0,30.0,,6.5,24.1,1030.3,
36,2015-02-07,-0.8,,,0.9,20.0,,14.0,76.0,1025.9,
37,2015-02-08,1.8,,,1.4,0.0,,20.5,55.4,1023.4,
38,2015-02-09,5.1,,,0.9,0.0,,24.1,55.4,1021.2,
39,2015-02-10,5.1,,,0.0,0.0,,15.8,35.3,1026.6,0.0
40,2015-02-11,3.6,,,0.0,0.0,,6.8,20.5,1026.3,
41,2015-02-12,-0.3,,,0.0,0.0,,7.2,18.4,1021.8,
42,2015-02-13,0.0,,,0.0,0.0,,9.0,24.1,1016.4,234.0
43,2015-02-14,1.4,,,0.0,0.0,,8.6,22.3,1011.8,
44,2015-02-15,0.4,,,0.0,0.0,,15.5,40.7,1017.1,
45,2015-02-16,1.1,,,0.0,0.0,,15.8,38.9,1020.4,
46,2015-02-17,-0.6,,,0.0,0.0,,7.2,20.5,1029.9,
47,2015-02-18,2.5,,,0.0,0.0,,13.7,29.5,1036.7,
48,2015-02-19,1.1,,,0.0,0.0,,15.1,42.5,1025.5,
49,2015-02-20,3.9,,,4.7,0.0,,17.3,44.3,1009.1,
50,2015-02-21,4.2,,,0.4,0.0,,17.3,61.2,995.3,
51,2015-02-22,2.4,,,0.4,0.0,,14.4,35.3,1005.8,
52,2015-02-23,2.1,,,1.7,0.0,,17.6,51.8,994.9,0.0
53,2015-02-24,3.3,,,0.8,0.0,,17.3,50.0,1002.1,
54,2015-02-25,3.7,,,0.0,0.0,,13.0,35.3,1015.1,
55,2015-02-26,4.5,,,0.0,0.0,,11.9,42.5,1016.3,
56,2015-02-27,3.3,,,5.5,0.0,,10.1,37.1,1011.5,
57,2015-02-28,2.2,,,1.1,0.0,,11.9,37.1,1015.8,
58,2015-03-01,4.2,,,10.2,0.0,,17.6,57.2,1000.0,
59,2015-03-02,4.2,,,2.0,0.0,,24.1,68.4,998.7,210.0
60,2015-03-03,2.9,,,3.7,0.0,,22.3,55.4,1011.7,
61,2015-03-04,2.7,,,3.5,0.0,,21.2,50.0,1018.0,
62,2015-03-05,4.2,,,0.0,0.0,,14.4,38.9,1031.9,
63,2015-03-06,6.0,,,0.0,0.0,,12.6,31.3,1032.4,
64,2015-03-07,7.7,,,0.0,0.0,,17.3,40.7,1027.5,
65,2015-03-08,10.1,,,0.0,0.0,,14.0,33.5,1021.8,
66,2015-03-09,7.1,,,0.4,0.0,,7.6,25.9,1024.9,
67,2015-03-10,5.4,,,1.0,0.0,,11.9,38.9,1024.6,
68,2015-03-11,4.9,,,0.0,0.0,,15.1,37.1,1028.2,
69,2015-03-12,2.9,,,0.0,0.0,,8.6,35.3,1031.4,
70,2015-03-13,2.6,,,0.0,0.0,,14.8,44.3,1028.2,
71,2015-03-14,3.8,,,0.4,0.0,,14.4,35.3,1028.2,
72,2015-03-15,4.5,,,0.1,0.0,,17.6,38.9,1029.3,0.0
73,2015-03-16,7.6,,,0.0,0.0,,20.5,48.2,1026.9,
74,2015-03-17,7.6,,,0.0,0.0,,12.6,31.3,1026.1,
75,2015-03-18,7.9,,,0.0,0.0,,10.8,27.7,1025.2,
76,2015-03-19,4.2,,,0.0,0.0,,7.2,38.9,1026.4,
77,2015-03-20,2.4,,,1.6,0.0,,7.6,31.3,1022.4,
78,2015-03-21,3.4,,,5.6,0.0,,15.5,46.4,1015.4,
79,2015-03-22,0.8,,,0.0,0.0,,13.3,50.0,1025.9,
80,2015-03-23,2.7,,,0.0,0.0,,8.3,33.5,1015.1,534.0
81,2015-03-24,5.2,,,0.0,0.0,,5.0,22.3,1007.9,
82,2015-03-25,7.9,,,0.0,0.0,,13.7,42.5,1005.5,
83,2015-03-26,5.1,,,0.8,0.0,,12.2,35.3,1005.7,
84,2015-03-27,5.6,,,1.2,0.0,,16.9,59.4,1010.9,
85,2015-03-28,7.1,,,6.1,0.0,,14.0,46.4,1014.8,
86,2015-03-29,8.6,,,18.9,0.0,,25.2,88.9,993.5,
87,2015-03-30,4.8,,,6.2,0.0,,30.6,81.4,995.3,
88,2015-03-31,4.7,,,8.7,0.0,,33.5,94.3,990.5,
89,2015-04-01,3.3,,,3.6,0.0,,25.9,85.3,1006.7,
90,2015-04-02,2.8,,,2.8,0.0,,19.4,63.0,1008.8,
91,2015-04-03,4.0,,,0.4,0.0,,15.5,42.5,1017.0,
92,2015-04-04,2.6,,,0.0,0.0,,7.9,46.4,1017.0,
93,2015-04-05,3.2,,,0.0,0.0,,8.3,35.3,1022.9,
94,2015-04-06,5.2,,,0.0,0.0,,9.4,37.1,1028.3,
95,2015-04-07,5.2,,,0.0,0.0,,13.3,40.7,1032.4,
96,2015-04-08,6.7,,,0.0,0.0,,11.9,33.5,1030.9,
97,2015-04-09,7.7,,,0.0,0.0,,4.7,27.7,1027.1,
98,2015-04-10,10.9,,,0.0,0.0,,7.2,35.3,1019.7,
99,2015-04-11,11.5,,,1.7,0.0,,20.2,66.6,1015.7,
100,2015-04-12,9.5,,,0.5,0.0,,19.4,46.4,1024.1,
101,2015-04-13,7.5,,,0.0,0.0,,24.8,85.3,1025.8,
102,2015-04-14,8.6,,,0.0,0.0,,13.3,50.0,1022.7,
103,2015-04-15,14.3,,,0.0,0.0,,22.7,70.2,1013.5,
104,2015-04-16,8.1,,,0.0,0.0,,15.8,42.5,1014.2,
105,2015-04-17,6.6,,,0.0,0.0,,11.9,44.3,1016.5,
106,2015-04-18,6.6,,,0.0,0.0,,8.3,38.9,1024.1,
107,2015-04-19,7.6,,,0.0,0.0,,6.1,25.9,1022.5,
108,2015-04-20,9.9,,,0.0,0.0,,10.8,48.2,1025.5,
109,2015-04-21,9.7,,,0.0,0.0,,17.6,53.6,1027.0,
110,2015-04-22,8.9,,,0.0,0.0,,10.4,38.9,1023.8,
111,2015-04-23,7.7,,,0.0,0.0,,9.7,27.7,1017.8,
112,2015-04-24,10.3,,,0.1,0.0,,7.9,40.7,1011.0,
113,2015-04-25,11.4,,,3.5,0.0,,9.4,40.7,1006.1,
114,2015-04-26,11.2,,,14.5,0.0,,9.7,44.3,1005.0,0.0
115,2015-04-27,7.6,,,1.0,0.0,,13.7,33.5,1005.5,
116,2015-04-28,5.3,,,0.4,0.0,,11.2,61.2,1013.2,
117,2015-04-29,8.4,,,0.0,0.0,,14.8,44.3,1016.7,0.0
118,2015-04-30,9.1,,,0.8,0.0,,13.7,57.2,1010.1,
119,2015-05-01,6.8,,,0.0,0.0,,10.8,35.3,1007.0,
120,2015-05-02,6.1,,,0.0,0.0,,6.8,27.7,1010.9,
121,2015-05-03,11.6,,,5.9,0.0,,16.9,46.4,1005.5,
122,2015-05-04,15.0,,,1.8,0.0,,16.2,46.4,1005.7,
123,2015-05-05,16.2,,,8.0,0.0,,18.4,94.3,1001.3,
124,2015-05-06,13.1,,,0.0,0.0,,18.4,59.4,1009.4,
125,2015-05-07,10.7,,,3.4,0.0,,16.9,55.4,1014.4,
126,2015-05-08,11.9,,,0.0,0.0,,9.0,25.9,1016.1,
127,2015-05-09,13.4,,,4.4,0.0,,15.1,57.2,1013.8,
128,2015-05-10,10.5,,,0.0,0.0,,19.8,51.8,1023.3,
129,2015-05-11,15.4,,,0.0,0.0,,14.0,44.3,1021.6,
130,2015-05-12,15.8,,,0.0,0.0,,17.3,57.2,1013.8,
131,2015-05-13,11.6,,,0.0,0.0,,19.1,55.4,1015.2,
132,2015-05-14,9.3,,,0.0,0.0,,11.2,25.9,1012.3,
133,2015-05-15,9.2,,,0.0,0.0,,8.3,31.3,1015.8,
134,2015-05-16,7.8,,,0.4,0.0,,14.4,44.3,1019.1,
135,2015-05-17,10.2,,,0.0,0.0,,16.9,50.0,1020.4,
136,2015-05-18,12.7,,,1.7,0.0,,10.4,38.9,1008.7,
137,2015-05-19,11.6,,,0.0,0.0,,20.9,59.4,1004.5,
138,2015-05-20,10.1,,,0.0,0.0,,12.6,48.2,1011.9,
139,2015-05-21,9.5,,,0.0,0.0,,10.8,37.1,1021.9,
140,2015-05-22,12.8,,,0.0,0.0,,7.6,35.3,1023.2,
141,2015-05-23,12.4,,,0.0,0.0,,9.4,31.3,1019.6,
142,2015-05-24,11.9,,,0.0,0.0,,6.5,31.3,1017.9,
143,2015-05-25,9.2,,,2.2,0.0,,8.3,35.3,1013.0,
144,2015-05-26,9.5,,,0.5,0.0,,12.2,44.3,1016.5,0.0
145,2015-05-27,11.0,,,0.0,0.0,,14.0,42.5,1019.6,
146,2015-05-28,11.9,,,3.0,0.0,,,55.4,1011.5,
147,2015-05-29,11.8,,,1.0,0.0,,11.9,48.2,1008.2,
148,2015-05-30,9.4,,,3.0,0.0,,20.5,66.6,1009.8,
149,2015-05-31,13.6,,,1.9,0.0,,16.2,40.7,1010.5,
150,2015-06-01,12.5,,,0.0,0.0,,12.6,51.8,1013.3,
151,2015-06-02,16.3,,,0.0,0.0,,26.3,59.4,1009.3,
152,2015-06-03,15.6,,,0.0,0.0,,22.0,66.6,1017.8,
153,2015-06-04,13.4,,,0.0,0.0,,6.1,29.5,1027.1,
154,2015-06-05,21.2,,,0.0,0.0,,13.7,33.5,1019.4,
155,2015-06-06,19.8,,,0.0,0.0,,15.5,46.4,1019.6,
156,2015-06-07,13.9,,,0.0,0.0,,10.1,33.5,1027.3,
157,2015-06-08,11.9,,,0.0,0.0,,11.5,35.3,1028.1,552.0
158,2015-06-09,12.1,,,0.0,0.0,,9.0,37.1,1027.8,
