,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,1.0,-3.8,4.5,0.3,,245.8,15.5,46.8,1030.6,18.0
1,2015-01-03,1.6,-1.2,6.1,21.9,,234.6,15.1,68.4,1023.5,0.0
2,2015-01-04,-1.6,-3.2,0.4,0.0,,297.9,12.2,46.8,1030.1,48.0
3,2015-01-05,-1.7,-6.5,4.2,0.0,,239.6,6.1,17.3,1031.4,444.0
4,2015-01-06,2.0,-2.3,8.1,0.0,,250.4,7.9,24.8,1022.3,402.0
5,2015-01-07,0.0,-3.4,2.4,0.1,,262.5,7.9,25.9,1027.3,174.0
6,2015-01-08,2.8,-0.4,4.9,4.5,,235.4,15.8,53.6,1026.7,0.0
7,2015-01-09,4.3,1.8,8.0,3.5,,245.8,24.8,71.6,1025.3,0.0
8,2015-01-10,8.9,7.2,11.3,7.9,,247.1,31.3,74.2,1016.6,192.0
9,2015-01-11,-0.3,-1.9,7.3,1.7,,268.3,21.6,57.2,1020.6,48.0
10,2015-01-12,2.2,-0.8,7.3,0.0,,241.3,20.9,52.9,1023.0,138.0
11,2015-01-13,6.0,-0.1,10.9,4.9,,221.7,13.7,49.0,1013.7,456.0
12,2015-01-14,2.0,-1.6,7.3,6.2,,243.3,19.4,64.8,1014.2,0.0
13,2015-01-15,2.0,-1.9,4.9,0.0,,189.6,13.7,39.6,1009.5,6.0
14,2015-01-16,4.6,0.3,8.0,7.6,,236.7,9.0,25.2,1004.2,24.0
15,2015-01-17,-0.4,-2.4,1.0,4.3,,290.4,3.6,19.4,1012.3,0.0
16,2015-01-18,-3.4,-5.1,-2.0,0.0,,178.8,4.0,11.9,1014.7,0.0
17,2015-01-19,-2.6,-5.2,-0.6,2.6,,,4.0,10.8,1009.4,84.0
18,2015-01-20,-1.7,-2.8,-0.4,1.7,,223.8,2.5,11.5,1008.0,0.0
19,2015-01-21,-3.2,-4.0,-2.4,0.0,,110.0,6.5,16.6,1007.4,0.0
20,2015-01-22,-3.8,-4.4,-2.3,0.5,,,,,1010.4,0.0
21,2015-01-23,-3.3,-4.3,-2.8,0.0,,,,12.2,1018.9,0.0
22,2015-01-24,-3.1,-4.1,-1.7,4.6,,,3.2,,1019.6,0.0
23,2015-01-25,-3.4,-4.2,-2.2,0.6,,,,,1026.4,0.0
24,2015-01-26,-3.2,-4.0,-0.6,12.8,,,,,1022.5,0.0
25,2015-01-27,-2.0,-2.5,-0.7,3.3,,,9.7,35.3,1020.2,12.0
26,2015-01-28,-1.8,-3.2,0.7,5.4,,226.3,14.4,49.7,1012.6,0.0
27,2015-01-29,-1.5,-3.8,0.6,11.7,,217.1,15.1,50.8,990.8,36.0
28,2015-01-30,-2.7,-5.0,-0.3,2.4,,238.8,17.3,58.7,976.8,138.0
29,2015-01-31,-2.6,-4.5,-0.2,0.8,,230.8,10.8,32.8,982.6,222.0
30,2015-02-01,-3.5,-4.7,-0.6,4.4,,240.4,14.0,39.6,990.3,24.0
31,2015-02-02,-3.9,-8.5,-2.1,9.6,,267.1,13.0,53.6,999.2,6.0
32,2015-02-03,-6.3,-9.2,-1.9,0.0,,132.1,5.8,24.1,1001.8,444.0
33,2015-02-04,-6.5,-7.5,-3.2,0.0,,79.6,13.0,33.1,1008.2,342.0
34,2015-02-05,-6.5,-7.2,-5.6,0.4,,50.0,19.1,56.5,1011.6,0.0
35,2015-02-06,-6.5,-7.9,-5.5,0.0,,69.6,29.2,68.8,1015.4,12.0
36,2015-02-07,-7.3,-9.8,-3.1,0.1,,124.2,18.0,67.7,1023.9,522.0
37,2015-02-08,-4.9,-8.5,-2.5,1.9,,312.5,10.4,42.8,1025.0,6.0
38,2015-02-09,-4.0,-7.5,-1.6,0.4,,260.8,9.0,38.2,1028.6,0.0
39,2015-02-10,-1.4,-3.1,2.2,0.0,,136.3,7.9,27.0,1027.1,252.0
40,2015-02-11,-2.8,-5.7,-0.4,0.0,,137.1,8.6,26.3,1023.8,204.0
41,2015-02-12,2.8,-3.0,11.1,0.0,,239.2,5.8,14.0,1019.1,558.0
42,2015-02-13,3.8,-0.9,12.3,0.0,,206.7,6.8,15.5,1014.8,546.0
43,2015-02-14,1.7,-2.5,8.0,0.0,,163.3,6.5,20.9,1008.2,366.0
44,2015-02-15,-0.9,-6.7,5.3,0.0,,161.3,6.8,19.4,1008.9,156.0
45,2015-02-16,0.3,-7.8,10.9,0.0,,151.3,4.7,15.5,1015.4,564.0
46,2015-02-17,-1.1,-4.2,4.3,0.0,,316.3,10.4,28.8,1027.8,528.0
47,2015-02-18,-4.0,-4.7,-2.9,0.0,,109.2,6.1,16.2,1036.4,0.0
48,2015-02-19,-1.6,-5.6,3.4,0.0,,186.7,7.6,31.7,1028.3,438.0
49,2015-02-20,2.3,-1.8,7.6,0.0,,203.8,11.2,32.8,1014.4,576.0
50,2015-02-21,0.3,-2.0,3.0,3.8,,244.2,11.9,48.6,1000.0,36.0
51,2015-02-22,-1.6,-5.0,1.3,0.0,,288.3,5.8,18.0,1006.8,54.0
52,2015-02-23,-1.2,-5.0,1.5,3.8,,205.8,14.0,36.7,1001.2,0.0
53,2015-02-24,-0.3,-2.6,1.5,0.5,,238.8,10.4,34.6,1007.6,0.0
54,2015-02-25,-0.5,-3.6,4.8,0.0,,266.3,6.8,22.3,1016.9,330.0
55,2015-02-26,-0.5,-4.7,4.5,0.2,,173.3,8.3,22.0,1016.9,594.0
56,2015-02-27,-0.5,-1.6,1.1,10.7,,239.6,13.0,38.2,1010.8,0.0
57,2015-02-28,-1.3,-3.5,1.8,1.3,,213.3,7.2,28.1,1017.8,252.0
58,2015-03-01,1.7,-2.4,4.9,7.5,,212.1,15.8,46.1,1008.3,0.0
59,2015-03-02,1.8,-2.2,5.5,10.4,,255.8,19.4,65.2,1008.2,24.0
60,2015-03-03,1.3,-3.6,5.5,2.6,,239.6,14.4,42.5,1019.6,540.0
61,2015-03-04,-0.4,-2.3,2.8,0.0,,278.3,11.5,32.8,1024.2,270.0
62,2015-03-05,-1.1,-2.8,1.5,0.1,,320.4,13.3,42.1,1032.6,192.0
63,2015-03-06,-0.1,-4.8,5.6,0.0,,199.2,5.8,21.2,1034.2,516.0
64,2015-03-07,2.2,-3.5,8.6,0.0,,134.2,7.6,27.4,1029.9,564.0
65,2015-03-08,6.2,1.2,13.9,0.0,,108.3,8.3,27.4,1022.7,594.0
66,2015-03-09,6.8,2.1,12.8,0.0,,197.9,7.2,20.2,1021.5,618.0
67,2015-03-10,6.0,1.7,11.7,1.2,,285.8,8.3,22.3,1023.0,372.0
68,2015-03-11,2.7,-0.9,5.9,0.0,,271.3,9.0,25.9,1025.0,420.0
69,2015-03-12,0.9,-3.2,5.0,0.0,,90.4,10.8,38.9,1025.1,468.0
70,2015-03-13,0.0,-2.9,4.3,0.0,,100.4,11.5,30.2,1018.8,618.0
