,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.5,,,0.9,,,,,1013.1,
1,2015-01-03,4.6,,,3.7,,,,,1013.9,
2,2015-01-04,3.4,,,0.0,,,20.2,50.0,1023.9,
3,2015-01-05,5.0,,,0.0,0.0,,17.6,44.3,1026.6,
4,2015-01-06,3.0,,,0.5,0.0,,9.7,29.5,1022.0,
5,2015-01-07,4.4,,,1.3,0.0,,16.6,40.7,1020.3,
6,2015-01-08,5.4,,,6.9,0.0,,23.8,61.2,1014.0,
7,2015-01-09,6.7,,,7.5,0.0,,40.3,129.6,1005.3,
8,2015-01-10,7.7,,,2.2,0.0,,46.8,107.3,997.1,
9,2015-01-11,4.6,,,2.9,0.0,,39.2,94.3,1003.2,
10,2015-01-12,7.1,,,14.2,0.0,,33.1,77.8,1004.2,
11,2015-01-13,6.5,,,11.4,0.0,,19.1,63.0,999.7,
12,2015-01-14,3.2,,,5.3,0.0,,16.9,61.2,1002.5,
13,2015-01-15,5.3,,,13.4,0.0,,25.9,70.2,995.9,
14,2015-01-16,5.6,,,0.0,0.0,,23.8,63.0,1000.3,
15,2015-01-17,2.7,,,0.1,0.0,,15.5,44.3,1009.1,
16,2015-01-18,1.5,,,3.4,0.0,,14.8,35.3,1011.7,
17,2015-01-19,0.1,,,5.1,30.0,,3.2,11.2,1011.8,
18,2015-01-20,-1.9,,,0.0,70.0,,1.4,11.2,1011.5,
19,2015-01-21,-2.2,,,0.0,60.0,,2.2,14.8,1015.7,
20,2015-01-22,-4.4,,,0.0,40.0,,1.8,11.2,1021.3,
21,2015-01-23,-4.2,,,0.0,40.0,,4.3,,1025.0,
22,2015-01-24,-1.5,,,1.6,30.0,,14.8,37.1,1016.7,
23,2015-01-25,1.1,,,0.2,50.0,,9.4,24.1,1023.0,
24,2015-01-26,2.6,,,6.6,30.0,,18.0,44.3,1014.4,
25,2015-01-27,3.2,,,0.0,0.0,,17.6,42.5,1014.6,
26,2015-01-28,3.9,,,16.9,0.0,,25.2,77.8,998.2,
27,2015-01-29,1.2,,,8.6,10.0,,21.2,64.8,978.7,
28,2015-01-30,-1.7,,,0.0,80.0,,3.6,14.8,973.9,
29,2015-01-31,-3.3,,,0.0,70.0,,3.2,13.0,979.3,
30,2015-02-01,-1.9,,,3.6,,,,37.1,986.4,
31,2015-02-02,0.0,,,0.0,20.0,,11.9,33.5,992.7,
32,2015-02-03,-1.7,,,0.4,20.0,,10.4,27.7,1001.3,
33,2015-02-04,-3.6,,,0.5,30.0,,9.4,29.5,1013.1,
34,2015-02-05,-1.2,,,0.0,30.0,,10.1,27.7,1025.3,
35,2015-02-06,-3.8,,,0.1,30.0,,5.4,,1032.0,
36,2015-02-07,3.1,,,0.1,,,,,1024.7,
37,2015-02-08,2.7,,,0.3,,,18.7,70.2,1024.2,
38,2015-02-09,5.6,,,0.0,0.0,,26.3,57.2,1020.4,
39,2015-02-10,5.5,,,0.0,0.0,,19.1,42.5,1026.5,
40,2015-02-11,3.4,,,0.0,0.0,,6.5,18.4,1026.9,
41,2015-02-12,1.8,,,0.0,0.0,,6.1,18.4,1022.0,
42,2015-02-13,0.6,,,0.0,0.0,,10.4,24.1,1016.3,
43,2015-02-14,0.9,,,0.0,0.0,,16.9,31.3,1013.5,
44,2015-02-15,2.6,,,0.0,0.0,,23.4,57.2,1019.9,
45,2015-02-16,0.9,,,0.0,0.0,,16.2,38.9,1021.6,
46,2015-02-17,-0.3,,,0.0,0.0,,7.6,22.3,1029.5,
47,2015-02-18,3.6,,,0.0,0.0,,16.9,48.2,1034.4,
48,2015-02-19,3.2,,,0.0,0.0,,19.4,48.2,1022.5,
49,2015-02-20,3.1,,,8.3,0.0,,18.7,46.4,1006.7,
50,2015-02-21,3.1,,,4.5,0.0,,11.5,50.0,993.8,
51,2015-02-22,3.2,,,1.2,0.0,,17.3,44.3,1003.5,
52,2015-02-23,3.5,,,1.7,0.0,,23.4,57.2,992.1,
53,2015-02-24,4.4,,,0.3,0.0,,21.6,53.6,999.0,
54,2015-02-25,3.8,,,2.4,0.0,,13.0,48.2,1013.9,
55,2015-02-26,5.3,,,4.3,0.0,,13.7,44.3,1015.2,
56,2015-02-27,4.1,,,4.3,0.0,,13.0,38.9,1011.6,
57,2015-02-28,3.2,,,2.6,0.0,,15.5,40.7,1014.0,
58,2015-03-01,5.2,,,4.4,,,25.9,64.8,996.8,
59,2015-03-02,4.1,,,4.0,0.0,,29.2,77.8,995.5,
60,2015-03-03,2.6,,,7.2,0.0,,17.6,51.8,1009.2,
61,2015-03-04,3.0,,,2.1,40.0,,22.0,76.0,1015.6,
62,2015-03-05,4.0,,,0.1,0.0,,14.8,37.1,1031.5,
63,2015-03-06,6.2,,,0.0,0.0,,15.8,42.5,1030.7,
64,2015-03-07,8.2,,,0.0,0.0,,20.2,46.4,1024.5,
65,2015-03-08,8.6,,,0.0,,,16.9,48.2,1020.2,
66,2015-03-09,6.1,,,1.6,0.0,,9.4,22.3,1024.7,
67,2015-03-10,6.7,,,0.0,0.0,,18.4,42.5,1024.0,
68,2015-03-11,5.3,,,0.0,0.0,,14.8,35.3,1028.5,
69,2015-03-12,2.8,,,0.0,0.0,,10.8,33.5,1033.0,
70,2015-03-13,2.5,,,0.0,0.0,,19.4,46.4,1030.9,
71,2015-03-14,4.1,,,0.0,0.0,,24.8,55.4,1031.6,
72,2015-03-15,5.2,,,0.0,0.0,,25.9,51.8,1032.6,
73,2015-03-16,7.6,,,0.0,0.0,,22.7,48.2,1029.9,
74,2015-03-17,8.3,,,0.0,0.0,,14.0,33.5,1028.1,
75,2015-03-18,8.1,,,0.0,0.0,,10.8,27.7,1026.6,
76,2015-03-19,5.9,,,0.0,0.0,,7.6,25.9,1027.8,
77,2015-03-20,2.7,,,4.1,0.0,,11.2,33.5,1022.6,
78,2015-03-21,3.8,,,1.9,0.0,,20.9,61.2,1017.0,
79,2015-03-22,1.7,,,0.0,0.0,,9.0,35.3,1027.4,
80,2015-03-23,3.6,,,0.0,0.0,,14.4,40.7,1014.6,
81,2015-03-24,4.2,,,0.0,0.0,,7.9,22.3,1008.3,
82,2015-03-25,5.4,,,4.1,0.0,,14.0,38.9,1007.3,
83,2015-03-26,5.6,,,0.7,0.0,,11.5,33.5,1005.3,
84,2015-03-27,5.7,,,0.3,0.0,,10.4,29.5,1010.2,
85,2015-03-28,6.6,,,8.4,,,16.6,,1013.2,
86,2015-03-29,7.4,,,18.6,,,,59.4,990.9,
87,2015-03-30,5.5,,,7.1,0.0,,36.0,85.3,992.6,
88,2015-03-31,4.3,,,13.6,10.0,,36.4,107.3,986.5,
89,2015-04-01,4.0,,,2.6,0.0,,31.7,85.3,1004.2,
90,2015-04-02,3.6,,,1.7,0.0,,,,1008.3,
91,2015-04-03,4.6,,,0.0,,,,,1016.8,
92,2015-04-04,3.7,,,0.0,,,,,1018.3,
93,2015-04-05,4.1,,,0.0,,,,,1023.9,
94,2015-04-06,5.3,,,0.0,,,9.7,33.5,1029.9,
95,2015-04-07,4.8,,,0.0,0.0,,18.4,46.4,1031.9,
96,2015-04-08,8.4,,,0.0,0.0,,18.4,42.5,1030.8,
97,2015-04-09,7.8,,,0.0,0.0,,7.6,35.3,1027.7,
98,2015-04-10,9.3,,,0.0,0.0,,6.1,20.5,1020.6,
99,2015-04-11,9.8,,,3.6,0.0,,19.8,70.2,1014.2,
