,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2017-07-13,13.3,9.0,18.0,,,260.8,10.8,,1021.4,
1,2017-09-27,11.6,7.0,17.0,,,,5.2,,1024.2,
2,2020-01-15,10.0,8.0,12.0,,,187.8,20.6,,1014.0,
3,2020-01-16,5.7,0.0,9.0,,,147.9,9.0,,1026.0,
4,2020-01-17,6.8,3.0,9.0,,,178.6,15.1,,1016.4,
5,2020-01-18,3.4,1.0,5.0,,,235.2,14.0,,1023.1,
6,2020-01-19,2.2,0.0,3.0,,,307.6,12.2,,1036.5,
7,2020-01-20,2.6,0.0,6.0,,,,4.4,,1045.7,
8,2020-01-21,-1.3,-5.0,3.0,,,,4.5,,1040.3,
9,2020-01-22,-0.7,-3.0,1.0,,,,4.7,,1034.4,
10,2020-01-23,0.8,-2.0,2.0,,,,6.9,,1030.3,
11,2020-01-24,-1.3,-3.0,0.0,,,190.4,9.2,,1022.3,
12,2020-01-25,-1.5,-2.0,-1.0,,,,6.3,,1020.9,
13,2020-01-26,0.4,-1.0,2.0,,,148.8,11.6,,1017.0,
14,2020-01-27,5.5,3.0,7.0,,,189.3,19.8,,1007.4,
15,2020-01-28,4.0,2.0,5.0,,,230.4,23.7,,993.1,
16,2020-01-29,3.6,3.0,4.0,,,255.2,20.2,,1005.1,
17,2020-01-30,6.1,4.0,8.0,,,204.8,21.8,,1007.4,
18,2020-01-31,11.1,10.0,13.0,,,249.6,20.5,,1008.3,
19,2020-02-01,10.1,8.0,11.0,,,231.1,19.7,,1002.9,
20,2020-02-02,7.5,5.0,11.0,,,228.6,17.1,,1006.1,
21,2020-02-03,8.9,8.0,10.0,,,273.7,24.7,,1010.3,
22,2020-02-04,2.9,2.0,4.0,,,293.0,23.0,,1011.7,
23,2020-02-05,1.8,-1.0,4.0,,,312.5,12.3,,1033.3,
24,2020-02-06,3.3,2.0,4.0,,,290.3,9.3,,1030.3,
25,2020-02-07,3.9,2.0,6.0,,,139.6,14.3,,1027.3,
26,2020-02-08,3.6,-1.0,6.0,,,,9.0,,1021.5,
27,2020-02-09,8.8,4.0,11.0,,,193.7,37.6,,1004.7,
28,2020-02-10,5.8,4.0,8.0,,,259.6,37.1,,995.3,
29,2020-02-11,3.6,2.0,5.0,,,268.3,33.9,,1001.2,
30,2020-02-12,3.6,1.0,5.0,,,266.2,28.6,,1011.0,
31,2020-02-13,2.6,0.0,4.0,,,157.5,18.6,,1003.9,
32,2020-02-14,4.9,3.0,6.0,,,258.2,12.2,,1019.3,
33,2020-02-15,7.0,3.0,10.0,,,173.3,18.3,,1019.1,
34,2020-02-16,12.6,9.0,15.0,,,200.7,36.7,,1005.1,
35,2020-02-17,7.5,5.0,9.0,,,223.5,24.0,,1012.8,
36,2020-02-18,5.1,4.0,7.0,,,239.6,22.8,,1020.1,
37,2020-02-19,3.8,2.0,5.0,,,260.0,21.3,,1016.9,
38,2020-02-20,6.3,3.0,8.0,,,195.6,22.3,,1014.3,
39,2020-02-21,5.4,3.0,7.0,,,245.6,22.0,,1023.9,
40,2020-02-22,7.5,4.0,10.0,,,217.5,26.5,,1017.8,
41,2020-02-23,9.3,6.0,12.0,,,246.9,32.3,,1008.4,
42,2020-02-24,4.9,3.0,9.0,,,191.0,20.0,,1012.9,
