,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.7,4.1,9.5,2.2,0.0,240.4,33.5,82.4,1013.2,42.0
1,2015-01-03,4.5,2.8,5.9,4.2,0.0,247.9,24.5,62.6,1014.2,0.0
2,2015-01-04,3.7,2.2,5.8,0.0,0.0,271.7,19.8,46.8,1024.0,282.0
3,2015-01-05,5.3,3.9,6.1,0.2,0.0,245.8,13.7,40.0,1027.2,0.0
4,2015-01-06,3.4,2.1,4.2,0.2,0.0,177.5,10.1,31.0,1023.4,0.0
5,2015-01-07,4.6,1.9,7.0,1.3,0.0,229.6,13.3,40.3,1021.3,132.0
6,2015-01-08,5.3,3.2,7.3,7.5,0.0,230.4,17.6,44.3,1014.9,0.0
7,2015-01-09,6.7,5.0,8.4,12.6,0.0,254.6,32.0,108.7,1005.6,6.0
8,2015-01-10,7.7,2.5,11.8,6.0,0.0,254.2,36.0,100.4,997.3,0.0
9,2015-01-11,4.3,2.9,6.3,4.0,0.0,267.5,30.2,77.0,1003.4,30.0
10,2015-01-12,7.3,5.7,8.6,13.8,0.0,243.8,28.1,72.4,1004.8,0.0
11,2015-01-13,6.6,4.3,9.5,12.0,0.0,221.7,15.8,53.6,1000.5,0.0
12,2015-01-14,3.1,0.7,5.2,6.2,0.0,234.6,14.8,47.2,1003.5,18.0
13,2015-01-15,5.3,1.6,8.3,13.6,0.0,191.7,20.9,53.3,997.7,0.0
14,2015-01-16,6.0,3.3,7.1,0.0,0.0,219.2,19.1,60.1,1001.4,18.0
15,2015-01-17,3.0,1.0,5.1,0.0,0.0,225.8,13.0,42.8,1010.2,294.0
16,2015-01-18,1.7,1.0,2.3,4.1,0.0,202.9,12.2,33.8,1013.1,0.0
17,2015-01-19,0.8,-0.1,1.2,1.3,0.0,175.0,5.8,16.6,1013.0,0.0
18,2015-01-20,-0.3,-1.3,0.6,1.3,0.0,210.4,4.3,13.0,1012.5,0.0
19,2015-01-21,-1.4,-5.1,-0.4,0.0,0.0,200.8,5.4,16.2,1016.9,0.0
20,2015-01-22,-3.3,-6.9,-0.4,0.0,0.0,260.0,3.6,8.6,1022.2,24.0
21,2015-01-23,-1.7,-3.1,-0.8,0.0,0.0,251.7,7.6,37.1,1025.7,0.0
22,2015-01-24,-1.1,-3.4,0.9,1.9,0.0,215.0,13.7,42.1,1017.8,0.0
23,2015-01-25,1.7,-0.9,3.9,0.0,0.0,246.7,9.0,24.5,1023.8,162.0
24,2015-01-26,3.0,1.7,5.3,6.4,0.0,220.4,14.8,41.8,1015.3,0.0
25,2015-01-27,3.4,1.7,6.0,0.0,0.0,285.4,18.4,43.2,1014.9,354.0
26,2015-01-28,4.0,0.8,5.2,16.6,0.0,219.2,20.2,58.3,999.3,0.0
27,2015-01-29,1.4,0.3,2.4,8.1,20.0,213.8,16.9,53.3,980.2,0.0
28,2015-01-30,0.7,-1.7,2.3,0.0,30.0,181.3,6.5,17.3,974.9,36.0
29,2015-01-31,-2.4,-3.9,-1.0,0.0,20.0,265.4,10.4,20.5,980.0,0.0
30,2015-02-01,-1.2,-4.2,1.5,4.5,10.0,242.5,9.7,32.0,987.0,6.0
31,2015-02-02,0.2,-2.4,2.3,0.2,30.0,264.6,11.9,33.8,993.3,54.0
32,2015-02-03,-1.1,-2.4,0.0,0.4,30.0,306.3,12.6,27.0,1001.9,12.0
33,2015-02-04,-1.5,-4.6,-0.4,0.5,40.0,309.6,13.7,29.2,1013.5,108.0
34,2015-02-05,0.2,-0.9,1.4,0.0,40.0,83.3,15.1,26.6,1026.3,156.0
35,2015-02-06,-1.0,-3.2,1.5,0.0,40.0,190.8,8.6,21.2,1032.7,318.0
36,2015-02-07,3.0,-0.3,5.0,0.0,30.0,272.1,23.4,60.5,1024.7,0.0
37,2015-02-08,2.7,0.5,5.0,0.1,0.0,309.2,22.7,58.0,1024.4,414.0
38,2015-02-09,5.7,3.8,7.5,0.0,0.0,290.0,21.6,48.2,1020.6,0.0
39,2015-02-10,5.7,0.3,8.7,0.0,0.0,291.7,15.5,34.9,1027.0,96.0
40,2015-02-11,3.3,2.0,4.0,0.0,0.0,253.3,7.2,19.1,1027.8,0.0
41,2015-02-12,1.9,0.2,2.6,0.0,0.0,207.5,6.1,18.4,1023.1,0.0
42,2015-02-13,0.5,-0.6,1.7,0.0,0.0,172.5,9.0,24.1,1017.8,0.0
43,2015-02-14,1.1,-0.6,3.4,0.0,0.0,94.6,13.0,38.9,1015.0,60.0
44,2015-02-15,2.9,2.2,3.7,0.0,0.0,84.2,23.4,54.0,1021.4,0.0
45,2015-02-16,1.5,-0.5,2.9,0.0,0.0,123.3,14.4,37.8,1023.2,0.0
46,2015-02-17,0.5,-1.8,3.0,0.0,0.0,207.5,9.4,26.6,1030.7,18.0
47,2015-02-18,4.0,1.2,7.6,0.0,0.0,235.4,16.6,44.6,1035.2,324.0
48,2015-02-19,3.7,1.3,7.9,0.0,0.0,227.5,18.0,52.9,1023.5,414.0
49,2015-02-20,3.4,1.0,5.1,5.9,0.0,207.5,15.8,45.7,1008.0,0.0
50,2015-02-21,3.7,1.4,5.7,3.5,0.0,217.1,10.8,45.4,994.6,0.0
51,2015-02-22,3.5,1.0,7.1,0.8,0.0,222.9,14.0,42.8,1004.7,258.0
52,2015-02-23,3.5,1.2,6.3,1.7,0.0,192.9,17.3,51.5,993.6,24.0
53,2015-02-24,4.6,2.4,6.5,0.0,0.0,206.7,17.3,45.0,1000.3,90.0
54,2015-02-25,4.1,2.0,7.9,0.7,0.0,216.7,11.2,33.8,1015.0,222.0
55,2015-02-26,5.3,3.2,7.9,1.0,0.0,167.9,11.2,37.8,1016.8,126.0
56,2015-02-27,3.6,0.8,5.6,4.8,0.0,230.8,9.7,30.2,1012.5,0.0
57,2015-02-28,3.4,-1.3,7.3,1.7,0.0,217.5,12.6,43.6,1015.4,258.0
58,2015-03-01,5.1,2.4,8.8,2.1,0.0,211.3,20.2,53.3,998.2,42.0
59,2015-03-02,4.3,2.1,6.1,2.9,0.0,237.1,22.3,68.0,996.2,48.0
60,2015-03-03,2.9,0.3,6.4,6.8,0.0,247.5,15.5,50.8,1010.0,108.0
61,2015-03-04,3.0,0.4,7.3,2.3,0.0,250.4,16.6,59.8,1016.4,174.0
62,2015-03-05,4.3,0.1,7.9,0.1,0.0,271.7,14.0,34.9,1032.0,174.0
63,2015-03-06,6.6,4.9,9.1,0.0,0.0,239.6,14.0,39.6,1031.5,30.0
64,2015-03-07,8.5,5.2,12.1,0.0,0.0,217.9,17.3,47.2,1025.4,24.0
65,2015-03-08,9.7,5.8,16.7,0.0,0.0,232.9,16.9,42.1,1020.8,558.0
66,2015-03-09,6.9,5.1,10.3,1.0,0.0,219.2,10.1,29.5,1025.8,306.0
67,2015-03-10,7.3,3.1,11.1,0.0,0.0,251.3,15.8,36.4,1024.6,336.0
68,2015-03-11,5.6,-0.3,10.5,0.0,0.0,231.3,15.1,33.5,1029.2,648.0
