,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,5.7,4.0,7.7,0.9,,,,,,48.0
1,2015-01-03,3.2,2.4,4.4,0.5,,,,,,0.0
2,2015-01-04,3.1,1.8,4.2,0.7,,,,,,0.0
3,2015-01-05,2.0,0.8,3.2,0.0,,,,,,0.0
4,2015-01-06,2.0,1.2,3.5,0.0,,,,,,18.0
5,2015-01-07,3.4,2.0,5.9,0.5,,,,,,90.0
6,2015-01-08,4.8,2.3,7.1,8.3,,,,,,0.0
7,2015-01-09,6.9,4.7,9.6,6.4,,,,,,0.0
8,2015-01-10,9.5,3.8,12.8,2.1,,,,,,0.0
9,2015-01-11,3.2,1.6,4.7,3.3,,,,,,24.0
10,2015-01-12,5.9,3.9,7.6,0.6,,,,,,0.0
11,2015-01-13,8.8,7.1,11.1,5.6,,,,,,246.0
12,2015-01-14,4.7,1.7,7.4,0.0,,,,,,204.0
13,2015-01-15,7.1,1.9,10.5,2.4,,,,,,18.0
14,2015-01-16,6.4,4.2,8.1,0.2,,,,,,114.0
15,2015-01-17,2.7,-0.4,4.6,0.0,,,,,,252.0
16,2015-01-18,1.3,-0.6,3.7,0.0,,,,,,192.0
17,2015-01-19,0.2,-2.1,2.5,0.0,,,,,,0.0
18,2015-01-20,-0.5,-2.1,0.1,0.1,,,,,,0.0
19,2015-01-21,-2.0,-4.0,0.0,0.0,,,,,,396.0
20,2015-01-22,-1.3,-2.1,-0.5,0.5,,,,,,0.0
21,2015-01-23,-1.5,-2.4,-0.7,0.0,,,,,,0.0
22,2015-01-24,-0.8,-4.4,1.7,0.9,,,,,,192.0
23,2015-01-25,0.6,-2.3,1.6,7.5,,,,,,0.0
24,2015-01-26,2.6,1.2,3.7,4.4,,,,,,0.0
25,2015-01-27,2.6,1.2,4.5,0.1,,,,,,54.0
26,2015-01-28,3.2,0.3,4.6,2.9,,,,,,6.0
27,2015-01-29,1.8,0.4,3.6,3.1,,,,,,258.0
28,2015-01-30,0.2,-1.9,1.1,3.0,,,,,,0.0
29,2015-01-31,0.2,-3.3,2.6,1.6,,,,,,150.0
30,2015-02-01,0.4,-2.7,2.6,0.0,,,,,,426.0
31,2015-02-02,0.8,-0.8,2.7,0.3,,,,,,96.0
32,2015-02-03,-0.5,-5.2,2.3,3.0,,,,,,90.0
33,2015-02-04,-2.5,-5.2,-0.5,0.1,,,,,,36.0
34,2015-02-05,-2.9,-4.8,-1.1,0.0,,,,,,42.0
35,2015-02-06,-4.4,-7.4,-1.9,0.0,,,,,,108.0
36,2015-02-07,-2.3,-8.5,3.1,0.5,,,,,,174.0
37,2015-02-08,1.0,-1.6,3.1,2.4,,,,,,468.0
38,2015-02-09,3.6,0.2,5.5,1.4,,,,,,0.0
39,2015-02-10,4.4,3.8,5.2,0.0,,,,,,0.0
40,2015-02-11,2.8,-0.7,4.8,0.0,,,,,,144.0
