,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,0.0,,,7.9,250.0,,21.2,55.4,1034.4,
1,2015-01-03,2.9,,,18.2,80.0,,23.8,79.6,1026.8,
2,2015-01-04,0.6,,,0.1,0.0,,21.2,44.3,1032.5,0.0
3,2015-01-05,-0.1,,,0.0,0.0,,12.2,31.3,1034.8,
4,2015-01-06,-0.3,,,0.0,0.0,,5.0,14.8,1027.5,
5,2015-01-07,1.3,,,1.0,0.0,,12.2,33.5,1031.0,
6,2015-01-08,4.5,,,3.5,0.0,,24.5,83.2,1030.3,
7,2015-01-09,6.6,,,5.0,0.0,,41.4,90.7,1027.7,
8,2015-01-10,12.2,,,8.7,0.0,,51.5,96.5,1018.0,
9,2015-01-11,3.0,,,3.3,0.0,,35.6,72.4,1022.3,
10,2015-01-12,4.4,,,0.0,0.0,,31.3,64.8,1026.2,
11,2015-01-13,7.2,,,,0.0,,19.1,42.5,1018.2,
12,2015-01-14,4.7,,,2.3,0.0,,26.6,72.4,1017.9,
13,2015-01-15,2.7,,,0.0,0.0,,9.7,24.1,1014.4,
14,2015-01-16,2.5,,,3.0,0.0,,7.2,22.3,1009.0,
15,2015-01-17,0.7,,,11.4,0.0,,7.9,33.5,1015.9,
16,2015-01-18,-0.1,,,2.0,80.0,,5.4,18.4,1018.2,
17,2015-01-19,-2.1,,,0.0,40.0,,5.8,16.6,1014.1,
18,2015-01-20,-1.6,,,0.3,40.0,,6.1,14.8,1012.5,
19,2015-01-21,-1.3,,,0.0,40.0,,14.4,33.5,1011.9,
20,2015-01-22,-1.5,,,0.0,40.0,,9.0,22.3,1013.8,
21,2015-01-23,-1.4,,,0.4,40.0,,10.1,29.5,1022.3,
22,2015-01-24,-0.9,,,1.9,40.0,,12.2,29.5,1022.9,
23,2015-01-25,-1.4,,,0.3,80.0,,13.3,31.3,1029.3,
24,2015-01-26,-1.2,,,4.3,80.0,,15.1,38.9,1026.2,
25,2015-01-27,-0.4,,,1.7,130.0,,22.7,44.3,1022.5,
26,2015-01-28,-0.2,,,2.9,130.0,,19.1,55.4,1016.7,
27,2015-01-29,0.6,,,1.0,120.0,,21.2,64.8,995.2,
28,2015-01-30,-0.8,,,3.2,130.0,,24.8,59.4,980.5,
29,2015-01-31,-0.8,,,0.0,160.0,,15.1,37.1,986.4,
30,2015-02-01,-2.0,,,2.3,160.0,,17.3,40.7,994.1,
31,2015-02-02,-2.1,,,6.1,160.0,,19.1,46.4,1002.5,
32,2015-02-03,-6.7,,,0.0,250.0,,7.2,16.6,1006.3,
33,2015-02-04,-8.1,,,0.0,220.0,,6.5,20.5,1013.0,
34,2015-02-05,-4.4,,,0.2,190.0,,20.9,48.2,1015.4,
35,2015-02-06,-4.7,,,0.0,190.0,,28.4,57.2,1020.0,
36,2015-02-07,-6.4,,,0.2,,,16.2,37.1,1028.2,
37,2015-02-08,-4.0,,,1.2,140.0,,18.7,46.4,1027.5,
38,2015-02-09,-2.8,,,0.0,160.0,,22.0,51.8,1031.6,
39,2015-02-10,-0.2,,,0.0,140.0,,7.9,20.5,1031.2,
40,2015-02-11,-2.3,,,0.0,130.0,,7.6,25.9,1028.5,
41,2015-02-12,-3.6,,,0.0,130.0,,4.7,11.2,1026.3,
42,2015-02-13,-3.6,,,0.0,130.0,,3.6,11.2,1022.2,
43,2015-02-14,-3.6,,,0.0,130.0,,7.2,20.5,1014.8,
44,2015-02-15,-3.0,,,0.0,130.0,,6.8,14.8,1014.6,
45,2015-02-16,-2.9,,,0.0,130.0,,5.0,13.0,1021.5,
46,2015-02-17,-4.5,,,0.0,130.0,,7.2,22.3,1033.3,
47,2015-02-18,-3.0,,,0.0,120.0,,9.4,24.1,1040.9,
48,2015-02-19,-2.7,,,0.0,120.0,,5.8,16.6,1033.6,
49,2015-02-20,-2.7,,,0.0,110.0,,7.2,18.4,1020.7,
50,2015-02-21,-2.7,,,4.5,100.0,,9.7,22.3,1004.9,
51,2015-02-22,-2.7,,,2.1,150.0,,7.9,18.4,1011.2,
52,2015-02-23,-0.6,,,2.8,110.0,,13.3,51.8,1005.7,
53,2015-02-24,1.9,,,0.6,80.0,,15.8,42.5,1011.2,
54,2015-02-25,0.9,,,0.0,70.0,,8.6,20.5,1021.0,
55,2015-02-26,-0.8,,,0.0,40.0,,6.5,18.4,1021.6,
56,2015-02-27,-1.0,,,7.1,0.0,,9.7,29.5,1015.2,
57,2015-02-28,-1.0,,,0.0,90.0,,7.6,24.1,1021.9,
58,2015-03-01,3.6,,,0.7,60.0,,21.2,61.2,1012.4,
59,2015-03-02,4.2,,,8.3,0.0,,28.1,70.2,1011.0,
60,2015-03-03,3.1,,,3.3,0.0,,18.4,51.8,1023.6,
61,2015-03-04,1.7,,,0.5,40.0,,16.2,55.4,1027.3,
62,2015-03-05,0.5,,,0.0,10.0,,11.5,29.5,1035.5,
63,2015-03-06,1.1,,,0.0,0.0,,5.8,20.5,1038.1,
64,2015-03-07,2.3,,,0.0,0.0,,7.6,24.1,1034.4,
65,2015-03-08,4.0,,,0.0,0.0,,9.7,29.5,1027.5,
66,2015-03-09,4.6,,,0.0,0.0,,7.2,27.7,1026.2,
67,2015-03-10,5.8,,,2.2,0.0,,7.2,22.3,1026.7,
68,2015-03-11,4.0,,,0.3,0.0,,11.2,33.5,1028.2,
69,2015-03-12,1.6,,,0.0,0.0,,7.9,33.5,1029.5,
70,2015-03-13,1.1,,,0.0,0.0,,14.0,37.1,1023.2,
71,2015-03-14,2.2,,,0.0,0.0,,15.1,29.5,1023.2,
72,2015-03-15,3.3,,,0.0,0.0,,13.0,29.5,1022.8,
73,2015-03-16,5.4,,,0.0,0.0,,7.9,27.7,1022.4,
74,2015-03-17,8.7,,,0.0,0.0,,6.5,24.1,1022.9,
75,2015-03-18,7.8,,,0.0,0.0,,8.3,24.1,1023.6,
76,2015-03-19,6.5,,,0.0,0.0,,6.8,20.5,1024.4,
77,2015-03-20,5.0,,,0.0,0.0,,7.2,25.9,1022.8,
78,2015-03-21,5.3,,,12.9,0.0,,13.0,51.8,1016.6,
79,2015-03-22,2.6,,,0.0,0.0,,15.5,40.7,1020.1,
80,2015-03-23,3.3,,,0.0,0.0,,5.8,16.6,1017.2,
81,2015-03-24,7.1,,,0.0,0.0,,7.2,20.5,1009.1,
82,2015-03-25,8.3,,,0.0,0.0,,9.7,29.5,1003.1,
83,2015-03-26,5.1,,,0.7,0.0,,17.6,44.3,1009.6,
84,2015-03-27,5.0,,,0.9,0.0,,18.7,46.4,1019.1,
85,2015-03-28,6.6,,,0.3,0.0,,15.8,55.4,1021.4,
86,2015-03-29,8.8,,,14.2,0.0,,38.9,83.2,1010.1,
87,2015-03-30,6.6,,,8.0,0.0,,35.3,87.1,1007.3,
88,2015-03-31,8.5,,,7.0,0.0,,49.7,116.6,1007.2,
89,2015-04-01,2.6,,,2.4,70.0,,37.8,70.2,1019.9,
90,2015-04-02,2.6,,,5.7,0.0,,32.8,85.3,1017.7,
91,2015-04-03,4.6,,,3.5,0.0,,10.1,33.5,1020.8,
92,2015-04-04,1.5,,,7.6,0.0,,9.7,35.3,1015.1,
93,2015-04-05,1.7,,,0.0,0.0,,14.0,51.8,1021.3,
94,2015-04-06,0.8,,,0.2,0.0,,10.1,38.9,1028.3,
95,2015-04-07,2.3,,,0.0,0.0,,5.8,22.3,1036.0,
96,2015-04-08,5.8,,,0.0,0.0,,7.6,22.3,1032.9,
97,2015-04-09,8.9,,,0.0,0.0,,8.6,37.1,1027.5,
98,2015-04-10,12.3,,,0.1,0.0,,8.6,29.5,1022.3,
99,2015-04-11,11.9,,,0.3,0.0,,20.9,59.4,1024.0,
100,2015-04-12,12.0,,,0.0,0.0,,8.3,27.7,1029.1,
101,2015-04-13,12.3,,,0.0,0.0,,17.3,53.6,1028.8,
102,2015-04-14,11.7,,,0.0,0.0,,14.8,42.5,1028.6,
103,2015-04-15,15.1,,,0.0,0.0,,10.1,25.9,1019.9,
104,2015-04-16,16.2,,,0.1,0.0,,16.2,40.7,1013.9,
105,2015-04-17,,,,16.3,0.0,,13.7,44.3,,
106,2015-04-18,,,,0.0,,,11.9,29.5,,
107,2015-04-19,6.8,,,0.0,,,16.2,48.2,1020.7,
108,2015-04-20,8.4,,,0.0,0.0,,6.8,29.5,1024.4,
109,2015-04-21,10.8,,,0.0,0.0,,6.1,22.3,1027.7,
110,2015-04-22,11.5,,,0.0,0.0,,14.8,46.4,1022.8,
111,2015-04-23,5.4,,,0.0,0.0,,6.5,27.7,1019.5,
112,2015-04-24,9.6,,,0.0,0.0,,7.9,31.3,1015.7,
113,2015-04-25,12.2,,,4.6,0.0,,11.9,38.9,1012.2,
114,2015-04-26,14.2,,,0.0,0.0,,11.2,27.7,1008.3,
115,2015-04-27,14.4,,,16.3,0.0,,11.9,40.7,1000.5,
116,2015-04-28,,,,16.3,0.0,,19.1,50.0,,
117,2015-04-29,8.1,,,0.1,0.0,,10.8,37.1,1018.9,
118,2015-04-30,10.2,,,7.4,0.0,,14.4,40.7,1015.9,
119,2015-05-01,9.1,,,43.1,0.0,,9.4,35.3,1007.8,
120,2015-05-02,9.8,,,13.0,0.0,,8.3,24.1,1011.3,
121,2015-05-03,13.3,,,4.4,0.0,,12.6,37.1,1009.0,
122,2015-05-04,16.3,,,0.0,0.0,,11.9,42.5,1010.6,
123,2015-05-05,17.8,,,17.0,0.0,,13.0,55.4,1007.6,
124,2015-05-06,11.9,,,8.1,0.0,,11.2,40.7,1016.6,
125,2015-05-07,12.7,,,0.0,0.0,,11.9,33.5,1019.5,
126,2015-05-08,14.8,,,0.5,0.0,,10.8,40.7,1015.2,
127,2015-05-09,13.6,,,2.0,0.0,,16.9,48.2,1021.0,
128,2015-05-10,13.9,,,0.0,0.0,,13.3,38.9,1026.7,
129,2015-05-11,15.7,,,0.0,0.0,,8.6,25.9,1024.2,
130,2015-05-12,19.7,,,0.0,0.0,,11.5,40.7,1019.0,
131,2015-05-15,,,,7.9,,,9.0,31.3,,
132,2015-05-16,,,,0.3,,,10.8,33.5,,
133,2015-05-17,13.3,,,0.8,,,8.6,25.9,1023.7,
134,2015-05-18,16.4,,,3.6,0.0,,7.9,27.7,1011.8,
135,2015-05-19,12.7,,,19.5,0.0,,13.3,33.5,1010.2,
136,2015-05-20,7.3,,,11.7,0.0,,9.4,24.1,1016.3,
137,2015-05-21,7.4,,,3.1,0.0,,7.9,35.3,1023.7,
138,2015-05-22,9.4,,,0.0,0.0,,8.3,31.3,1024.2,
139,2015-05-23,9.9,,,1.8,0.0,,7.6,29.5,1019.1,
140,2015-05-24,11.1,,,0.0,0.0,,7.9,24.1,1018.7,
141,2015-05-25,12.6,,,6.7,0.0,,7.2,37.1,1014.7,
142,2015-05-26,10.2,,,3.9,0.0,,10.4,27.7,1017.3,
143,2015-05-27,9.1,,,0.0,0.0,,10.4,31.3,1023.1,
144,2015-05-28,12.4,,,0.0,0.0,,11.9,42.5,1017.7,
145,2015-05-29,16.5,,,0.3,0.0,,10.4,33.5,1012.1,
146,2015-05-30,14.6,,,0.0,0.0,,17.3,53.6,1015.3,
147,2015-05-31,15.8,,,0.0,0.0,,7.6,20.5,1016.3,
148,2015-06-01,18.2,,,0.0,0.0,,13.0,46.4,1015.9,
149,2015-06-02,18.8,,,0.0,0.0,,13.3,44.3,1018.0,
150,2015-06-03,21.0,,,0.0,0.0,,13.0,40.7,1021.0,
151,2015-06-04,20.4,,,0.0,0.0,,9.7,29.5,1023.3,
152,2015-06-05,22.1,,,0.0,0.0,,8.3,29.5,1019.7,
153,2015-06-06,23.0,,,0.9,0.0,,10.1,63.0,1020.9,
154,2015-06-07,23.0,,,,0.0,,12.2,31.3,1022.3,
155,2015-06-08,,,,21.6,0.0,,,42.5,,
156,2015-06-09,11.5,,,0.0,0.0,,14.4,27.7,1022.5,
157,2015-06-10,13.8,,,0.0,0.0,,12.6,25.9,1021.7,
158,2015-06-11,17.4,,,0.0,0.0,,8.3,25.9,1017.4,
159,2015-06-12,,,,0.0,0.0,,6.8,18.4,,
160,2015-06-16,15.5,,,0.0,0.0,,8.6,25.9,1018.5,
161,2015-06-17,14.0,,,0.0,0.0,,8.6,22.3,1021.2,
162,2015-06-18,13.5,,,12.1,0.0,,16.6,42.5,1017.6,
163,2015-06-19,,,,3.3,0.0,,14.0,37.1,,
164,2015-06-20,,,,4.1,,,12.2,35.3,,
165,2015-06-21,12.3,,,7.7,,,13.3,38.9,1019.0,
166,2015-06-22,14.7,,,15.0,0.0,,18.0,70.2,1012.5,
167,2015-06-23,12.2,,,0.0,0.0,,23.0,53.6,1014.1,
168,2015-06-24,13.9,,,0.0,0.0,,8.3,25.9,1021.8,
169,2015-06-25,16.0,,,0.0,0.0,,6.5,24.1,1022.7,
170,2015-06-26,18.3,,,0.0,0.0,,7.2,24.1,1020.6,
171,2015-06-27,17.0,,,,0.0,,9.7,40.7,1018.2,
172,2015-06-28,17.3,,,0.0,0.0,,7.9,29.5,1021.0,
173,2015-06-29,19.1,,,0.0,0.0,,8.6,35.3,1020.8,
174,2015-06-30,21.2,,,0.0,0.0,,5.8,20.5,1019.6,
175,2015-07-01,22.7,,,0.0,0.0,,9.0,29.5,1018.5,
176,2015-07-02,23.6,,,0.0,0.0,,7.2,24.1,1020.4,
177,2015-07-03,23.4,,,,0.0,,6.5,27.7,1022.9,
178,2015-07-04,25.6,,,0.0,0.0,,7.2,24.1,1020.0,
179,2015-07-05,27.6,,,2.5,0.0,,7.2,22.3,1015.2,
180,2015-07-06,23.7,,,0.0,0.0,,10.1,37.1,1018.8,
181,2015-07-07,26.5,,,0.0,0.0,,10.4,42.5,1011.0,
182,2015-07-08,18.1,,,4.5,0.0,,13.3,40.7,1013.5,
183,2015-07-09,15.7,,,0.0,0.0,,16.9,50.0,1019.5,
184,2015-07-10,16.0,,,0.0,0.0,,6.1,22.3,1021.7,
185,2015-07-11,20.0,,,1.4,0.0,,11.5,48.2,1016.5,
186,2015-07-12,21.5,,,0.4,0.0,,12.2,38.9,1016.7,
187,2015-07-13,17.5,,,0.0,0.0,,8.6,31.3,1018.8,
188,2015-07-14,20.9,,,0.0,0.0,,12.6,37.1,1017.5,
189,2015-07-15,21.7,,,0.0,0.0,,7.2,24.1,1018.5,
190,2015-07-16,24.3,,,0.0,0.0,,6.1,27.7,1016.2,
191,2015-07-17,,,,0.0,0.0,,11.5,57.2,,
192,2015-07-18,,,,0.0,,,9.4,40.7,,
193,2015-07-19,23.0,,,2.7,,,16.2,66.6,1012.3,
194,2015-07-20,22.9,,,0.0,0.0,,8.3,35.3,1014.4,
195,2015-07-21,24.4,,,0.0,0.0,,8.6,31.3,1014.4,
196,2015-07-22,24.6,,,1.6,0.0,,9.4,53.6,1012.4,
197,2015-07-23,19.9,,,0.2,0.0,,10.8,29.5,1015.4,
198,2015-07-24,23.0,,,0.0,0.0,,11.5,33.5,1009.2,
199,2015-07-25,19.4,,,0.0,0.0,,24.1,76.0,1010.5,
200,2015-07-26,16.4,,,4.7,0.0,,7.6,40.7,1013.8,
201,2015-07-27,17.9,,,0.0,0.0,,24.8,63.0,1007.9,
202,2015-07-28,17.6,,,1.2,0.0,,21.2,55.4,1010.1,
203,2015-07-29,14.2,,,3.2,0.0,,14.8,46.4,1012.2,
204,2015-07-30,14.8,,,0.0,0.0,,10.4,35.3,1015.8,
205,2015-07-31,16.9,,,0.0,0.0,,11.5,42.5,1015.5,
206,2015-08-01,16.6,,,0.4,0.0,,9.4,53.6,1014.6,
207,2015-08-02,18.7,,,0.1,0.0,,9.0,31.3,1018.4,
208,2015-08-03,21.9,,,0.0,0.0,,8.6,25.9,1016.5,
209,2015-08-04,22.3,,,0.0,0.0,,14.0,53.6,1014.8,
210,2015-08-05,22.3,,,0.0,0.0,,9.0,31.3,1016.4,
211,2015-08-06,25.5,,,0.0,0.0,,6.8,20.5,1015.0,
212,2015-08-07,,,,0.0,0.0,,7.2,25.9,,
213,2015-08-08,,,,0.0,,,13.0,46.4,,
214,2015-08-09,24.9,,,0.0,,,16.9,51.8,1014.0,
215,2015-08-10,23.0,,,0.0,0.0,,11.5,29.5,1013.3,
216,2015-08-11,23.6,,,0.0,0.0,,9.4,44.3,1014.5,
217,2015-08-12,23.3,,,0.0,0.0,,6.5,33.5,1017.0,
218,2015-08-13,25.8,,,0.0,0.0,,10.1,37.1,1011.7,
219,2015-08-14,21.3,,,33.2,0.0,,13.7,92.5,1009.6,
220,2015-08-15,,,,29.2,,,13.3,44.3,,
221,2015-08-16,15.0,,,8.4,,,11.2,27.7,1011.8,
222,2015-08-17,14.0,,,2.3,0.0,,12.2,31.3,1013.2,
223,2015-08-18,15.8,,,0.4,0.0,,7.6,24.1,1014.7,
224,2015-08-19,14.0,,,0.5,0.0,,9.4,20.5,1019.6,
225,2015-08-20,14.7,,,2.0,0.0,,7.6,24.1,1023.6,
226,2015-08-21,15.1,,,0.0,0.0,,6.1,24.1,1023.9,
227,2015-08-22,16.9,,,0.0,0.0,,10.1,33.5,1018.1,
228,2015-08-23,16.9,,,16.4,0.0,,7.2,59.4,1009.8,
229,2015-08-24,17.5,,,10.5,0.0,,12.2,61.2,1008.2,
230,2015-08-25,15.1,,,0.0,0.0,,13.3,38.9,1018.6,
231,2015-08-26,17.4,,,0.0,0.0,,7.2,22.3,1017.7,
232,2015-08-27,21.6,,,0.0,0.0,,7.6,20.5,1013.4,
233,2015-08-28,22.8,,,0.0,0.0,,11.5,38.9,1017.2,
234,2015-08-29,22.5,,,0.0,0.0,,8.3,24.1,1020.5,
235,2015-08-30,24.1,,,0.0,0.0,,8.3,33.5,1017.6,
236,2015-08-31,23.8,,,0.0,0.0,,11.9,33.5,1013.4,
237,2015-09-01,20.7,,,13.5,0.0,,13.3,66.6,1011.5,
238,2015-09-02,13.6,,,4.9,0.0,,8.6,20.5,1016.9,
239,2015-09-03,13.5,,,7.6,0.0,,5.8,33.5,1014.8,
240,2015-09-04,14.2,,,0.7,0.0,,8.3,27.7,1015.6,
241,2015-09-05,11.9,10.0,15.0,2.3,0.0,227.5,13.0,31.3,1017.4,
242,2015-09-06,10.0,,,1.9,0.0,,15.8,46.4,1023.2,
243,2015-09-07,10.6,,,0.0,0.0,,12.2,35.3,1025.9,
244,2015-09-08,12.2,,,0.0,0.0,,8.3,27.7,1023.7,
245,2015-09-09,11.5,,,0.0,0.0,,10.4,29.5,1021.0,
246,2015-09-10,8.7,,,0.0,0.0,,12.6,31.3,1020.0,
247,2015-09-11,12.2,,,,0.0,,9.4,57.2,1017.6,
248,2015-09-12,16.6,,,,0.0,,7.9,22.3,1016.2,
249,2015-09-13,17.3,,,,0.0,,10.4,33.5,1010.5,
250,2015-09-14,14.3,,,,0.0,,15.5,44.3,1008.4,
251,2015-09-15,13.6,,,,0.0,,9.4,29.5,1010.9,
252,2015-09-16,18.6,,,,0.0,,10.8,24.1,1000.8,
253,2015-09-17,14.6,,,,0.0,,14.8,59.4,1006.8,
254,2015-09-18,12.9,,,1.2,0.0,,8.6,24.1,1018.8,
255,2015-09-19,12.4,,,0.2,0.0,,6.8,29.5,1022.3,
256,2015-09-20,11.6,,,0.0,0.0,,8.3,25.9,1023.6,
257,2015-09-21,11.6,6.0,17.0,0.0,0.0,,7.6,29.5,1017.0,
258,2015-09-22,12.4,,,13.7,0.0,,10.1,38.9,1008.1,
259,2015-09-23,9.4,,,0.5,0.0,,15.8,44.3,1013.1,
260,2015-09-24,9.6,,,0.1,0.0,,6.1,16.6,1021.5,
261,2015-09-25,10.7,,,0.0,0.0,,4.7,16.6,1022.4,
262,2015-09-26,12.1,,,0.0,0.0,,10.1,25.9,1023.1,
263,2015-09-27,10.7,,,0.0,0.0,,15.5,42.5,1028.0,
264,2015-09-28,8.7,,,0.0,0.0,,16.2,42.5,1032.4,
265,2015-09-29,9.2,,,0.0,0.0,,23.4,59.4,1030.5,
266,2015-09-30,8.4,,,0.0,0.0,,22.0,46.4,1029.3,
267,2015-10-01,8.4,,,0.0,0.0,,14.0,35.3,1026.1,
268,2015-10-02,10.0,,,0.0,0.0,,10.1,31.3,1021.3,
269,2015-10-03,12.6,,,0.0,0.0,,7.2,35.3,1016.4,
270,2015-10-04,10.3,,,0.4,0.0,,11.5,55.4,1018.3,
271,2015-10-05,11.3,,,2.1,0.0,,6.5,20.5,1015.3,
272,2015-10-06,15.2,,,3.5,0.0,,10.8,68.4,1008.4,
273,2015-10-07,12.4,,,15.6,0.0,,12.2,35.3,1014.1,
274,2015-10-08,11.0,,,0.0,0.0,,5.8,14.8,1020.1,
275,2015-10-09,10.2,,,0.0,0.0,,6.5,24.1,1019.5,
276,2015-10-10,8.6,,,0.9,0.0,,11.5,29.5,1015.8,
277,2015-10-11,7.1,,,0.0,0.0,,14.4,33.5,1014.3,
278,2015-10-12,3.5,,,0.0,0.0,,8.6,22.3,1017.2,
279,2015-10-13,6.7,,,20.8,0.0,,7.2,16.6,1014.2,
280,2015-10-14,5.3,,,10.3,0.0,,10.8,35.3,1015.6,
281,2015-10-15,3.6,,,0.3,0.0,,7.9,22.3,1014.4,
282,2015-10-16,3.3,,,4.6,0.0,,7.2,18.4,1018.9,
283,2015-10-17,4.8,,,5.6,0.0,,6.1,14.8,1019.1,
284,2015-10-18,5.2,,,5.2,0.0,,4.7,18.4,1018.6,
285,2015-10-19,4.6,,,4.4,0.0,,5.4,25.9,1021.0,
286,2015-10-20,3.7,,,0.0,0.0,,4.3,14.8,1022.9,
287,2015-10-21,6.3,,,0.0,0.0,,5.4,22.3,1021.4,
288,2015-10-22,7.3,,,0.1,0.0,,13.3,37.1,1019.9,
289,2015-10-23,8.8,,,0.1,0.0,,9.0,25.9,1024.2,
290,2015-10-24,10.6,,,0.0,0.0,,6.5,18.4,1020.5,
291,2015-10-25,11.2,,,0.2,0.0,,10.4,29.5,1024.1,
292,2015-10-26,6.9,,,0.0,0.0,,7.2,20.5,1021.4,
293,2015-10-27,5.5,,,0.0,0.0,,5.4,16.6,1018.8,
294,2015-10-28,6.2,,,0.2,0.0,,5.4,14.8,1013.8,
295,2015-10-29,8.5,,,1.3,0.0,,9.7,22.3,1019.7,
296,2015-10-30,7.5,,,0.0,0.0,,11.2,25.9,1026.8,
297,2015-10-31,6.4,,,0.0,0.0,,8.6,24.1,1028.9,
298,2015-11-01,3.2,,,0.0,0.0,,4.0,13.0,1032.5,
299,2015-11-02,2.2,,,0.0,,,4.7,14.8,1029.9,
300,2015-11-03,4.0,,,0.0,,,5.0,13.0,1023.6,
301,2015-11-04,9.1,,,0.0,,,6.5,20.5,1023.2,
302,2015-11-05,8.5,,,0.0,,,5.4,13.0,1023.6,
303,2015-11-06,11.8,,,0.5,,,10.8,31.3,1025.2,
304,2015-11-07,13.3,,,0.0,,,9.7,27.7,1027.7,
305,2015-11-08,13.0,,,0.0,,,6.8,20.5,1029.0,
306,2015-11-09,14.7,,,0.0,0.0,,21.6,53.6,1026.8,
307,2015-11-10,12.8,,,0.0,0.0,,15.8,44.3,1027.5,
308,2015-11-11,9.1,,,0.0,0.0,,9.4,24.1,1027.4,
309,2015-11-12,5.8,,,0.0,0.0,,6.5,14.8,1029.1,
310,2015-11-13,8.1,,,1.5,0.0,,13.3,48.2,1027.3,
311,2015-11-14,7.8,,,0.0,0.0,,19.4,46.4,1029.4,
312,2015-11-15,12.5,,,0.0,0.0,,35.6,85.3,1019.2,
313,2015-11-16,13.4,,,0.0,0.0,,20.9,55.4,1018.2,
314,2015-11-17,10.9,,,0.2,0.0,,25.9,63.0,1017.6,
315,2015-11-18,13.2,,,0.0,0.0,,36.0,77.8,1019.1,
316,2015-11-19,12.5,,,0.0,0.0,,36.7,74.2,1018.8,
317,2015-11-20,9.5,,,66.0,0.0,,30.2,87.1,1007.0,
318,2015-11-21,1.7,,,1.7,0.0,,15.1,57.2,1000.2,
319,2015-11-22,-0.6,,,0.7,20.0,,17.6,40.7,1008.5,
320,2015-11-23,-1.2,,,0.0,0.0,,11.9,25.9,1023.5,
