,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,,,3.7,,,,,,
1,2015-01-03,,,,1.0,,,,,,
2,2015-01-04,,,,0.0,,,,,,
3,2015-01-05,,,,0.0,,,,,,
4,2015-01-06,,,,0.0,,,,,,
5,2015-01-07,,,,1.2,,,,,,
6,2015-01-08,,,,18.3,,,,,,
7,2015-01-09,,,,3.5,,,,,,
8,2015-01-10,,,,5.7,,,,,,
9,2015-01-11,,,,2.8,,,,,,
10,2015-01-12,,,,0.9,,,,,,
11,2015-01-13,,,,4.9,,,,,,
12,2015-01-14,,,,9.7,,,,,,
13,2015-01-15,,,,4.6,,,,,,
14,2015-01-16,,,,0.0,,,,,,
15,2015-01-17,,,,0.0,,,,,,
16,2015-01-18,,,,1.1,,,,,,
17,2015-01-19,,,,0.0,,,,,,
18,2015-01-20,,,,0.0,,,,,,
19,2015-01-21,,,,0.0,,,,,,
20,2015-01-22,,,,0.0,,,,,,
21,2015-01-23,,,,0.0,,,,,,
22,2015-01-24,,,,5.6,,,,,,
23,2015-01-25,,,,1.1,,,,,,
24,2015-01-26,,,,6.1,,,,,,
25,2015-01-27,,,,1.0,,,,,,
26,2015-01-28,,,,5.6,,,,,,
27,2015-01-29,,,,3.3,,,,,,
28,2015-01-30,,,,6.9,,,,,,
29,2015-01-31,,,,2.5,,,,,,
30,2015-02-01,,,,0.2,,,,,,
31,2015-02-02,,,,1.6,,,,,,
32,2015-02-03,,,,1.5,,,,,,
33,2015-02-04,,,,0.0,,,,,,
34,2015-02-05,,,,0.0,,,,,,
35,2015-02-06,,,,0.0,,,,,,
36,2015-02-07,,,,0.4,,,,,,
37,2015-02-08,,,,1.2,,,,,,
38,2015-02-09,,,,1.4,,,,,,
39,2015-02-10,,,,0.9,,,,,,
40,2015-02-11,,,,0.0,,,,,,
41,2015-02-12,,,,0.0,,,,,,
42,2015-02-13,,,,0.0,,,,,,
43,2015-02-14,,,,0.0,,,,,,
44,2015-02-15,,,,0.0,,,,,,
45,2015-02-16,,,,0.0,,,,,,
46,2015-02-17,,,,0.1,,,,,,
47,2015-02-18,,,,0.0,,,,,,
48,2015-02-19,,,,0.0,,,,,,
49,2015-02-20,,,,3.8,,,,,,
50,2015-02-21,,,,3.0,,,,,,
51,2015-02-22,,,,0.0,,,,,,
52,2015-02-23,,,,3.5,,,,,,
53,2015-02-24,,,,0.2,,,,,,
54,2015-02-25,,,,0.7,,,,,,
55,2015-02-26,,,,1.1,,,,,,
56,2015-02-27,,,,9.8,,,,,,
57,2015-02-28,,,,0.0,,,,,,
58,2015-03-01,,,,3.8,,,,,,
59,2015-03-02,,,,5.3,,,,,,
60,2015-03-03,,,,6.6,,,,,,
61,2015-03-04,,,,3.2,,,,,,
62,2015-03-05,,,,0.1,,,,,,
63,2015-03-06,,,,0.0,,,,,,
64,2015-03-07,,,,0.0,,,,,,
65,2015-03-08,,,,0.0,,,,,,
66,2015-03-09,,,,0.0,,,,,,
67,2015-03-10,,,,1.4,,,,,,
68,2015-03-11,,,,0.0,,,,,,
69,2015-03-12,,,,0.0,,,,,,
70,2015-03-13,,,,0.0,,,,,,
71,2015-03-14,,,,0.9,,,,,,
72,2015-03-15,,,,0.1,,,,,,
73,2015-03-16,,,,0.0,,,,,,
74,2015-03-17,,,,0.0,,,,,,
75,2015-03-18,,,,0.0,,,,,,
76,2015-03-19,,,,0.0,,,,,,
77,2015-03-20,,,,0.0,,,,,,
78,2015-03-21,,,,6.0,,,,,,
79,2015-03-22,,,,0.0,,,,,,
80,2015-03-23,,,,0.0,,,,,,
81,2015-03-24,,,,0.0,,,,,,
82,2015-03-25,,,,0.0,,,,,,
83,2015-03-26,,,,0.2,,,,,,
84,2015-03-27,,,,0.4,,,,,,
85,2015-03-28,,,,1.8,,,,,,
86,2015-03-30,,,,3.1,,,,,,
87,2015-03-31,,,,17.6,,,,,,
88,2015-04-01,,,,4.8,,,,,,
89,2015-04-02,,,,15.3,,,,,,
