,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,2.9,1.3,3.9,0.4,0.0,,,,,0.0
1,2015-01-03,2.0,0.2,3.8,1.0,0.0,,,,,0.0
2,2015-01-04,2.4,1.7,3.4,0.1,0.0,,,,,0.0
3,2015-01-05,2.0,-0.5,4.9,0.0,0.0,,,,,330.0
4,2015-01-06,0.7,-2.6,4.2,0.2,0.0,,,,,324.0
5,2015-01-07,1.6,0.0,4.6,0.0,0.0,,,,,66.0
6,2015-01-08,4.2,1.1,7.9,2.3,0.0,,,,,0.0
7,2015-01-09,6.8,3.5,10.3,2.0,0.0,,,,,0.0
8,2015-01-10,10.7,2.7,14.4,2.2,0.0,,,,,108.0
9,2015-01-11,3.1,1.7,4.4,0.1,0.0,,,,,54.0
10,2015-01-12,4.9,3.7,6.2,0.0,0.0,,,,,0.0
11,2015-01-13,8.3,5.0,11.7,1.9,0.0,,,,,438.0
12,2015-01-14,5.1,0.4,9.2,5.6,0.0,,,,,84.0
13,2015-01-15,4.6,0.4,7.3,0.0,0.0,,,,,192.0
14,2015-01-16,5.9,4.2,7.4,7.2,0.0,,,,,0.0
15,2015-01-17,2.9,-0.9,5.2,0.3,0.0,,,,,0.0
16,2015-01-18,-0.4,-3.0,3.0,0.0,0.0,,,,,384.0
17,2015-01-19,-0.7,-4.7,1.9,0.3,0.0,,,,,6.0
18,2015-01-20,0.3,-0.4,1.2,2.8,0.0,,,,,0.0
19,2015-01-21,-0.7,-2.5,0.3,0.0,0.0,,,,,102.0
20,2015-01-22,-0.9,-1.4,-0.6,0.9,0.0,,,,,0.0
21,2015-01-23,-1.4,-1.8,-1.0,0.3,0.0,,,,,0.0
22,2015-01-24,-1.0,-3.4,1.1,0.8,10.0,,,,,204.0
23,2015-01-25,0.8,-0.5,2.6,3.0,20.0,,,,,36.0
24,2015-01-26,1.1,-0.3,2.2,1.3,0.0,,,,,6.0
25,2015-01-27,2.0,0.8,3.6,0.2,0.0,,,,,54.0
26,2015-01-28,2.1,0.0,3.6,0.1,0.0,,,,,6.0
27,2015-01-29,1.4,-0.2,2.5,0.1,0.0,,,,,216.0
28,2015-01-30,0.7,-1.9,2.1,0.5,0.0,,,,,150.0
29,2015-01-31,-0.3,-2.6,1.9,0.5,0.0,,,,,30.0
30,2015-02-01,-0.4,-2.7,1.0,0.3,10.0,,,,,0.0
31,2015-02-02,0.4,-1.0,2.5,0.0,0.0,,,,,192.0
32,2015-02-03,0.0,-2.2,1.9,0.1,0.0,,,,,120.0
33,2015-02-04,-1.7,-2.5,-0.4,0.4,0.0,,,,,6.0
34,2015-02-05,-2.5,-3.6,-1.1,0.2,10.0,,,,,24.0
35,2015-02-06,-2.7,-4.2,-1.9,0.0,0.0,,,,,0.0
36,2015-02-07,-1.5,-6.4,2.5,0.6,0.0,,,,,474.0
37,2015-02-08,0.5,-1.4,2.5,0.0,0.0,,,,,144.0
38,2015-02-09,2.3,-0.6,4.1,0.5,0.0,,,,,0.0
39,2015-02-10,3.3,2.1,4.5,0.0,0.0,,,,,0.0
40,2015-02-11,1.8,-2.0,4.4,0.0,0.0,,,,,192.0
41,2015-02-12,0.1,-4.3,6.1,0.0,0.0,,,,,558.0
42,2015-02-13,0.9,-2.6,7.5,0.0,0.0,,,,,558.0
43,2015-02-14,0.9,-3.6,8.2,0.0,0.0,,,,,546.0
44,2015-02-15,-0.4,-5.0,3.5,0.0,0.0,,,,,144.0
45,2015-02-16,1.4,-3.7,8.0,0.0,0.0,,,,,516.0
46,2015-02-17,-0.1,-4.1,4.7,0.0,0.0,,,,,306.0
47,2015-02-18,1.8,-0.5,5.2,0.0,0.0,,,,,102.0
48,2015-02-19,-0.1,-2.6,4.4,0.0,0.0,,,,,546.0
49,2015-02-20,3.4,-2.2,8.9,0.0,0.0,,,,,456.0
50,2015-02-21,4.0,-0.6,8.7,0.0,0.0,,,,,114.0
51,2015-02-22,0.6,-3.4,6.3,0.0,0.0,,,,,114.0
52,2015-02-23,1.7,-2.9,3.2,0.0,0.0,,,,,0.0
53,2015-02-24,3.6,0.5,6.4,0.0,0.0,,,,,186.0
54,2015-02-25,2.8,-2.9,7.8,0.0,0.0,,,,,510.0
55,2015-02-26,2.1,-5.3,9.2,0.0,0.0,,,,,600.0
56,2015-02-27,4.3,-1.0,10.9,1.2,0.0,,,,,462.0
57,2015-02-28,2.7,0.5,7.2,0.0,0.0,,,,,282.0
58,2015-03-01,4.4,1.5,7.6,2.3,0.0,,,,,0.0
59,2015-03-02,5.5,2.2,8.9,0.1,0.0,,,,,432.0
60,2015-03-03,4.2,0.2,8.6,3.2,0.0,,,,,486.0
61,2015-03-04,2.6,-0.2,5.7,0.4,0.0,,,,,270.0
62,2015-03-05,3.3,1.6,6.6,0.0,0.0,,,,,120.0
63,2015-03-06,4.1,1.0,6.8,0.0,0.0,,,,,12.0
64,2015-03-07,5.7,-0.2,11.4,0.0,0.0,,,,,564.0
65,2015-03-08,9.1,2.1,15.4,0.0,0.0,,,,,498.0
66,2015-03-09,5.0,-0.6,11.1,0.0,0.0,,,,,342.0
67,2015-03-10,5.1,-2.7,13.6,2.6,0.0,,,,,294.0
68,2015-03-11,4.3,-0.2,8.2,0.3,0.0,,,,,246.0
69,2015-03-12,3.0,1.3,5.0,0.0,0.0,,,,,0.0
70,2015-03-13,0.9,-0.3,2.0,0.3,0.0,,,,,0.0
71,2015-03-14,1.6,0.4,3.1,4.9,0.0,,,,,0.0
72,2015-03-15,2.8,-0.8,5.7,0.1,0.0,,,,,6.0
73,2015-03-16,5.3,-3.3,13.2,0.0,0.0,,,,,426.0
74,2015-03-17,9.8,3.6,15.8,0.0,0.0,,,,,510.0
75,2015-03-18,8.5,0.2,16.7,0.0,0.0,,,,,666.0
76,2015-03-19,5.9,-0.9,14.7,0.0,0.0,,,,,624.0
77,2015-03-20,3.8,-3.9,12.9,0.0,0.0,,,,,678.0
78,2015-03-21,3.1,-3.3,9.5,0.5,0.0,,,,,252.0
79,2015-03-22,0.7,-0.7,3.3,0.0,0.0,,,,,0.0
80,2015-03-23,3.8,-4.0,12.0,0.0,0.0,,,,,474.0
81,2015-03-24,4.7,0.0,8.9,0.0,0.0,,,,,36.0
82,2015-03-25,8.2,-2.8,19.1,0.0,0.0,,,,,522.0
83,2015-03-26,6.7,5.5,7.7,0.1,0.0,,,,,0.0
84,2015-03-27,6.3,3.2,9.8,1.4,0.0,,,,,234.0
85,2015-03-28,7.4,4.1,11.7,0.5,0.0,,,,,366.0
86,2015-03-29,9.6,7.1,11.6,9.4,0.0,,,,,0.0
87,2015-03-30,5.6,2.0,9.6,5.8,0.0,,,,,330.0
88,2015-03-31,6.9,2.3,12.3,7.9,0.0,,,,,300.0
89,2015-04-01,3.3,0.8,7.6,2.8,0.0,,,,,168.0
90,2015-04-02,2.1,-0.6,4.7,7.1,0.0,,,,,126.0
91,2015-04-03,3.0,-1.4,8.7,0.0,0.0,,,,,174.0
92,2015-04-04,2.1,-3.1,7.6,0.0,0.0,,,,,408.0
93,2015-04-05,2.8,-2.2,8.9,0.0,0.0,,,,,444.0
94,2015-04-06,3.9,-0.8,8.9,0.0,0.0,,,,,360.0
95,2015-04-07,5.5,-2.2,13.0,0.0,0.0,,,,,708.0
96,2015-04-08,8.1,4.1,14.5,0.0,0.0,,,,,114.0
97,2015-04-09,11.3,6.5,17.9,0.0,0.0,,,,,558.0
98,2015-04-10,12.2,3.3,20.8,0.0,0.0,,,,,678.0
99,2015-04-11,12.9,5.0,19.3,2.3,0.0,,,,,318.0
100,2015-04-12,10.7,4.0,16.4,0.0,0.0,,,,,642.0
101,2015-04-13,9.1,2.2,13.5,0.0,0.0,,,,,354.0
102,2015-04-14,10.1,-0.6,18.3,0.0,0.0,,,,,450.0
103,2015-04-15,17.1,9.5,24.3,0.0,0.0,,,,,726.0
104,2015-04-16,12.7,5.1,20.6,0.1,0.0,,,,,582.0
105,2015-04-17,7.5,2.9,12.0,0.0,0.0,,,,,342.0
